Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
24476,0.334768,0.401722,9.77044,0.63,-0.07,0.14,11.9812,1.85257,-64.2647,1012.7
24482,0.320421,0.382592,9.78479,0.42,-0.21,0.07,12.1699,1.34239,-64.6462,1012.66
24488,0.277379,0.392157,9.77523,0.98,0,-0.07,12.4395,0.922243,-64.25,1012.66
24494,0.277379,0.411286,9.76088,-0.07,0.14,0.14,12.3047,1.58248,-63.4284,1012.69
24500,0.315638,0.411286,9.75131,-0.56,0.07,0.21,12.3586,1.49244,-64.4554,1012.69
24506,0.286944,0.425634,9.76088,0.56,-0.21,-0.28,10.7679,1.46244,-64.4554,1012.69
24512,0.291726,0.411286,9.76088,0.98,0,-0.14,12.1429,1.16233,-64.3527,1012.69
24518,0.296509,0.406504,9.78001,0,-0.07,0.07,12.0081,1.82256,-64.9836,1012.67
24524,0.286944,0.387374,9.77044,-0.77,0,0.14,12.0621,2.03264,-65.2037,1012.67
24530,0.320421,0.392157,9.78479,1.61,-0.14,-0.14,12.1699,1.73253,-64.9983,1012.66
24536,0.329986,0.396939,9.76088,0.84,0.42,-0.14,11.388,2.15268,-64.2354,1012.66
24542,0.315638,0.37781,9.77044,0.28,0.14,-0.14,12.0351,1.9426,-63.8392,1012.69
24548,0.301291,0.387374,9.77523,0.98,0.07,0.14,11.7655,1.67251,-64.6902,1012.69
24554,0.315638,0.387374,9.78479,0.84,-0.35,-0.21,12.0351,2.00263,-65.2917,1012.69
24560,0.315638,0.406504,9.76566,1.26,-0.21,-0.28,12.116,1.82256,-64.7635,1012.69
24566,0.296509,0.392157,9.77523,-0.21,-0.42,0.21,11.9542,1.34239,-64.4994,1012.69
24572,0.296509,0.401722,9.77523,-0.21,-0.35,-0.42,12.0351,2.03264,-64.0593,1012.67
24578,0.315638,0.396939,9.76566,0.56,0.14,0.07,11.5767,1.70252,-64.9543,1012.67
24584,0.272597,0.387374,9.78001,0.56,0.14,0.07,11.8464,1.67251,-65.5705,1012.7
24590,0.310856,0.392157,9.76566,-0.14,-0.14,-0.07,12.4126,1.22235,-64.1327,1012.7
24596,0.315638,0.382592,9.77044,-0.28,-0.63,-0.35,11.7924,1.91259,-65.2771,1012.68
24602,0.301291,0.387374,9.76566,0.98,-0.28,0.07,12.2238,2.00263,-64.2354,1012.68
24608,0.301291,0.387374,9.76566,0.77,-0.21,-0.28,10.1747,0.382053,-67.4192,1012.68
24614,0.33955,0.416069,9.78957,0.14,0.07,0,11.7116,1.34239,-64.3087,1012.68
24620,0.306074,0.392157,9.76088,0.14,-0.35,0.07,12.0351,1.79255,-65.6732,1012.71
24626,0.291726,0.416069,9.77523,0.98,0.07,-0.14,11.6846,1.61249,-64.0886,1012.71
24632,0.310856,0.396939,9.76566,1.75,0.07,-0.07,12.0351,1.49244,-64.0593,1012.71
24638,0.301291,0.387374,9.76088,-0.7,-0.28,-0.07,11.6307,1.31238,-65.0863,1012.7
24644,0.325203,0.406504,9.76088,-0.21,0.14,-0.21,11.4959,1.46244,-65.3211,1012.7
24650,0.296509,0.396939,9.78001,0.42,-0.35,0.07,12.2778,1.70252,-64.7342,1012.7
24656,0.310856,0.396939,9.7561,0.28,0,-0.07,12.0081,1.61249,-63.8099,1012.7
