Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
42272,2.85326,0.462411,-9.31513,1.087,-2.484,-1.253,4.8059,-16.9777,42.9527,1013.41
42278,2.85326,0.471976,-9.31991,1.157,-2.484,-1.323,4.66062,-17.7796,43.6324,1013.45
42284,2.87239,0.443282,-9.31034,1.087,-2.624,-1.183,4.63156,-16.1142,44.3417,1013.45
42290,2.87239,0.467194,-9.30556,1.087,-2.624,-1.253,5.0093,-16.4843,42.8788,1013.43
42296,2.86282,0.448064,-9.32469,1.087,-2.554,-1.183,5.50326,-17.5637,43.1596,1013.43
42302,2.83891,0.462411,-9.30078,1.087,-2.554,-1.253,4.05043,-16.1759,44.2678,1013.43
42308,2.83891,0.486323,-9.31991,1.087,-2.624,-1.253,4.63156,-16.4535,42.7015,1013.44
42314,2.86282,0.467194,-9.30556,1.087,-2.554,-1.183,4.6025,-17.5329,42.4207,1013.44
42320,2.85326,0.452846,-9.31034,1.087,-2.554,-1.183,4.54439,-17.0086,44.2678,1013.44
42326,2.85804,0.471976,-9.31991,1.017,-2.414,-1.183,4.83496,-15.6825,43.4403,1013.44
42332,2.83891,0.476758,-9.30078,1.087,-2.484,-1.113,5.2127,-17.317,43.1152,1013.45
42338,2.85804,0.462411,-9.30556,1.087,-2.554,-1.183,4.74779,-16.9469,43.4994,1013.45
42344,2.87239,0.462411,-9.29599,1.017,-2.484,-1.183,4.77684,-15.7441,43.5733,1013.42
42350,2.86282,0.457629,-9.31513,1.017,-2.624,-1.183,4.16665,-16.8235,43.7358,1013.42
42356,2.83413,0.462411,-9.32469,1.087,-2.484,-1.183,4.25382,-16.8852,43.5142,1013.42
42362,2.84848,0.476758,-9.32947,1.087,-2.554,-1.253,4.92213,-16.546,44.8736,1013.46
42368,2.85804,0.471976,-9.30556,1.087,-2.554,-1.183,4.42816,-16.4843,43.5881,1013.46
42374,2.83891,0.476758,-9.33425,1.087,-2.554,-1.113,5.32892,-16.9777,42.4798,1013.46
42380,2.89152,0.467194,-9.30078,1.017,-2.624,-1.253,4.48628,-16.2993,43.263,1013.46
42386,2.85326,0.476758,-9.30556,1.017,-2.484,-1.183,4.37005,-16.546,42.864,1013.42
