Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
12842,0.940299,9.61114,0.95747,-0.103,-0.244,-0.553,14.046,-51.6108,4.32717,1013.49
12848,0.873346,9.61593,0.9766,-0.103,-0.314,-0.623,13.1743,-51.7341,5.4354,1013.49
12854,0.911605,9.63505,0.967035,-0.103,-0.454,-0.553,14.2784,-50.7164,4.85912,1013.45
12860,0.940299,9.61593,0.981382,-0.033,-0.314,-0.553,14.1912,-51.4874,5.87869,1013.45
12866,0.92117,9.5968,0.981382,-0.033,-0.244,-0.693,14.2494,-51.4566,4.69658,1013.47
12872,0.911605,9.58723,1.00051,0.107,-0.244,-0.693,14.3656,-51.0557,4.82956,1013.47
12878,0.892475,9.60158,0.962253,-0.033,-0.384,-0.623,14.6561,-50.2538,5.09554,1013.47
12884,0.897258,9.61593,0.9766,0.037,-0.454,-0.483,13.6101,-51.3641,5.86391,1013.48
12890,0.916387,9.60158,0.986165,0.107,-0.384,-0.483,14.2784,-51.4874,5.52406,1013.48
12896,0.906822,9.60636,0.99573,0.107,-0.524,-0.483,14.9467,-49.7912,5.4945,1013.47
12902,0.887693,9.61114,0.967035,0.107,-0.524,-0.483,13.3776,-51.7033,5.64227,1013.47
12908,0.887693,9.5968,0.967035,0.177,-0.454,-0.483,13.6101,-51.6416,4.59314,1013.46
12914,0.916387,9.60158,0.99573,0.037,-0.524,-0.413,15.1211,-50.2847,5.77525,1013.46
12920,0.92117,9.62071,0.971818,0.037,-0.454,-0.343,13.7554,-51.2099,5.90824,1013.46
12926,0.906822,9.60636,0.9766,0.107,-0.594,-0.413,13.6682,-51.5799,5.73092,1013.46
12932,0.925952,9.60636,0.971818,0.107,-0.524,-0.483,13.8426,-50.9323,5.42062,1013.46
12938,0.897258,9.63027,0.981382,0.037,-0.454,-0.413,13.8426,-49.9454,4.48971,1013.48
12944,0.930734,9.62549,0.952688,0.037,-0.664,-0.553,13.5229,-51.5491,5.03643,1013.48
12950,0.959429,9.60158,0.9766,-0.033,-0.524,-0.553,13.1452,-51.0557,4.56359,1013.45
12956,0.930734,9.64462,0.986165,-0.103,-0.384,-0.763,14.6271,-50.1613,5.7457,1013.45
12962,0.906822,9.60636,0.990947,-0.033,-0.384,-0.693,13.8716,-50.7781,5.34674,1013.47
12968,0.88291,9.62071,1.01486,0.177,-0.244,-0.553,13.4648,-52.1042,5.67182,1013.47
12974,0.868563,9.60158,1.00051,0.107,-0.314,-0.693,14.598,-50.7164,4.81479,1013.48
12980,0.935517,9.5968,1.00529,0.247,-0.454,-0.623,14.2494,-50.408,5.46495,1013.48
12986,0.935517,9.5968,0.981382,0.247,-0.174,-0.693,13.6973,-51.2407,4.56359,1013.49
12992,0.873346,9.60636,1.01486,0.317,-0.244,-0.763,14.1912,-50.3463,4.25328,1013.49
12998,0.878128,9.59201,1.01008,0.317,-0.384,-0.553,15.1792,-50.2847,3.9282,1013.49
13004,0.897258,9.58723,0.99573,0.317,-0.384,-0.413,13.2905,-51.2715,4.25328,1013.5
13010,0.897258,9.62071,0.981382,0.317,-0.524,-0.413,14.1622,-51.2099,4.87389,1013.5
13016,0.887693,9.62549,0.95747,0.317,-0.594,-0.343,15.1501,-50.223,3.94298,1013.49
13022,0.88291,9.60636,0.962253,0.177,-0.664,-0.343,13.4939,-51.3332,4.25328,1013.49
13028,0.916387,9.63027,0.967035,0.107,-0.594,-0.343,14.2494,-51.7033,4.96255,1013.48
13034,0.892475,9.60636,0.99573,0.037,-0.594,-0.343,14.9467,-50.5622,4.54881,1013.48
13040,0.916387,9.60158,0.986165,-0.033,-0.664,-0.483,14.9467,-50.8089,5.1842,1013.51
13046,0.940299,9.59201,0.9766,-0.033,-0.594,-0.413,13.7263,-51.8883,5.34674,1013.51
13052,0.964211,9.59201,0.981382,0.037,-0.454,-0.623,14.9177,-51.0557,4.77046,1013.51
13058,0.945082,9.61593,0.990947,0.037,-0.314,-0.553,15.0048,-51.1482,4.34194,1013.51
13064,0.887693,9.60158,1.00529,0.037,-0.384,-0.693,14.8595,-52.0425,5.71615,1013.51
13070,0.911605,9.60158,1.01964,0.107,-0.454,-0.763,14.1041,-51.3641,5.05121,1013.48
13076,0.954646,9.60636,0.990947,0.177,-0.314,-0.763,14.6561,-50.408,5.06599,1013.48
13082,0.892475,9.60636,1.01008,0.317,-0.244,-0.833,13.4358,-51.4257,5.46495,1013.47
13088,0.88291,9.63027,1.01964,0.317,-0.314,-0.693,13.3195,-51.6416,4.51926,1013.47
13094,0.873346,9.5968,0.990947,0.247,-0.384,-0.623,15.0048,-50.9631,4.65225,1013.51
13100,0.90204,9.57288,1.01964,0.317,-0.384,-0.623,14.3365,-50.994,4.85912,1013.51
13106,0.897258,9.62549,0.99573,0.387,-0.384,-0.553,13.2324,-52.0425,4.47493,1013.49
13112,0.897258,9.62549,0.99573,0.317,-0.384,-0.553,14.2494,-50.9323,4.91822,1013.49
13118,0.892475,9.60158,1.01486,0.247,-0.384,-0.413,14.8886,-49.7912,4.66702,1013.49
13124,0.90204,9.60158,1.00051,0.247,-0.524,-0.413,13.2614,-51.765,5.34674,1013.5
13130,0.916387,9.60636,0.967035,0.317,-0.454,-0.483,13.9007,-51.8883,3.89865,1013.5
13136,0.911605,9.61593,0.990947,0.387,-0.664,-0.413,14.3075,-50.1921,5.55361,1013.47
13142,0.940299,9.63505,0.962253,0.177,-0.524,-0.483,12.6512,-51.7958,5.36151,1013.47
13148,0.935517,9.62549,0.9766,0.107,-0.454,-0.553,13.552,-52.2276,4.53404,1013.48
13154,0.935517,9.62071,0.981382,0.107,-0.524,-0.553,15.4116,-50.5931,4.57836,1013.48
13160,0.925952,9.60636,1.01486,0.107,-0.664,-0.623,15.2082,-51.2099,6.2481,1013.49
13166,0.949864,9.58723,0.981382,0.177,-0.454,-0.763,13.4358,-51.179,4.16463,1013.49
13172,0.959429,9.62071,0.971818,0.107,-0.454,-0.833,14.8595,-50.8706,4.66702,1013.49
13178,0.945082,9.61593,0.986165,0.037,-0.314,-0.973,15.092,-50.6547,4.00209,1013.47
13184,0.887693,9.60158,1.01486,0.107,-0.174,-0.973,14.2784,-52.2584,5.11032,1013.47
