Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
10652,2.30328,9.46767,1.10572,2.767,-3.954,-3.563,27.0053,-54.7256,-32.4809,1012.93
10658,2.31285,9.4868,1.11529,2.837,-3.954,-3.423,26.7147,-53.9546,-32.3626,1012.95
10664,2.28894,9.50115,1.12007,2.697,-4.024,-3.423,26.4532,-54.6639,-33.2936,1012.95
10670,2.30328,9.50115,1.08181,2.837,-4.094,-3.353,27.2377,-54.7873,-33.0276,1012.93
10676,2.30807,9.49637,1.10572,2.767,-4.024,-3.353,26.8309,-54.448,-33.3083,1012.93
10682,2.31763,9.48202,1.11051,2.767,-3.884,-3.353,27.0343,-54.263,-33.5004,1012.94
10688,2.29372,9.50115,1.10572,2.767,-3.884,-3.353,27.4411,-54.4789,-34.0324,1012.94
10694,2.3272,9.47245,1.10094,2.767,-4.094,-3.353,26.2789,-54.4789,-33.7368,1012.96
10700,2.32241,9.50115,1.09138,2.837,-4.024,-3.353,26.6856,-54.448,-34.8155,1012.96
10706,2.33676,9.50593,1.0866,2.767,-3.884,-3.423,26.5694,-54.2322,-33.2788,1012.96
10712,2.33198,9.47724,1.10094,2.837,-3.884,-3.493,27.1796,-54.2938,-34.3427,1012.93
10718,2.32241,9.47724,1.10572,2.837,-3.884,-3.493,27.1796,-55.0031,-32.7764,1012.93
10724,2.36067,9.46767,1.10094,2.837,-3.884,-3.633,26.6856,-54.078,-33.5891,1012.92
10730,2.34154,9.4868,1.0866,2.907,-3.884,-3.633,26.86,-54.0163,-33.5004,1012.92
10736,2.33676,9.46767,1.09616,2.907,-3.744,-3.633,26.6856,-54.6331,-34.1949,1012.89
10742,2.2985,9.49158,1.10572,2.837,-3.744,-3.703,26.6566,-54.6022,-32.6877,1012.89
10748,2.29372,9.48202,1.12964,2.907,-3.814,-3.633,26.4532,-54.2322,-32.0671,1012.91
10754,2.32241,9.47724,1.11529,2.907,-3.884,-3.493,26.7438,-54.2938,-33.4118,1012.91
10760,2.3272,9.48202,1.1392,2.977,-3.884,-3.423,25.6687,-54.2938,-32.5695,1012.91
10766,2.31763,9.46767,1.11051,3.047,-3.814,-3.423,26.7147,-54.6331,-33.4709,1012.93
10772,2.26502,9.48202,1.11529,3.047,-3.814,-3.353,26.889,-54.6639,-33.9437,1012.93
10778,2.29372,9.47724,1.10094,3.187,-3.954,-3.283,26.4823,-54.5714,-32.7173,1012.9
10784,2.30807,9.47245,1.11529,3.187,-3.884,-3.143,26.5113,-53.9546,-32.3922,1012.9
10790,2.28415,9.47245,1.11051,3.187,-3.884,-3.213,26.366,-53.9546,-32.5104,1012.95
10796,2.29372,9.47724,1.1392,3.047,-3.884,-3.143,26.0464,-53.6462,-32.9389,1012.95
10802,2.31285,9.48202,1.13442,3.117,-3.954,-3.143,27.1506,-55.0957,-33.4561,1012.96
10808,2.34632,9.49158,1.09138,3.047,-4.024,-3.283,26.6566,-53.9238,-33.3822,1012.96
10814,2.37024,9.47724,1.04834,3.047,-3.954,-3.423,26.5113,-54.3247,-34.0028,1012.96
10820,2.37502,9.4868,1.0866,2.977,-3.674,-3.493,26.6856,-54.8181,-32.274,1012.95
10826,2.28894,9.47724,1.1392,2.977,-3.744,-3.423,26.366,-55.3732,-33.7073,1012.95
10832,2.30328,9.48202,1.11529,3.047,-3.884,-3.423,27.2958,-53.6462,-33.2344,1012.95
10838,2.33676,9.47245,1.12964,2.977,-4.024,-3.423,26.0755,-54.2938,-33.7664,1012.95
10844,2.34154,9.48202,1.11529,3.047,-3.814,-3.493,26.0464,-54.6947,-33.8107,1012.92
10850,2.26981,9.49158,1.1392,3.117,-3.744,-3.423,26.7728,-53.6154,-33.6925,1012.92
10856,2.29372,9.45811,1.12964,3.047,-3.954,-3.283,26.9762,-53.7079,-33.0276,1012.93
10862,2.31285,9.46289,1.12485,3.117,-3.954,-3.283,26.0755,-54.2013,-33.5743,1012.93
10868,2.30807,9.48202,1.11051,3.047,-3.954,-3.283,25.9011,-53.8929,-33.9142,1012.92
10874,2.31285,9.48202,1.1392,3.187,-4.094,-3.283,26.3951,-54.078,-34.1949,1012.92
10880,2.31285,9.49637,1.10572,3.117,-4.024,-3.143,26.3951,-54.7256,-33.0424,1012.92
10886,2.33198,9.47724,1.0579,3.047,-3.954,-3.213,26.1917,-54.1705,-32.5991,1012.91
10892,2.31285,9.48202,1.11051,2.977,-4.024,-3.143,26.1626,-54.1088,-33.53,1012.91
10898,2.29372,9.46289,1.09616,2.977,-4.094,-3.073,26.1045,-54.2322,-34.1506,1012.92
10904,2.34632,9.46289,1.13442,3.047,-4.164,-3.143,26.3951,-53.9238,-33.8107,1012.92
10910,2.34632,9.47724,1.10094,3.117,-4.094,-3.213,26.0755,-53.8312,-33.0719,1012.93
10916,2.31285,9.51071,1.06747,2.977,-3.884,-3.353,25.9592,-54.3247,-34.6825,1012.93
10922,2.3272,9.50115,1.11051,2.907,-4.094,-3.353,25.9011,-54.2013,-33.397,1012.91
10928,2.35111,9.46289,1.12964,2.977,-4.024,-3.423,25.7558,-53.7696,-31.9046,1012.91
10934,2.32241,9.49158,1.09616,2.977,-3.884,-3.423,26.4532,-54.2013,-33.4265,1012.91
10940,2.2985,9.48202,1.16311,2.907,-3.884,-3.493,26.0755,-54.5714,-34.0915,1012.92
10946,2.32241,9.47724,1.15355,3.117,-3.954,-3.423,27.0343,-54.263,-34.5348,1012.92
10952,2.33198,9.47724,1.1392,3.257,-3.954,-3.353,26.1917,-54.3247,-33.4265,1012.88
10958,2.3272,9.44854,1.14398,3.257,-3.954,-3.283,26.2789,-54.3555,-32.865,1012.88
10964,2.33198,9.47245,1.14877,3.467,-3.884,-3.283,25.7268,-54.1088,-33.7073,1012.94
10970,2.31285,9.47724,1.12485,3.537,-3.954,-3.213,26.1045,-53.9854,-33.8994,1012.94
10976,2.30807,9.48202,1.11529,3.537,-3.884,-3.143,26.3079,-54.1088,-33.1015,1012.93
10982,2.3272,9.47724,1.07703,3.327,-3.884,-3.143,26.5113,-54.1396,-32.3626,1012.93
10988,2.28415,9.4868,1.10094,3.397,-3.884,-3.143,26.7438,-54.1396,-33.3231,1012.93
10994,2.33198,9.49158,1.12007,3.257,-4.024,-3.073,25.9302,-54.5714,-32.6138,1012.93
11000,2.33198,9.50115,1.08181,3.327,-4.024,-3.073,26.2207,-54.1396,-35.4066,1012.93
11006,2.3272,9.49637,1.0866,3.187,-4.024,-3.143,26.9181,-54.263,-33.7516,1012.93
11012,2.31763,9.43898,1.11529,3.047,-4.164,-3.143,26.2789,-54.3863,-33.3674,1012.93
11018,2.3272,9.42941,1.17268,3.117,-4.164,-3.143,26.4241,-53.7696,-34.6087,1012.93
11024,2.35111,9.41028,1.18224,3.397,-4.094,-3.073,26.9472,-53.5537,-33.5004,1012.93
11030,2.34154,9.45332,1.15833,3.537,-4.024,-3.073,26.2207,-53.7079,-34.8007,1012.93
11036,2.33676,9.49158,1.12007,3.747,-3.954,-3.143,26.7438,-53.9854,-33.9142,1012.93
11042,2.32241,9.4868,1.12964,3.747,-3.744,-3.073,26.86,-53.9546,-33.0128,1012.94
11048,2.33198,9.48202,1.12485,3.677,-3.954,-3.073,26.337,-53.8004,-32.7616,1012.94
11054,2.34632,9.47724,1.12007,3.817,-3.814,-3.073,26.366,-53.7387,-32.274,1012.94
11060,2.32241,9.4868,1.09138,3.817,-3.814,-3.143,26.6856,-53.9854,-33.4118,1012.95
11066,2.30807,9.50593,1.10572,3.747,-3.814,-3.003,26.337,-54.263,-34.1063,1012.95
11072,2.31285,9.49158,1.11529,3.677,-3.954,-2.933,26.9472,-53.9546,-32.998,1012.94
11078,2.33198,9.50115,1.07225,3.677,-4.164,-2.863,26.1336,-53.8312,-34.0176,1012.94
11084,2.34154,9.5155,1.07225,3.327,-3.954,-2.863,25.6105,-54.2938,-32.8207,1012.93
11090,2.3272,9.51071,1.10572,3.187,-3.954,-2.863,25.8721,-54.448,-33.796,1012.93
11096,2.31285,9.48202,1.12007,3.117,-4.094,-2.723,25.6687,-54.5097,-34.9633,1012.92
11102,2.31285,9.50593,1.09138,3.117,-4.094,-2.723,26.8019,-54.6639,-33.4118,1012.92
11108,2.30328,9.49158,1.12485,3.047,-4.234,-2.723,27.2377,-53.7387,-34.2392,1012.92
11114,2.28894,9.50115,1.12964,2.977,-4.584,-2.653,27.2958,-54.5097,-33.5743,1012.94
11120,2.50893,9.42941,1.03399,3.257,-3.884,-2.793,26.3079,-54.2322,-34.3279,1012.94
11126,2.30328,9.56332,1.10094,3.117,-3.324,-2.863,26.6856,-54.9106,-32.5104,1012.95
11132,2.36545,9.42941,1.1392,2.837,-4.444,-3.073,26.4823,-54.1396,-33.9437,1012.95
11138,2.49936,9.45811,1.10094,3.257,-4.304,-3.213,26.5694,-53.8621,-33.7664,1012.9
11144,2.41806,9.52028,1.03399,2.977,-3.044,-3.563,26.86,-54.2938,-34.2097,1012.9
11150,2.25068,9.52984,1.16311,2.907,-3.114,-3.493,26.1045,-54.0163,-34.0028,1012.93
11156,2.2985,9.45811,1.17268,3.047,-4.094,-3.353,26.7728,-53.9854,-33.1015,1012.93
11162,2.35111,9.49158,1.14398,3.047,-3.814,-3.283,27.2958,-53.9238,-33.2788,1012.94
11168,2.34632,9.49158,1.11529,2.907,-3.884,-3.213,27.1506,-53.7696,-33.7664,1012.94
