Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
34472,0.983341,9.66853,0.87617,-0.313,-0.594,0.147,13.581,-50.7781,4.9921,1013.49
34478,1.08377,9.49158,0.933558,-0.173,-1.014,0.007,13.4358,-50.1921,5.33196,1013.5
34484,0.954646,9.5968,1.06268,0.037,0.456,0.217,13.4939,-50.4697,4.60792,1013.5
34490,0.835086,9.58723,1.03399,-0.313,-1.014,0.357,12.6803,-51.2715,4.88867,1013.48
34496,1.07899,9.57767,0.880952,-0.033,-1.504,0.287,13.8426,-50.5314,4.81479,1013.48
34502,1.04073,9.66853,0.87617,-0.593,-0.104,0.147,13.9588,-50.7781,5.77525,1013.51
34508,0.92117,9.5681,1.01486,-0.733,0.036,0.217,13.029,-51.9809,5.00688,1013.51
34514,0.940299,9.53941,0.971818,-0.243,-1.224,0.357,13.1743,-51.1173,4.63747,1013.49
34520,1.05986,9.60636,0.890517,-0.243,-1.014,0.357,13.9007,-50.5314,4.85912,1013.49
34526,1.0216,9.61114,0.87617,-0.733,-0.664,0.287,13.9297,-51.3641,4.09074,1013.49
34532,1.0216,9.61593,0.919211,-0.733,-0.944,0.077,13.9878,-52.2276,4.69658,1013.48
34538,1.04551,9.58723,0.938341,-0.733,-0.874,0.077,14.2203,-50.4697,5.50928,1013.48
34544,0.997688,9.61593,0.95747,-0.733,-0.454,0.007,13.9878,-51.4566,4.54881,1013.49
34550,0.959429,9.60158,0.9766,-0.733,-1.014,0.007,13.4067,-52.8444,3.79522,1013.49
34556,1.04551,9.5968,0.933558,-0.593,-1.224,-0.063,13.6973,-50.994,4.74091,1013.48
34562,1.09812,9.63027,0.880952,-0.663,-0.734,-0.343,13.9007,-51.1482,4.26806,1013.48
34568,1.04551,9.61593,0.933558,-0.803,-0.454,-0.483,12.8837,-51.5799,3.95776,1013.48
34574,0.968994,9.58245,0.952688,-0.873,-0.384,-0.413,13.6682,-51.0865,4.34194,1013.48
34580,0.964211,9.57288,0.971818,-0.873,-0.524,-0.343,14.8595,-50.8706,4.16463,1013.49
34586,0.949864,9.57288,1.00051,-0.803,-0.664,-0.133,13.8716,-52.1659,4.87389,1013.49
34592,1.00725,9.55375,0.967035,-0.803,-1.154,-0.133,13.8135,-51.9809,5.46495,1013.49
34598,1.02638,9.52506,0.99573,-0.523,-0.454,0.007,14.1622,-51.2715,3.26327,1013.46
34604,0.863781,9.57288,1.03877,-0.733,-0.244,0.147,14.6271,-51.9809,4.9921,1013.46
34610,1.01204,9.49158,0.9766,-0.383,-1.644,0.077,13.3776,-52.536,4.74091,1013.51
34616,1.0216,9.64462,0.95747,-0.243,0.176,0.217,14.3075,-50.2847,4.09074,1013.51
34622,0.935517,9.57767,0.99573,-0.523,-0.314,0.217,13.6973,-51.4257,3.94298,1013.5
34628,1.02638,9.58245,0.990947,0.037,-0.594,0.357,12.2154,-51.4566,5.2433,1013.5
34634,1.04551,9.63027,0.914429,-0.173,-0.314,0.287,13.6101,-51.4874,5.30241,1013.51
34640,1.01682,9.60636,0.938341,-0.313,-0.104,0.357,13.6973,-51.4257,4.50448,1013.51
34646,0.997688,9.62071,0.952688,-0.313,-0.384,0.357,12.1282,-53.0602,4.65225,1013.51
34652,1.00725,9.60158,0.986165,-0.243,-0.174,0.287,12.8837,-51.7958,4.85912,1013.49
34658,0.988123,9.62071,0.95747,-0.243,-0.244,0.287,14.1331,-51.0248,4.1794,1013.49
34664,1.01682,9.62071,0.914429,-0.313,-0.524,0.287,13.8426,-51.8267,4.80001,1013.49
34670,1.0216,9.6494,0.904864,-0.523,-0.524,0.147,12.6222,-52.5668,5.03643,1013.49
34676,1.04551,9.60636,0.928776,-0.663,-0.594,0.147,14.1912,-52.2584,4.41582,1013.51
34682,1.03116,9.66375,0.933558,-0.873,-0.244,0.217,14.3656,-51.4566,3.41103,1013.51
34688,0.997688,9.56332,0.967035,-1.153,-1.014,0.147,13.1743,-53.5537,3.85432,1013.48
34694,1.03595,9.59201,0.990947,-0.873,-0.664,0.217,13.0871,-52.1967,3.45536,1013.48
34700,0.964211,9.63984,0.986165,-1.293,-0.314,0.217,14.569,-51.179,3.51446,1013.5
34706,0.983341,9.61114,0.971818,-1.013,-0.944,0.147,13.3486,-52.2584,3.02684,1013.5
34712,1.07899,9.66375,0.904864,-1.153,-0.594,0.147,13.2033,-52.4434,3.83954,1013.5
34718,1.05508,9.62549,0.9766,-1.433,-0.244,-0.063,14.6271,-51.6725,3.17461,1013.49
34724,0.992906,9.62071,1.03877,-1.153,-0.594,0.007,13.9297,-52.2584,3.80999,1013.49
34730,1.07899,9.65418,0.943123,-1.293,-1.014,-0.203,13.0871,-52.9986,3.97253,1013.49
34736,1.15551,9.63505,0.890517,-1.503,-0.804,-0.553,15.0339,-52.3509,2.98251,1013.49
34742,1.1842,9.65418,0.909646,-1.643,-0.244,-0.903,14.569,-52.0734,4.04641,1013.46
34748,1.03595,9.67331,0.928776,-1.853,0.176,-1.183,12.9418,-51.6725,2.71654,1013.46
34754,0.925952,9.60158,1.02921,-2.063,-0.244,-1.183,13.2905,-52.4743,3.82477,1013.48
34760,1.00247,9.58245,1.0579,-2.063,-0.664,-0.973,15.0339,-51.3332,3.51446,1013.48
34766,1.05508,9.5968,0.990947,-1.783,-0.664,-1.113,13.3776,-52.3201,3.82477,1013.48
34772,1.04551,9.60636,1.01008,-1.923,-0.524,-1.113,12.8256,-51.7958,4.62269,1013.47
34778,1.06464,9.65897,0.923994,-2.063,-0.314,-1.253,13.1452,-51.0557,4.34194,1013.47
34784,1.0216,9.65418,0.990947,-2.203,-0.174,-1.253,13.1161,-52.3201,3.44058,1013.5
34790,1.01682,9.58723,1.01486,-2.273,-0.454,-1.253,13.0871,-51.9809,4.23851,1013.5
34796,1.00725,9.57767,1.10572,-2.063,-0.664,-1.183,13.4939,-50.7473,3.41103,1013.5
34802,1.05508,9.57288,1.02442,-1.923,-0.454,-1.323,14.046,-51.2407,3.66223,1013.5
34808,1.01204,9.60158,1.06747,-1.923,-0.314,-1.393,12.535,-53.0294,4.03164,1013.45
34814,0.959429,9.58245,1.04834,-1.783,-0.314,-1.183,13.1452,-50.8089,3.08595,1013.45
34820,0.992906,9.5681,1.07225,-1.783,-0.594,-1.113,14.5399,-51.1482,3.44058,1013.45
34826,1.15551,9.62549,1.00051,-1.363,-1.084,-1.323,13.5229,-52.3509,3.76566,1013.48
34832,1.05029,9.68766,0.99573,-1.923,0.316,-1.323,13.1452,-51.7033,4.06119,1013.48
34838,0.978558,9.51071,1.06268,-1.573,-0.944,-1.463,13.4067,-51.0865,4.46015,1013.47
34844,1.01204,9.6494,1.03877,-1.573,-0.314,-1.323,14.3946,-51.7341,4.09074,1013.47
34850,1.00247,9.50115,1.06268,-1.573,-0.174,-1.393,12.5641,-52.6285,1.77085,1013.51
34856,0.978558,9.56332,1.06268,-1.433,-0.524,-1.393,13.4648,-51.0248,3.73611,1013.51
34862,1.0216,9.58723,1.02921,-1.573,-0.314,-1.463,13.6101,-51.9192,4.56359,1013.49
34868,1.0216,9.63505,1.01486,-1.573,-0.314,-1.393,12.8546,-51.2715,5.15464,1013.49
34874,0.988123,9.61114,1.01008,-1.713,-0.384,-1.463,13.8135,-52.0117,4.38627,1013.51
34880,0.997688,9.63505,1.0579,-1.853,-0.384,-1.323,13.6682,-51.7033,3.6179,1013.51
34886,0.978558,9.60158,1.07703,-1.993,-0.034,-1.323,13.7844,-51.8575,3.70656,1013.51
34892,0.925952,9.58723,1.12485,-1.713,-0.454,-1.183,13.1161,-51.5799,3.85432,1013.51
34898,0.978558,9.62549,1.08181,-1.643,-0.874,-1.113,14.8014,-51.5799,4.31239,1013.51
34904,1.03595,9.6781,1.00529,-1.783,-0.594,-1.043,13.8135,-51.6725,2.84953,1013.47
34910,1.04551,9.66375,1.03877,-2.063,-0.594,-1.183,13.552,-51.8883,4.09074,1013.47
34916,1.04073,9.77374,1.07703,-2.063,-0.804,-1.113,14.4237,-51.179,3.58835,1013.5
34922,1.07899,9.88852,0.962253,-3.393,-1.224,0.007,13.7263,-51.6108,4.56359,1013.5
34928,1.15551,9.35289,1.12485,-2.133,-0.804,-1.603,12.9418,-52.7518,3.38148,1013.46
34934,1.05508,9.62071,1.13442,-1.013,-1.154,-1.953,13.4067,-52.135,4.46015,1013.46
34940,1.09334,9.60636,1.13442,-1.573,-1.154,-2.373,14.1622,-50.5314,3.54402,1013.46
34946,1.08377,9.53941,1.21572,-1.013,-1.084,-2.443,13.6101,-52.0734,3.677,1013.47
34952,1.07421,9.57767,1.15833,-0.383,-1.014,-2.723,11.8086,-51.7341,2.70176,1013.47
34958,1.07899,9.61114,1.05312,-0.033,-1.084,-2.933,13.7844,-50.3772,3.98731,1013.47
34964,1.10768,9.65418,1.01964,-0.173,-0.874,-3.143,13.8426,-50.9631,4.60792,1013.47
34970,1.06464,9.64462,1.03399,-0.313,-0.594,-3.283,12.7675,-52.0734,4.50448,1013.49
34976,1.01682,9.63027,1.02921,-0.103,-1.014,-3.563,13.8135,-51.3641,4.41582,1013.49
34982,1.06464,9.65897,1.02921,-0.103,-1.154,-3.703,13.9878,-50.7473,3.08595,1013.45
34988,1.04551,9.75461,0.962253,-0.103,-1.224,-4.193,12.9999,-51.8575,4.54881,1013.45
34994,1.01682,9.84548,0.952688,-0.523,-1.644,-4.403,13.7554,-51.3949,3.83954,1013.51
35000,1.06464,9.85505,0.847475,-1.363,-2.694,-4.753,14.569,-50.5931,3.66223,1013.51
35006,1.10768,9.88852,0.842693,-1.853,-3.394,-5.453,13.3195,-51.0248,3.89865,1013.51
35012,1.20333,9.94591,0.770957,-2.413,-3.954,-6.223,13.4648,-51.1482,4.23851,1013.48
35018,1.60027,10.0942,0.646614,-3.463,-6.754,-8.743,14.1041,-51.3949,3.51446,1013.48
35024,1.84896,10.2233,0.613138,-3.953,-7.664,-10.913,14.3365,-51.7033,3.66223,1013.5
35030,1.96373,10.2568,1.00051,-3.813,-7.384,-14.203,13.3776,-51.9192,4.34194,1013.5
35036,2.6524,11.6198,1.59353,-2.273,-12.914,-18.263,14.8595,-50.6547,4.16463,1013.49
35042,3.10194,11.1128,0.000990396,-10.813,-6.194,-27.013,14.7143,-51.0248,4.96255,1013.49
35048,1.7007,10.5055,0.201851,-9.833,-2.694,-29.253,14.5399,-51.1482,4.23851,1013.5
35054,1.37072,10.7302,0.675309,-10.533,-12.354,-32.053,14.2494,-52.1967,2.22892,1013.5
35060,1.95895,11.0746,0.493578,-12.423,-12.214,-33.873,15.7894,-49.8529,4.91822,1013.5
35066,1.71983,10.8211,1.4118,-17.463,-9.694,-37.093,14.7433,-51.0865,3.88387,1013.48
35072,2.25546,10.2089,2.52132,-16.693,-7.244,-41.783,15.1211,-52.1042,3.17461,1013.48
35078,2.32241,10.4433,1.19659,-10.673,0.456,-47.733,16.138,-50.5005,3.48491,1013.49
