Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
152912,2.31763,9.44376,0.962253,2.627,-3.254,-2.933,-29.3939,-37.4553,11.9666,1013.14
152918,2.32241,9.43898,0.962253,2.697,-3.114,-3.143,-28.3188,-38.2572,13.2226,1013.16
152924,2.31763,9.47724,0.947906,2.627,-2.974,-3.073,-28.7256,-39.2132,12.3803,1013.16
152930,2.27937,9.44854,0.971818,2.557,-2.904,-3.423,-28.929,-37.9179,12.3951,1013.14
152936,2.28894,9.44854,0.962253,2.627,-2.834,-3.423,-28.0573,-38.103,13.3112,1013.14
152942,2.31763,9.45811,0.981382,2.627,-2.974,-3.633,-29.0162,-38.9048,11.7154,1013.16
152948,2.31285,9.44854,0.943123,2.697,-2.834,-3.843,-28.8418,-38.7506,13.1782,1013.16
152954,2.25068,9.46767,0.967035,2.557,-2.554,-3.843,-28.406,-38.0721,13.1487,1013.16
152960,2.19807,9.48202,0.943123,2.557,-2.344,-3.773,-28.4932,-39.7375,11.9666,1013.14
152966,2.1359,9.44376,1.05312,2.347,-2.834,-3.493,-28.9,-39.3057,12.5428,1013.14
152972,2.20764,9.44376,1.00529,2.557,-2.834,-3.213,-28.6094,-38.4114,13.7102,1013.09
152978,2.19329,9.42941,0.986165,2.487,-2.974,-3.073,-28.9581,-38.6889,11.7006,1013.09
152984,2.20285,9.41506,0.981382,2.627,-2.764,-2.933,-28.9871,-39.244,12.07,1013.18
152990,2.19807,9.45811,0.990947,2.697,-2.834,-2.793,-28.6384,-38.0721,14.3603,1013.18
152996,2.19329,9.41985,1.01008,2.627,-2.834,-2.513,-28.2898,-38.9973,12.3655,1013.13
153002,2.20285,9.42941,0.990947,2.697,-2.904,-2.513,-29.2486,-39.7683,11.9518,1013.13
153008,2.19329,9.41028,1.00529,2.697,-2.904,-2.303,-28.9871,-38.4422,12.6463,1013.13
153014,2.23155,9.42463,0.99573,2.697,-2.904,-2.373,-28.7547,-38.288,13.1487,1013.14
153020,2.27459,9.41028,0.962253,2.697,-2.834,-2.373,-28.7256,-39.645,11.5085,1013.14
153026,2.30807,9.43419,1.01008,2.627,-2.974,-2.443,-28.6675,-39.3366,12.3655,1013.16
153032,2.34632,9.41506,0.971818,2.907,-2.834,-2.723,-28.3769,-38.5656,12.7793,1013.16
153038,2.31763,9.43419,0.981382,2.977,-2.414,-2.793,-28.9871,-38.6272,12.0109,1013.14
153044,2.22676,9.47724,1.01486,3.047,-2.344,-2.863,-29.3358,-39.9842,12.927,1013.14
153050,2.25068,9.47245,0.981382,2.977,-2.834,-3.003,-28.5513,-39.7992,13.8432,1013.16
153056,2.3272,9.52506,0.866605,2.767,-2.694,-3.213,-28.7837,-38.8431,13.725,1013.16
153062,2.30807,9.5155,0.890517,2.627,-2.484,-3.283,-29.8298,-39.4291,12.6611,1013.16
153068,2.20764,9.49158,0.95747,2.207,-2.624,-3.213,-28.8418,-40.0767,11.8779,1013.14
153074,2.24589,9.47245,0.990947,2.137,-2.974,-3.283,-28.7256,-38.3188,11.9518,1013.14
153080,2.29372,9.45811,0.938341,2.067,-2.834,-3.353,-28.9581,-39.3982,12.6758,1013.12
153086,2.26024,9.44854,0.986165,2.137,-2.694,-3.423,-28.6384,-39.4907,10.947,1013.12
153092,2.2172,9.47245,0.9766,2.137,-2.834,-3.283,-28.2026,-38.1955,13.1043,1013.22
153098,2.20285,9.44854,0.9766,2.067,-2.834,-3.353,-28.6675,-39.4599,11.0504,1013.22
153104,2.23633,9.43419,1.00529,1.997,-2.764,-3.143,-29.6845,-39.4599,11.3312,1013.14
153110,2.23155,9.41506,1.02442,1.997,-2.974,-3.073,-28.7547,-38.4422,12.5133,1013.14
153116,2.25546,9.42941,1.02442,2.347,-3.044,-3.003,-28.1445,-39.3366,11.4789,1013.15
153122,2.27937,9.44854,0.967035,2.277,-2.834,-3.073,-28.8418,-39.5524,13.1782,1013.15
153128,2.27459,9.43898,0.9766,2.207,-2.974,-3.143,-29.2196,-39.7066,12.7202,1013.15
153134,2.36067,9.45332,0.947906,2.347,-2.904,-3.353,-28.6094,-38.1955,13.3851,1013.18
153140,2.36067,9.46767,0.947906,2.137,-2.764,-3.563,-29.6264,-39.4907,12.0109,1013.18
153146,2.3272,9.47245,0.923994,2.067,-2.624,-3.843,-29.1324,-38.7506,12.4099,1013.15
153152,2.27459,9.47724,0.971818,1.927,-2.624,-4.053,-29.3067,-38.7506,13.1339,1013.15
153158,2.2985,9.45332,0.990947,1.857,-2.834,-4.263,-29.0162,-39.3057,13.3555,1013.16
153164,2.2985,9.42941,1.00529,1.857,-2.764,-4.403,-29.1905,-38.9973,11.8336,1013.16
153170,2.24111,9.44376,1.01008,1.997,-2.554,-4.473,-28.7256,-39.0898,12.9123,1013.14
153176,2.21242,9.43419,0.986165,1.997,-2.624,-4.403,-28.4641,-38.473,12.9861,1013.14
