Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
94808,-0.0047824,9.83261,0.153037,1.75,-2.52,-0.21,-20.8512,-43.8083,17.3895,1020.12
94814,0.0095648,9.79914,0.200861,1.75,-3.08,-0.14,-20.6478,-46.8306,17.6259,1020.12
94820,-0.0095648,9.83261,0.162602,1.82,-3.15,-0.28,-21.4614,-47.4782,15.2322,1020.13
94826,-0.0286944,9.84696,0.13869,1.68,-2.45,0.21,-21.5486,-44.6718,17.2417,1020.13
94832,0.0095648,9.84696,0.114778,1.54,-2.73,0.14,-21.4033,-44.9802,16.8576,1020.13
94838,-0.0191296,9.84218,0.167384,1.61,-2.8,0.14,-21.5195,-47.5091,15.2322,1020.13
94844,-0.0382592,9.79914,0.153037,1.82,-3.29,0.21,-21.9554,-46.0596,15.6163,1020.13
94850,-0.023912,9.80392,0.133907,1.33,-2.87,0.63,-21.229,-44.0242,16.3995,1020.14
94856,0.0047824,9.82305,0.148254,1.89,-3.43,0.63,-21.5195,-46.7689,15.2322,1020.14
94862,-0.023912,9.79914,0.13869,1.96,-2.8,1.05,-22.2169,-46.5531,15.7937,1020.17
94868,0.0286944,9.77044,0.162602,1.61,-2.87,1.05,-21.1418,-44.2092,17.7737,1020.17
94874,0.0191296,9.82783,0.162602,2.17,-3.36,0.7,-20.9965,-45.412,16.3995,1020.16
94880,0.0286944,9.79914,0.13869,1.82,-3.08,0.77,-21.5486,-47.7558,15.4833,1020.16
94886,0.0573888,9.83261,0.109995,1.82,-3.08,0.63,-20.9093,-45.4737,16.2369,1020.16
94892,0.124342,9.87087,0.0765184,1.82,-2.8,0.21,-21.0256,-45.1036,16.1926,1020.12
94898,0.0908656,9.86609,0.0813008,1.54,-2.17,-0.07,-21.4033,-47.6633,15.1287,1020.12
94904,0.0669536,9.84696,0.191296,1.33,-2.66,0.07,-21.4614,-46.8923,16.0449,1020.14
94910,0.133907,9.84696,0.0860832,1.68,-3.15,0.14,-20.6478,-44.4868,16.7689,1020.14
94916,0.071736,9.89957,0.0573888,1.47,-2.38,-0.7,-21.0837,-46.5531,15.9119,1020.14
94922,-0.0095648,9.82783,0.10043,1.4,-2.1,-0.91,-21.5776,-47.1082,15.4242,1020.14
94928,-0.0334768,9.8087,0.200861,1.4,-2.52,-0.84,-20.212,-43.9625,16.5768,1020.09
94934,-0.0047824,9.8087,0.13869,1.61,-2.59,-0.56,-20.4735,-45.3195,16.7985,1020.09
94940,0.0334768,9.82305,0.13869,1.68,-2.59,-0.28,-21.0546,-48.1876,15.2026,1020.13
94946,-0.0047824,9.8374,0.148254,1.47,-2.24,-0.42,-21.0546,-45.4428,16.4438,1020.13
94952,-0.0430416,9.81827,0.13869,1.54,-2.66,-0.14,-21.0837,-44.641,16.8723,1020.13
94958,-0.0334768,9.8087,0.148254,1.89,-3.01,0.14,-21.6067,-47.8175,13.5624,1020.1
94964,-0.023912,9.81827,0.13869,1.05,-2.94,0.63,-20.9675,-46.4297,15.0844,1020.1
94970,0.0047824,9.82305,0.172166,1.61,-2.66,0.49,-20.7059,-44.7952,16.2222,1020.13
94976,0,9.80392,0.176949,1.12,-2.87,0.35,-21.1127,-46.9231,14.9366,1020.13
94982,0.0047824,9.79436,0.181731,1.33,-2.59,0.77,-21.7229,-46.7998,14.8036,1020.14
94988,0.0526064,9.82783,0.181731,1.61,-2.87,0.98,-20.9675,-44.055,17.1974,1020.14
94994,0.0669536,9.83261,0.133907,1.68,-2.31,0.98,-20.5607,-45.6279,15.2174,1020.11
95000,0.0621712,9.84218,0.11956,1.68,-2.31,0.56,-21.6358,-47.324,16.3108,1020.11
95006,0.047824,9.85174,0.133907,1.75,-2.1,0.28,-21.6067,-45.7821,16.1926,1020.11
95012,0.0382592,9.87087,0.10043,1.54,-2.66,0.14,-21.6358,-45.2269,16.1631,1020.12
95018,0.105213,9.85653,0.0860832,1.89,-2.52,0.21,-21.8392,-47.9408,16.3256,1020.12
95024,0.0621712,9.89479,0.0860832,1.89,-2.24,-0.28,-21.8101,-46.5531,16.0005,1020.15
95030,0.0334768,9.88044,0.0860832,1.47,-2.24,-0.28,-21.1709,-43.7775,17.0496,1020.15
95036,0,9.82305,0.143472,1.89,-2.31,0.14,-21.3452,-47.7558,16.1778,1020.13
95042,-0.0143472,9.81349,0.148254,1.4,-2.31,-0.14,-20.7059,-47.6016,14.449,1020.13
95048,0.0191296,9.84218,0.124342,1.96,-2.87,-0.63,-21.1418,-44.4559,16.2074,1020.14
