Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Label,
94802,486,635,516,717,1117,939,977,853,1172,1289,1301,780,1199,1237,1198,625,627,676,646,800,791,804,840,556,411,493,513,515,409,286,789,970,1004,1081,868,663,522,537,655,456,551,123,113,92,95,Default,
94818,482,631,513,715,1115,937,976,851,1171,1287,1300,779,1198,1236,1194,622,626,674,644,796,791,804,839,558,412,497,517,519,410,286,791,972,1006,1085,869,668,522,538,656,459,552,123,113,94,95,Default,
94834,480,628,510,713,1114,936,975,847,1169,1285,1297,774,1195,1233,1191,621,626,673,644,795,790,802,840,557,412,499,519,520,414,287,790,974,1007,1088,869,671,523,540,658,461,554,124,112,93,95,Default,
94850,483,631,514,714,1115,940,978,849,1170,1287,1299,777,1196,1236,1192,620,626,672,644,796,791,803,839,556,413,498,520,520,413,288,787,974,1008,1087,870,668,523,539,657,460,554,123,113,95,96,Default,
94866,489,638,517,719,1120,942,982,852,1173,1289,1301,775,1199,1237,1193,622,626,673,645,797,791,802,837,554,411,498,519,518,412,286,790,972,1004,1082,864,664,518,535,651,455,551,123,113,93,96,Default,
94882,490,642,521,725,1129,949,989,859,1178,1296,1306,783,1204,1243,1199,625,627,675,646,793,791,802,836,551,412,497,518,517,410,285,791,969,1003,1078,861,661,518,531,644,447,547,123,112,91,95,Default,
94898,499,649,527,733,1135,956,996,865,1185,1299,1313,788,1209,1247,1204,630,631,678,649,793,793,803,837,551,413,498,520,519,410,285,795,970,1003,1077,859,660,515,529,642,445,546,123,111,91,95,Default,
94914,501,651,530,737,1139,957,999,868,1188,1304,1314,793,1214,1252,1208,630,633,679,650,799,795,808,842,555,416,501,523,522,414,287,798,975,1009,1084,863,663,520,534,647,451,551,120,110,91,93,Default,
94930,500,649,526,737,1138,957,999,867,1187,1304,1315,795,1216,1255,1210,632,635,683,654,801,800,810,846,560,419,507,529,529,421,290,802,982,1017,1093,870,669,526,540,655,459,555,121,111,94,95,Default,
94946,498,647,526,734,1135,956,997,868,1187,1302,1317,796,1218,1254,1212,633,637,683,652,800,802,812,849,565,424,514,534,533,425,293,804,986,1022,1100,876,666,530,545,664,462,558,124,109,93,95,Default,
94962,500,649,528,734,1136,957,999,868,1189,1304,1318,797,1220,1257,1214,634,638,683,655,800,804,814,851,564,425,516,536,537,427,294,806,991,1026,1105,877,672,530,546,665,465,559,121,111,92,95,Default,
94978,502,653,532,738,1141,961,1005,873,1192,1307,1321,798,1222,1258,1216,635,639,685,656,804,807,816,854,564,426,517,537,538,427,294,807,990,1025,1104,877,673,533,547,666,466,560,121,111,92,95,Default,
94994,508,658,534,745,1148,967,1012,874,1197,1313,1326,802,1227,1261,1217,638,641,685,658,804,808,815,852,565,427,518,538,538,427,294,803,990,1024,1103,874,671,530,546,664,464,559,120,112,93,95,Default,
95010,513,664,538,750,1153,971,1016,881,1202,1317,1329,804,1231,1265,1222,639,642,687,659,803,808,816,853,564,427,518,538,538,427,294,806,991,1024,1102,876,670,532,544,662,463,559,125,113,96,95,Default,
95026,515,667,543,750,1156,974,1017,882,1202,1318,1330,805,1231,1266,1222,641,642,688,659,803,808,817,854,565,428,518,538,537,428,294,808,991,1025,1103,876,671,531,546,663,464,559,127,114,95,97,Default,
95042,514,663,539,748,1156,973,1019,879,1201,1315,1330,806,1232,1267,1222,642,643,689,660,804,808,816,854,566,430,518,539,539,427,295,808,992,1028,1105,879,669,533,547,665,465,561,125,114,95,98,Default,
95058,512,663,538,750,1155,973,1017,878,1200,1315,1327,805,1229,1264,1222,642,645,690,660,803,808,817,855,567,428,519,540,539,429,295,809,994,1028,1106,878,673,534,549,667,466,561,125,115,95,97,Default,
95074,513,663,538,750,1155,972,1018,878,1198,1314,1327,804,1230,1264,1220,641,643,689,659,803,806,816,854,566,427,518,540,540,431,295,806,992,1028,1106,877,672,531,549,667,468,562,125,116,95,98,Default,
95090,514,665,541,750,1156,974,1019,883,1200,1315,1328,808,1231,1264,1222,642,643,689,659,804,807,816,852,565,429,518,541,540,431,297,804,992,1025,1105,876,671,531,547,664,465,560,124,116,95,98,Default,
95106,515,667,543,751,1159,975,1019,881,1201,1316,1331,806,1234,1266,1222,643,644,689,661,802,803,815,851,564,427,518,539,541,430,295,807,992,1025,1103,877,669,526,546,664,465,561,122,116,95,97,Default,
95122,513,666,542,753,1158,975,1019,883,1204,1319,1333,808,1236,1270,1227,644,646,692,663,800,807,816,854,567,429,520,541,541,430,296,811,995,1028,1106,879,673,535,549,666,467,563,125,116,95,98,Default,
95138,508,659,536,749,1152,972,1016,880,1202,1317,1332,809,1239,1271,1230,645,646,692,663,804,809,820,857,570,431,522,543,543,431,298,812,1000,1036,1114,882,675,538,552,671,471,565,125,113,94,98,Default,
95154,498,646,526,741,1143,962,1006,875,1196,1314,1328,807,1239,1272,1229,646,648,695,667,803,809,820,858,572,431,523,544,545,435,299,816,1002,1041,1121,888,685,538,553,673,473,568,125,116,96,98,Default,
95170,487,635,519,734,1133,956,999,871,1192,1310,1326,804,1238,1272,1229,646,649,697,670,804,810,823,859,573,430,525,547,547,436,300,816,1003,1044,1125,891,682,541,557,677,476,571,127,117,97,99,Default,
95186,485,632,517,730,1125,952,994,868,1189,1307,1322,805,1238,1273,1228,647,649,697,670,810,811,822,862,572,432,525,547,547,436,301,812,1004,1046,1126,891,683,539,557,678,478,571,127,118,97,100,Default,
95202,487,634,519,729,1127,953,994,870,1192,1308,1323,805,1241,1274,1231,648,650,698,670,808,812,824,862,573,431,525,547,547,438,300,818,1006,1046,1127,892,682,540,555,675,476,572,129,117,97,99,Default,
95218,493,640,524,733,1131,955,997,874,1194,1310,1327,806,1242,1275,1233,648,650,699,671,807,812,823,861,572,431,525,546,547,436,300,816,1003,1044,1124,891,682,540,556,675,476,571,126,116,95,99,Default,
95234,497,646,529,736,1135,958,999,876,1198,1312,1330,808,1244,1278,1235,650,653,700,673,808,812,823,861,573,433,525,547,546,437,301,815,1003,1043,1123,889,678,542,555,675,477,570,128,115,96,99,Default,
95250,499,650,530,738,1137,961,1002,878,1199,1315,1330,809,1247,1280,1236,651,653,702,672,809,815,825,863,575,433,525,547,547,438,300,816,1004,1044,1123,891,682,542,555,675,477,572,131,119,99,99,Default,
95266,496,647,529,737,1136,962,1003,878,1199,1316,1332,810,1248,1281,1238,651,654,702,674,812,815,828,865,576,432,527,548,549,438,301,814,1003,1044,1123,892,683,542,557,677,478,572,131,118,98,100,Default,
95282,497,649,528,736,1136,959,1003,874,1198,1314,1330,808,1246,1279,1237,653,655,702,674,812,816,826,865,577,435,526,549,549,439,302,812,1003,1046,1125,895,681,543,557,678,479,573,128,117,99,99,Default,
95298,496,646,529,733,1132,957,999,875,1197,1311,1329,808,1247,1279,1236,650,654,702,673,810,816,828,866,577,433,528,550,551,440,302,812,1003,1045,1126,895,685,543,559,679,480,573,128,118,96,99,Default,
95314,494,645,525,733,1133,957,999,871,1195,1311,1328,806,1246,1278,1235,650,654,700,674,813,816,827,866,578,432,528,551,551,440,302,811,1005,1046,1127,895,684,539,559,679,480,575,125,116,98,99,Default,
95330,497,648,529,735,1133,958,1000,874,1196,1312,1328,810,1247,1278,1234,650,654,701,672,815,817,829,866,580,435,528,551,551,443,302,811,1005,1048,1127,897,686,543,559,679,480,574,128,117,99,99,Default,
95346,501,652,532,736,1137,959,1001,875,1197,1314,1329,812,1248,1279,1235,650,655,701,672,816,816,829,867,577,434,530,551,551,441,302,812,1007,1048,1127,893,681,540,559,679,479,574,127,116,97,99,Default,
95362,504,657,535,740,1140,963,1004,879,1200,1317,1331,812,1249,1280,1236,654,653,688,672,813,816,827,865,577,434,526,550,548,439,300,812,1004,1044,1124,895,683,540,556,677,477,573,124,116,95,98,Default,
95378,506,659,537,742,1142,963,1007,881,1202,1316,1333,815,1250,1281,1236,654,654,701,673,816,820,831,869,580,438,531,552,553,443,302,816,1008,1048,1128,895,684,544,559,680,480,576,130,115,98,100,Default,
95394,508,659,538,744,1143,965,1009,883,1202,1315,1334,816,1252,1282,1239,653,655,702,674,817,820,832,870,580,438,530,552,552,443,303,819,1009,1050,1130,899,684,543,561,680,481,576,128,118,98,100,Default,
95410,509,659,538,746,1145,965,1011,882,1202,1318,1334,816,1251,1283,1240,654,654,700,674,819,822,832,870,581,437,531,553,555,443,304,820,1010,1050,1130,899,693,545,559,681,481,577,128,119,99,101,Default,
95426,510,663,540,746,1147,968,1013,881,1203,1319,1334,816,1252,1282,1241,654,655,702,674,821,821,833,870,581,438,532,554,554,443,303,815,1008,1050,1129,898,688,542,559,680,481,572,128,119,99,100,Default,
95442,510,664,540,746,1148,970,1014,885,1205,1319,1336,816,1253,1284,1240,655,655,703,675,820,823,833,871,581,438,531,554,555,444,304,819,1010,1048,1131,899,688,542,559,679,481,576,128,120,98,101,Default,
95458,507,660,541,743,1143,965,1009,884,1202,1318,1334,816,1252,1283,1240,655,655,703,675,821,825,835,873,584,438,534,555,556,446,305,820,1012,1053,1133,903,691,545,562,682,485,579,128,119,97,101,Default,
95474,494,645,528,729,1129,955,999,872,1195,1311,1329,809,1247,1278,1235,651,655,701,675,820,823,835,872,587,438,534,558,555,447,306,819,1015,1058,1140,908,695,548,563,687,488,582,128,117,97,100,Default,
95490,479,630,517,707,1113,941,982,858,1186,1304,1321,795,1243,1275,1231,649,654,703,675,818,821,837,874,588,435,537,561,559,450,308,809,1012,1060,1142,912,698,550,567,690,491,586,130,122,101,102,Default,
95506,466,617,506,693,1101,931,972,848,1180,1297,1314,788,1239,1270,1227,647,652,702,674,819,822,838,876,591,436,539,564,564,451,310,805,1013,1061,1147,919,708,549,569,694,493,589,128,120,99,101,Default,
95522,457,605,497,686,1094,924,965,838,1173,1289,1307,782,1235,1266,1225,646,653,701,674,820,822,840,877,593,437,543,568,569,456,312,804,1014,1064,1151,922,702,551,569,696,495,590,126,116,98,100,Default,
95538,453,601,496,679,1088,920,959,834,1172,1289,1305,777,1233,1266,1223,645,652,702,673,818,822,841,878,596,437,544,568,570,458,313,803,1017,1067,1154,928,707,553,572,699,497,592,128,117,98,99,Default,
95554,448,593,489,675,1082,916,955,831,1169,1285,1301,773,1231,1263,1221,645,653,701,674,819,820,840,880,596,436,546,570,574,464,315,805,1021,1070,1159,931,709,548,568,699,499,593,123,116,98,98,Default,
95570,439,584,483,667,1073,909,946,825,1161,1280,1297,771,1229,1263,1218,644,652,701,673,817,824,843,881,601,439,548,572,577,466,318,803,1019,1071,1164,938,711,553,574,704,502,594,130,120,100,101,Default,
