Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
110282,0.444763,9.83261,-0.0334768,1.4,-2.66,0.42,21.5717,-49.8529,-17.8079,1023.36
110288,0.483022,9.8374,-0.0669536,1.12,-2.66,0.42,21.2811,-50.6856,-18.7831,1023.36
110294,0.439981,9.82305,-0.071736,1.96,-2.73,0.28,21.223,-49.452,-19.8914,1023.36
110300,0.463893,9.82305,-0.0095648,1.54,-2.45,-0.14,22.2109,-50.0379,-19.0491,1023.36
110306,0.411286,9.8374,-0.0430416,1.54,-3.01,0.07,21.3973,-50.3463,-17.2316,1023.36
110312,0.439981,9.82783,-0.0430416,1.54,-2.8,0.21,21.746,-49.4828,-19.0787,1023.36
110318,0.444763,9.84696,-0.047824,1.61,-1.96,-0.14,21.5135,-50.3463,-18.8718,1023.36
110324,0.439981,9.8374,-0.0286944,1.4,-2.24,-0.14,21.3973,-50.9323,-19.123,1023.36
110330,0.392157,9.81827,0.0143472,1.61,-3.43,0.07,21.3973,-50.4697,-18.6797,1023.37
110336,0.425634,9.78957,-0.0191296,1.47,-3.08,0.42,22.1818,-50.5005,-20.5858,1023.37
110342,0.406504,9.81827,-0.0286944,1.4,-2.59,0.28,22.1237,-50.5314,-17.9409,1023.37
110348,0.449546,9.83261,-0.0286944,1.75,-2.66,0.21,21.7169,-50.9631,-17.5271,1023.37
110354,0.430416,9.81827,-0.0430416,2.03,-3.08,0.07,21.223,-49.9763,-19.8766,1023.39
110360,0.411286,9.81827,-0.0334768,1.75,-2.87,0.07,21.8913,-50.3155,-19.7288,1023.39
110366,0.416069,9.81827,-0.047824,1.68,-2.59,0.35,21.746,-50.8398,-19.256,1023.35
110372,0.435198,9.83261,-0.023912,2.03,-2.87,-0.21,21.9203,-50.0996,-18.0591,1023.35
110378,0.468675,9.87087,-0.0526064,1.68,-3.01,0.42,22.2109,-50.4697,-18.7092,1023.35
110384,0.416069,9.81349,-0.0143472,1.26,-2.45,0.42,21.9785,-50.4389,-17.9704,1023.36
110390,0.396939,9.81349,-0.023912,1.47,-2.52,0.28,22.24,-50.0996,-19.6697,1023.36
110396,0.449546,9.85653,-0.0143472,1.54,-2.87,0.14,21.5135,-49.1744,-19.1378,1023.36
110402,0.45911,9.82783,-0.0143472,1.4,-2.59,0.63,21.223,-50.9631,-17.8227,1023.36
110408,0.435198,9.84696,-0.047824,1.68,-2.45,-0.07,21.9785,-50.2847,-17.734,1023.35
110414,0.420851,9.85174,-0.0573888,1.19,-2.73,0.28,21.223,-50.1921,-19.714,1023.35
110420,0.439981,9.83261,-0.0526064,1.54,-2.94,0.35,21.2811,-50.3463,-18.857,1023.37
110426,0.416069,9.85174,-0.047824,1.47,-2.52,0.07,21.746,-50.3772,-18.5615,1023.37
110432,0.444763,9.78479,-0.0095648,1.19,-2.52,0.21,22.5596,-50.4389,-18.6649,1023.37
110438,0.439981,9.82783,-0.023912,1.75,-3.15,0.49,21.3973,-50.4389,-19.6254,1023.39
110444,0.430416,9.82783,-0.0286944,1.82,-2.73,0.21,22.2981,-50.3463,-18.2955,1023.39
110450,0.439981,9.81827,-0.0095648,1.47,-2.45,0.49,21.9785,-50.7781,-19.6254,1023.38
110456,0.45911,9.82305,-0.0382592,1.82,-2.59,0.84,22.1237,-50.0071,-20.0687,1023.38
110462,0.435198,9.85174,-0.0908656,1.4,-2.31,0.21,21.8041,-51.2407,-19.0343,1023.37
110468,0.463893,9.80392,-0.0095648,1.82,-2.8,0,21.8622,-50.4697,-20.512,1023.37
110474,0.439981,9.83261,-0.0573888,1.68,-2.45,0.7,21.6879,-49.6679,-19.389,1023.33
110480,0.430416,9.84218,-0.0765184,1.75,-2.59,0.42,22.0366,-50.2538,-18.2512,1023.33
110486,0.439981,9.81827,-0.0286944,1.68,-2.8,0.07,21.8332,-50.6239,-19.1082,1023.37
110492,0.430416,9.81349,-0.0191296,2.1,-2.94,0.07,21.8332,-50.0071,-18.9309,1023.37
110498,0.45911,9.81349,-0.071736,1.33,-2.45,0.28,21.3973,-50.1921,-19.389,1023.37
110504,0.430416,9.84218,-0.0526064,1.54,-2.59,0.07,21.9494,-50.4697,-19.6106,1023.38
110510,0.430416,9.81349,-0.023912,1.47,-2.8,0.14,22.5596,-50.4697,-19.389,1023.38
110516,0.425634,9.85653,-0.047824,1.33,-2.45,0.35,21.5426,-49.9454,-19.5515,1023.39
110522,0.449546,9.80392,-0.047824,1.68,-2.45,0.35,22.0075,-50.2538,-19.0639,1023.39
110528,0.473458,9.87566,-0.0669536,1.4,-2.59,-0.07,21.746,-50.4697,-19.3446,1023.35
110534,0.396939,9.82305,-0.0669536,1.47,-2.66,0.07,21.6298,-49.5445,-20.3494,1023.35
110540,0.430416,9.82305,-0.0621712,1.47,-2.17,0.56,22.0366,-50.0071,-20.1426,1023.33
110546,0.444763,9.84696,-0.0382592,1.61,-2.45,0.14,22.0656,-50.5005,-18.0148,1023.33
110552,0.439981,9.82783,-0.0334768,1.61,-2.94,0.28,22.24,-49.5753,-18.5615,1023.33
110558,0.420851,9.84696,-0.0430416,1.68,-2.52,-0.28,21.3683,-49.8529,-19.4924,1023.36
110564,0.435198,9.82305,-0.0526064,1.47,-2.1,0.21,21.4264,-50.5622,-17.9409,1023.36
110570,0.411286,9.82305,-0.0573888,1.75,-2.66,0.49,22.2981,-49.3286,-19.8618,1023.36
110576,0.449546,9.8374,-0.023912,1.61,-2.38,0.49,21.3683,-50.0379,-18.7536,1023.36
110582,0.45911,9.85174,-0.0908656,1.26,-2.73,0.28,21.3973,-50.8398,-18.5024,1023.36
110588,0.45911,9.8374,-0.0430416,1.26,-2.66,0.49,21.1358,-50.4389,-18.591,1023.36
110594,0.435198,9.80392,-0.0191296,1.61,-3.22,0.14,22.0947,-49.6679,-19.2412,1023.38
110600,0.468675,9.80392,-0.0621712,1.47,-2.52,0.28,22.0947,-50.0996,-18.2807,1023.38
110606,0.49737,9.81827,-0.0621712,1.47,-2.1,0.35,21.746,-49.452,-18.3398,1023.38
110612,0.444763,9.83261,0,1.4,-2.45,0.35,22.0947,-49.3286,-18.7092,1023.38
110618,0.425634,9.8087,-0.0430416,1.54,-2.66,0.21,22.6758,-50.5314,-18.8275,1023.38
110624,0.454328,9.81349,-0.0573888,1.4,-2.94,0.35,21.5135,-51.1482,-19.9357,1023.33
110630,0.449546,9.80392,-0.0669536,1.33,-2.52,0.07,22.0947,-49.2053,-18.6649,1023.33
110636,0.444763,9.85653,-0.0621712,1.75,-2.45,0.07,20.729,-49.5445,-19.2708,1023.34
110642,0.435198,9.8087,-0.0526064,1.47,-2.52,-0.14,21.1939,-49.8529,-18.5024,1023.34
110648,0.439981,9.80392,-0.023912,1.4,-2.59,0.35,22.2109,-50.8089,-17.9261,1023.36
110654,0.444763,9.81349,-0.023912,1.33,-2.24,0.35,21.7169,-48.8044,-19.1082,1023.36
110660,0.401722,9.81827,-0.0191296,1.82,-2.52,0.35,21.5426,-49.2361,-19.7731,1023.39
110666,0.449546,9.85653,-0.0143472,1.82,-2.52,0.14,21.8913,-49.9763,-18.4137,1023.39
110672,0.449546,9.84218,-0.0526064,1.26,-2.1,0.35,21.6879,-50.0071,-19.4776,1023.39
110678,0.430416,9.81827,-0.0382592,1.54,-2.87,0.28,22.1818,-48.9586,-20.3494,1023.34
110684,0.454328,9.81349,-0.0573888,1.89,-2.31,0.07,22.0947,-49.8837,-19.0491,1023.34
110690,0.449546,9.80392,-0.047824,1.68,-2.66,0.14,22.0947,-49.3286,-19.1969,1023.35
110696,0.47824,9.80392,-0.0286944,1.54,-2.38,0.42,21.6298,-49.6987,-19.8175,1023.35
110702,0.439981,9.8374,-0.0382592,1.54,-2.31,0.49,22.0656,-49.9146,-19.7731,1023.36
110708,0.439981,9.82305,-0.0334768,1.61,-2.59,0.28,22.1818,-50.4697,-19.256,1023.36
110714,0.430416,9.8087,-0.0382592,1.75,-2.8,0.28,21.4264,-50.0379,-19.3594,1023.36
110720,0.473458,9.8087,-0.0286944,1.19,-2.38,0.35,21.8041,-50.2538,-19.1673,1023.36
110726,0.449546,9.82783,-0.0526064,1.68,-2.66,0.35,22.4434,-49.637,-17.9852,1023.36
110732,0.449546,9.81349,-0.0143472,1.19,-2.52,0.28,21.5135,-50.2847,-19.0639,1023.36
110738,0.454328,9.84696,-0.0813008,1.61,-2.66,-0.07,21.6298,-49.8529,-18.133,1023.36
110744,0.463893,9.82783,-0.023912,1.75,-3.01,0.28,22.0366,-50.5931,-19.1673,1023.37
110750,0.463893,9.82305,-0.0526064,1.47,-2.8,0.14,22.269,-49.7295,-19.3151,1023.37
110756,0.473458,9.86131,-0.10043,1.54,-2.73,0.7,21.7169,-49.4212,-18.9161,1023.34
110762,0.430416,9.84696,-0.0860832,1.68,-2.52,0.21,22.1528,-49.7295,-18.1625,1023.34
110768,0.430416,9.84218,-0.0334768,1.19,-2.17,0.42,21.7751,-49.6062,-17.8079,1023.35
110774,0.444763,9.83261,-0.0047824,1.75,-2.59,-0.14,21.3392,-49.2978,-19.7436,1023.35
110780,0.454328,9.84218,-0.0430416,1.75,-2.8,-0.14,21.5717,-49.6987,-18.3546,1023.35
110786,0.425634,9.82783,-0.0334768,1.4,-2.1,0.49,21.6007,-50.5622,-18.857,1023.37
110792,0.430416,9.80392,-0.0191296,1.54,-2.24,0.42,21.252,-49.6987,-18.9013,1023.37
110798,0.420851,9.81349,-0.047824,1.26,-2.59,-0.14,21.1649,-50.7164,-18.7536,1023.33
110804,0.444763,9.82305,-0.0382592,1.19,-2.38,0.35,22.0366,-50.9323,-18.8866,1023.33
110810,0.444763,9.84218,-0.0382592,1.61,-2.38,0.63,21.5717,-49.637,-18.3694,1023.36
110816,0.444763,9.83261,-0.0382592,1.61,-3.01,0.63,21.1358,-50.0688,-18.9161,1023.36
110822,0.444763,9.83261,-0.0526064,1.54,-2.87,0.21,21.7169,-50.223,-18.0591,1023.34
110828,0.420851,9.83261,-0.0430416,1.4,-1.61,0.49,21.6588,-51.6725,-19.4333,1023.34
110834,0.45911,9.82783,-0.0382592,1.26,-2.17,0.56,21.8041,-49.6679,-19.389,1023.37
110840,0.439981,9.82305,-0.0526064,1.47,-2.73,0.56,22.5596,-50.2538,-17.8522,1023.37
110846,0.444763,9.85174,-0.071736,1.61,-2.66,0.07,21.8041,-50.4697,-17.9556,1023.37
110852,0.435198,9.81827,-0.0669536,1.96,-2.66,0.07,21.8622,-49.7295,-19.7288,1023.38
110858,0.435198,9.78479,-0.0382592,1.26,-2.66,0.63,20.8743,-49.2669,-18.9752,1023.38
110864,0.444763,9.8374,-0.0669536,1.47,-2.52,0.28,21.8622,-49.9763,-18.5615,1023.37
110870,0.435198,9.84696,-0.0860832,1.33,-2.59,0.56,21.5135,-49.8529,-18.9013,1023.37
110876,0.449546,9.84218,-0.0526064,1.54,-2.31,0.21,21.2811,-49.9454,-18.7092,1023.35
110882,0.444763,9.84696,-0.0430416,1.54,-2.38,0.21,22.0075,-50.5005,-19.1525,1023.35
110888,0.444763,9.8087,-0.0334768,1.47,-2.38,0.35,21.9203,-50.5314,-19.0639,1023.35
110894,0.454328,9.8374,-0.0813008,1.26,-2.17,0.28,22.2109,-50.2847,-20.2755,1023.35
110900,0.487805,9.82305,-0.0430416,1.12,-2.31,0.21,22.1237,-50.5622,-17.8374,1023.35
