Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
122672,-0.225837,9.83274,-0.284927,0.35,-0.07,-0.7,-28.0268,-66.9896,38.4001,1022.67
122678,-0.301672,9.85656,-0.232656,0.21,-0.07,-0.63,-28.5183,-66.0854,37.7909,1022.7
122684,-0.263755,9.93276,-0.275423,0.14,-0.07,-0.63,-28.7094,-66.1758,38.92,1022.7
122690,-0.202139,9.84227,-0.275423,0.28,-0.07,-0.63,-28.8187,-66.7183,37.8801,1022.69
122696,-0.287453,9.84703,-0.256416,0.21,-0.21,-0.63,-28.1633,-66.8088,38.2664,1022.69
122702,-0.244796,9.82798,-0.237408,0.28,-0.21,-0.56,-28.5456,-65.784,38.5635,1022.69
122708,-0.34433,9.84227,-0.284927,0.28,-0.14,-0.49,-28.5729,-66.3868,38.6229,1022.71
122714,-0.249536,9.81369,-0.270671,0.49,-0.21,-0.49,-28.3818,-66.3566,37.0481,1022.71
122720,-0.296933,9.87561,-0.308686,0.28,-0.14,-0.42,-28.6821,-66.6279,38.4298,1022.7
122726,-0.254275,9.87084,-0.280175,0.21,-0.28,-0.42,-29.0098,-65.7237,39.9452,1022.7
122732,-0.230577,9.86608,-0.24216,0.07,-0.28,-0.49,-28.9006,-66.869,38.0881,1022.7
122738,-0.259015,9.81369,-0.289679,0.21,-0.21,-0.49,-28.6548,-66.2361,38.5783,1022.7
122744,-0.259015,9.90418,-0.31819,0.14,-0.28,-0.49,-28.6548,-65.995,38.9349,1022.69
122750,-0.259015,9.83274,-0.275423,0.14,-0.14,-0.42,-28.0814,-66.4169,38.8606,1022.69
122756,-0.268494,9.84227,-0.232656,0.07,-0.14,-0.49,-27.6718,-66.869,38.0435,1022.69
122762,-0.240056,9.82322,-0.265919,0.21,-0.21,-0.49,-28.3271,-65.6031,38.7863,1022.7
122768,-0.259015,9.79941,-0.275423,0.14,-0.21,-0.42,-28.2179,-66.5074,39.0389,1022.7
122774,-0.249536,9.85656,-0.204145,0.14,-0.28,-0.56,-29.0644,-66.5375,37.7761,1022.71
122780,-0.263755,9.78512,-0.227905,0.14,-0.21,-0.56,-28.3818,-66.5375,39.1578,1022.71
122786,-0.244796,9.82798,-0.256416,0.28,-0.21,-0.49,-29.0371,-66.2059,38.1326,1022.67
122792,-0.202139,9.82322,-0.275423,0.42,-0.07,-0.63,-28.6275,-67.0499,37.687,1022.67
122798,-0.33485,9.85656,-0.256416,0.35,-0.07,-0.56,-28.5183,-66.6882,38.6229,1022.67
122804,-0.254275,9.84227,-0.275423,0.07,-0.21,-0.49,-28.3544,-66.9595,39.3657,1022.7
122810,-0.296933,9.81369,-0.294431,0.07,-0.14,-0.56,-28.6275,-67.1705,39.544,1022.7
122816,-0.249536,9.86132,-0.251664,0.42,-0.07,-0.56,-28.5456,-67.3815,39.7817,1022.73
122822,-0.259015,9.81846,-0.289679,0.35,-0.07,-0.56,-27.8356,-65.9347,38.92,1022.73
122828,-0.254275,9.85656,-0.270671,0.42,-0.07,-0.63,-28.2452,-66.0854,38.8161,1022.71
122834,-0.296933,9.95657,-0.39422,0.84,0.28,-0.7,-28.136,-66.8088,38.8309,1022.71
122840,-0.315891,9.93276,-0.299183,0.28,0,-0.63,-27.7537,-66.1758,39.3657,1022.71
122846,-0.249536,9.74702,-0.156626,-0.28,-0.49,-0.7,-28.2452,-66.2361,39.6629,1022.71
122852,-0.112084,9.78512,-0.289679,0.77,0.49,-0.7,-27.5626,-65.8744,38.2366,1022.71
122858,-0.259015,9.88037,-0.265919,0.42,0.07,-0.77,-27.8083,-67.0499,37.9395,1022.7
122864,-0.211618,9.80893,-0.322942,0.21,-0.21,-0.84,-28.7367,-66.2059,39.0686,1022.7
122870,-0.263755,9.84703,-0.294431,0.42,0.07,-0.77,-27.781,-66.7183,39.1578,1022.7
122876,-0.206878,9.81846,-0.265919,0.42,0.14,-0.77,-28.1906,-66.9293,39.3063,1022.7
122882,-0.192659,9.82798,-0.280175,0.49,0.14,-0.91,-27.9995,-66.1457,39.0983,1022.73
122888,-0.273234,9.85179,-0.218401,0.77,0.21,-0.91,-28.6275,-66.7183,38.7863,1022.73
122894,-0.254275,9.84227,-0.289679,0.49,0.14,-0.91,-28.7367,-66.1155,38.8458,1022.73
122900,-0.254275,9.83751,-0.213649,0.28,0.14,-0.91,-28.6821,-66.8992,38.5486,1022.69
122906,-0.287453,9.91371,-0.308686,0.49,0.14,-0.84,-28.6548,-66.2662,38.8606,1022.69
122912,-0.211618,9.80417,-0.251664,0.42,0,-0.91,-28.5729,-66.7786,37.8207,1022.68
122918,-0.273234,9.81846,-0.213649,0.42,-0.07,-0.98,-28.1633,-66.869,38.9349,1022.68
122924,-0.263755,9.85179,-0.299183,0.56,0,-0.91,-28.5456,-66.2662,38.9943,1022.69
122930,-0.282714,9.88513,-0.275423,0.49,0,-0.91,-27.8629,-66.9595,38.1029,1022.69
122936,-0.230577,9.74226,-0.208897,0.42,-0.07,-0.91,-28.2998,-66.5375,37.8207,1022.72
122942,-0.277974,9.84227,-0.275423,0.84,0.21,-0.91,-28.3818,-65.6031,37.9544,1022.72
122948,-0.282714,9.88513,-0.337197,0.56,0.21,-0.84,-28.8187,-66.5978,38.3109,1022.72
122954,-0.244796,9.83751,-0.280175,0.21,-0.07,-0.84,-28.4091,-66.8992,38.1029,1022.68
122960,-0.315891,9.88513,-0.218401,0.63,0.21,-0.91,-28.6275,-66.2662,39.2172,1022.68
122966,-0.268494,9.88513,-0.261168,0.49,0.07,-0.77,-28.8187,-67.1102,38.3704,1022.71
122972,-0.268494,9.80417,-0.227905,0.56,-0.07,-0.77,-28.1087,-66.7485,39.5292,1022.71
122978,-0.287453,9.90418,-0.327694,0.77,0.14,-0.77,-28.1633,-66.869,38.6675,1022.69
122984,-0.311152,9.85179,-0.313438,0.77,0.21,-0.77,-28.7094,-66.4169,39.5886,1022.69
122990,-0.268494,9.77083,-0.237408,0.21,0,-0.77,-28.3271,-67.2006,37.6572,1022.69
122996,-0.268494,9.83751,-0.246912,0.49,0.07,-0.77,-27.781,-66.5676,37.9692,1022.7
123002,-0.320631,9.87084,-0.299183,0.63,0.28,-0.84,-27.8356,-66.2361,38.9052,1022.7
123008,-0.254275,9.89942,-0.299183,0.56,0.14,-0.77,-27.8629,-66.6882,39.2915,1022.68
123014,-0.277974,9.87561,-0.289679,0.35,0,-0.7,-27.7537,-66.6581,37.5087,1022.68
123020,-0.268494,9.85656,-0.275423,0.49,-0.07,-0.77,-27.7537,-65.9347,39.0983,1022.7
123026,-0.311152,9.85179,-0.284927,0.49,0,-0.77,-28.3544,-66.3868,39.6629,1022.7
123032,-0.296933,9.80893,-0.308686,0.42,0.07,-0.7,-28.4364,-67.2006,37.4641,1022.67
123038,-0.325371,9.84703,-0.294431,0.42,0,-0.7,-28.5183,-66.9293,38.1475,1022.67
123044,-0.277974,9.87561,-0.313438,0.28,-0.21,-0.63,-28.3544,-67.0198,39.5292,1022.67
123050,-0.268494,9.82798,-0.24216,0.35,-0.21,-0.63,-28.4091,-67.4417,37.7612,1022.7
123056,-0.263755,9.82798,-0.24216,0.21,-0.07,-0.77,-27.9175,-67.1403,37.8355,1022.7
123062,-0.240056,9.87561,-0.280175,0.49,0,-0.77,-28.0268,-66.7485,39.544,1022.69
123068,-0.268494,9.89466,-0.275423,0.56,-0.14,-0.63,-28.1633,-67.4719,38.4892,1022.69
123074,-0.287453,9.89466,-0.237408,0.28,-0.28,-0.63,-28.3544,-66.8088,38.0287,1022.69
123080,-0.282714,9.83751,-0.261168,0.35,-0.21,-0.7,-28.9006,-65.9648,38.5635,1022.69
123086,-0.249536,9.78512,-0.280175,0.49,-0.07,-0.7,-28.7367,-65.784,39.0092,1022.67
123092,-0.33011,9.85656,-0.284927,0.49,-0.14,-0.7,-28.136,-67.2006,37.2413,1022.67
123098,-0.230577,9.81369,-0.275423,0.35,-0.14,-0.77,-28.4364,-66.2964,38.3258,1022.67
123104,-0.249536,9.88513,-0.265919,0.42,-0.07,-0.84,-29.0644,-65.8141,38.5041,1022.67
123110,-0.268494,9.83751,-0.284927,0.42,0.07,-0.77,-28.1906,-66.5676,38.1624,1022.67
123116,-0.292193,9.83274,-0.289679,0.28,0,-0.7,-28.1633,-66.4772,38.2664,1022.66
123122,-0.282714,9.84703,-0.256416,0.42,0.21,-0.77,-28.0814,-66.5375,38.7418,1022.66
123128,-0.287453,9.89466,-0.237408,0.35,0.14,-0.84,-27.6445,-66.6279,38.3704,1022.7
123134,-0.244796,9.82798,-0.232656,0.35,0.14,-0.77,-28.1633,-66.5676,37.5978,1022.7
123140,-0.216358,9.82322,-0.237408,0.49,0.14,-0.84,-28.9825,-66.1457,38.8903,1022.7
123146,-0.263755,9.88037,-0.261168,0.63,0.21,-0.84,-28.9006,-66.4471,38.7715,1022.72
123152,-0.311152,9.82322,-0.256416,0.28,0.21,-0.84,-28.6275,-66.5074,36.3647,1022.72
123158,-0.230577,9.88037,-0.24216,0.42,0.07,-0.84,-28.6821,-66.2964,37.7018,1022.73
123164,-0.259015,9.85656,-0.270671,0.42,0.14,-0.84,-29.2283,-66.5375,39.8263,1022.73
123170,-0.320631,9.84703,-0.299183,0.35,0.21,-0.77,-28.4364,-66.6581,38.4892,1022.69
123176,-0.259015,9.87084,-0.299183,0.14,-0.21,-0.7,-28.0541,-66.869,37.6127,1022.69
123182,-0.235317,9.84703,-0.251664,0.21,-0.21,-0.7,-28.8187,-66.2964,39.0835,1022.68
123188,-0.263755,9.84227,-0.213649,0.28,-0.07,-0.63,-28.2452,-66.5978,38.7121,1022.68
123194,-0.315891,9.79464,-0.270671,0.35,0.07,-0.7,-27.8356,-66.3566,37.4047,1022.68
123200,-0.287453,9.78988,-0.24216,0.35,-0.07,-0.7,-27.8083,-65.8141,38.8012,1022.68
123206,-0.259015,9.82322,-0.261168,0.49,-0.07,-0.77,-28.2179,-66.2662,38.0138,1022.68
