Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
806762,0.396939,9.80392,-0.215208,1.4,-2.45,0.91,20.9615,-47.6633,-21.6202,1023.35
806768,0.406504,9.79914,-0.248685,1.12,-2.38,0.35,20.1479,-51.0248,-19.8027,1023.35
806774,0.396939,9.8374,-0.153037,1.33,-2.45,0.63,20.3803,-51.0865,-19.7288,1023.38
806780,0.416069,9.80392,-0.148254,1.47,-2.66,0.63,20.0026,-47.4474,-21.5315,1023.38
806786,0.411286,9.80392,-0.172166,1.05,-2.45,0.7,19.4215,-49.3286,-20.7188,1023.35
806792,0.463893,9.82783,-0.205643,1.61,-2.66,0.77,20.4675,-52.135,-19.389,1023.35
806798,0.439981,9.84218,-0.205643,1.4,-2.38,0.49,20.1769,-47.9717,-20.3938,1023.34
806804,0.439981,9.85653,-0.196078,1.26,-2.1,0.21,19.712,-47.9408,-20.7927,1023.34
806810,0.425634,9.82783,-0.191296,0.84,-2.38,0.49,19.9735,-51.6108,-20.0539,1023.34
806816,0.406504,9.80392,-0.176949,1.33,-2.38,0.42,20.1479,-50.223,-21.1474,1023.35
806822,0.416069,9.79436,-0.129125,1.19,-2.59,0.07,21.0777,-47.2624,-20.6154,1023.35
806828,0.430416,9.8087,-0.157819,1.61,-2.24,0.28,20.9615,-50.9323,-19.6697,1023.34
806834,0.439981,9.81827,-0.181731,1.75,-2.59,0.28,20.8162,-52.536,-20.0835,1023.34
806840,0.430416,9.83261,-0.176949,1.26,-2.8,0.7,20.4384,-48.496,-21.2951,1023.33
806846,0.396939,9.79914,-0.181731,1.68,-2.24,0.21,20.4094,-49.0511,-21.103,1023.33
806852,0.396939,9.82783,-0.186514,1.33,-2.17,0.07,20.6418,-52.7827,-19.5219,1023.34
806858,0.406504,9.81349,-0.157819,1.19,-2.31,0.63,20.0026,-48.5268,-20.113,1023.34
806864,0.416069,9.80392,-0.133907,1.75,-2.17,0.35,20.2641,-48.1876,-20.97,1023.34
806870,0.425634,9.78001,-0.148254,1.75,-2.52,0.91,20.7581,-51.2407,-19.9209,1023.35
806876,0.396939,9.83261,-0.196078,1.19,-2.52,0.35,20.6709,-50.6856,-20.8518,1023.35
806882,0.411286,9.81349,-0.148254,1.4,-2.66,0.07,20.235,-46.954,-20.6006,1023.34
806888,0.425634,9.82783,-0.13869,1.05,-2.1,1.12,20.5837,-51.3024,-21.3838,1023.34
806894,0.444763,9.82305,-0.167384,1.33,-2.45,0.7,20.9905,-51.8575,-19.8914,1023.32
806900,0.435198,9.8374,-0.176949,1.47,-2.59,0,20.6128,-47.3549,-20.5415,1023.32
806906,0.439981,9.8374,-0.191296,1.26,-2.24,0.42,19.7411,-49.3286,-20.6006,1023.34
806912,0.449546,9.84696,-0.186514,1.4,-2.45,0.14,20.7,-52.2892,-19.98,1023.34
806918,0.392157,9.84696,-0.13869,1.47,-2.45,0.28,20.206,-48.4034,-21.1917,1023.37
806924,0.401722,9.86609,-0.148254,1.61,-2.31,-0.21,21.0777,-47.324,-21.768,1023.37
806930,0.430416,9.84218,-0.191296,1.68,-2.59,0.42,20.4384,-51.7033,-19.9061,1023.37
806936,0.401722,9.8087,-0.167384,1.82,-2.87,0.28,20.6128,-50.0379,-19.7731,1023.36
806942,0.420851,9.82783,-0.148254,1.68,-2.73,0.28,20.4966,-47.1082,-21.5759,1023.36
806948,0.411286,9.82305,-0.181731,1.61,-2.66,0.35,20.1188,-51.3332,-21.0144,1023.36
806954,0.411286,9.81827,-0.172166,1.47,-2.8,0.14,20.2641,-51.5491,-19.5958,1023.36
806960,0.382592,9.79914,-0.143472,1.75,-2.03,0.42,20.7581,-48.095,-21.1178,1023.36
806966,0.406504,9.81349,-0.176949,1.4,-2.1,0.63,20.1479,-49.3286,-21.635,1023.36
806972,0.396939,9.82305,-0.13869,1.47,-2.24,0.56,20.4384,-53.0911,-20.6302,1023.32
806978,0.425634,9.8087,-0.162602,1.33,-2.66,0.35,20.3222,-48.1876,-21.2508,1023.32
806984,0.396939,9.8087,-0.167384,1.47,-2.38,0.77,20.5837,-48.681,-21.9748,1023.32
806990,0.435198,9.84218,-0.162602,1.96,-2.24,0.35,20.0607,-51.179,-19.6402,1023.35
806996,0.430416,9.83261,-0.186514,1.19,-2.52,0.63,21.1649,-50.408,-19.1673,1023.35
807002,0.396939,9.81827,-0.162602,1.26,-2.52,0.42,20.1188,-47.8792,-20.5858,1023.37
807008,0.430416,9.79914,-0.148254,1.47,-2.31,0.28,21.0777,-50.994,-20.4381,1023.37
807014,0.401722,9.83261,-0.143472,1.61,-3.08,0.35,20.6418,-51.7033,-19.7584,1023.39
807020,0.45911,9.81827,-0.153037,1.68,-3.01,0.56,19.5086,-47.324,-21.2065,1023.39
807026,0.435198,9.82783,-0.167384,1.75,-2.45,0.07,19.9445,-49.7604,-22.0044,1023.37
807032,0.420851,9.84218,-0.176949,1.47,-2.66,0.21,20.5256,-52.2276,-19.6845,1023.37
807038,0.439981,9.85653,-0.172166,1.33,-2.17,0.63,20.235,-48.3726,-20.8075,1023.37
807044,0.430416,9.8374,-0.176949,1.26,-2.52,0.63,20.3513,-48.095,-22.492,1023.37
807050,0.401722,9.82305,-0.167384,1.96,-2.52,0.28,20.5547,-50.8706,-19.6549,1023.37
807056,0.411286,9.85174,-0.196078,1.75,-2.8,0.14,20.4966,-50.0996,-20.7927,1023.33
807062,0.406504,9.8087,-0.157819,1.47,-2.31,0.42,19.9445,-47.4166,-22.758,1023.33
807068,0.406504,9.83261,-0.143472,1.68,-2.52,0.28,20.1769,-50.408,-21.7975,1023.37
807074,0.430416,9.78001,-0.153037,1.89,-2.38,-0.14,20.6418,-51.2407,-20.4529,1023.37
807080,0.425634,9.79914,-0.191296,1.47,-2.87,0.28,20.0898,-47.6324,-21.2656,1023.36
807086,0.411286,9.84218,-0.176949,1.75,-2.94,0.42,20.3513,-49.4212,-21.8271,1023.36
807092,0.406504,9.81349,-0.167384,1.75,-2.87,0.49,21.1358,-52.135,-20.7927,1023.39
807098,0.430416,9.79914,-0.167384,1.96,-2.73,0.21,20.729,-48.681,-21.0439,1023.39
807104,0.435198,9.79436,-0.162602,1.47,-2.1,0.21,21.2811,-48.7427,-22.3295,1023.39
807110,0.435198,9.8374,-0.200861,1.75,-2.73,0.21,21.0486,-51.1173,-20.3494,1023.38
807116,0.439981,9.81349,-0.176949,1.47,-3.01,0.28,20.729,-50.1305,-20.8223,1023.38
807122,0.435198,9.86609,-0.186514,1.54,-2.45,0.63,20.5547,-47.6324,-21.7532,1023.36
807128,0.406504,9.83261,-0.200861,1.68,-2.8,0.14,20.1769,-50.7781,-21.0735,1023.36
807134,0.420851,9.81827,-0.114778,1.61,-2.31,0.56,20.9615,-51.3641,-20.7041,1023.35
807140,0.439981,9.86609,-0.224773,1.26,-2.38,0,19.683,-47.3857,-21.0587,1023.35
807146,0.411286,9.8374,-0.176949,1.75,-2.38,0.21,19.8283,-49.6679,-20.9848,1023.37
807152,0.425634,9.81827,-0.162602,1.4,-2.31,0.84,20.1479,-51.4566,-20.0243,1023.37
807158,0.411286,9.83261,-0.248685,1.89,-2.73,0.21,20.2932,-48.866,-21.3394,1023.37
807164,0.430416,9.84218,-0.229555,1.4,-2.1,-0.07,19.9445,-48.6193,-21.1326,1023.32
807170,0.411286,9.81349,-0.167384,1.26,-2.17,0.28,20.4675,-51.765,-19.9061,1023.32
807176,0.416069,9.80392,-0.176949,1.33,-2.8,0.35,20.235,-49.8529,-18.1182,1023.34
807182,0.425634,9.8087,-0.181731,1.47,-2.66,0.35,19.8573,-47.5091,-21.8123,1023.34
807188,0.411286,9.81349,-0.191296,1.12,-2.73,0.77,20.5256,-50.9015,-21.6645,1023.37
807194,0.420851,9.80392,-0.200861,1.4,-2.38,0.35,20.4966,-51.179,-19.7584,1023.37
807200,0.401722,9.8087,-0.191296,1.47,-2.66,17.71,20.1479,-47.2932,-21.103,1023.36
807206,0.449546,9.81349,-0.167384,1.4,-2.94,0.07,19.9735,-50.0688,-20.9109,1023.36
807212,0.411286,9.82305,-0.167384,1.47,-2.59,0.21,20.9324,-51.8267,-19.5072,1023.36
807218,0.430416,9.81827,-0.191296,1.47,-2.8,0.98,20.5837,-48.5268,-20.0982,1023.35
807224,0.425634,9.82783,-0.172166,1.4,-2.59,0.28,20.206,-48.3726,-21.4429,1023.35
807230,0.382592,9.8087,-0.13869,1.82,-2.73,0.07,20.7581,-51.3024,-19.4628,1023.35
807236,0.406504,9.82305,-0.172166,1.4,-2.38,0.42,21.9203,-50.9631,-19.7436,1023.35
