Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
10922,0.0143472,9.80392,-0.133907,1.75,-2.59,-0.14,30.7536,-74.6172,-17.0691,1020.64
10928,0.0143472,9.83261,-0.148254,1.33,-2.45,0.07,30.1725,-74.8948,-16.8622,1020.64
10934,0.0573888,9.81827,-0.176949,1.75,-2.31,0.14,29.6204,-75.82,-16.4632,1020.64
10940,-0.0095648,9.77523,-0.114778,1.33,-2.52,0,30.463,-75.4807,-17.3646,1020.67
10946,0.0095648,9.8087,-0.095648,1.96,-2.59,-0.07,30.4049,-74.8639,-17.1725,1020.67
10952,-0.0047824,9.81349,-0.148254,1.96,-2.87,-0.28,30.6083,-74.5247,-16.8326,1020.67
10958,-0.0047824,9.77523,-0.143472,1.75,-2.52,0.42,30.4921,-75.1415,-16.2711,1020.68
10964,0.0286944,9.81827,-0.157819,2.1,-2.31,0.07,29.7366,-75.3265,-16.611,1020.68
10970,0.0095648,9.78479,-0.124342,1.54,-2.24,-0.07,29.7947,-75.4191,-16.8917,1020.66
10976,0.0191296,9.80392,-0.153037,1.82,-2.38,0.14,30.3177,-74.8023,-16.2564,1020.66
10982,0.0382592,9.8087,-0.0860832,1.61,-2.24,0.35,30.2887,-75.5424,-16.4632,1020.67
10988,0.0191296,9.77044,-0.114778,1.75,-2.31,0.21,30.2015,-74.9873,-16.5814,1020.67
10994,0.023912,9.79436,-0.13869,1.82,-2.45,0.07,30.8698,-75.0798,-16.7588,1020.66
11000,0.0286944,9.80392,-0.153037,1.75,-2.45,0.28,29.3589,-75.82,-17.3646,1020.66
11006,0.0095648,9.78001,-0.13869,1.54,-2.8,0.84,31.2185,-75.6041,-15.7244,1020.66
11012,0.0047824,9.80392,-0.172166,1.82,-2.52,0.07,30.0272,-74.6172,-16.4337,1020.68
11018,0.0526064,9.8374,-0.143472,1.47,-2.17,0,30.7245,-75.2032,-16.3155,1020.68
11024,0.023912,9.79914,-0.153037,1.61,-2.52,0.21,31.48,-74.8948,-13.8921,1020.66
11030,0.0191296,9.80392,-0.153037,1.61,-2.73,0.14,30.7245,-75.2649,-15.5766,1020.66
11036,0.023912,9.78957,-0.157819,1.82,-2.38,0.14,30.4921,-74.6789,-15.355,1020.68
11042,0.0191296,9.82783,-0.162602,1.75,-2.66,-0.35,29.94,-75.0181,-15.887,1020.68
11048,0.0573888,9.82783,-0.157819,1.4,-2.52,0.21,30.5211,-75.0181,-15.7687,1020.66
11054,0.0382592,9.80392,-0.143472,1.4,-2.31,0.21,30.6955,-75.049,-16.5814,1020.66
11060,0.0382592,9.78479,-0.10043,1.33,-2.38,-0.35,30.6664,-75.7583,-16.1086,1020.64
11066,0.0334768,9.82305,-0.129125,1.61,-2.45,-0.07,30.5211,-75.0798,-16.5371,1020.64
11072,0,9.77523,-0.143472,1.68,-2.52,0.35,30.5502,-75.1723,-16.5962,1020.64
11078,-0.0095648,9.79436,-0.143472,1.68,-2.66,0.21,30.2306,-75.82,-16.9804,1020.66
11084,-0.0047824,9.78957,-0.11956,1.4,-2.59,-0.07,31.2766,-74.9565,-16.3302,1020.66
11090,0.0143472,9.7561,-0.11956,1.47,-2.24,0.35,30.5793,-76.1284,-16.0643,1020.66
11096,0.0286944,9.80392,-0.153037,1.54,-2.45,0.7,31.0151,-74.4939,-16.3155,1020.66
11102,0.0191296,9.77044,-0.133907,1.61,-2.38,0.14,30.434,-74.8948,-16.9213,1020.65
11108,0.0191296,9.78957,-0.143472,1.47,-2.38,0.07,30.8117,-74.7714,-16.8326,1020.65
11114,0.023912,9.80392,-0.143472,1.68,-2.45,0.42,30.6374,-75.2649,-15.222,1020.63
11120,0.0191296,9.79436,-0.133907,1.82,-2.52,0.21,30.0853,-75.5733,-16.5667,1020.63
11126,0.0286944,9.78001,-0.11956,1.33,-2.73,0.49,30.5793,-74.8331,-15.4732,1020.63
11132,0.0286944,9.81349,-0.162602,1.96,-2.31,0.35,30.7827,-75.2957,-17.5419,1020.65
11138,0.0334768,9.82783,-0.13869,1.47,-2.31,0.35,30.7245,-74.278,-16.7735,1020.65
11144,0.0382592,9.82783,-0.114778,1.82,-2.8,0.28,30.463,-74.2163,-17.6158,1020.64
11150,0.023912,9.82783,-0.124342,1.54,-2.45,0.28,30.9279,-75.5424,-17.3941,1020.64
11156,0.0047824,9.79436,-0.153037,1.4,-2.66,0,30.434,-74.4322,-16.2564,1020.65
11162,0.0382592,9.78957,-0.133907,1.68,-2.66,0.21,30.7245,-74.6789,-17.3498,1020.65
11168,0.0095648,9.79914,-0.13869,1.68,-2.38,0.14,30.6955,-75.5116,-16.8326,1020.65
11174,0.0047824,9.81827,-0.148254,1.61,-2.52,0.07,30.2306,-74.3397,-16.5519,1020.65
11180,0.0191296,9.79914,-0.109995,1.61,-2.38,-0.14,30.1725,-75.2649,-16.7883,1020.69
11186,0.0143472,9.78001,-0.0573888,1.47,-2.24,0.42,30.0562,-75.3882,-16.6553,1020.69
11192,0.0430416,9.77523,-0.109995,1.68,-2.73,-0.14,30.5211,-75.7891,-17.8965,1020.69
