Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Label,
110242,467,592,526,1141,1745,1482,1401,1271,1793,1824,1506,974,1325,1381,1309,826,787,850,787,1051,999,1013,1046,681,547,654,676,648,514,280,994,1135,1168,1212,843,479,481,488,557,437,399,93,84,72,70,Default,
110258,470,596,529,1144,1748,1484,1402,1275,1794,1824,1507,978,1326,1382,1311,827,787,850,787,1053,999,1012,1047,683,547,653,676,649,514,281,994,1136,1169,1213,844,475,482,488,557,437,399,93,80,73,70,Default,
110274,471,599,530,1146,1751,1485,1402,1277,1797,1825,1508,978,1327,1382,1310,828,788,850,788,1054,1000,1013,1047,681,547,653,676,648,514,281,996,1136,1168,1212,841,482,484,488,557,434,398,95,85,73,70,Default,
110290,474,602,532,1150,1754,1487,1403,1280,1799,1828,1509,980,1330,1384,1311,829,788,852,788,1055,1001,1014,1048,681,548,652,676,649,514,281,996,1138,1168,1212,842,478,484,489,557,436,399,94,84,73,70,Default,
110306,475,605,535,1150,1757,1490,1405,1281,1801,1830,1510,981,1333,1386,1313,831,789,853,788,1055,1003,1014,1048,683,549,655,677,649,518,281,994,1139,1169,1213,844,479,482,489,558,437,399,94,83,74,70,Default,
110322,474,603,535,1152,1757,1489,1403,1282,1803,1832,1510,981,1334,1386,1314,829,789,853,789,1055,1003,1015,1049,683,548,655,678,650,517,281,996,1140,1169,1214,844,484,485,488,557,437,400,94,84,74,71,Default,
110338,476,604,536,1152,1755,1488,1405,1283,1802,1832,1512,981,1333,1386,1312,830,789,853,789,1057,1002,1015,1048,682,550,654,677,649,515,281,999,1140,1172,1214,845,480,485,488,558,437,399,94,85,73,70,Default,
110354,476,605,534,1152,1757,1489,1406,1283,1803,1832,1511,982,1332,1385,1312,830,789,852,788,1058,1003,1016,1048,683,549,654,677,649,517,282,997,1140,1171,1214,844,478,482,488,557,438,399,94,85,74,70,Default,
110370,478,607,537,1154,1759,1491,1404,1285,1805,1831,1511,983,1334,1387,1313,833,791,852,788,1057,1003,1015,1048,681,547,654,675,649,516,281,1000,1140,1171,1213,842,478,484,487,557,435,398,93,84,72,70,Default,
110386,480,609,539,1148,1749,1479,1369,1288,1805,1834,1501,985,1333,1387,1306,832,790,853,786,1057,1003,1015,1044,680,548,653,676,647,517,281,999,1140,1170,1206,842,482,483,487,557,437,398,95,85,73,70,Default,
110402,485,616,544,1149,1752,1480,1372,1292,1809,1835,1503,986,1334,1388,1308,832,791,853,786,1060,1003,1017,1044,682,549,655,677,646,516,281,1001,1139,1170,1206,842,475,481,488,557,437,398,96,85,74,71,Default,
110418,485,615,543,1152,1753,1483,1372,1294,1809,1836,1501,986,1335,1388,1306,830,791,854,787,1059,1003,1016,1044,681,549,652,675,645,514,280,1002,1139,1169,1206,841,481,484,488,556,436,397,95,85,74,70,Default,
110434,489,619,546,1154,1759,1484,1374,1296,1813,1841,1505,989,1339,1391,1309,833,791,852,785,1060,1004,1016,1044,679,548,651,675,643,515,279,998,1139,1169,1204,840,473,481,486,556,437,397,94,86,74,70,Default,
110450,489,621,548,1158,1761,1488,1378,1298,1816,1842,1506,991,1340,1394,1311,833,791,852,784,1060,1003,1015,1044,678,550,651,675,645,513,280,998,1137,1169,1202,837,476,482,486,555,435,395,95,86,74,72,Default,
110466,491,623,551,1160,1766,1488,1378,1301,1819,1844,1507,991,1344,1396,1314,833,792,854,786,1060,1001,1014,1040,675,544,647,670,636,510,277,999,1135,1165,1198,833,472,480,485,553,435,396,93,86,74,71,Default,
110482,493,625,552,1163,1768,1492,1379,1304,1821,1847,1509,999,1348,1401,1317,839,796,858,788,1059,1004,1014,1040,675,544,646,667,635,509,278,999,1134,1162,1193,833,474,480,485,552,432,395,95,87,74,71,Default,
110498,495,627,554,1164,1770,1492,1380,1305,1823,1847,1511,1000,1351,1405,1319,838,798,858,791,1060,1003,1015,1040,675,545,645,667,634,508,277,998,1132,1160,1191,831,472,480,483,551,431,393,95,85,74,70,Default,
110514,497,628,555,1166,1774,1495,1381,1307,1824,1853,1512,1002,1355,1406,1321,841,800,861,791,1058,1003,1014,1040,674,544,645,666,633,506,276,998,1133,1160,1190,829,478,479,481,550,427,393,95,87,74,70,Default,
110530,498,630,556,1168,1777,1496,1383,1310,1826,1852,1513,1003,1355,1408,1320,841,801,862,792,1060,1003,1014,1040,673,543,645,664,634,506,277,999,1133,1159,1189,830,474,479,481,549,429,392,95,86,74,71,Default,
110546,498,632,557,1169,1781,1497,1384,1311,1828,1853,1514,1003,1357,1409,1321,843,802,864,793,1060,1003,1014,1038,673,544,643,666,632,505,277,998,1132,1157,1187,829,472,479,480,548,430,393,94,81,74,71,Default,
110562,502,633,559,1173,1786,1500,1386,1314,1831,1855,1514,1004,1357,1409,1321,841,802,863,794,1059,1003,1013,1040,672,542,642,663,630,504,274,999,1131,1156,1184,828,469,476,480,547,427,392,94,86,74,70,Default,
110578,507,640,564,1177,1790,1504,1386,1317,1832,1857,1515,1006,1359,1409,1321,844,802,864,794,1057,1001,1011,1037,670,543,642,663,630,502,273,994,1128,1153,1179,822,471,473,478,544,426,389,95,86,74,70,Default,
110594,510,643,566,1179,1793,1504,1389,1320,1835,1857,1514,1007,1358,1410,1320,841,803,862,793,1057,999,1009,1034,667,540,638,659,626,499,273,991,1127,1152,1177,818,465,472,476,542,422,388,94,86,74,70,Default,
110610,512,644,568,1181,1795,1507,1388,1320,1836,1858,1515,1006,1359,1409,1320,840,801,862,793,1053,997,1007,1032,665,539,637,657,623,497,271,993,1125,1149,1175,817,468,473,475,541,420,389,94,85,74,70,Default,
110626,514,647,569,1181,1797,1507,1389,1319,1837,1859,1514,1006,1358,1409,1319,840,802,862,791,1053,995,1005,1029,664,537,635,655,622,496,270,993,1123,1148,1171,816,464,473,475,539,421,389,94,84,72,70,Default,
110642,514,646,569,1181,1797,1507,1390,1319,1837,1856,1515,1006,1355,1407,1319,839,801,861,791,1054,995,1005,1030,665,538,635,655,622,494,271,991,1123,1147,1171,816,461,472,476,541,421,389,93,85,74,70,Default,
110658,514,646,569,1181,1798,1507,1389,1320,1836,1858,1514,1005,1355,1407,1318,839,800,861,790,1053,996,1006,1031,666,538,636,656,623,495,270,991,1123,1147,1172,816,464,473,476,541,422,389,93,85,73,70,Default,
110674,514,647,569,1181,1798,1508,1391,1320,1836,1859,1514,1002,1355,1406,1316,837,799,858,788,1053,997,1005,1030,663,537,636,657,622,495,270,990,1124,1147,1172,816,465,471,475,541,422,390,92,84,74,70,Default,
110690,517,650,572,1185,1799,1509,1391,1321,1839,1861,1514,1004,1354,1405,1316,837,798,858,787,1053,994,1003,1028,664,538,634,655,621,493,272,987,1123,1145,1170,814,464,472,474,540,422,389,93,84,74,69,Default,
110706,520,654,576,1185,1803,1510,1392,1326,1842,1863,1517,1004,1355,1405,1315,836,797,855,787,1051,993,1003,1027,662,536,634,654,620,493,269,987,1120,1144,1166,814,462,468,472,538,421,389,93,84,72,70,Default,
110722,524,658,579,1189,1807,1515,1393,1330,1848,1868,1519,1007,1356,1407,1318,836,796,858,787,1049,993,1002,1026,663,535,631,651,617,492,270,989,1119,1141,1163,812,461,471,473,538,419,387,93,84,72,69,Default,
110738,528,662,583,1193,1811,1517,1396,1334,1850,1870,1523,1008,1356,1408,1318,837,797,858,787,1049,993,1002,1025,663,534,629,649,614,489,269,987,1118,1140,1160,810,459,468,471,535,416,387,92,80,72,68,Default,
110754,532,666,586,1196,1814,1519,1397,1337,1853,1876,1523,1008,1357,1407,1318,838,797,858,787,1048,992,1002,1025,660,531,626,646,613,487,269,989,1118,1139,1159,810,460,470,472,535,418,386,91,83,71,67,Default,
110770,534,667,587,1198,1815,1521,1400,1338,1854,1875,1523,1009,1357,1409,1318,837,796,858,787,1048,991,1001,1025,661,532,627,648,612,487,268,988,1117,1138,1159,810,462,470,472,536,417,385,91,82,71,69,Default,
110786,533,667,588,1199,1815,1521,1402,1339,1855,1876,1525,1009,1358,1409,1318,837,798,858,787,1050,991,1001,1025,662,534,626,647,613,488,269,985,1118,1139,1159,810,461,468,472,535,417,384,91,81,71,67,Default,
110802,534,669,588,1198,1817,1522,1401,1338,1855,1877,1526,1010,1358,1409,1318,837,796,858,787,1048,990,1001,1024,661,532,626,647,613,489,268,987,1116,1138,1159,811,463,468,472,534,417,387,91,80,69,67,Default,
110818,535,669,588,1199,1818,1523,1402,1339,1857,1879,1525,1010,1358,1410,1319,835,795,857,785,1047,990,1000,1023,660,531,626,646,610,488,267,986,1115,1137,1156,810,461,468,472,534,416,385,89,82,69,67,Default,
110834,538,672,591,1200,1819,1525,1404,1339,1857,1879,1525,1012,1359,1410,1319,834,794,854,783,1046,987,999,1021,661,531,623,643,608,485,268,984,1112,1135,1153,809,460,466,468,531,414,384,90,82,69,67,Default,
