Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Label,
148722,340,432,399,960,1594,1382,1509,1223,1741,1814,1942,1056,1559,1653,1654,843,849,914,879,1316,1289,1351,1413,899,654,818,904,838,709,444,1248,1541,1604,1628,1218,900,796,862,895,735,722,84,71,64,64,Default,
148738,339,433,398,965,1603,1388,1516,1226,1745,1821,1947,1056,1561,1655,1656,843,849,915,878,1315,1284,1346,1409,895,651,812,896,829,703,441,1244,1531,1596,1618,1213,899,792,857,891,729,719,84,70,62,63,Default,
148754,344,436,401,969,1612,1397,1527,1229,1752,1828,1953,1056,1559,1654,1656,844,850,914,878,1308,1280,1343,1405,890,646,806,889,825,696,439,1236,1522,1586,1608,1199,891,787,850,882,716,714,84,67,62,62,Default,
148770,348,443,406,973,1619,1405,1535,1233,1760,1838,1957,1056,1561,1655,1658,840,846,911,874,1308,1279,1342,1405,887,646,808,887,825,695,435,1236,1518,1579,1601,1194,887,786,849,880,715,711,83,71,62,62,Default,
148786,351,448,411,976,1628,1409,1539,1233,1763,1841,1960,1057,1560,1655,1658,837,843,907,873,1307,1275,1341,1402,885,646,804,884,822,692,435,1238,1516,1575,1599,1194,887,788,851,883,718,712,82,69,61,62,Default,
148802,351,451,414,977,1632,1413,1545,1233,1766,1843,1965,1055,1560,1656,1659,840,845,908,874,1307,1273,1338,1401,885,645,803,883,820,692,435,1235,1516,1577,1599,1195,885,791,855,886,719,713,80,66,59,59,Default,
148818,352,451,413,977,1634,1413,1548,1232,1767,1842,1963,1053,1555,1654,1655,836,842,904,869,1301,1268,1330,1393,876,637,791,873,811,686,432,1234,1513,1572,1596,1188,889,787,850,883,713,708,80,66,58,58,Default,
148834,356,458,418,978,1639,1420,1552,1233,1772,1850,1969,1051,1558,1657,1658,834,845,908,872,1300,1267,1330,1395,874,634,790,871,808,680,430,1225,1505,1566,1587,1180,878,779,845,879,710,707,81,69,61,60,Default,
148850,357,460,419,984,1647,1427,1560,1238,1777,1857,1976,1054,1562,1658,1659,838,848,912,875,1300,1265,1327,1391,870,634,786,866,801,674,427,1222,1502,1558,1578,1169,876,777,836,871,698,699,82,69,61,62,Default,
148866,358,463,422,988,1659,1434,1569,1243,1786,1866,1981,1055,1563,1662,1660,837,849,912,874,1300,1264,1328,1390,870,632,786,862,800,674,423,1220,1496,1550,1565,1166,863,775,834,869,697,692,82,69,61,61,Default,
148882,359,460,422,990,1668,1441,1575,1247,1794,1873,1987,1055,1567,1665,1666,837,848,912,875,1297,1264,1326,1388,868,631,783,861,798,671,422,1214,1491,1544,1562,1165,866,774,834,867,699,690,82,68,59,59,Default,
148898,359,463,422,994,1672,1444,1580,1250,1797,1877,1991,1057,1566,1665,1666,836,849,913,876,1300,1263,1326,1387,867,631,780,856,793,664,419,1215,1485,1540,1556,1158,862,776,833,866,698,690,80,66,58,58,Default,
148914,360,464,423,994,1674,1446,1583,1249,1799,1881,1991,1055,1563,1665,1665,835,849,912,874,1297,1259,1323,1384,864,629,777,854,792,662,420,1213,1479,1533,1551,1159,866,775,834,866,700,692,79,66,58,59,Default,
148930,362,467,427,993,1674,1445,1581,1246,1796,1879,1990,1048,1553,1658,1658,831,845,907,870,1290,1251,1316,1378,861,624,771,847,787,657,418,1211,1476,1531,1552,1156,865,771,829,862,697,691,79,66,58,58,Default,
148946,363,468,427,993,1675,1448,1585,1243,1795,1878,1991,1045,1545,1654,1654,827,842,906,867,1283,1241,1305,1367,854,621,766,843,783,653,416,1204,1471,1524,1545,1149,863,767,824,860,692,686,79,65,58,58,Default,
148962,363,470,430,990,1676,1446,1583,1239,1794,1875,1988,1038,1538,1648,1650,822,837,899,864,1272,1234,1293,1356,844,613,754,831,769,641,410,1198,1455,1504,1528,1137,856,751,804,843,679,677,78,66,58,58,Default,
148978,363,472,428,985,1676,1444,1580,1235,1790,1873,1987,1026,1521,1640,1641,817,833,897,858,1250,1210,1273,1336,830,601,738,814,752,628,402,1181,1438,1489,1502,1119,851,743,794,832,667,664,82,66,57,57,Default,
148994,359,464,422,986,1678,1447,1582,1235,1790,1877,1984,1024,1515,1637,1635,812,826,891,851,1243,1194,1260,1318,812,594,725,801,737,609,394,1167,1414,1468,1470,1096,829,725,775,812,650,651,78,64,55,56,Default,
149010,358,464,423,982,1685,1450,1585,1227,1790,1876,1983,1016,1510,1633,1633,804,820,887,846,1222,1173,1239,1299,796,582,708,788,724,600,387,1148,1389,1441,1442,1073,820,716,762,796,635,638,78,64,54,56,Default,
149026,355,460,421,980,1695,1455,1591,1221,1793,1874,1981,1008,1508,1625,1628,792,812,875,835,1198,1157,1214,1274,772,565,689,762,698,574,373,1116,1355,1402,1402,1034,799,691,733,765,610,619,77,64,55,56,Default,
149042,360,468,427,983,1709,1459,1601,1218,1797,1874,1982,1005,1500,1622,1625,779,801,864,824,1180,1134,1185,1252,749,549,664,733,672,551,358,1087,1321,1357,1357,1000,768,658,694,721,576,590,77,63,55,55,Default,
149058,364,476,432,988,1715,1463,1601,1222,1802,1878,1986,1003,1497,1617,1620,778,798,859,819,1169,1117,1163,1238,739,545,657,724,665,541,353,1080,1304,1338,1341,983,758,655,688,718,571,587,76,61,54,55,Default,
149074,369,480,436,992,1719,1468,1600,1228,1807,1886,1991,1004,1504,1621,1623,779,801,862,822,1181,1131,1176,1248,748,548,667,731,674,548,357,1090,1319,1351,1355,995,766,663,700,727,582,596,75,62,54,54,Default,
149090,369,483,439,990,1720,1468,1601,1225,1811,1888,1993,1009,1513,1627,1629,778,798,861,820,1181,1137,1181,1254,754,557,679,744,684,555,364,1086,1327,1360,1362,1002,775,673,710,740,590,601,76,62,54,55,Default,
149106,369,481,438,988,1715,1460,1599,1224,1807,1886,1994,1005,1510,1625,1629,778,795,859,820,1180,1133,1177,1253,756,558,681,744,687,560,364,1094,1333,1363,1373,1011,775,677,716,748,598,609,79,66,58,59,Default,
149122,371,484,439,985,1709,1458,1597,1226,1805,1884,1993,1007,1503,1621,1625,777,794,858,819,1173,1130,1169,1250,757,556,679,745,687,560,366,1096,1332,1364,1376,1013,780,679,717,750,599,611,78,65,57,58,Default,
149138,371,487,442,986,1711,1459,1598,1224,1807,1884,1994,1006,1503,1621,1625,774,793,859,818,1172,1131,1171,1249,757,556,677,743,685,560,364,1096,1332,1367,1376,1013,777,672,713,746,596,610,78,62,55,57,Default,
149154,373,489,443,986,1712,1463,1604,1222,1801,1884,1993,1005,1496,1620,1623,768,787,852,813,1164,1118,1165,1243,752,551,669,735,678,553,360,1093,1324,1363,1372,1006,774,670,706,740,590,604,80,63,54,55,Default,
149170,375,493,446,988,1718,1465,1607,1221,1803,1882,1991,1000,1493,1616,1618,767,785,849,810,1159,1118,1159,1236,742,543,655,722,667,544,355,1086,1312,1344,1354,990,766,656,688,721,576,592,76,63,54,56,Default,
149186,377,496,447,986,1717,1464,1607,1221,1799,1883,1986,996,1481,1608,1608,758,777,839,801,1151,1105,1151,1222,730,532,637,703,645,528,344,1066,1289,1326,1322,966,745,636,667,699,560,571,74,60,52,53,Default,
149202,377,497,450,986,1728,1468,1615,1213,1802,1880,1982,983,1466,1596,1595,750,766,829,791,1131,1090,1131,1202,708,514,614,678,621,507,329,1044,1260,1293,1285,936,717,612,638,667,530,543,74,58,50,50,Default,
149218,379,500,452,986,1738,1472,1615,1206,1801,1875,1965,978,1455,1587,1583,743,758,816,779,1103,1057,1092,1160,669,491,583,642,585,478,307,1011,1218,1245,1232,884,673,576,599,621,497,505,69,54,47,48,Default,
149234,378,493,447,990,1751,1475,1626,1205,1808,1875,1971,970,1453,1579,1576,725,745,802,764,1061,1027,1053,1119,633,470,550,606,551,449,286,966,1165,1184,1171,825,625,538,553,574,459,460,66,50,43,45,Default,
149250,386,505,458,999,1774,1488,1641,1206,1819,1875,1976,961,1440,1562,1558,707,727,780,744,1036,999,1014,1082,591,446,517,568,516,415,263,922,1088,1097,1097,767,573,501,508,531,421,422,63,51,41,42,Default,
149266,402,524,473,1007,1780,1488,1612,1211,1829,1878,1975,957,1436,1550,1547,687,709,758,722,1002,961,975,1043,555,423,491,533,484,389,242,892,1049,1047,1051,716,533,477,480,501,397,390,66,49,40,41,Default,
149282,412,540,488,1015,1818,1510,1670,1208,1847,1890,1981,950,1434,1542,1537,671,692,737,706,977,938,949,1017,533,416,483,521,476,376,238,864,1028,1023,1023,693,517,468,469,491,381,381,58,44,37,37,Default,
149298,423,558,497,1025,1834,1523,1678,1218,1857,1901,1986,949,1430,1538,1532,670,694,737,705,963,928,933,996,509,402,458,495,452,355,224,854,1005,998,993,654,490,452,452,471,360,367,56,41,33,34,Default,
149314,432,574,509,1031,1862,1536,1701,1217,1870,1905,1992,942,1440,1537,1531,663,686,725,698,949,913,920,980,495,385,443,477,436,339,216,839,989,981,978,635,472,432,438,455,344,353,54,42,33,34,Default,
149330,436,580,512,1040,1878,1546,1714,1218,1875,1909,1981,950,1449,1540,1530,659,685,721,696,937,902,907,965,485,383,435,468,427,329,209,829,972,965,964,617,465,423,423,440,333,345,53,39,31,32,Default,
149346,441,588,518,1053,1898,1557,1716,1224,1887,1918,1977,950,1448,1539,1531,653,679,714,686,933,903,905,961,474,380,435,464,427,328,206,810,957,946,947,610,443,417,418,434,327,335,49,37,29,29,Default,
149362,446,596,525,1057,1910,1563,1714,1227,1898,1927,2000,947,1441,1535,1525,646,671,707,679,911,885,887,940,464,373,424,452,414,315,199,798,938,929,928,600,435,410,410,424,318,323,49,35,28,29,Default,
149378,456,610,536,1072,1932,1578,1757,1235,1911,1932,2005,955,1442,1533,1521,650,673,712,680,901,878,881,930,457,371,421,447,412,306,194,784,913,907,909,580,411,402,400,414,310,315,48,35,28,28,Default,
149394,465,624,547,1077,1945,1580,1758,1239,1913,1932,2004,951,1434,1525,1515,643,667,703,672,885,868,863,917,442,362,412,437,402,293,189,771,895,883,891,568,403,401,397,413,306,311,49,36,28,29,Default,
149410,472,632,553,1082,1958,1587,1769,1240,1918,1938,2002,950,1438,1525,1513,640,666,704,672,878,857,852,906,432,357,403,428,395,293,184,762,878,870,883,556,390,391,391,407,296,303,47,36,26,29,Default,
149426,476,641,559,1083,1966,1594,1773,1243,1926,1945,2003,951,1438,1521,1506,643,665,704,671,876,856,852,901,432,353,397,422,388,290,182,751,876,866,875,551,385,391,389,407,298,302,49,37,29,29,Default,
149442,481,650,565,1087,1974,1602,1776,1241,1930,1944,2001,947,1441,1521,1503,636,662,699,666,863,845,845,889,426,348,393,414,383,285,178,753,873,859,872,545,379,395,389,407,296,300,45,33,24,26,Default,
149458,485,655,570,1088,1974,1605,1784,1242,1934,1952,2001,950,1447,1530,1510,634,656,692,659,867,848,846,891,422,348,390,417,384,283,179,750,871,862,872,547,384,395,390,410,297,302,45,31,25,26,Default,
149474,486,658,572,1093,1979,1610,1790,1248,1936,1954,2005,955,1453,1535,1512,642,663,701,668,874,853,854,896,429,350,393,416,383,286,180,754,872,866,876,550,379,397,391,411,299,303,45,33,26,27,Default,
149490,488,660,575,1095,1981,1612,1792,1251,1939,1958,2006,956,1454,1538,1517,642,667,703,670,878,859,859,900,431,352,395,422,388,290,182,762,882,874,884,556,393,401,397,415,302,308,46,35,27,28,Default,
149506,489,661,575,1097,1981,1612,1790,1255,1943,1957,2006,960,1461,1543,1519,648,671,706,673,886,866,868,908,437,360,410,435,399,298,185,764,891,883,894,563,399,405,402,421,307,313,48,36,28,29,Default,
149522,488,657,575,1094,1972,1603,1783,1255,1944,1960,2001,967,1471,1552,1528,659,684,722,688,907,885,889,928,454,370,421,446,409,312,192,775,915,911,918,586,406,413,412,432,322,318,50,38,30,30,Default,
149538,484,655,571,1093,1968,1602,1782,1257,1946,1960,2009,970,1478,1559,1536,663,691,728,695,920,904,907,948,469,378,432,458,422,324,199,796,935,932,939,606,418,422,421,441,329,329,50,37,30,30,Default,
149554,485,653,567,1092,1966,1602,1781,1258,1946,1960,2010,974,1486,1564,1542,675,704,741,706,933,920,922,962,481,385,442,469,432,337,205,807,952,949,956,619,424,427,428,447,339,335,50,40,31,32,Default,
149570,483,650,567,1090,1961,1602,1778,1258,1944,1958,2008,980,1491,1567,1546,679,708,747,711,941,928,931,971,493,389,446,472,435,338,207,813,962,957,963,630,430,435,434,454,343,338,52,36,32,32,Default,
149586,481,648,565,1086,1956,1596,1774,1254,1941,1958,2005,978,1496,1571,1552,678,710,748,713,949,934,938,980,495,394,454,480,443,350,211,818,970,965,974,637,438,435,438,459,347,342,52,41,32,33,Default,
149602,472,630,554,1067,1927,1575,1750,1247,1929,1948,1998,975,1496,1574,1554,679,710,750,715,960,947,951,996,508,406,466,496,456,362,215,835,993,982,992,654,442,444,443,467,352,348,57,43,34,34,Default,
149618,441,590,522,1031,1871,1533,1706,1220,1895,1918,1984,970,1490,1575,1556,683,715,758,722,980,972,979,1030,547,426,498,530,490,389,223,851,1024,1009,1029,692,435,454,457,480,370,357,60,43,37,37,Default,
149634,429,572,509,1001,1818,1494,1663,1193,1861,1894,1965,958,1481,1568,1552,685,717,761,725,996,990,1002,1057,577,435,514,547,503,408,229,864,1053,1042,1065,735,460,472,474,499,391,371,59,53,35,34,Default,
149650,418,562,502,973,1771,1456,1629,1177,1838,1875,1953,951,1472,1566,1552,691,725,772,737,1011,1006,1018,1076,601,448,535,567,528,431,241,878,1073,1061,1090,764,472,490,490,521,410,386,71,55,45,45,Default,
149666,419,566,504,965,1754,1446,1616,1169,1824,1865,1945,953,1475,1567,1555,698,729,777,743,1025,1019,1032,1093,622,462,560,596,551,452,253,895,1099,1090,1122,790,493,502,505,535,424,398,68,54,46,45,Default,
149682,423,575,511,964,1747,1446,1612,1165,1820,1865,1940,956,1479,1571,1562,708,737,790,753,1037,1032,1051,1109,634,472,570,609,563,464,260,909,1118,1114,1145,810,506,511,514,545,435,411,70,57,47,46,Default,
149698,424,576,513,961,1737,1438,1604,1166,1817,1861,1938,957,1481,1574,1562,713,744,794,757,1048,1048,1066,1129,649,480,586,624,577,476,265,921,1139,1136,1165,834,516,520,523,557,447,418,70,55,48,45,Default,
149714,422,575,513,959,1728,1430,1597,1164,1811,1855,1936,961,1480,1566,1562,724,754,804,768,1057,1057,1078,1144,662,497,606,646,603,497,277,933,1155,1156,1189,851,526,530,535,571,458,431,73,58,51,49,Default,
149730,425,577,515,960,1723,1427,1596,1169,1809,1856,1938,964,1479,1557,1567,729,756,807,775,1069,1069,1092,1161,675,505,616,656,614,507,282,945,1169,1173,1208,872,543,543,547,586,469,441,72,58,50,49,Default,
149746,427,583,519,961,1728,1433,1601,1163,1810,1857,1939,955,1480,1545,1568,734,765,816,783,1078,1080,1104,1173,688,511,629,671,628,518,288,954,1185,1189,1224,884,559,547,555,592,475,451,74,59,51,49,Default,
149762,435,592,526,965,1733,1440,1608,1169,1814,1862,1944,963,1488,1546,1575,741,769,822,787,1088,1087,1115,1181,694,521,644,686,642,526,294,957,1193,1195,1235,896,560,548,555,594,478,452,75,62,53,51,Default,
