Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Label,
244162,404,562,478,851,1312,1102,1115,974,1316,1412,1187,873,1291,1320,1221,782,771,860,782,927,871,901,936,507,406,478,504,463,349,157,657,733,734,706,542,309,268,274,299,230,132,61,49,41,40,Default,
244178,403,565,480,854,1315,1106,1117,976,1318,1412,1188,876,1291,1321,1222,782,771,860,781,927,870,900,933,505,405,476,501,460,348,156,655,733,733,704,538,298,265,269,293,226,129,59,48,41,40,Default,
244194,408,571,482,856,1317,1108,1118,978,1322,1415,1189,874,1293,1321,1222,782,770,860,780,924,872,899,934,503,405,476,501,461,347,153,655,729,729,703,537,300,264,268,294,228,129,58,47,40,38,Default,
244210,409,572,485,858,1320,1109,1120,980,1323,1417,1191,875,1293,1322,1222,781,769,858,780,922,870,896,931,500,402,471,495,456,344,149,654,727,725,699,533,288,262,268,293,224,127,58,48,41,38,Default,
244226,411,576,486,860,1323,1112,1123,981,1328,1418,1193,877,1295,1322,1224,783,771,858,781,921,870,895,930,502,402,468,493,453,341,145,650,725,721,696,531,269,262,267,290,224,122,57,45,38,37,Default,
244242,412,576,489,860,1323,1113,1124,982,1329,1421,1194,877,1296,1322,1223,782,771,858,780,923,871,896,930,498,400,468,493,454,341,143,652,725,719,696,531,275,263,269,291,226,122,56,48,40,37,Default,
244258,412,576,487,862,1326,1115,1126,983,1330,1421,1195,878,1296,1324,1225,783,771,859,781,924,871,897,931,499,402,470,495,455,342,145,652,725,721,696,530,273,264,271,294,228,124,58,48,38,37,Default,
244274,411,574,485,862,1326,1115,1127,986,1330,1422,1194,878,1296,1323,1227,783,771,859,782,927,872,898,932,503,402,472,497,455,344,147,646,725,721,697,533,279,267,272,298,228,126,58,48,41,38,Default,
244290,410,572,485,863,1326,1115,1127,983,1331,1425,1198,879,1298,1326,1227,783,772,862,783,926,874,900,936,504,405,475,499,460,346,149,651,728,724,700,534,282,269,275,298,231,128,58,48,40,38,Default,
244306,411,572,485,864,1327,1117,1127,985,1334,1426,1199,881,1301,1328,1231,785,775,864,787,928,876,903,938,505,406,477,502,463,348,149,655,729,727,704,536,283,271,276,301,232,128,58,48,40,38,Default,
