Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
30962,-0.34433,9.87561,-0.351453,0.21,-0.28,-0.49,-27.8356,-68.5268,36.0527,1022.69
30968,-0.439124,9.85179,-0.365709,0.35,-0.21,-0.42,-26.5522,-66.7786,36.2459,1022.69
30974,-0.386987,9.87084,-0.341949,0.21,-0.28,-0.35,-27.2895,-66.869,36.7807,1022.69
30980,-0.353809,9.88037,-0.379964,0.21,-0.21,-0.42,-27.781,-67.4417,36.7658,1022.69
30986,-0.386987,9.88037,-0.356205,0.28,-0.14,-0.42,-27.5899,-66.2662,37.3452,1022.66
30992,-0.396466,9.81369,-0.289679,0.42,-0.14,-0.49,-27.3441,-65.7538,36.4984,1022.66
30998,-0.401206,9.88037,-0.360957,0.56,-0.14,-0.35,-28.0814,-66.8389,36.6173,1022.66
31004,-0.386987,9.79464,-0.303934,0.49,-0.14,-0.35,-27.426,-67.3513,37.5384,1022.66
31010,-0.396466,9.83751,-0.365709,0.28,-0.14,-0.35,-27.3168,-66.8088,36.855,1022.66
31016,-0.349069,9.84227,-0.389468,0.28,-0.21,-0.28,-27.5899,-67.5924,36.2607,1022.68
31022,-0.386987,9.78512,-0.360957,0.35,-0.14,-0.28,-26.6341,-66.8992,36.9293,1022.68
31028,-0.377507,9.86132,-0.261168,0.21,-0.28,-0.28,-28.0268,-66.7183,38.2812,1022.67
31034,-0.391727,9.84703,-0.351453,0.35,-0.28,-0.42,-27.426,-66.5978,36.8698,1022.67
31040,-0.377507,9.82798,-0.384716,0.49,-0.07,-0.42,-26.0607,-67.291,37.063,1022.68
31046,-0.420165,9.85179,-0.389468,0.42,-0.07,-0.21,-26.5522,-67.08,36.8996,1022.68
31052,-0.405946,9.83274,-0.351453,0.28,-0.28,-0.28,-27.8629,-66.0854,37.6572,1022.68
31058,-0.396466,9.83274,-0.370461,0.21,-0.21,-0.35,-27.5899,-66.2662,36.8104,1022.65
31064,-0.377507,9.83274,-0.365709,0.35,-0.21,-0.42,-26.9345,-66.6279,37.6275,1022.65
31070,-0.391727,9.85656,-0.346701,0.35,-0.07,-0.42,-27.4806,-66.3868,37.5087,1022.67
31076,-0.405946,9.80417,-0.351453,0.42,-0.21,-0.35,-27.4806,-66.5074,37.167,1022.67
31082,-0.358549,9.86132,-0.356205,0.14,-0.21,-0.35,-27.5626,-67.1705,36.3647,1022.68
31088,-0.424904,9.76607,-0.313438,0.28,-0.28,-0.28,-28.0541,-66.4169,37.6424,1022.68
31094,-0.382247,9.8899,-0.356205,0.28,-0.21,-0.28,-27.3987,-66.8088,37.4492,1022.68
31100,-0.386987,9.86132,-0.398972,0.21,-0.28,-0.28,-26.6341,-67.3212,36.1864,1022.7
31106,-0.33485,9.86608,-0.332446,0.07,-0.42,-0.28,-27.4806,-66.5978,36.3498,1022.7
31112,-0.372768,9.83751,-0.341949,0.21,-0.28,-0.28,-27.4806,-66.7485,37.479,1022.66
31118,-0.405946,9.85656,-0.365709,0.28,-0.21,-0.42,-26.9891,-67.5924,36.2904,1022.66
31124,-0.420165,9.81369,-0.379964,0.35,-0.14,-0.35,-27.1256,-66.6279,36.5578,1022.69
31130,-0.349069,9.8899,-0.365709,0.35,-0.07,-0.35,-28.0814,-66.4471,38.4446,1022.69
31136,-0.439124,9.79941,-0.337197,0.28,-0.28,-0.35,-27.6172,-66.6279,36.4687,1022.69
31142,-0.368028,9.84703,-0.379964,0.35,-0.21,-0.35,-27.2349,-66.8992,37.1224,1022.69
31148,-0.363288,9.87561,-0.341949,0.35,-0.14,-0.28,-27.2622,-66.4169,37.3601,1022.69
