Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
21752,-0.685588,9.78988,-0.365709,0.21,-0.21,-0.42,27.8427,-65.4826,36.2013,1022.7
21758,-0.638191,9.86608,-0.299183,0.28,-0.14,-0.28,28.225,-65.3017,36.4093,1022.66
21764,-0.571835,9.83751,-0.31819,0.14,-0.21,-0.28,27.7881,-68.1049,35.6664,1022.66
21770,-0.628711,9.81369,-0.337197,0.07,-0.42,-0.28,27.0781,-66.4471,37.375,1022.69
21776,-0.65715,9.80893,-0.299183,0.07,-0.28,-0.28,28.2796,-64.0358,34.4482,1022.69
21782,-0.704547,9.80893,-0.289679,0.35,-0.21,-0.35,27.8154,-66.8088,36.127,1022.69
21788,-0.638191,9.87084,-0.365709,0.49,-0.14,-0.35,27.0781,-67.6226,36.335,1022.67
21794,-0.65241,9.82798,-0.322942,0.49,-0.07,-0.35,27.7062,-65.0304,35.7853,1022.67
21800,-0.595534,9.83274,-0.39422,0.35,-0.07,-0.21,27.5696,-66.4169,35.3842,1022.68
21806,-0.671369,9.83751,-0.322942,0.42,-0.14,-0.21,27.8973,-68.2254,37.6127,1022.68
21812,-0.676108,9.87084,-0.346701,0.21,-0.21,-0.28,27.9246,-65.2716,36.647,1022.67
21818,-0.642931,9.83274,-0.346701,0.21,-0.21,-0.28,28.1158,-65.0003,35.295,1022.67
21824,-0.614492,9.8899,-0.370461,0.14,-0.21,-0.28,28.8804,-68.4665,36.9144,1022.67
21830,-0.628711,9.84703,-0.408476,0.21,-0.21,-0.35,27.9792,-66.6279,37.479,1022.69
21836,-0.609753,9.81846,-0.327694,0.14,-0.28,-0.28,28.3069,-63.7343,35.0722,1022.69
21842,-0.633451,9.84703,-0.360957,0.07,-0.28,-0.28,28.0339,-68.0144,36.7213,1022.68
21848,-0.671369,9.87561,-0.31819,0.14,-0.28,-0.35,27.9246,-66.7183,37.7909,1022.68
21854,-0.609753,9.81846,-0.341949,0.14,-0.28,-0.35,28.1977,-64.307,35.1316,1022.69
21860,-0.600273,9.84703,-0.346701,0.07,-0.21,-0.28,27.8427,-66.1758,36.1716,1022.69
21866,-0.690327,9.80893,-0.322942,0.07,-0.21,-0.28,27.8973,-68.557,36.4836,1022.65
21872,-0.642931,9.84227,-0.356205,0.14,-0.35,-0.35,27.9246,-65.3921,34.9682,1022.65
21878,-0.623972,9.86132,-0.322942,0.14,-0.28,-0.35,28.3615,-64.3975,35.6219,1022.65
21884,-0.638191,9.81369,-0.322942,0.14,-0.14,-0.28,27.8427,-68.4364,37.687,1022.7
21890,-0.590794,9.86608,-0.365709,0.21,-0.28,-0.28,27.3239,-66.7485,36.7064,1022.7
21896,-0.671369,9.84227,-0.375212,0.21,-0.21,-0.42,26.3682,-65.0304,35.4436,1022.68
21902,-0.65715,9.85179,-0.322942,0.21,-0.35,-0.42,28.1158,-67.6829,37.3601,1022.68
21908,-0.581314,9.83751,-0.370461,0.21,-0.28,-0.35,27.4058,-67.6527,37.9989,1022.68
