Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
41456,-0.742464,9.82798,0.242531,0.21,0.07,-0.84,-19.2886,-104.124,19.2647,1020.15
41462,-0.718766,9.84703,0.128486,0.21,-0.07,-0.84,-17.9779,-103.491,19.7104,1020.15
41468,-0.742464,9.82798,0.180756,0.14,0.14,-0.84,-18.4421,-103.702,19.7995,1020.17
41474,-0.628711,9.76131,0.218771,0,0,-0.91,-18.524,-103.551,20.0967,1020.17
41480,-0.714026,9.77559,0.199764,-0.07,0.07,-0.98,-18.7698,-103.883,18.6407,1020.16
41486,-0.728245,9.78036,0.171253,0.07,0.14,-0.98,-18.6879,-103.702,20.0669,1020.16
41492,-0.737725,9.78988,0.176004,0.07,0.28,-1.05,-18.1964,-102.918,18.9081,1020.15
41498,-0.80882,9.82322,0.166501,-0.14,0.28,-1.12,-17.5956,-102.617,19.235,1020.15
41504,-0.856217,9.78988,0.209267,-0.14,0.35,-1.12,-17.7595,-103.34,18.8487,1020.15
41510,-0.728245,9.82322,0.152245,0,0,-1.05,-17.896,-103.461,18.1504,1020.17
41516,-0.766163,9.81846,0.204516,-0.07,0.14,-0.98,-18.3056,-103.129,19.2795,1020.17
41522,-0.80882,9.88513,0.199764,0,0.28,-0.84,-18.251,-103.822,19.1756,1020.15
41528,-0.827779,9.79464,0.166501,0.07,0.07,-0.91,-18.7425,-103.702,18.9973,1020.15
41534,-0.742464,9.85656,0.199764,-0.14,-0.14,-0.77,-18.1144,-103.642,20.0521,1020.17
41540,-0.718766,9.78988,0.195012,-0.14,-0.14,-0.77,-18.879,-103.672,18.2544,1020.17
41546,-0.818299,9.77559,0.228275,0,-0.14,-0.84,-17.9233,-103.25,19.1607,1020.17
41552,-0.737725,9.80893,0.195012,0.14,-0.21,-0.49,-18.6606,-103.37,19.1013,1020.17
41558,-0.770902,9.80893,0.209267,0.07,-0.14,-0.49,-18.7425,-104.033,18.5961,1020.17
41564,-0.742464,9.81846,0.204516,0.14,-0.14,-0.49,-18.3329,-103.25,18.0316,1020.16
41570,-0.714026,9.76607,0.19026,0.28,-0.14,-0.56,-18.1691,-102.888,18.9378,1020.16
41576,-0.704547,9.80417,0.199764,0.07,-0.14,-0.63,-17.7048,-103.521,17.7939,1020.11
41582,-0.714026,9.80893,0.176004,0.14,0,-0.7,-18.3875,-103.702,17.9573,1020.11
41588,-0.780382,9.80893,0.204516,0.21,0.14,-0.7,-17.9779,-103.461,19.4727,1020.16
41594,-0.761423,9.84703,0.156997,0.28,0.07,-0.7,-18.7425,-103.4,18.9527,1020.16
41600,-0.709286,9.81846,0.214019,0.07,0.07,-0.7,-17.9233,-102.948,17.5859,1020.16
41606,-0.799341,9.82322,0.218771,0.07,0.07,-0.7,-18.0325,-103.431,19.131,1020.17
41612,-0.785122,9.83751,0.180756,0,-0.07,-0.77,-18.0325,-103.4,18.299,1020.17
41618,-0.718766,9.85179,0.209267,0,-0.07,-0.77,-17.9506,-103.792,18.3881,1020.15
41624,-0.751944,9.81846,0.252034,0,-0.07,-0.7,-18.606,-103.431,18.4327,1020.15
41630,-0.832518,9.82322,0.171253,0.07,0,-0.77,-18.0598,-103.581,18.819,1020.17
41636,-0.780382,9.76607,0.233027,0,-0.14,-0.7,-17.7321,-103.853,18.9378,1020.17
41642,-0.751944,9.82798,0.218771,0,-0.21,-0.7,-17.9779,-103.491,18.7299,1020.17
41648,-0.789861,9.78512,0.195012,0.07,-0.28,-0.7,-17.9779,-103.973,19.235,1020.13
41654,-0.837258,9.80893,0.233027,0.14,-0.14,-0.56,-18.0598,-104.275,18.8487,1020.13
41660,-0.785122,9.81846,0.161749,0,-0.21,-0.56,-18.524,-103.611,18.7001,1020.16
41666,-0.775642,9.79464,0.137989,-0.14,-0.42,-0.63,-17.9779,-104.214,18.4327,1020.16
41672,-0.766163,9.81369,0.214019,-0.07,-0.35,-0.63,-17.7321,-103.822,19.8887,1020.16
41678,-0.775642,9.79941,0.223523,0,-0.14,-0.49,-17.7868,-104.064,19.8292,1020.16
41684,-0.761423,9.79941,0.19026,0.28,-0.14,-0.49,-18.1691,-103.913,19.3241,1020.17
41690,-0.761423,9.79941,0.204516,0.14,-0.21,-0.49,-18.4694,-103.702,19.2201,1020.17
41696,-0.766163,9.79941,0.180756,0.07,-0.14,-0.56,-18.1691,-103.883,19.3984,1020.17
41702,-0.747204,9.79464,0.185508,0.07,-0.14,-0.7,-17.7048,-103.792,19.8887,1020.17
41708,-0.770902,9.83751,0.228275,0.14,-0.14,-0.63,-18.3056,-103.551,19.3835,1020.17
41714,-0.747204,9.83274,0.209267,0.07,-0.14,-0.77,-18.524,-103.581,19.2498,1020.15
41720,-0.761423,9.75178,0.204516,0.07,-0.14,-0.77,-18.5513,-103.28,19.0418,1020.15
41726,-0.718766,9.77083,0.176004,0.07,-0.07,-0.7,-18.7152,-103.913,18.7001,1020.14
41732,-0.756683,9.79941,0.209267,0,-0.07,-0.77,-18.2237,-102.707,19.2795,1020.14
41738,-0.695067,9.78988,0.142741,-0.14,-0.28,-0.91,-18.2237,-103.129,18.5961,1020.14
41744,-0.766163,9.81369,0.294801,-0.21,0.21,-0.84,-18.4421,-103.37,18.3733,1020.14
41750,-0.794601,9.78988,0.166501,-0.07,-0.14,-0.91,-18.3602,-103.702,18.3733,1020.14
41756,-0.732985,9.85656,0.214019,0,0.14,-0.77,-18.2783,-103.611,17.8533,1020.15
41762,-0.747204,9.84227,0.128486,0,-0.7,-0.63,-17.9779,-103.973,19.0418,1020.15
41768,-0.65715,9.78988,0.199764,-0.28,-0.56,-0.7,-18.2237,-103.189,18.7299,1020.16
41774,-0.747204,9.75178,0.313809,-0.14,-0.21,-0.63,-18.6333,-104.154,19.2647,1020.16
41780,-0.770902,9.77083,0.147493,0.21,-0.07,-0.56,-18.9336,-103.551,18.9824,1020.14
41786,-0.747204,9.80893,0.19026,0.21,-0.14,-0.63,-19.0156,-103.34,19.8292,1020.14
41792,-0.747204,9.79941,0.180756,0.21,-0.14,-0.63,-18.3875,-104.003,18.9378,1020.14
41798,-0.766163,9.79941,0.223523,0.07,-0.14,-0.7,-18.0052,-103.34,19.0864,1020.16
41804,-0.81356,9.76607,0.237779,0.14,-0.28,-0.7,-18.9883,-103.521,19.1756,1020.16
41810,-0.766163,9.86132,0.199764,0.07,-0.07,-0.63,-18.2237,-103.431,18.299,1020.18
41816,-0.766163,9.82322,0.185508,-0.07,0,-0.7,-18.3875,-103.189,18.091,1020.18
41822,-0.761423,9.77559,0.195012,0,0.07,-0.63,-18.524,-103.009,20.2304,1020.16
41828,-0.81356,9.75178,0.11423,0.21,0,-0.63,-18.4421,-103.189,19.339,1020.16
41834,-0.751944,9.82322,0.180756,0,-0.14,-0.63,-17.5683,-103.551,19.339,1020.12
41840,-0.709286,9.78988,0.237779,-0.14,-0.28,-0.63,-17.7595,-103.611,18.7744,1020.12
41846,-0.818299,9.79941,0.204516,0.21,0.07,-0.63,-18.1144,-104.124,18.715,1020.12
41852,-0.732985,9.78036,0.237779,0.21,-0.07,-0.56,-18.3602,-103.099,19.5767,1020.15
41858,-0.732985,9.80417,0.171253,0.35,-0.07,-0.63,-18.1691,-104.275,19.5024,1020.15
41864,-0.789861,9.85179,0.185508,0.21,0,-0.56,-17.7321,-103.491,18.8487,1020.16
41870,-0.818299,9.81846,0.185508,-0.07,-0.14,-0.49,-17.7595,-103.159,18.7447,1020.16
41876,-0.818299,9.85656,0.185508,-0.21,-0.21,-0.42,-18.0598,-103.189,18.8784,1020.14
41882,-0.780382,9.77083,0.233027,0,-0.07,-0.42,-18.1144,-103.732,19.963,1020.14
41888,-0.756683,9.79941,0.218771,0.49,0,-0.35,-18.4967,-103.853,19.1756,1020.14
41894,-0.794601,9.82798,0.109478,0.42,0,-0.21,-18.0052,-104.003,19.2795,1020.18
41900,-0.770902,9.72797,0.237779,-0.21,-0.35,-0.21,-18.3056,-103.581,19.1458,1020.18
41906,-0.714026,9.72797,0.294801,0.14,-0.21,-0.14,-18.0598,-103.37,18.7596,1020.15
41912,-0.794601,9.80417,0.180756,0.56,-0.14,-0.14,-18.9609,-103.129,19.9184,1020.15
41918,-0.732985,9.82798,0.176004,0.56,-0.07,-0.28,-17.7048,-103.702,19.2201,1020.15
41924,-0.785122,9.84227,0.204516,0.21,0,-0.28,-17.8414,-104.184,18.611,1020.15
41930,-0.747204,9.80893,0.171253,0.35,-0.14,-0.35,-19.0156,-104.666,18.7596,1020.17
41936,-0.714026,9.85179,0.195012,0.28,-0.07,-0.35,-18.606,-103.491,19.2944,1020.17
41942,-0.851477,9.80893,0.176004,0.28,-0.07,-0.35,-18.3602,-103.581,19.6361,1020.17
41948,-0.799341,9.86132,0.171253,0.35,-0.21,-0.28,-18.1144,-102.707,19.8292,1020.17
41954,-0.80408,9.82798,0.209267,0.21,-0.07,-0.21,-18.879,-104.124,19.2795,1020.17
41960,-0.780382,9.73273,0.218771,0.28,-0.14,-0.21,-18.1417,-103.521,18.6407,1020.14
41966,-0.81356,9.81369,0.185508,0.07,-0.14,-0.21,-18.3056,-103.913,18.5813,1020.14
41972,-0.780382,9.81846,0.19026,0.21,-0.21,-0.21,-18.5787,-104.184,18.4921,1020.17
41978,-0.789861,9.77559,0.228275,0.42,-0.14,-0.21,-17.896,-103.159,18.6407,1020.17
41984,-0.799341,9.81846,0.214019,0.49,-0.14,-0.07,-18.8517,-104.154,18.0762,1020.17
41990,-0.732985,9.80893,0.199764,0.35,-0.14,-0.07,-18.0871,-103.37,17.9127,1020.17
41996,-0.728245,9.82322,0.176004,0,-0.07,-0.21,-18.9609,-104.486,17.9424,1020.17
42002,-0.761423,9.78036,0.237779,0.28,-0.35,-0.28,-18.1144,-103.762,18.5367,1020.15
42008,-0.751944,9.81846,0.233027,0.35,-0.14,-0.14,-18.3329,-103.642,18.5961,1020.15
42014,-0.742464,9.79941,0.176004,0.49,-0.14,-0.21,-18.8244,-103.642,17.8682,1020.15
42020,-0.770902,9.84227,0.176004,0.49,-0.14,-0.28,-18.4967,-104.486,18.1207,1020.15
42026,-0.728245,9.79464,0.204516,0.21,0,-0.21,-17.9233,-104.064,19.131,1020.14
42032,-0.766163,9.83751,0.223523,0.07,-0.07,-0.28,-18.6606,-104.305,18.1356,1020.14
42038,-0.846738,9.79464,0.176004,0.21,-0.07,-0.21,-18.1417,-103.672,18.923,1020.14
42044,-0.742464,9.85179,0.166501,0.35,-0.07,-0.28,-18.4967,-103.551,18.507,1020.18
42050,-0.775642,9.81369,0.180756,0.28,-0.21,-0.21,-18.6606,-103.551,19.2053,1020.18
42056,-0.751944,9.77559,0.214019,0.14,-0.21,-0.21,-18.4421,-102.888,18.6556,1020.16
42062,-0.747204,9.84703,0.204516,0.14,-0.21,-0.28,-18.0871,-103.461,18.4476,1020.16
42068,-0.775642,9.82322,0.185508,0.21,-0.07,-0.14,-17.896,-103.642,19.1904,1020.17
42074,-0.851477,9.81369,0.209267,0.28,0,-0.07,-18.3602,-104.124,18.8933,1020.17
42080,-0.728245,9.87084,0.199764,0.49,-0.21,-0.07,-18.3056,-104.244,19.3687,1020.18
42086,-0.770902,9.77559,0.233027,0.21,-0.21,-0.14,-18.1964,-104.154,19.6955,1020.18
42092,-0.766163,9.78988,0.214019,0.21,-0.14,-0.14,-18.3875,-103.672,19.3538,1020.18
42098,-0.723505,9.81369,0.252034,0.14,0,-0.21,-18.5513,-104.275,18.2693,1020.16
42104,-0.747204,9.81369,0.223523,0.21,-0.07,-0.21,-17.9233,-104.124,19.443,1020.16
42110,-0.780382,9.82798,0.218771,0.28,-0.21,-0.28,-18.4421,-103.762,18.0613,1020.15
42116,-0.704547,9.86132,0.180756,0.21,-0.28,-0.35,-18.4148,-103.551,18.9081,1020.15
42122,-0.718766,9.78988,0.161749,0.28,-0.14,-0.28,-18.2237,-104.516,18.7447,1020.16
42128,-0.780382,9.83751,0.233027,0.21,-0.14,-0.28,-18.4148,-103.973,18.6407,1020.16
42134,-0.699807,9.78988,0.185508,0.21,-0.14,-0.35,-18.6606,-103.913,18.7001,1020.16
42140,-0.728245,9.74702,0.218771,0.14,0,-0.35,-18.0598,-103.4,19.0716,1020.15
42146,-0.756683,9.80417,0.137989,0.14,-0.07,-0.42,-18.4967,-103.4,19.6212,1020.15
42152,-0.789861,9.80417,0.199764,0.14,-0.14,-0.35,-18.4148,-104.666,20.1412,1020.16
42158,-0.728245,9.80893,0.256786,0,-0.14,-0.42,-17.9233,-103.702,19.6807,1020.16
42164,-0.794601,9.82798,0.233027,0.14,0,-0.49,-18.4148,-103.642,19.1013,1020.16
42170,-0.766163,9.81846,0.128486,0.21,0,-0.35,-18.9883,-102.707,18.7001,1020.16
42176,-0.80408,9.83751,0.223523,0.28,0,-0.28,-18.0598,-103.099,18.6259,1020.15
42182,-0.704547,9.82798,0.242531,0.21,-0.14,-0.21,-17.9779,-103.732,18.7299,1020.15
42188,-0.709286,9.77559,0.176004,0.21,-0.14,-0.21,-18.7698,-103.129,19.5767,1020.15
42194,-0.789861,9.80417,0.180756,0.14,-0.07,-0.35,-18.0325,-103.642,20.0521,1020.13
42200,-0.756683,9.78512,0.214019,0.14,-0.07,-0.21,-17.9233,-103.491,19.339,1020.13
42206,-0.799341,9.81846,0.19026,0.35,-0.07,-0.21,-18.6879,-103.461,18.5516,1020.15
42212,-0.775642,9.85179,0.185508,0.28,-0.14,-0.21,-18.1964,-103.431,17.6305,1020.15
42218,-0.742464,9.79464,0.209267,0.14,-0.14,-0.21,-18.2237,-103.009,18.4921,1020.16
42224,-0.761423,9.74702,0.209267,0.14,-0.14,-0.21,-18.6879,-104.214,18.715,1020.16
42230,-0.766163,9.78988,0.204516,0.21,-0.14,-0.28,-18.4421,-103.551,17.7345,1020.19
42236,-0.718766,9.79941,0.166501,0.14,-0.07,-0.35,-17.7868,-103.732,17.8979,1020.19
42242,-0.780382,9.78988,0.180756,0.07,-0.14,-0.28,-18.3056,-103.551,18.1356,1020.19
42248,-0.818299,9.78988,0.185508,0.07,-0.07,-0.35,-17.9779,-103.431,18.6259,1020.18
42254,-0.747204,9.81369,0.199764,-0.07,0,-0.21,-18.3875,-103.642,18.1207,1020.18
42260,-0.756683,9.81846,0.161749,0.07,-0.14,-0.28,-18.1691,-103.943,18.9824,1020.17
42266,-0.718766,9.80417,0.209267,0,-0.21,-0.28,-18.9336,-104.003,19.4875,1020.17
42272,-0.818299,9.76131,0.185508,0.07,-0.21,-0.28,-18.3056,-103.973,19.027,1020.17
42278,-0.751944,9.74702,0.233027,0.21,-0.21,-0.21,-18.1964,-103.551,19.1458,1020.17
42284,-0.770902,9.77083,0.180756,0.35,-0.14,-0.21,-17.4318,-103.702,18.9973,1020.17
42290,-0.789861,9.84227,0.118982,0.42,-0.28,-0.14,-17.8414,-103.129,19.547,1020.17
42296,-0.723505,9.78512,0.204516,0.21,-0.42,-0.14,-18.251,-103.883,19.9184,1020.17
42302,-0.785122,9.79941,0.218771,0.28,-0.28,-0.14,-18.1417,-103.792,19.3687,1020.18
42308,-0.699807,9.76607,0.199764,0.35,-0.28,-0.14,-18.0871,-104.124,18.7447,1020.18
42314,-0.770902,9.77083,0.185508,0.35,-0.21,-0.14,-17.9233,-103.702,18.8041,1020.13
42320,-0.785122,9.83274,0.161749,0.42,-0.14,-0.07,-17.9233,-103.25,19.5767,1020.13
42326,-0.714026,9.83751,0.176004,0.35,-0.28,-0.14,-17.5956,-104.154,18.9973,1020.16
42332,-0.761423,9.81846,0.176004,0.28,-0.21,-0.14,-17.9779,-103.913,18.6556,1020.16
42338,-0.766163,9.80893,0.214019,0.07,-0.14,-0.14,-17.8141,-103.792,19.859,1020.16
42344,-0.80882,9.81369,0.209267,0.21,-0.21,-0.21,-17.7321,-103.732,20.1709,1020.14
42350,-0.709286,9.78988,0.214019,0.28,-0.07,-0.14,-18.3875,-103.762,18.4327,1020.14
42356,-0.775642,9.80893,0.223523,0.42,-0.14,-0.14,-17.7868,-104.003,19.0716,1020.15
42362,-0.785122,9.81846,0.180756,0.14,-0.07,-0.21,-17.6502,-103.551,18.2693,1020.15
42368,-0.827779,9.83751,0.195012,0.14,-0.14,-0.28,-17.2679,-103.943,19.4133,1020.17
42374,-0.794601,9.78512,0.195012,0.21,-0.21,-0.21,-17.4591,-103.913,19.1013,1020.17
42380,-0.794601,9.77559,0.237779,0.21,-0.14,-0.28,-18.4694,-103.732,19.1013,1020.17
42386,-0.785122,9.78036,0.185508,0.21,-0.21,-0.35,-17.6502,-103.792,17.779,1020.16
42392,-0.780382,9.84227,0.180756,0.14,-0.28,-0.21,-18.3329,-104.184,19.027,1020.16
42398,-0.770902,9.85179,0.199764,0,-0.21,-0.14,-18.1144,-103.31,19.7252,1020.16
42404,-0.770902,9.80893,0.233027,0.49,-0.28,-0.07,-17.3225,-103.702,18.3881,1020.16
42410,-0.770902,9.86132,0.180756,0.49,-0.14,-0.07,-17.7321,-103.521,18.507,1020.17
42416,-0.742464,9.82322,0.161749,0.35,-0.21,0,-17.7868,-103.822,18.1801,1020.17
42422,-0.789861,9.82798,0.199764,0.14,-0.35,0,-17.5683,-103.521,19.7252,1020.15
42428,-0.680848,9.78036,0.237779,0.07,-0.56,0,-17.3499,-103.25,18.8933,1020.15
