Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Label,
23762,523,699,621,1147,1703,1476,1640,1275,1725,1845,1618,1128,1567,1607,1600,911,920,1005,949,1248,1168,1185,1250,790,640,779,825,787,592,345,1032,1203,1202,1226,867,591,587,602,661,514,462,123,115,96,93,Default,
23778,522,700,620,1148,1701,1475,1640,1277,1725,1845,1618,1127,1568,1607,1600,911,920,1003,948,1247,1168,1186,1251,789,640,778,827,787,592,344,1036,1203,1201,1226,868,595,588,603,661,514,465,123,113,95,94,Default,
23794,526,701,621,1148,1704,1479,1642,1278,1726,1846,1620,1127,1568,1606,1597,910,920,1003,948,1247,1166,1185,1248,788,638,779,826,786,592,344,1034,1202,1201,1224,866,589,586,602,661,514,464,122,113,96,92,Default,
23810,525,703,623,1149,1706,1478,1641,1279,1728,1846,1620,1129,1569,1607,1599,912,920,1003,947,1245,1167,1185,1248,790,641,779,826,784,592,344,1035,1203,1200,1224,868,586,587,601,661,513,464,123,110,95,93,Default,
23826,524,703,623,1148,1706,1477,1642,1278,1728,1848,1619,1126,1568,1606,1597,911,920,1002,947,1247,1166,1185,1249,788,638,779,825,785,591,342,1032,1202,1201,1224,868,590,582,601,659,514,466,122,111,95,92,Default,
23842,526,704,622,1149,1706,1479,1642,1279,1728,1847,1619,1127,1568,1606,1599,913,920,1003,947,1244,1168,1184,1248,788,639,779,825,785,591,343,1036,1202,1201,1224,867,590,587,601,659,514,464,123,116,95,93,Default,
23858,526,704,623,1149,1707,1480,1644,1278,1728,1847,1619,1129,1568,1605,1598,910,919,1001,946,1247,1166,1183,1247,788,639,777,824,783,591,343,1032,1202,1200,1223,866,589,585,600,658,514,464,124,113,97,94,Default,
23874,526,704,624,1149,1708,1480,1644,1279,1728,1848,1619,1126,1567,1606,1597,908,918,1000,945,1243,1165,1183,1247,787,638,777,824,783,589,342,1033,1202,1199,1222,866,589,585,599,658,513,464,124,112,96,93,Default,
23890,528,704,624,1151,1708,1480,1644,1280,1730,1848,1619,1127,1567,1605,1598,909,918,999,945,1243,1165,1183,1246,787,638,775,821,781,588,342,1032,1201,1198,1220,865,588,583,599,655,512,463,126,112,95,93,Default,
23906,528,705,626,1151,1711,1482,1645,1281,1731,1848,1620,1127,1567,1604,1596,907,917,999,945,1242,1164,1183,1245,786,638,775,820,779,588,341,1032,1198,1195,1218,862,584,584,596,655,511,462,123,110,95,94,Default,
23922,529,708,626,1152,1714,1483,1646,1281,1732,1851,1620,1126,1567,1604,1596,907,915,997,943,1241,1163,1181,1243,786,635,773,818,779,587,340,1031,1197,1193,1215,861,587,582,596,654,509,461,122,112,95,93,Default,
