Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Label,
936482,319,439,401,739,1291,1119,1249,871,1334,1495,1562,737,1173,1239,1265,648,659,732,689,825,834,864,909,566,436,558,595,570,467,276,784,1014,1116,1154,803,559,474,501,573,422,418,79,70,58,59,Default,
936498,322,440,403,743,1297,1128,1255,874,1340,1499,1566,737,1177,1243,1267,644,654,726,686,817,830,858,904,558,433,555,592,565,464,277,781,1009,1111,1148,796,559,468,496,568,418,414,81,72,58,60,Default,
936514,325,450,408,745,1301,1133,1260,873,1343,1502,1569,733,1178,1243,1265,643,654,725,684,812,825,856,900,554,431,551,588,563,460,273,774,1003,1101,1137,791,555,466,494,567,417,413,76,68,56,58,Default,
936530,328,456,414,749,1307,1136,1264,879,1347,1503,1568,740,1179,1243,1266,644,654,727,684,811,825,851,894,550,431,550,586,560,456,272,773,999,1094,1128,785,551,465,490,562,412,410,77,65,56,58,Default,
936546,329,458,416,750,1309,1138,1264,878,1349,1504,1568,740,1181,1244,1265,644,657,729,686,811,821,850,891,546,428,547,582,558,451,269,771,995,1091,1125,783,547,461,487,557,410,409,80,70,58,59,Default,
936562,332,460,418,752,1311,1142,1267,880,1351,1505,1569,742,1181,1244,1265,642,654,726,684,808,821,846,887,546,428,547,580,555,450,269,771,994,1090,1120,780,551,463,488,558,409,407,78,69,57,59,Default,
936578,334,463,419,753,1313,1146,1271,880,1352,1508,1571,742,1181,1244,1266,642,655,725,684,808,819,845,885,543,427,543,578,552,447,267,769,990,1085,1116,775,547,460,485,553,407,404,78,68,57,58,Default,
936594,335,466,422,755,1318,1149,1272,884,1355,1509,1574,742,1182,1246,1266,640,653,726,683,803,815,841,881,538,422,538,572,546,442,265,766,987,1078,1108,769,548,459,481,549,403,400,74,65,53,55,Default,
936610,336,469,424,758,1322,1151,1275,884,1358,1509,1576,742,1182,1244,1264,639,651,724,679,801,815,841,879,534,419,531,564,537,437,263,762,981,1072,1095,762,541,457,478,545,401,396,72,62,52,53,Default,
936626,339,472,427,758,1325,1155,1277,884,1360,1512,1575,743,1181,1245,1264,641,649,720,677,800,813,838,878,533,417,527,563,532,433,259,757,976,1065,1084,757,534,453,475,538,397,393,72,59,52,53,Default,
936642,342,477,431,759,1328,1156,1279,885,1360,1512,1575,741,1181,1244,1262,635,646,719,675,794,809,835,874,529,417,527,563,534,433,258,756,974,1062,1083,755,538,452,475,538,398,393,68,60,48,51,Default,
936658,343,479,432,759,1326,1156,1278,883,1359,1509,1571,739,1178,1239,1258,633,646,717,673,794,809,833,871,527,414,525,560,531,429,259,752,968,1057,1078,757,536,452,475,539,399,392,71,62,49,53,Default,
936674,340,477,429,755,1323,1152,1277,878,1353,1505,1565,737,1174,1238,1253,627,642,710,668,791,804,829,866,523,412,521,560,526,430,258,745,964,1053,1073,751,530,451,474,538,399,391,73,62,52,53,Default,
936690,344,481,433,758,1326,1156,1279,880,1356,1505,1566,736,1175,1236,1252,630,641,711,668,788,804,828,864,518,412,522,558,528,427,257,742,958,1048,1065,746,527,449,472,536,397,389,72,62,52,53,Default,
936706,344,484,435,758,1327,1156,1280,878,1356,1505,1567,733,1172,1235,1250,626,641,709,668,783,800,824,861,516,410,516,552,524,422,253,733,952,1040,1057,742,524,450,473,534,397,387,72,61,51,53,Default,
936722,347,485,436,759,1329,1158,1282,878,1355,1504,1567,734,1169,1233,1247,623,637,706,664,783,797,822,859,514,408,512,548,519,419,252,732,945,1032,1048,737,518,449,471,533,396,384,70,58,49,51,Default,
936738,348,489,439,761,1334,1159,1285,880,1357,1508,1567,734,1171,1235,1247,621,634,705,663,781,798,820,859,511,405,510,546,517,415,249,728,938,1026,1040,731,524,446,468,529,392,381,69,59,49,51,Default,
936754,348,490,439,761,1338,1162,1287,880,1357,1507,1568,733,1172,1235,1246,620,634,704,661,780,794,819,856,508,403,507,543,514,412,248,726,936,1023,1034,725,516,443,466,528,391,381,68,59,50,52,Default,
936770,349,492,440,764,1339,1165,1291,882,1359,1507,1569,737,1171,1236,1247,621,632,704,662,779,793,818,855,509,405,509,544,514,414,249,725,935,1021,1036,725,516,447,469,532,392,382,70,59,49,52,Default,
936786,351,493,442,763,1340,1166,1290,880,1358,1509,1568,734,1170,1233,1244,617,632,703,661,775,791,815,853,507,402,508,544,514,414,248,724,934,1020,1034,725,512,445,468,531,393,381,69,59,49,51,Default,
936802,352,494,443,764,1341,1167,1290,881,1360,1508,1568,733,1172,1234,1244,617,634,702,659,771,790,813,850,506,402,506,541,511,411,248,725,934,1019,1032,723,520,447,468,530,389,381,69,58,49,52,Default,
936818,352,496,443,765,1343,1167,1293,881,1359,1509,1568,733,1171,1234,1244,617,631,701,659,769,788,810,847,504,400,502,538,508,409,248,722,931,1017,1028,721,514,447,469,530,391,381,69,59,49,51,Default,
936834,352,497,444,764,1344,1169,1293,878,1360,1509,1568,731,1169,1232,1243,617,630,700,657,765,786,809,845,501,398,501,535,505,407,245,719,928,1013,1023,718,512,446,468,529,386,378,71,59,50,51,Default,
936850,353,498,447,765,1347,1169,1293,879,1362,1509,1568,731,1169,1232,1241,615,629,700,655,764,784,808,844,501,398,498,534,503,404,245,721,930,1015,1025,719,511,443,467,526,385,379,70,59,49,52,Default,
936866,354,499,446,766,1348,1169,1294,882,1361,1509,1569,733,1169,1233,1243,617,630,700,658,765,786,808,845,504,397,498,534,504,406,244,721,928,1014,1024,720,511,443,467,528,387,377,70,58,49,51,Default,
936882,354,500,448,768,1350,1171,1296,884,1364,1511,1570,735,1171,1235,1243,618,632,702,659,765,787,808,845,502,398,501,535,505,406,245,725,930,1014,1025,720,511,445,468,530,388,380,66,58,49,49,Default,
936898,356,501,449,769,1352,1173,1297,883,1366,1515,1573,734,1173,1237,1245,619,633,704,661,767,787,810,847,505,401,504,538,509,409,246,723,931,1015,1024,722,511,447,469,530,389,381,68,58,48,49,Default,
936914,356,501,449,771,1354,1175,1301,885,1367,1516,1576,737,1174,1238,1247,621,634,707,663,769,787,811,848,505,402,504,539,509,410,248,721,931,1016,1025,721,511,451,470,532,389,378,69,58,49,50,Default,
936930,356,502,451,775,1359,1178,1302,889,1369,1518,1576,737,1175,1239,1247,622,636,707,663,769,790,812,849,505,402,506,541,510,409,248,726,932,1017,1027,722,513,451,472,534,390,382,68,59,49,51,Default,
936946,359,504,450,778,1365,1181,1306,891,1373,1521,1579,739,1177,1241,1248,624,637,707,665,770,790,812,850,505,404,506,541,510,410,247,727,932,1018,1027,721,518,450,472,533,390,381,68,58,48,49,Default,
936962,360,505,451,783,1373,1188,1313,896,1380,1527,1585,744,1177,1243,1252,625,639,710,666,772,791,813,850,505,405,505,541,510,411,248,729,935,1018,1028,721,509,450,471,532,391,381,68,58,49,49,Default,
936978,361,509,455,787,1381,1193,1318,903,1384,1532,1590,746,1183,1245,1252,626,641,712,667,771,792,815,851,505,405,506,541,511,409,247,729,936,1019,1028,721,517,449,470,530,388,381,68,59,48,49,Default,
936994,365,516,460,790,1384,1196,1322,904,1388,1535,1592,744,1185,1247,1252,630,643,713,669,772,792,816,852,505,406,507,543,511,411,247,729,936,1021,1029,721,512,447,469,530,389,380,67,58,48,51,Default,
937010,367,516,460,793,1386,1198,1326,908,1389,1536,1595,750,1187,1248,1255,631,646,715,671,775,795,816,854,509,409,508,543,512,412,248,729,939,1022,1032,721,513,448,470,530,389,381,67,58,49,50,Default,
937026,369,518,461,797,1391,1199,1327,912,1390,1538,1596,749,1189,1250,1255,632,646,714,671,777,795,817,854,507,406,508,544,513,413,248,733,940,1023,1032,724,514,445,471,530,390,382,67,58,49,49,Default,
937042,371,522,464,801,1395,1204,1330,916,1395,1541,1599,754,1189,1251,1256,634,646,717,673,778,797,818,856,508,409,509,544,513,413,248,737,941,1024,1034,724,514,450,472,531,390,382,70,57,48,49,Default,
937058,373,524,467,803,1400,1206,1332,920,1397,1542,1600,757,1190,1251,1257,636,646,718,673,777,800,817,854,509,410,511,544,514,414,248,737,942,1024,1035,722,514,450,471,532,389,382,66,57,48,49,Default,
937074,374,525,468,804,1400,1207,1334,920,1398,1541,1600,757,1189,1250,1256,637,646,717,672,776,797,817,856,507,410,510,544,514,414,248,738,942,1025,1035,722,514,451,473,531,390,383,68,61,49,50,Default,
937090,374,526,468,805,1399,1208,1334,919,1399,1542,1600,754,1189,1251,1256,634,645,716,671,775,796,816,853,506,407,509,543,512,412,247,738,941,1023,1034,722,514,451,470,531,389,381,66,58,47,50,Default,
937106,376,528,470,805,1399,1209,1334,920,1399,1541,1600,757,1190,1252,1256,634,646,715,671,775,795,816,853,508,410,509,543,511,411,248,736,942,1024,1035,723,509,451,471,531,389,383,68,55,49,51,Default,
937122,376,530,471,806,1401,1209,1335,920,1400,1542,1600,757,1191,1250,1257,635,647,716,673,775,795,815,854,507,409,510,543,513,412,248,738,944,1025,1035,721,517,451,472,532,389,381,67,56,46,49,Default,
937138,377,530,472,808,1403,1210,1336,923,1401,1543,1602,757,1193,1252,1257,636,648,718,673,775,795,816,853,508,410,510,544,513,414,248,739,944,1025,1035,723,514,451,472,533,389,383,70,58,48,49,Default,
937154,377,531,472,809,1404,1212,1338,924,1402,1546,1604,759,1193,1253,1258,636,648,718,672,776,797,816,854,509,410,512,546,515,413,249,742,944,1026,1035,722,515,449,472,531,389,381,69,59,49,51,Default,
937170,379,530,472,810,1407,1214,1340,926,1405,1548,1605,760,1197,1256,1261,636,648,718,674,775,798,816,854,508,411,513,547,514,414,248,740,946,1025,1036,723,514,451,472,531,389,382,71,58,49,50,Default,
937186,378,533,473,812,1410,1215,1341,927,1409,1550,1608,761,1200,1258,1263,636,647,717,674,775,797,817,854,507,410,511,545,514,414,248,742,945,1026,1035,721,512,451,471,530,388,380,69,59,49,51,Default,
937202,385,539,480,816,1421,1221,1347,933,1417,1554,1615,767,1205,1264,1269,638,652,721,677,776,798,817,853,508,411,511,544,513,414,247,742,946,1025,1034,721,509,448,468,527,385,377,69,57,48,49,Default,
937218,387,542,482,820,1424,1224,1351,938,1422,1559,1618,770,1210,1268,1272,640,653,722,677,776,799,818,853,507,410,511,543,511,412,245,742,945,1024,1033,721,512,447,467,525,385,377,67,58,46,49,Default,
937234,389,544,484,822,1428,1227,1355,940,1426,1563,1620,771,1214,1270,1275,643,657,725,683,779,801,820,856,508,411,511,544,513,415,247,742,947,1025,1034,719,508,443,465,526,386,377,68,59,49,51,Default,
