Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
42842,0.157819,9.78001,1.07604,-0.28,0.07,0.28,25.5243,-41.223,-4.05391,1014.51
42848,0.176949,9.75131,1.0856,-0.07,0.35,0.49,25.8967,-42.0333,-3.34505,1014.52
42854,0.148254,9.76088,1.07126,-0.14,0.07,0.28,25.7535,-41.686,-3.45847,1014.52
42860,0.148254,9.78001,1.06169,-0.28,0.28,0.21,25.3524,-41.9175,-3.89796,1014.52
42866,0.157819,9.80392,1.07604,-0.42,0.14,0.21,25.6389,-42.5252,-2.45189,1014.5
42872,0.11956,9.78001,1.08082,-0.7,0.07,0.14,25.5816,-43.0751,-3.16075,1014.5
42878,0.148254,9.74175,1.10473,-0.49,0.35,0.42,25.3524,-41.9175,-4.15315,1014.54
42884,0.196078,9.71784,1.11908,0,-0.07,0.49,25.5816,-41.7149,-3.61442,1014.54
42890,0.129125,9.7274,1.13821,-0.07,0.42,-0.14,25.3811,-43.0751,-1.96987,1014.52
42896,0.143472,9.70349,1.14299,0,-0.21,0.21,24.6362,-41.9465,-3.65695,1014.52
42902,0.148254,9.71784,1.11908,0.42,-17.64,-0.14,25.954,-41.9175,-3.38758,1014.54
42908,0.133907,9.71784,1.09517,0.42,-0.21,-0.28,25.9253,-42.6989,-2.31012,1014.54
42914,0.153037,9.7274,1.1143,0.21,-0.42,-0.14,24.9227,-42.2358,-3.17493,1014.5
42920,0.143472,9.73218,1.12865,0.91,-0.35,-0.21,25.0659,-41.7439,-3.65695,1014.5
42926,0.162602,9.7561,1.1143,0.77,-0.35,-0.42,25.8108,-42.6989,-3.20328,1014.49
42932,0.133907,9.75131,1.08082,0.63,-0.84,-0.14,25.2378,-43.4223,-4.1815,1014.49
42938,0.13869,9.78479,1.09039,0.98,-0.35,-0.07,26.0686,-42.0043,-3.14657,1014.53
42944,0.129125,9.84218,1.05691,0.49,-0.35,0,25.868,-41.8307,-3.96885,1014.53
42950,0.148254,9.83261,1.02822,0.28,0,-0.07,24.579,-43.2487,-2.90556,1014.53
42956,0.153037,9.82305,1.05691,-0.07,0,-0.14,25.6389,-42.178,-3.40176,1014.52
42962,0.11956,9.81349,1.04735,-0.21,-0.21,0.14,25.9253,-41.223,-3.52935,1014.52
42968,0.129125,9.78479,1.08082,0.07,-0.07,0.07,25.467,-42.4963,-3.28834,1014.53
42974,0.153037,9.80392,1.05213,-0.07,-0.07,0.14,25.6962,-42.5542,-4.13897,1014.53
42980,0.153037,9.7274,1.10952,-0.07,-0.35,0,25.6675,-41.5702,-3.37341,1014.48
42986,0.153037,9.70827,1.14778,0.14,0.07,0,25.8108,-42.0622,-3.48682,1014.48
