Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
316796,-4.83501,-2.34816,8.13964,5.81,-1.68,2.03,28.5743,-18.6122,-39.9429,1014.88
316802,-4.87327,-2.31946,8.06791,5.11,-0.21,1.96,29.0683,-17.9029,-39.7213,1014.85
316808,-4.91631,-2.33381,8.05356,4.27,0.56,0.98,28.8068,-18.4272,-39.8986,1014.85
316814,-4.945,-2.33381,8.08226,3.22,1.61,0.98,29.1555,-18.3347,-40.0907,1014.85
316820,-4.98326,-2.2812,8.18269,2.31,3.15,0.21,29.0683,-17.9955,-40.9773,1014.86
316826,-4.99761,-2.27164,8.2879,1.96,3.57,-0.35,28.8068,-17.502,-40.2976,1014.86
316832,-4.91152,-2.31468,8.28312,0.49,4.2,-1.33,29.417,-18.458,-39.9429,1014.87
316838,-4.84457,-2.35772,8.33094,-0.28,4.06,-3.01,29.5332,-18.2113,-41.0807,1014.87
316844,-4.92109,-2.37207,8.35485,-1.12,3.5,-3.71,29.7947,-17.3787,-40.7556,1014.88
316850,-5.00717,-2.44859,8.39311,-1.33,3.64,-3.92,28.9521,-17.8413,-41.2433,1014.88
316856,-5.04065,-2.53945,8.40746,-0.84,3.22,-5.25,28.894,-17.9955,-39.8691,1014.87
316862,-5.01674,-2.66858,8.34529,-1.89,3.29,-6.44,29.7947,-17.5329,-40.8295,1014.87
316868,-5.04065,-2.70206,8.32616,-1.89,3.15,-7.21,29.6494,-18.6431,-40.7556,1014.91
316874,-4.94022,-2.66858,8.27355,-1.68,3.85,-8.75,29.6785,-17.8104,-41.3467,1014.91
316880,-4.8924,-2.58728,8.34051,-0.91,3.64,-11.55,29.8238,-18.3655,-41.258,1014.91
316886,-4.84935,-2.54424,8.41702,0.28,3.85,-11.97,29.1264,-18.3038,-41.657,1014.88
316892,-4.84457,-2.53467,8.43137,1.82,3.08,-13.93,29.3298,-17.7179,-40.7556,1014.88
316898,-4.87805,-2.59684,8.39311,2.24,3.15,-14,30.2306,-17.9029,-42.5436,1014.87
316904,-4.93544,-2.65901,8.45528,3.01,2.59,-14.7,30.0272,-17.7179,-41.391,1014.87
316910,-4.92109,-2.74032,8.51745,3.36,2.24,-14.98,29.446,-18.3964,-40.933,1014.86
316916,-4.83979,-2.86466,8.60354,3.64,2.31,-14.77,29.7366,-17.8104,-41.3171,1014.86
316922,-4.85414,-2.9077,8.65136,4.55,3.22,-13.72,29.5042,-17.6871,-41.125,1014.88
316928,-4.8637,-2.86466,8.77092,4.55,2.94,-12.81,29.3008,-17.8104,-41.3171,1014.88
316934,-4.87327,-2.85988,8.8044,4.69,2.59,-10.99,30.3759,-17.5945,-40.8295,1014.88
316940,-4.75371,-2.95074,8.82353,4.06,2.1,-9.1,30.1143,-17.7796,-40.7261,1014.86
316946,-4.77284,-2.94596,8.86657,4.55,1.68,-7.63,30.6955,-18.1188,-41.7604,1014.86
316952,-4.69153,-3.02248,8.90483,3.01,0.91,-6.86,29.9691,-17.4095,-41.2728,1014.89
316958,-4.65328,-3.12291,8.82831,1.4,0.49,-7.63,30.2306,-18.0571,-41.4945,1014.89
316964,-4.63415,-3.2329,8.83309,-0.42,0.42,-8.54,29.9691,-17.7796,-40.2089,1014.9
316970,-4.71066,-3.2329,8.86657,-2.31,0.28,-8.89,30.1725,-18.1188,-39.6179,1014.9
316976,-4.73936,-3.20421,8.79483,-2.8,-0.56,-8.75,30.1434,-18.088,-40.8295,1014.84
316982,-4.7011,-3.20421,8.74223,-3.22,0.14,-9.24,30.5502,-17.7796,-40.933,1014.84
316988,-4.65328,-3.12769,8.57484,-3.99,1.33,-10.92,29.9981,-17.8721,-40.1941,1014.84
316994,-4.70588,-3.06074,8.54137,-3.29,0.98,-10.92,30.3759,-17.5329,-40.5044,1014.86
317000,-4.75371,-2.91248,8.50789,-2.73,0.77,-11.27,30.0853,-17.5637,-41.5979,1014.86
317006,-4.81109,-2.86466,8.48876,-2.03,0.35,-11.69,29.6494,-16.7927,-40.4749,1014.87
317012,-4.91152,-2.80249,8.40746,-1.82,-0.07,-11.55,30.5211,-16.8544,-41.0512,1014.87
317018,-4.95457,-2.83596,8.42181,-1.82,0.49,-10.22,29.5913,-18.1188,-40.5783,1014.84
317024,-5.02152,-2.92205,8.41224,-1.4,0.91,-10.36,30.8408,-16.731,-42.5288,1014.84
317030,-4.99761,-3.00813,8.44572,-1.75,2.52,-9.66,31.0151,-16.9469,-40.9921,1014.89
317036,-5.00717,-3.12769,8.47441,-2.52,3.08,-9.66,30.0562,-16.731,-41.0955,1014.89
317042,-5.05021,-3.16595,8.52224,-3.85,2.52,-9.59,30.4921,-16.2684,-41.2876,1014.88
317048,-5.05978,-3.26638,8.49354,-4.97,2.52,-10.36,30.4049,-16.4226,-41.0364,1014.88
317054,-5.1363,-3.33333,8.49833,-5.32,3.15,-11.97,30.6664,-17.4095,-40.6227,1014.88
317060,-5.16499,-3.37159,8.4792,-6.02,1.68,-14.49,31.0732,-16.8852,-40.8147,1014.85
317066,-5.09804,-3.47202,8.42181,-6.58,0.63,-16.94,30.434,-16.6077,-41.2728,1014.85
317072,-5.09804,-3.45289,8.49833,-5.74,-0.35,-20.44,30.2306,-15.6208,-39.3519,1014.87
317078,-5.11239,-3.42898,8.57963,-3.64,-0.42,-24.64,30.8698,-15.4358,-40.4897,1014.87
317084,-5.1889,-3.37637,8.60354,-1.68,-0.7,-27.79,30.5211,-15.5591,-39.6622,1014.86
317090,-5.45672,-3.27594,8.64658,0,-1.05,-28.42,30.7245,-16.1759,-41.0068,1014.86
317096,-5.51411,-3.22812,8.56528,0.91,-0.77,-29.61,30.7245,-16.1142,-40.6818,1014.89
317102,-5.59541,-3.18986,8.57484,2.24,-0.49,-30.38,31.2766,-15.5899,-40.1941,1014.89
317108,-5.63367,-3.08465,8.63701,3.71,-0.14,-28.84,29.9981,-15.4358,-40.7113,1014.89
317114,-5.52367,-2.96509,8.8044,6.72,-1.54,-27.16,31.5381,-15.7133,-41.2876,1014.9
317120,-5.42324,-2.93161,8.86179,9.03,-4.76,-25.76,30.7827,-15.5591,-40.7704,1014.9
317126,-5.42324,-2.98422,8.83788,10.64,-7.63,-26.6,30.2596,-15.6208,-40.2089,1014.91
317132,-5.46628,-3.07508,8.73744,11.97,-10.57,-29.19,31.1894,-15.7133,-41.2285,1014.91
317138,-5.59063,-3.29986,8.6131,13.37,-11.9,-33.39,31.7996,-15.5283,-40.8,1014.89
317144,-5.63367,-3.41463,8.5605,14.98,-11.97,-37.24,31.1313,-16.0217,-40.3567,1014.89
317150,-5.57628,-3.47202,8.44572,16.8,-12.46,-39.2,30.8408,-16.3609,-41.3024,1014.92
317156,-5.60976,-3.51028,8.54137,18.27,-14.91,-41.16,31.0151,-15.4049,-39.9282,1014.92
317162,-5.49976,-3.56289,8.62267,18.97,-16.87,-42.77,31.7415,-14.418,-40.9034,1014.9
317168,-5.21282,-3.60593,8.61789,20.44,-16.8,-44.17,31.451,-14.3255,-41.3319,1014.9
317174,-4.85414,-3.56289,8.73266,21,-16.52,-45.29,31.3928,-15.2507,-40.9773,1014.9
317180,-4.67719,-3.64897,8.75657,21.63,-18.13,-47.88,32.1483,-15.004,-41.2433,1014.89
317186,-4.74414,-3.55811,8.87613,21.7,-23.87,-52.01,31.1313,-14.7573,-40.6227,1014.89
317192,-4.92109,-3.54376,8.80918,22.12,-29.82,-57.61,31.0151,-15.004,-41.1842,1014.86
317198,-5.13152,-3.62506,8.84266,23.87,-36.05,-64.54,31.0442,-15.1582,-40.5192,1014.86
317204,-5.54758,-3.62028,8.87135,25.27,-42.07,-70.98,30.6083,-14.5722,-40.6079,1014.85
317210,-5.79627,-3.61549,8.87135,26.04,-44.87,-74.9,30.6664,-14.6648,-41.7457,1014.85
317216,-5.89192,-3.58202,8.83309,27.09,-44.73,-74.9,31.2766,-14.3255,-40.2089,1014.9
317222,-5.83453,-3.53419,8.67049,27.72,-41.23,-72.52,31.0151,-14.1713,-42.2776,1014.9
317228,-5.61454,-3.45768,8.4505,28.07,-33.88,-68.04,30.0853,-14.0171,-40.7113,1014.9
317234,-5.44715,-3.3429,8.35485,28.28,-27.93,-63.7,30.5793,-14.5722,-40.9921,1014.87
317240,-5.30368,-3.08465,8.57006,29.05,-24.71,-59.29,30.6955,-13.8012,-40.3567,1014.87
317246,-5.33238,-2.96509,8.86179,32.41,-27.93,-57.75,30.8698,-14.3255,-39.7656,1014.88
317252,-5.08369,-3.01769,9.03874,37.38,-33.32,-57.68,30.957,-13.3386,-41.4649,1014.88
317258,-4.80631,-3.13247,9.00526,43.96,-36.47,-59.71,31.3057,-14.418,-41.4501,1014.85
317264,-4.32807,-3.38116,8.87613,50.54,-37.31,-63.56,30.986,-13.8629,-40.9773,1014.85
317270,-4.22286,-3.52463,8.77092,57.61,-36.26,-66.92,30.4049,-13.4003,-42.2185,1014.89
317276,-4.24677,-3.66332,8.78527,64.33,-33.18,-67.9,30.7827,-13.4003,-41.3319,1014.89
317282,-4.39024,-3.58202,8.55093,67.9,-28.21,-66.85,31.0732,-14.0788,-41.2433,1014.89
317288,-4.17025,-2.94596,8.47441,68.39,-23.38,-63.63,30.6374,-14.6031,-41.0512,1014.88
317294,-3.90244,-2.41511,8.63701,68.46,-23.94,-59.64,30.3177,-14.0788,-41.1694,1014.88
317300,-3.78766,-0.97561,8.30703,65.66,-27.02,-53.27,30.4049,-13.9863,-41.923,1014.89
317306,-3.99809,-0.0669536,7.91487,60.83,-29.47,-44.03,30.3468,-14.9732,-42.647,1014.89
317312,-4.31372,-0.655189,8.07269,43.68,-36.47,-42.21,29.8819,-14.6339,-41.2728,1014.89
317318,-3.70636,0.210426,5.19847,5.25,-22.4,-39.06,29.9691,-13.7704,-41.6718,1014.89
317324,-3.48159,-0.722142,6.40363,-25.34,-7.42,-43.54,29.7366,-14.5722,-42.1151,1014.88
317330,-2.80727,-1.86514,8.15399,-35.07,-2.03,-45.43,30.1434,-14.4489,-42.1003,1014.88
317336,-3.14204,-1.54472,8.11095,-31.99,-4.76,-42.07,31.0442,-13.9863,-41.8343,1014.87
317342,-2.77379,-1.04256,8.00096,-28.42,-8.89,-38.43,30.463,-14.3872,-42.647,1014.87
317348,-2.29077,-1.96078,8.53658,-29.96,-3.78,-42.49,30.0853,-13.6779,-41.8048,1014.87
317354,-1.4682,-3.81636,8.66093,-4.2,-8.33,-49.84,29.8238,-12.6602,-42.1594,1014.9
317360,-1.48733,-3.08465,8.90005,-13.02,-10.85,-70.49,30.2887,-12.7527,-41.2876,1014.9
317366,-1.61645,-5.06456,9.4022,-20.23,-27.72,-89.18,30.2015,-13.2461,-41.6274,1014.9
317372,-1.85079,-4.55763,10.2009,-19.32,-37.66,-99.33,30.3177,-11.9817,-40.933,1014.9
317378,-2.61119,-4.68197,10.4448,-24.22,-43.61,-95.13,30.1143,-11.5808,-40.7409,1014.88
317384,-3.18986,-3.95026,9.98565,-21.98,-40.67,-78.33,29.5913,-11.5499,-42.381,1014.88
317390,-3.87374,-3.64897,9.10091,-27.51,-31.01,-60.62,30.5502,-10.4706,-41.5683,1014.87
317396,-3.9933,-3.3429,8.80918,-33.95,-15.12,-46.97,30.4921,-10.4706,-42.1889,1014.87
317402,-3.46246,-3.51028,8.76136,-36.26,3.5,-38.43,29.9109,-10.4089,-42.1594,1014.87
317408,-3.0703,-3.01769,8.53658,-39.55,19.53,-32.9,30.1725,-10.5631,-42.381,1014.85
317414,-3.25681,-2.44381,8.15399,-37.73,29.19,-24.01,30.4049,-9.97712,-42.7061,1014.85
317420,-3.65854,-2.72119,8.29746,-28.7,32.27,-12.74,30.5793,-9.23696,-42.3367,1014.91
317426,-2.85988,-2.64945,8.28312,-13.09,40.53,-7,30.463,-8.89772,-43.2972,1014.91
317432,-3.3955,-2.87422,8.79005,9.17,42.35,3.92,31.0732,-9.54536,-42.4254,1014.92
317438,-2.54902,-2.41511,8.11573,22.89,48.86,14.84,31.451,-9.422,-42.2037,1014.92
317444,-2.67336,-2.32903,8.05834,26.53,49.42,26.53,31.7996,-9.60704,-41.4501,1014.92
317450,-2.88379,-2.49163,7.97226,25.2,45.29,33.11,31.6834,-10.2855,-40.2237,1014.92
317456,-2.99856,-2.65901,8.23529,24.71,38.92,34.65,32.2645,-9.8846,-41.2876,1014.92
317462,-2.7164,-2.81683,8.29746,26.6,35.07,31.92,32.3808,-10.0696,-41.1103,1014.91
317468,-2.41511,-2.76423,8.41702,32.55,31.99,28.91,32.003,-10.008,-42.1003,1014.91
317474,-2.34338,-2.87422,8.43137,43.47,29.82,24.43,32.6423,-10.8098,-41.0068,1014.91
317480,-2.54424,-3.06074,8.44572,60.97,24.64,21.07,33.02,-11.149,-41.4501,1014.91
317486,-2.80249,-3.13725,8.69919,84.49,16.24,19.53,33.0491,-11.92,-40.8738,1014.91
317492,-2.99856,-2.98422,9.18699,108.92,5.18,19.67,32.4679,-12.8761,-41.6127,1014.91
317498,-2.87422,-2.91248,9.61741,127.89,-7.77,18.2,32.5261,-12.3826,-40.3123,1014.89
317504,-2.63988,-2.8264,9.7274,141.05,-18.34,14.98,32.5261,-13.277,-40.0907,1014.89
317510,-2.65423,-2.67814,9.46437,142.8,-28.21,11.27,32.0902,-14.048,-41.125,1014.87
317516,-2.57771,-2.54424,9.17264,137.34,-36.4,6.16,32.0612,-14.418,-40.7852,1014.87
317522,-2.45337,-2.32425,8.92396,125.58,-36.68,4.27,32.0902,-15.2507,-40.8886,1014.87
317528,-3.01769,-1.14778,10.856,100.52,-52.01,9.1,31.3347,-16.0217,-41.0364,1014.92
317534,-1.75514,-1.72645,9.73697,80.71,-50.68,11.76,31.451,-15.8367,-40.6818,1014.92
317540,-1.73123,-2.54424,9.22047,75.46,-38.64,10.71,31.4219,-16.6693,-39.8543,1014.87
317546,-2.48685,-2.69727,9.56958,81.48,-36.33,13.02,30.986,-17.0703,-40.6227,1014.87
317552,-3.29507,-2.50598,9.7274,91.7,-38.36,16.45,30.7827,-17.2553,-39.8986,1014.9
317558,-3.36203,-2.13773,9.99043,99.12,-44.87,19.88,30.7536,-17.8104,-40.3862,1014.9
317564,-3.01291,-1.85557,9.51219,97.58,-45.92,23.03,30.6955,-18.7973,-39.8986,1014.89
317570,-3.52941,-1.33907,11.0139,97.02,-62.65,28.49,30.4049,-18.8898,-39.9725,1014.89
317576,-2.44381,-2.26208,13.4577,117.67,-99.61,32.62,30.0562,-19.3524,-40.6079,1014.89
317582,-0.889526,-2.46294,9.45002,118.79,-94.85,24.01,29.6204,-20.1234,-40.5044,1014.9
317588,-1.50646,-1.55906,7.75705,101.15,-74.97,21.77,28.9521,-20.4318,-39.6179,1014.9
317594,-2.24773,-0.932568,8.21616,87.57,-60.69,30.1,28.5162,-21.1411,-39.9282,1014.89
317600,-2.86944,-0.946915,8.4505,81.69,-51.45,35.35,28.5162,-20.7402,-41.0512,1014.89
