Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
70232,8.37877,-4.43328,-3.4768,-3.5,-5.11,-5.32,-57.1784,12.9217,-10.9582,1011.96
70238,8.29746,-4.25155,-3.46724,-6.72,-4.97,-5.81,-57.4363,12.4876,-10.3344,1011.98
70244,8.30703,-4.11286,-3.4768,-8.05,-4.9,-7.42,-57.6081,13.6162,-11.3268,1011.98
70250,8.34051,-3.8307,-3.57245,-8.89,-3.29,-7.63,-57.8373,13.0085,-10.6605,1011.98
70256,8.29746,-3.70636,-3.50072,-10.92,-2.52,-7.84,-57.1784,12.5166,-10.7597,1011.98
70262,8.17312,-3.62028,-3.43376,-9.94,-1.68,-7,-57.0925,13.0085,-10.7313,1011.94
70268,8.05834,-3.51985,-3.40507,-7.14,-2.52,-5.53,-56.5769,13.2979,-10.7172,1011.94
70274,8.04878,-3.46246,-3.46724,-7,-2.87,-4.13,-56.5769,12.8349,-10.8731,1011.96
70280,8.18747,-3.36681,-3.56767,-5.39,-1.96,-1.47,-57.1211,13.1243,-11.4827,1011.96
70286,8.23529,-3.3142,-3.63462,-3.71,-0.84,1.33,-57.0352,13.0664,-10.6888,1011.93
70292,8.26399,-3.34768,-3.59636,-2.59,0.28,1.82,-57.1784,12.4587,-10.1501,1011.93
70298,8.35964,-3.46724,-3.57724,-0.21,1.05,2.17,-57.0639,12.5166,-10.6463,1011.93
70304,8.35964,-3.53898,-3.60115,2.31,1.33,1.96,-56.7774,13.269,-9.54046,1011.97
70310,8.41702,-3.60115,-3.68723,3.92,1.12,1.54,-57.4363,12.9796,-9.88071,1011.97
70316,8.44572,-3.56767,-3.70636,4.34,1.05,2.1,-57.379,12.777,-11.1283,1011.94
70322,8.43137,-3.53419,-3.78766,2.38,1.75,2.45,-57.4076,12.8638,-10.9156,1011.94
70328,8.42659,-3.51985,-3.71114,0.98,2.03,2.31,-57.3503,12.6902,-10.306,1011.92
70334,8.33572,-3.51028,-3.59636,-0.14,2.1,2.31,-57.0352,12.5455,-10.4762,1011.92
70340,8.27833,-3.57245,-3.44811,0.28,1.54,2.17,-57.379,13.5584,-10.5754,1011.96
70346,8.2879,-3.51506,-3.40985,0.21,0.35,1.26,-57.78,13.0664,-10.5612,1011.96
70352,8.33094,-3.53419,-3.41463,0.28,-0.42,0.28,-56.7487,13.0953,-10.6321,1011.94
70370,8.38355,-3.63941,-3.47202,0.98,-1.75,-3.78,-56.892,13.3558,-10.306,1011.96
70376,8.43137,-3.62028,-3.47202,1.82,-1.82,-4.55,-57.4935,12.9217,-10.8306,1011.96
70382,8.44094,-3.51028,-3.53419,2.31,-1.54,-5.11,-57.5508,12.8349,-11.4402,1011.94
70388,8.46485,-3.49115,-3.50072,3.29,-0.91,-4.69,-58.0665,12.7481,-11.6812,1011.94
70394,8.41702,-3.48637,-3.45289,3.36,-0.07,-3.71,-57.4076,13.0664,-10.8306,1011.97
70400,8.41224,-3.47202,-3.47202,2.87,0.42,-2.94,-57.293,12.8638,-11.5678,1011.97
70406,8.34051,-3.45289,-3.39072,3.71,1.12,-2.03,-56.806,12.9217,-11.6245,1011.97
70412,8.38833,-3.43376,-3.29507,4.55,2.17,-0.77,-57.0352,13.4426,-10.4336,1011.97
70418,8.39311,-3.47202,-3.25681,6.16,3.08,-0.84,-57.5795,12.9217,-11.3268,1011.92
70424,8.38833,-3.59158,-3.17551,6.58,4.13,-2.31,-57.2357,12.8928,-11.185,1011.92
70430,8.35485,-3.68723,-3.12769,8.82,4.83,-4.76,-57.3503,12.6902,-10.3911,1011.95
70436,8.33572,-3.76853,-3.11812,9.52,5.81,-7.84,-57.293,13.0664,-10.4194,1011.95
70442,8.19225,-3.64419,-3.19943,9.45,6.23,-9.94,-56.7487,12.9507,-11.7237,1011.94
70448,8.20182,-3.57245,-3.19464,8.68,6.93,-11.97,-56.7774,12.4298,-10.6888,1011.94
70454,8.29268,-3.45289,-3.15638,8.19,6.72,-13.02,-57.0925,12.5744,-10.9582,1011.93
70460,8.36442,-3.40507,-3.24725,7.91,5.95,-14,-57.7514,12.6323,-10.0508,1011.93
70466,8.52702,-3.35246,-3.46724,8.47,5.18,-12.46,-56.9206,12.2561,-10.1359,1011.93
70472,8.63701,-3.2329,-3.54854,9.66,4.9,-11.41,-56.8633,12.6613,-11.0007,1011.97
70478,8.59397,-3.15638,-3.52463,9.52,4.41,-10.5,-57.2357,12.1982,-10.8306,1011.97
70484,8.50789,-3.13725,-3.45768,10.36,3.99,-10.22,-57.0066,12.4008,-11.3268,1011.98
70490,8.37877,-3.22334,-3.43376,11.48,3.5,-10.64,-56.7774,12.4008,-10.306,1011.98
70496,8.2879,-3.31899,-3.37159,12.46,3.29,-11.69,-57.1784,11.359,-10.5612,1011.96
70502,8.24008,-3.40507,-3.37159,12.67,3.57,-12.46,-57.293,11.7642,-11.0149,1011.96
70508,8.19703,-3.46246,-3.36681,13.02,4.34,-13.44,-57.0639,12.0825,-11.8655,1011.91
70514,8.10139,-3.48637,-3.38594,12.6,5.39,-13.93,-57.2644,11.7931,-11.9222,1011.91
70520,8.06791,-3.53898,-3.37637,12.11,6.44,-13.93,-57.6081,11.822,-12.0356,1011.94
70526,8.10617,-3.50072,-3.35246,9.87,7.35,-13.16,-57.6081,11.2433,-11.185,1011.94
70532,8.1253,-3.45289,-3.38594,9.24,9.87,-11.06,-57.5222,11.3301,-11.2134,1011.92
70538,8.13486,-3.37637,-3.40507,8.26,11.97,-8.47,-56.7487,11.0986,-10.6321,1011.92
70544,8.11095,-3.47202,-3.48637,6.37,13.37,-6.16,-56.6055,11.0696,-11.5536,1011.95
70550,8.06791,-3.5868,-3.54854,5.67,14.63,-3.29,-57.3503,11.5326,-12.4751,1011.95
70556,8.15877,-3.76375,-3.62028,2.87,15.19,-3.08,-56.9779,10.8671,-12.0923,1011.95
70562,8.18269,-3.84027,-3.63941,1.89,13.93,-4.34,-56.4336,10.3751,-12.4184,1011.93
70568,8.37877,-3.95983,-3.76853,-0.84,11.69,-8.33,-56.892,10.9828,-12.6169,1011.93
70574,8.6944,-3.98374,-3.86418,-3.29,9.45,-14.98,-56.7201,10.7513,-12.0782,1011.95
70580,9.00526,-3.90722,-4.022,-3.29,8.26,-21.56,-56.6341,10.5777,-13.0706,1011.95
70586,9.14395,-3.65854,-4.12243,-0.77,6.58,-26.88,-56.4909,10.6645,-12.4326,1011.94
70592,9.05787,-3.49593,-4.06026,0.63,4.48,-30.52,-56.6055,10.3462,-11.7946,1011.94
70598,9.11525,-3.44333,-3.9407,6.16,4.83,-31.78,-56.5769,10.0857,-12.3475,1011.98
70604,8.95744,-3.41942,-3.95026,11.34,5.95,-31.99,-56.5196,10.2015,-11.9931,1011.98
70610,8.71353,-3.39072,-3.88331,13.86,6.72,-30.66,-55.8607,10.4619,-12.9997,1011.95
70616,8.40746,-3.33812,-3.75418,15.47,5.95,-27.3,-56.9206,9.76737,-13.028,1011.95
70622,8.35485,-3.35724,-3.75897,15.61,5.46,-22.4,-57.3503,9.39117,-12.787,1011.95
70628,8.35485,-3.64897,-3.74462,15.4,4.69,-21.07,-56.7201,9.18859,-11.823,1011.95
70634,8.35007,-3.9407,-3.66332,14.42,4.06,-24.29,-55.8034,9.27541,-12.5885,1011.94
70640,8.59397,-4.28503,-3.56289,14.28,5.25,-32.48,-57.4363,8.89921,-12.9572,1011.94
70646,8.71832,-4.31851,-3.53419,12.81,7.84,-42.98,-56.6914,9.07284,-13.0706,1011.94
70652,8.6418,-4.19895,-3.59158,11.55,9.45,-49.63,-57.379,9.36223,-12.0073,1011.96
70658,8.57484,-3.84983,-3.73984,9.03,11.48,-52.71,-56.319,7.88635,-11.9364,1011.96
70664,8.55571,-3.52463,-3.80201,6.72,13.79,-50.96,-56.5769,8.03104,-13.3825,1011.94
70670,8.44094,-3.10856,-3.67767,2.38,15.68,-45.71,-56.6055,7.65483,-13.5101,1011.94
70676,8.31181,-2.96031,-3.53898,-1.12,16.45,-39.34,-56.6914,7.24969,-12.943,1011.96
70682,8.35485,-2.99856,-3.46246,-3.5,17.5,-35,-56.2044,6.64197,-13.2123,1011.96
70688,8.41224,-3.01291,-3.34768,-4.62,19.11,-31.01,-56.6341,6.90242,-13.3683,1011.93
70694,8.50311,-3.05595,-3.28073,-3.71,19.67,-29.05,-56.9206,6.32364,-13.1415,1011.93
70700,8.66093,-3.10378,-3.20899,-2.94,20.3,-29.61,-57.4363,6.09213,-12.9713,1011.92
70706,8.84266,-3.04639,-3.17551,-2.1,20.37,-31.92,-56.3477,5.7738,-13.2549,1011.92
70712,8.90005,-2.91248,-3.18986,-1.96,19.88,-34.58,-56.5482,5.02139,-13.3399,1011.97
70718,8.90005,-2.7977,-3.26638,-0.7,19.04,-35.56,-56.6628,5.42654,-13.1273,1011.97
70724,8.92874,-2.57293,-3.38594,-2.31,17.78,-33.95,-56.7201,5.65805,-13.6518,1011.97
70730,8.93831,-2.23816,-3.34768,-3.36,16.73,-28.77,-56.3477,4.90564,-13.7369,1011.94
70736,9.03395,-2.13773,-3.22812,-2.45,15.75,-23.8,-56.2904,5.45548,-13.2549,1011.94
70742,9.10091,-2.28599,-3.17073,-1.61,16.03,-19.53,-56.4336,5.07927,-13.425,1011.94
70748,9.06743,-2.48207,-3.1803,0.77,16.94,-16.66,-56.9779,4.732,-14.4174,1011.94
70754,8.95744,-2.63988,-3.03204,2.59,17.15,-15.61,-56.6628,5.51335,-14.7293,1011.92
70760,8.86657,-2.84075,-2.86466,3.85,17.99,-15.4,-56.892,4.26898,-14.3182,1011.92
70766,8.85701,-3.04161,-2.7977,5.04,18.27,-17.01,-56.7774,5.13715,-14.0913,1011.93
70772,8.95744,-3.29507,-2.67336,5.04,17.36,-22.68,-56.0039,4.03747,-15.3106,1011.93
70778,9.02439,-3.49593,-2.59684,5.04,16.52,-32.13,-56.319,4.44262,-14.942,1011.93
70784,9.13438,-3.64897,-2.59206,4.83,16.45,-43.05,-56.892,4.2111,-15.424,1011.93
70790,9.2109,-3.59158,-2.59684,4.76,17.43,-51.66,-57.5222,3.42975,-14.6159,1011.94
70796,9.13917,-3.3142,-2.67336,2.73,17.71,-57.33,-56.892,3.71914,-15.3106,1011.94
70802,8.8044,-2.84553,-2.75944,-1.33,19.04,-56.49,-56.8347,2.7931,-14.148,1011.97
70808,8.81875,-2.8264,-2.70206,-3.08,21.14,-55.93,-57.4935,2.85097,-15.027,1011.97
70814,8.61789,-2.52032,-2.43902,-4.27,21.98,-54.88,-57.1784,2.35901,-15.0554,1011.97
70820,8.54137,-2.35294,-2.25251,-3.08,22.12,-52.08,-57.1498,2.15644,-15.183,1011.93
70826,8.65614,-2.19034,-2.1999,-1.4,23.03,-49.63,-57.4935,2.2722,-15.2397,1011.93
70832,8.81875,-1.99426,-2.40076,3.85,22.75,-48.02,-56.4336,1.83811,-15.7784,1011.97
70838,8.93831,-1.89383,-2.64945,8.54,23.38,-46.9,-56.2044,1.05676,-15.4665,1011.97
70844,9.31133,-1.88427,-2.83118,13.51,25.34,-48.65,-56.6055,1.46191,-15.6366,1011.97
70850,9.35916,-1.94165,-2.75466,17.36,27.79,-51.8,-56.2904,1.28827,-15.2538,1011.97
70856,9.13438,-1.99904,-2.54902,20.02,27.58,-53.83,-56.319,0.506923,-15.268,1011.95
70862,9.12482,-2.13295,-2.62554,18.9,24.36,-56.14,-56.0612,0.535862,-15.665,1011.95
70868,9.18699,-2.10426,-2.84553,13.79,23.38,-58.45,-55.9466,-0.274427,-16.147,1011.93
70874,9.09613,-2.13295,-2.80249,5.39,22.96,-59.15,-56.1472,-0.216549,-15.8493,1011.93
70880,9.03874,-2.21425,-2.60641,-1.26,21.7,-59.78,-56.0326,-1.1426,-16.1045,1011.95
70886,8.86657,-2.29077,-2.24773,-6.02,19.88,-60.41,-55.8607,-1.80819,-17.4513,1011.95
70892,8.91439,-2.32425,-2.16164,-9.31,17.43,-62.51,-55.9753,-2.21333,-16.8984,1011.92
70898,9.08656,-2.31946,-2.12817,-10.29,16.73,-66.71,-56.2331,-2.01076,-16.9551,1011.92
70904,9.39263,-2.09947,-2.16643,-8.89,16.87,-71.33,-55.7461,-2.35803,-17.3237,1011.92
70910,9.55045,-1.95122,-2.01339,-5.18,15.96,-77.56,-56.0612,-2.82105,-16.4873,1011.95
70916,9.70827,-1.42037,-1.77427,-3.64,15.4,-84.35,-56.319,-3.77603,-17.0402,1011.95
70922,9.5935,-0.205643,-1.96078,-5.46,0.91,-104.72,-55.5169,-3.92073,-17.267,1011.97
70928,10.2582,0.545194,-2.35772,0.42,5.04,-135.31,-55.1159,-5.3098,-17.4513,1011.97
70934,10.2869,0.45911,-2.19034,9.66,9.87,-145.04,-56.2331,-5.33874,-17.3237,1011.93
70940,10.2487,0.109995,-2.04208,25.34,17.64,-130.41,-55.6888,-6.55417,-16.3171,1011.93
70946,9.70827,-0.0860832,-2.25251,36.47,22.26,-101.99,-54.6289,-7.16189,-16.8417,1011.94
70952,9.34003,-0.148254,-2.44381,37.87,23.73,-78.75,-54.6575,-7.9143,-16.303,1011.94
70958,9.05308,-0.439981,-2.28599,32.34,21.28,-63.35,-54.9154,-8.37732,-16.8984,1011.94
70964,9.05787,-0.659971,-2.10426,23.24,16.45,-58.94,-54.9154,-8.08793,-17.5505,1011.94
70970,9.26351,-0.95648,-2.03252,13.3,11.48,-62.79,-54.457,-8.72459,-15.9202,1011.94
70976,9.69392,-1.51124,-1.93209,3.71,8.26,-73.57,-54.3997,-9.70851,-17.1394,1011.94
70982,9.70349,-1.6308,-1.83166,-4.34,4.76,-85.89,-54.5429,-9.73745,-18.0751,1011.94
70988,9.6748,-1.37733,-1.97035,-9.66,2.03,-94.36,-54.1992,-10.5767,-17.3379,1011.95
70994,9.68436,-0.946915,-2.21425,-15.96,1.75,-98.63,-54.1419,-10.0847,-17.4655,1011.95
71000,9.65088,-0.435198,-2.45337,-19.39,6.23,-96.04,-54.1132,-11.2133,-16.9126,1011.95
71006,9.62697,0.253467,-2.49641,-23.45,10.92,-90.58,-53.4544,-11.358,-17.0969,1011.95
71012,9.93304,0.483022,-2.56337,-25.97,20.37,-82.6,-53.3111,-11.8211,-17.5789,1011.9
71018,10.3826,0.803443,-2.53945,-27.72,30.8,-76.86,-53.9127,-12.9207,-18.3303,1011.9
71024,10.4017,0.755619,-2.32425,-29.4,37.59,-74.27,-53.8841,-13.2969,-19.2802,1011.92
71030,10.1435,0.45911,-1.93209,-26.95,41.51,-72.66,-52.9674,-13.0365,-19.2802,1011.92
71036,9.86609,0.310856,-1.68819,-22.33,41.16,-72.59,-53.2825,-13.8468,-18.9683,1011.94
71042,9.67001,0.105213,-1.53993,-17.71,38.92,-74.9,-52.9387,-13.7889,-19.2093,1011.94
71048,9.62219,-0.205643,-1.20995,-11.69,36.82,-79.24,-53.0247,-14.6571,-18.6847,1011.95
71054,9.62219,-0.320421,-0.966045,-6.44,33.39,-85.96,-52.5377,-15.2648,-19.4645,1011.95
71060,9.74175,-0.105213,-0.985174,-3.78,31.15,-94.22,-52.509,-15.612,-19.8047,1011.95
71066,9.71305,0.105213,-1.21473,-2.45,29.4,-101.43,-52.6809,-17.1458,-20.2442,1011.95
71072,9.5648,0.329986,-1.41081,-3.15,28.14,-105.42,-51.7356,-16.5092,-19.4928,1011.95
71078,9.28742,0.703013,-1.49211,-4.55,27.02,-106.82,-51.4778,-17.551,-20.5277,1011.95
71084,9.05308,0.894309,-1.69775,-5.04,25.41,-104.16,-51.0481,-18.1297,-20.4994,1011.95
71090,8.93831,0.913438,-1.87948,-3.78,25.55,-102.69,-50.3605,-18.7085,-20.3576,1011.92
71096,8.8044,0.908656,-1.76949,-5.88,29.4,-107.1,-51.4205,-19.6346,-20.2442,1011.92
71102,6.64754,2.66858,-0.487805,-20.44,27.37,-128.87,-50.3033,-19.3162,-20.8113,1011.91
71108,5.7054,3.37637,0.707795,-63.91,19.04,-171.5,-49.8449,-20.0976,-20.9672,1011.91
71114,9.5935,-0.602582,-2.08991,-53.13,38.57,-189.91,-49.5298,-21.0815,-21.9455,1011.97
71120,10.11,1.09039,-2.56337,-14.42,42.63,-170.52,-49.1287,-21.6892,-22.1156,1011.97
71126,8.97657,3.52463,-1.72645,-2.38,36.61,-153.65,-48.0688,-22.1812,-22.2432,1011.95
71132,8.39789,3.59636,-1.9847,0.91,29.47,-145.18,-48.0688,-24.2069,-23.0087,1011.95
71138,8.30703,2.45815,-5.69584,-52.36,38.43,-132.16,-47.8969,-23.6571,-21.1799,1011.93
71144,7.94357,0.679101,-3.13725,-53.9,33.46,-108.5,-47.2094,-25.0461,-22.8244,1011.93
71150,8.14443,3.18986,0.186514,-25.06,15.26,-100.52,-46.6651,-25.7696,-22.1156,1011.95
71156,9.14395,4.25155,-1.55906,-24.5,18.34,-97.86,-46.7797,-26.2326,-22.385,1011.95
71162,9.30177,3.74462,-1.85079,-30.87,21.98,-95.83,-46.0922,-26.522,-22.47,1011.95
71168,9.31133,2.92683,-1.17647,-29.61,21.63,-96.18,-45.4333,-26.9272,-23.6042,1011.96
71174,9.73218,2.39598,-1.06648,-20.79,19.74,-103.88,-45.4333,-27.2744,-24.0153,1011.96
71180,10.0096,2.52511,-1.28168,-13.23,19.46,-115.22,-44.2588,-27.5349,-23.0229,1011.95
