Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
21092,-0.349115,9.72262,1.10952,1.68,-0.56,-1.4,-31.1673,-36.8821,-1.67215,1014.39
21098,-0.353898,9.77523,1.05691,1.89,-0.42,-1.47,-31.2246,-37.2294,-1.92734,1014.4
21104,-0.353898,9.8087,1.05691,1.12,-0.63,-1.26,-30.2506,-37.5188,-1.41696,1014.4
21110,-0.363462,9.78001,1.06169,1.89,-0.35,-1.47,-31.1673,-37.0268,-1.02,1014.42
21116,-0.344333,9.77523,1.01865,1.4,-0.21,-1.47,-31.0814,-37.7793,-1.30354,1014.42
21122,-0.334768,9.79436,1.02343,1.68,-0.28,-1.47,-31.4538,-36.6506,-1.74303,1014.43
21128,-0.33955,9.79914,1.0043,1.19,0.07,-1.47,-31.0814,-37.403,-1.28937,1014.43
21134,-0.373027,9.78479,1.04735,1.26,0.28,-1.68,-30.8236,-37.5767,-0.892406,1014.44
21140,-0.325203,9.78001,1.03778,0.77,0.42,-1.75,-31.5111,-36.94,-1.81392,1014.44
21146,-0.37781,9.76566,0.994739,1.12,0.35,-1.75,-30.8809,-36.7953,-2.45189,1014.44
21152,-0.373027,9.85174,0.942133,0.63,-0.21,-1.61,-31.4251,-36.969,-2.12582,1014.4
21158,-0.363462,9.80392,1.00909,0.56,0.42,-1.47,-31.4251,-37.2584,-1.24683,1014.4
21164,-0.334768,9.81349,1.0043,0.7,-0.21,-2.03,-30.9095,-37.5767,-2.11164,1014.39
21170,-0.373027,9.78001,1.05213,0.49,0.42,-1.75,-31.0241,-36.8243,-0.991646,1014.39
21176,-0.406504,9.75131,1.07604,0.84,-0.14,-1.47,-32.0267,-37.1137,-1.28937,1014.41
21182,-0.396939,9.76566,1.04735,0.7,0,-1.4,-30.9668,-37.3452,-0.311143,1014.41
21188,-0.425634,9.76566,1.06648,0.7,-0.21,-1.54,-30.6803,-37.9529,-1.99822,1014.45
21194,-0.430416,9.79436,1.07604,1.19,-0.07,-1.26,-31.196,-38.0397,-1.41696,1014.45
21200,-0.430416,9.80392,1.06648,0.84,-0.28,-1.4,-30.7376,-37.6056,-1.89898,1014.43
21206,-0.416069,9.77523,1.06648,1.4,-0.7,-1.12,-31.0527,-37.8371,-0.963291,1014.43
21212,-0.37781,9.79914,1.033,1.33,-0.14,-0.98,-30.6803,-37.1426,-0.72228,1014.39
21218,-0.368245,9.77044,1.04256,0.84,0.14,-1.33,-31.1673,-37.895,-1.40278,1014.39
21224,-0.406504,9.79436,1.01865,0.77,-0.07,-1.05,-30.0501,-37.7793,-0.5238,1014.42
21230,-0.353898,9.78001,1.02822,1.26,0,-1.19,-30.5944,-37.5767,-1.50202,1014.42
21236,-0.37781,9.77523,1.02822,0.63,-0.14,-1.19,-30.8809,-37.1715,-1.91316,1014.42
21242,-0.353898,9.74175,1.0043,0.98,0.07,-1.12,-30.6517,-37.3162,-1.40278,1014.42
21248,-0.401722,9.74175,1.01387,0.63,0.42,-1.33,-31.2533,-37.4609,0.326829,1014.42
21254,-0.420851,9.77044,1.09039,0.84,0.14,-1.12,-31.196,-37.1137,-1.03418,1014.42
21260,-0.425634,9.74175,1.06648,1.05,0.07,-0.84,-31.2246,-37.3741,-1.74303,1014.42
21266,-0.420851,9.76566,1.02343,1.26,-0.14,-1.26,-30.4798,-37.3162,-1.40278,1014.4
21272,-0.425634,9.78957,1.02822,0.49,0.28,-0.91,-30.8522,-37.8661,-1.50202,1014.4
21278,-0.406504,9.76088,1.05213,0.84,-0.21,-0.98,-30.4512,-37.7214,-1.24683,1014.41
21284,-0.411286,9.77523,1.0856,1.19,-0.28,-1.19,-30.9095,-37.7503,-1.47367,1014.41
21290,-0.416069,9.81349,1.03778,0.84,-0.42,-0.84,-30.5944,-36.8532,-0.991646,1014.42
21296,-0.430416,9.77523,1.02343,0.84,-0.42,-1.05,-30.5657,-37.6056,-1.60126,1014.42
21302,-0.382592,9.7561,1.04256,0.98,0.28,-0.84,-30.0501,-37.2294,-1.45949,1014.45
21308,-0.349115,9.78479,1.03778,0.84,-0.21,-0.91,-30.4512,-37.2005,-0.778989,1014.45
21314,-0.430416,9.78957,1.01387,0.77,0.28,-0.91,-31.3106,-37.2005,-1.58709,1014.45
21320,-0.430416,9.81827,1.00909,0.63,0.21,-0.84,-30.9095,-37.2873,-1.95569,1014.44
21326,-0.392157,9.78957,1.02822,0.63,0.21,-0.7,-31.11,-37.2294,-1.92734,1014.44
21332,-0.396939,9.77044,1.01865,1.12,-0.21,-0.77,-31.2246,-37.6346,-0.566332,1014.41
