Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
218156,0.229555,9.78957,0.946915,1.61,-2.66,0.28,-23.5244,-46.2447,11.0209,1014.83
218162,0.191296,9.80392,0.918221,1.54,-3.22,0.28,-24.1056,-45.6587,10.7549,1014.83
218168,0.143472,9.73218,1.04256,1.68,-3.22,0.14,-23.3501,-46.7381,9.64667,1014.83
218174,0.124342,9.73697,1.05213,1.89,-3.15,0.35,-23.4954,-47.4474,9.39547,1014.83
218180,0.167384,9.76566,1.02822,1.89,-3.08,0.35,-23.5244,-46.0288,10.3412,1014.83
218186,0.143472,9.7561,1.0043,2.03,-3.22,0.14,-23.4082,-46.8615,9.70578,1014.8
218192,0.114778,9.77044,1.05213,1.96,-3.22,0.07,-23.9894,-48.0334,9.33637,1014.8
218198,0.105213,9.76566,1.01865,2.17,-3.08,0.63,-23.2629,-46.6456,9.58757,1014.78
218204,0.10043,9.78001,0.985174,1.82,-2.8,0.77,-23.1467,-46.4297,9.92742,1014.78
218210,0.176949,9.82783,0.970827,2.38,-3.43,0.14,-23.6697,-47.5708,9.32159,1014.82
218216,0.11956,9.8087,0.942133,1.75,-2.94,0.77,-23.6697,-46.7381,8.67143,1014.82
218222,0.196078,9.78001,0.927786,1.75,-3.01,0.35,-24.5124,-45.5662,9.52846,1014.8
218228,0.172166,9.80392,0.966045,1.75,-3.64,0.14,-24.3961,-46.6147,9.32159,1014.8
218234,0.196078,9.81349,0.942133,1.12,-2.73,0,-24.0475,-47.2932,9.26248,1014.8
218240,0.129125,9.78001,0.989957,1.4,-3.57,0.21,-23.9603,-45.8746,9.3807,1014.81
218246,0.105213,9.78479,1.00909,0.98,-2.73,1.33,-23.2339,-46.0905,9.54324,1014.81
218252,0.157819,9.74653,1.03778,1.33,-3.22,0.14,-23.3501,-46.954,10.0013,1014.81
218258,0.186514,9.78957,0.985174,0.91,-3.43,-0.42,-23.6988,-46.2447,9.80921,1014.81
218264,0.176949,9.78001,0.989957,1.26,-3.22,0.35,-23.9312,-45.3811,10.0604,1014.84
218270,0.172166,9.78957,1.02343,1.33,-3.08,0.28,-23.8441,-46.9848,9.41025,1014.84
218276,0.11956,9.73697,1.12386,1.96,-2.94,0.14,-24.1637,-46.368,10.3412,1014.82
218282,0.13869,9.74653,1.0856,2.1,-3.43,0.35,-24.1056,-45.8129,9.63189,1014.82
218288,0.210426,9.77523,1.01387,2.24,-3.57,0.49,-23.4663,-46.4914,9.67622,1014.82
218294,0.23912,9.8087,1.0043,2.1,-2.87,0,-23.4373,-46.6147,8.73053,1014.84
218300,0.143472,9.81349,0.989957,2.03,-2.52,-0.14,-23.9894,-45.6895,10.1934,1014.84
218306,0.105213,9.79436,1.04735,2.1,-2.94,0.14,-24.1056,-46.5531,10.1786,1014.84
218312,0.133907,9.79914,1.01387,1.75,-3.01,0.42,-23.5244,-47.4166,8.99651,1014.84
218318,0.181731,9.78479,1.0043,2.24,-3.5,-0.14,-24.0765,-45.9671,10.09,1014.82
218324,0.167384,9.78001,0.980392,1.96,-3.29,-0.21,-23.6407,-46.368,9.75011,1014.82
218330,0.153037,9.81349,0.93735,1.82,-3.01,-0.21,-24.0184,-47.6324,9.15905,1014.79
218336,0.167384,9.83261,0.980392,1.61,-3.29,0.35,-23.9312,-46.0596,9.26248,1014.79
218342,0.162602,9.81827,0.966045,1.61,-2.87,-0.21,-23.4373,-45.6279,9.95698,1014.79
218348,0.181731,9.82305,0.989957,1.61,-3.22,0.42,-23.6697,-47.0773,8.28724,1014.81
218354,0.191296,9.78479,0.994739,1.4,-3.29,0.07,-23.292,-47.324,9.21815,1014.81
218360,0.129125,9.79436,1.04256,1.96,-2.73,-0.21,-23.786,-46.3989,9.11472,1014.85
218366,0.129125,9.7274,1.04256,1.47,-2.73,-17.92,-23.6697,-45.7821,8.70098,1014.85
218372,0.129125,9.76566,1.06648,2.38,-3.08,0.14,-23.786,-47.0465,8.56799,1014.82
218378,0.153037,9.74653,1.01387,2.1,-3.15,0.28,-23.5244,-45.6895,11.0504,1014.82
218384,0.172166,9.74653,0.999522,2.31,-3.36,-0.28,-24.2799,-45.7512,11.1095,1014.81
218390,0.200861,9.78957,0.989957,2.24,-3.36,0.14,-23.8441,-47.91,9.07039,1014.81
218396,0.157819,9.77523,0.999522,2.31,-2.52,0.56,-23.4373,-46.6147,9.72055,1014.81
218402,0.167384,9.80392,0.951698,2.17,-3.01,0.21,-22.9143,-45.5045,9.83876,1014.81
218408,0.157819,9.80392,0.966045,1.82,-3.01,0.14,-24.0184,-46.3989,9.32159,1014.81
218414,0.167384,9.78957,0.966045,2.17,-3.29,0.14,-24.2509,-46.7381,9.95698,1014.85
218420,0.200861,9.78957,0.95648,1.4,-2.73,-0.07,-23.4082,-45.5045,10.3116,1014.85
218426,0.205643,9.79436,0.966045,1.61,-3.15,0.07,-23.5244,-45.8746,8.89307,1014.83
218432,0.143472,9.82783,0.951698,1.82,-3.5,-0.42,-23.3211,-46.9231,8.16903,1014.83
218438,0.191296,9.81827,1.01865,1.61,-2.87,-0.35,-24.1637,-45.9054,9.64667,1014.82
218444,0.210426,9.8087,0.961262,1.47,-3.08,-0.21,-23.4373,-45.5045,9.83876,1014.82
218450,0.186514,9.78957,1.02343,1.54,-2.73,-0.21,-23.6116,-47.5399,10.0013,1014.81
218456,0.124342,9.76088,1.01387,1.82,-3.22,-0.28,-23.8441,-45.8437,8.99651,1014.81
218462,0.153037,9.74653,1.01387,1.75,-3.22,-0.21,-23.4373,-45.8746,11.1686,1014.81
218468,0.153037,9.77044,1.04256,1.96,-2.73,0.21,-23.8441,-47.1082,9.48413,1014.83
218474,0.167384,9.78479,1.01387,1.89,-2.66,-0.07,-23.9312,-46.7998,9.58757,1014.83
218480,0.162602,9.78957,1.01865,2.1,-3.08,0,-23.9312,-46.0905,10.5037,1014.83
218486,0.109995,9.76566,0.994739,2.31,-3.22,0.21,-24.2799,-46.7998,8.77486,1014.83
218492,0.176949,9.80392,1.01387,2.45,-3.43,-0.21,-24.0184,-47.4474,9.60234,1014.82
218498,0.133907,9.77044,1.0043,1.96,-3.29,0.21,-24.2218,-45.7821,8.46456,1014.82
218504,0.13869,9.78001,0.980392,2.31,-3.08,-0.07,-23.6697,-46.7073,8.6271,1014.83
218510,0.157819,9.76088,0.970827,2.17,-3.01,0.07,-23.5535,-47.0465,9.51368,1014.83
218516,0.181731,9.79914,0.985174,1.96,-2.66,0.63,-24.5414,-46.7073,9.75011,1014.83
218522,0.172166,9.78479,1.02343,2.31,-3.01,0,-23.7278,-45.5662,9.46935,1014.85
218528,0.13869,9.78001,0.980392,1.82,-3.29,0.14,-23.4082,-46.7998,8.6271,1014.85
218534,0.196078,9.8087,0.994739,2.17,-3.29,-0.28,-23.8731,-46.8923,8.95218,1014.83
218540,0.229555,9.78479,0.97561,2.24,-2.87,-0.49,-22.4203,-45.7512,10.7697,1014.83
