Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
100352,-5.28933,-0.0908656,8.51745,1.82,-3.22,-0.35,47.4612,5.011,-18.0739,1014.81
100358,-5.27977,-0.10043,8.49833,2.03,-2.52,0.14,47.9843,4.64092,-17.2907,1014.81
100364,-5.27977,-0.105213,8.5318,1.61,-2.31,0.14,46.8511,5.07268,-18.3546,1014.82
100370,-5.29412,-0.124342,8.52702,1.33,-2.45,0.07,47.6065,5.41192,-18.6649,1014.82
100376,-5.30368,-0.105213,8.50311,1.61,-2.24,0.49,47.6065,5.19604,-18.0591,1014.81
100382,-5.30846,-0.109995,8.5318,1.89,-2.03,-0.14,46.4443,4.7026,-19.5811,1014.81
100388,-5.2989,-0.105213,8.52702,1.75,-2.73,-0.42,47.839,5.1652,-17.601,1014.79
100394,-5.2989,-0.114778,8.54615,1.96,-2.66,0,47.316,5.13436,-16.9065,1014.79
100400,-5.30368,-0.095648,8.51267,1.33,-2.66,0.28,47.9261,4.64092,-18.2807,1014.82
100406,-5.27977,-0.0908656,8.55093,1.54,-2.87,-0.42,47.4903,4.7026,-17.2612,1014.82
100412,-5.32759,-0.0765184,8.52702,2.03,-2.59,0.35,47.4612,5.04184,-17.2316,1014.82
100418,-5.28933,-0.11956,8.52702,1.33,-2.45,0.07,47.1416,5.4736,-17.7783,1014.84
100424,-5.31803,-0.109995,8.52224,1.75,-2.66,-0.42,47.7809,5.22688,-18.7536,1014.84
100430,-5.29412,-0.114778,8.52224,2.03,-2.8,0,47.1707,5.3194,-17.6601,1014.85
100436,-5.27977,-0.11956,8.54137,1.82,-2.38,0.21,47.1997,5.35024,-18.2807,1014.85
100442,-5.27977,-0.0860832,8.51267,1.96,-2.73,0,47.3741,5.41192,-17.4089,1014.83
100448,-5.26064,-0.095648,8.49833,2.03,-2.52,-0.14,47.1126,5.3194,-17.5862,1014.83
100454,-5.30368,-0.10043,8.52224,1.26,-2.59,0.14,47.5775,5.75115,-18.1921,1014.85
100460,-5.29412,-0.124342,8.49833,1.82,-3.08,0.35,47.345,5.41192,-17.5862,1014.85
100466,-5.30368,-0.114778,8.54137,1.82,-2.8,0.35,47.2578,5.25772,-17.3794,1014.8
100472,-5.27977,-0.0908656,8.5318,1.89,-2.38,0.14,48.0714,5.3194,-16.9065,1014.8
100478,-5.30846,-0.095648,8.54137,1.82,-2.1,-0.07,47.6065,5.3194,-18,1014.8
100484,-5.31325,-0.0908656,8.54615,1.47,-2.1,-0.42,46.8801,5.38108,-17.3941,1014.86
100490,-5.29412,-0.124342,8.51745,2.31,-3.01,0,47.2578,5.28856,-18,1014.86
100496,-5.28933,-0.105213,8.5605,1.33,-2.66,0.63,47.2578,5.41192,-16.9804,1014.83
100502,-5.30846,-0.105213,8.52702,1.54,-2.8,0.21,47.0544,4.91848,-18.4728,1014.83
100508,-5.28455,-0.095648,8.52702,1.54,-2.59,-0.07,47.2578,5.81284,-17.5271,1014.83
100514,-5.29412,-0.0813008,8.53658,1.61,-2.66,-0.14,47.2578,5.35024,-17.4828,1014.83
100520,-5.30846,-0.153037,8.51745,2.17,-2.87,0,47.7518,5.28856,-17.6158,1014.82
100526,-5.27499,-0.0908656,8.52702,1.75,-2.17,0.21,47.316,5.6278,-18.1773,1014.82
100532,-5.2989,-0.133907,8.5318,2.03,-2.52,0.21,47.6937,5.38108,-17.6601,1014.82
100538,-5.28455,-0.124342,8.54137,1.4,-2.59,0.07,47.2288,5.04184,-18.4728,1014.83
100544,-5.29412,-0.129125,8.55093,1.82,-2.24,0.14,48.0714,5.19604,-17.7931,1014.83
100550,-5.31325,-0.10043,8.51745,1.61,-2.45,0.42,47.6065,5.87451,-16.4632,1014.79
100556,-5.29412,-0.114778,8.48876,1.05,-2.8,0,47.5484,5.10352,-17.7488,1014.79
100562,-5.34194,-0.114778,8.49833,1.89,-3.15,-0.21,47.1997,5.011,-17.6158,1014.81
100568,-5.29412,-0.114778,8.52702,1.82,-2.8,-0.14,47.6646,5.50444,-17.9704,1014.81
100574,-5.29412,-0.0765184,8.51745,1.75,-2.38,0.28,47.1416,5.07268,-18.7831,1014.84
100580,-5.32281,-0.11956,8.49354,1.47,-2.52,0.07,47.8971,5.10352,-19.2708,1014.84
100586,-5.28933,-0.095648,8.52702,1.82,-2.45,0.42,47.4903,5.56612,-18.133,1014.85
100592,-5.2989,-0.11956,8.55093,1.82,-2.94,-0.42,47.4903,5.53528,-17.8374,1014.85
100598,-5.29412,-0.129125,8.49354,1.54,-2.17,-0.07,47.6646,5.25772,-19.0196,1014.85
100604,-5.2989,-0.114778,8.50789,1.47,-2.38,0.35,47.7518,6.18291,-17.9852,1014.85
100610,-5.30846,-0.114778,8.51745,1.05,-2.52,0,47.1707,5.56612,-17.5124,1014.85
100616,-5.32281,-0.0813008,8.49833,2.17,-2.94,-0.14,47.6646,5.41192,-17.9704,1014.83
100622,-5.28933,-0.0669536,8.52224,1.75,-2.73,0.14,48.1005,5.4736,-18.4876,1014.83
100628,-5.28933,-0.114778,8.49833,1.68,-2.45,0.42,47.7809,5.07268,-18.458,1014.81
100634,-5.31803,-0.095648,8.49833,1.19,-2.59,-0.21,47.1997,4.8568,-18.6058,1014.81
100640,-5.31325,-0.133907,8.54615,2.03,-2.87,-0.14,47.6646,5.19604,-17.8227,1014.83
100646,-5.30846,-0.0908656,8.52702,1.68,-2.59,0.21,47.6065,4.82596,-18.6354,1014.83
100652,-5.26064,-0.114778,8.51267,2.1,-2.38,0,47.2578,5.10352,-17.6453,1014.83
100658,-5.29412,-0.10043,8.50311,1.19,-2.24,0.35,48.4201,5.22688,-17.9261,1014.83
