Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Label,
95762,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,5,5,6,6,5,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,4,6,Default,
95778,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,5,5,6,6,6,Default,
95794,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,5,6,6,6,6,4,5,6,5,6,6,6,6,6,6,6,5,5,6,6,5,6,6,6,6,6,5,Default,
95810,6,6,6,6,6,5,5,5,6,5,5,6,6,6,6,6,5,6,6,5,6,6,6,6,5,5,6,6,5,6,6,6,6,6,6,5,6,6,5,6,6,6,5,6,6,Default,
95826,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,5,6,6,5,6,6,4,Default,
95842,4,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,5,6,6,6,6,6,Default,
95858,5,6,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,5,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,Default,
95874,4,6,6,4,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,6,6,Default,
95890,5,6,6,6,6,6,6,6,6,6,6,5,6,4,6,5,6,7,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,7,6,6,5,6,6,6,6,6,6,6,6,Default,
95906,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,Default,
95922,5,6,6,6,6,6,6,6,6,4,6,5,6,5,6,6,6,5,6,6,6,6,6,5,5,6,5,5,6,5,6,6,6,6,5,6,6,5,6,6,6,6,6,5,6,Default,
95938,5,6,6,5,6,6,6,6,6,5,6,6,6,5,6,6,6,5,5,6,6,5,6,6,6,6,5,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,6,6,5,Default,
95954,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,Default,
95970,6,6,6,5,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,6,6,6,6,6,5,6,6,5,Default,
95986,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,5,Default,
96002,6,6,5,6,5,6,6,4,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,Default,
96018,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,6,6,6,6,6,5,6,5,6,6,5,6,6,5,6,6,6,5,6,6,5,6,6,5,6,6,Default,
96034,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,5,Default,
96050,6,6,6,5,5,6,5,6,6,6,6,5,6,6,4,6,6,6,6,6,5,6,5,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,5,Default,
96066,6,5,5,6,6,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,5,6,5,6,6,6,5,6,6,5,6,6,5,6,6,6,6,6,5,Default,
96082,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,4,6,6,6,6,6,6,5,6,6,6,6,6,5,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,Default,
96098,6,6,6,6,5,6,4,6,6,6,5,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,Default,
96114,6,6,5,4,6,6,6,6,6,5,6,6,5,5,6,6,5,6,6,5,6,6,6,6,6,6,6,6,5,6,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,Default,
96130,6,6,5,6,6,6,6,6,5,6,6,6,6,6,5,6,5,6,6,6,6,6,5,6,6,6,5,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,6,6,6,Default,
96146,6,6,6,6,5,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,6,6,Default,
96162,6,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,5,6,5,6,6,6,5,6,6,6,6,5,6,6,5,6,6,6,6,6,Default,
96178,6,6,6,5,6,6,6,6,6,6,5,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,Default,
96194,6,6,6,6,6,6,6,6,6,5,6,5,6,6,5,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,5,6,6,6,5,6,5,6,6,6,6,6,6,5,Default,
96210,6,5,6,6,6,6,4,6,6,6,5,6,6,5,6,5,5,5,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,Default,
96226,6,6,7,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,Default,
96242,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,5,6,5,6,6,6,Default,
96258,6,6,5,5,6,6,6,6,6,6,6,5,6,6,6,6,4,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,Default,
