Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Label,
70226,5,5,5,8,7,7,16,8,6,6,8,5,5,5,6,6,6,6,6,6,5,6,6,5,4,5,6,6,5,6,7,6,6,6,5,6,6,6,6,6,6,6,6,6,5,Default,
70242,5,6,6,8,8,8,16,7,6,6,7,5,5,5,7,6,4,5,6,5,6,5,6,6,6,6,5,6,5,6,7,6,6,6,5,5,6,6,6,5,6,6,6,5,5,Default,
70258,5,6,6,8,8,7,16,7,6,6,7,5,5,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,5,5,8,6,6,6,6,5,5,6,6,6,6,6,6,6,6,Default,
70274,4,5,4,9,8,8,11,8,6,6,9,6,6,7,8,6,7,7,7,7,6,6,5,4,3,8,4,7,6,4,8,4,8,8,6,6,4,6,7,6,7,7,6,6,4,Default,
70290,5,6,6,8,8,8,16,7,5,6,8,5,5,6,6,6,5,6,6,5,6,5,6,5,6,6,6,6,6,6,7,6,5,6,5,5,6,6,6,5,6,6,6,5,6,Default,
70306,5,6,5,8,8,8,16,7,6,6,7,5,5,6,6,6,5,6,6,6,5,6,6,6,6,6,6,6,6,6,7,6,6,7,5,6,6,6,6,6,5,6,6,5,6,Default,
70322,5,6,5,8,8,7,16,8,5,6,7,5,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,5,7,6,6,6,5,5,6,6,6,6,6,6,5,6,6,Default,
70338,5,6,6,8,8,8,16,7,5,6,7,5,5,5,6,6,5,5,5,6,6,6,6,6,6,5,5,6,6,6,7,6,6,6,5,5,6,6,6,4,6,6,6,5,5,Default,
70354,5,6,5,8,8,8,16,7,6,6,8,5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,6,7,7,5,7,5,5,6,6,6,6,5,6,6,6,4,Default,
70370,6,5,5,8,7,8,16,8,6,6,8,5,5,6,6,7,6,5,6,5,6,5,6,6,6,6,6,6,6,5,7,6,6,6,6,5,6,6,6,5,6,6,5,6,6,Default,
70386,9,5,4,6,6,7,14,9,7,4,9,6,5,6,4,7,7,6,4,6,4,6,4,6,4,7,7,5,6,6,4,7,4,6,6,3,4,4,6,4,7,7,4,7,6,Default,
