Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Label,
27202,1241,1242,1364,861,958,909,638,1088,1356,1359,1113,1115,1546,1562,1177,841,852,978,755,630,671,663,612,402,607,738,758,788,451,319,869,961,903,867,745,548,437,470,438,356,439,56,49,41,43,Default,
27218,1241,1243,1365,862,958,909,638,1088,1356,1361,1113,1116,1548,1563,1177,842,853,978,755,631,671,664,613,403,608,738,759,788,453,319,869,961,904,868,745,544,438,471,438,356,439,56,45,41,42,Default,
27234,1241,1242,1364,861,958,908,640,1088,1356,1362,1115,1116,1549,1565,1180,844,854,979,757,634,675,668,618,406,609,738,760,790,452,320,871,964,906,867,746,547,439,472,439,356,440,57,49,41,42,Default,
27250,1237,1239,1362,860,957,907,639,1088,1357,1362,1115,1116,1550,1566,1180,845,859,983,758,636,677,670,621,406,608,739,760,790,454,319,871,964,907,870,746,547,439,472,441,357,440,56,47,41,43,Default,
27266,1235,1235,1358,856,953,903,637,1084,1354,1359,1113,1114,1549,1563,1177,845,858,982,756,634,675,667,619,405,606,737,758,787,451,319,867,961,904,870,746,548,439,473,440,357,441,56,49,41,43,Default,
27282,1240,1237,1361,858,956,906,638,1088,1356,1361,1116,1117,1551,1568,1181,847,862,985,760,637,678,670,621,406,608,739,760,790,453,319,872,965,907,870,746,547,439,473,440,357,441,55,49,41,42,Default,
27298,1239,1239,1361,859,955,907,638,1088,1357,1361,1115,1117,1552,1569,1181,846,862,986,759,635,676,669,620,406,609,740,760,790,452,319,870,965,907,870,745,548,439,472,439,357,441,56,49,41,42,Default,
27314,1240,1239,1362,860,957,907,638,1089,1357,1362,1115,1118,1553,1570,1182,847,862,985,761,637,679,670,621,406,609,740,760,791,453,320,870,965,907,869,745,547,439,473,440,357,440,56,45,41,42,Default,
27330,1240,1239,1363,859,956,907,639,1089,1358,1362,1115,1118,1554,1571,1182,848,863,986,761,638,679,673,622,407,609,740,760,791,453,320,872,966,908,870,746,547,439,474,440,358,441,53,49,41,43,Default,
27346,1239,1238,1361,858,954,905,638,1088,1356,1361,1116,1118,1553,1571,1182,849,864,987,761,641,682,676,626,409,609,740,762,791,454,320,874,968,911,872,749,551,438,476,443,360,443,58,49,42,43,Default,
27362,1237,1236,1359,858,954,904,638,1088,1355,1359,1116,1119,1550,1569,1184,851,866,988,762,643,683,677,626,410,611,742,762,792,455,321,874,970,912,873,748,548,443,476,443,361,443,55,48,42,43,Default,
27378,1236,1235,1359,858,953,903,638,1088,1355,1359,1115,1117,1551,1567,1182,850,864,988,762,643,684,679,627,411,610,741,763,793,456,322,874,970,912,874,750,549,443,476,443,361,444,54,49,42,42,Default,
27394,1239,1235,1359,857,953,903,638,1087,1355,1359,1115,1118,1550,1567,1181,849,864,987,762,644,684,677,627,409,609,741,762,792,455,320,875,969,912,874,749,551,442,476,444,361,443,54,49,41,42,Default,
27410,1239,1236,1361,860,954,905,638,1087,1355,1360,1115,1117,1551,1567,1181,849,865,986,762,644,684,677,626,410,609,741,762,792,455,322,876,969,911,874,749,549,443,477,443,362,444,56,48,41,43,Default,
27426,1241,1238,1361,858,955,905,638,1087,1356,1360,1115,1115,1550,1564,1180,848,862,985,761,644,682,676,626,410,609,740,761,791,455,321,874,968,909,873,748,548,443,478,444,361,444,54,49,41,43,Default,
27442,1240,1239,1362,859,955,906,639,1088,1355,1360,1114,1117,1550,1565,1181,848,862,986,761,642,684,677,627,410,609,741,761,792,455,321,876,969,910,874,749,553,443,477,445,361,444,57,48,41,42,Default,
27458,1242,1239,1362,860,955,906,639,1088,1355,1360,1115,1117,1550,1565,1181,849,863,986,761,643,684,677,627,411,610,741,762,792,457,322,875,970,912,874,750,549,444,477,444,361,444,55,47,41,42,Default,
27474,1239,1239,1362,860,955,906,639,1089,1355,1360,1115,1117,1550,1567,1181,849,863,985,761,644,684,678,627,411,610,742,762,791,456,323,876,970,912,874,750,550,444,478,444,362,443,57,49,41,44,Default,
27490,1241,1239,1361,858,955,906,639,1089,1356,1360,1115,1117,1550,1565,1181,849,864,986,761,644,684,678,627,411,610,741,762,792,456,322,876,970,912,874,750,550,444,478,444,362,444,53,49,42,43,Default,
27506,1241,1239,1362,860,956,906,639,1088,1355,1359,1115,1118,1549,1565,1181,849,863,986,760,644,684,677,626,411,610,742,762,792,456,322,874,970,911,873,750,551,443,478,444,362,444,58,49,42,42,Default,
27522,1240,1240,1363,861,957,907,639,1088,1356,1361,1116,1117,1550,1565,1180,849,863,985,761,642,684,676,626,410,609,740,762,791,456,322,874,969,911,873,749,551,442,476,443,360,443,56,51,41,43,Default,
27538,1242,1239,1363,861,957,907,639,1090,1357,1360,1115,1116,1550,1565,1181,849,862,986,761,643,684,678,626,411,611,741,762,791,456,322,875,969,910,873,750,550,444,477,443,360,444,57,49,42,43,Default,
27554,1242,1239,1362,860,955,906,639,1088,1355,1359,1115,1118,1550,1565,1181,849,862,986,760,643,684,678,627,412,610,742,762,793,457,322,876,970,912,874,750,548,444,478,444,361,444,56,45,41,42,Default,
27570,1240,1236,1360,858,953,904,638,1087,1353,1359,1114,1116,1549,1563,1181,849,862,986,761,645,685,681,629,412,610,741,762,792,457,322,876,970,914,876,751,554,444,478,445,362,445,53,49,42,43,Default,
27586,1236,1231,1356,856,949,899,637,1085,1352,1356,1113,1115,1547,1560,1180,849,862,985,761,645,684,678,627,412,610,741,762,793,458,322,876,971,912,876,751,551,444,478,445,362,446,56,49,41,44,Default,
27602,1236,1231,1356,855,949,899,636,1085,1350,1355,1113,1115,1546,1561,1181,849,862,985,761,644,683,677,626,411,609,741,762,792,457,322,876,969,913,876,750,550,446,479,445,363,447,56,49,42,43,Default,
27618,1236,1231,1357,856,950,900,637,1085,1350,1356,1113,1115,1546,1561,1180,849,862,985,761,643,683,677,626,412,609,742,762,792,457,322,876,970,913,875,750,551,443,479,445,362,446,56,49,42,43,Default,
27634,1238,1235,1358,855,951,901,638,1085,1351,1356,1112,1115,1547,1561,1179,846,862,984,759,643,683,676,626,410,609,741,762,792,456,322,875,970,912,875,750,550,443,479,444,362,445,56,49,42,43,Default,
27650,1239,1235,1359,858,952,903,638,1086,1351,1357,1113,1116,1548,1562,1179,848,862,984,760,644,684,676,626,412,610,741,762,793,458,323,877,970,913,875,751,550,444,479,445,363,446,56,49,42,43,Default,
27666,1238,1235,1359,856,952,900,638,1086,1352,1356,1113,1115,1547,1561,1180,847,862,983,761,644,684,678,627,412,609,741,762,793,457,321,877,971,913,877,750,550,444,480,445,364,446,55,49,42,42,Default,
27682,1236,1231,1356,856,949,899,636,1084,1351,1354,1112,1115,1547,1561,1181,848,863,985,761,645,685,679,629,413,609,742,762,794,457,323,878,972,913,878,753,555,445,480,447,364,447,56,49,42,43,Default,
27698,1233,1230,1354,854,948,898,635,1083,1349,1353,1111,1114,1546,1560,1181,848,862,986,761,646,685,679,629,413,610,742,763,795,457,323,878,973,915,878,753,551,446,481,447,364,447,58,48,42,44,Default,
27714,1232,1228,1355,853,947,897,636,1083,1348,1353,1111,1114,1546,1561,1181,848,862,985,761,646,685,679,629,414,611,742,764,794,459,322,878,973,915,878,754,555,445,481,448,364,447,58,49,42,44,Default,
