Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Label,
318642,709,742,854,402,421,409,315,623,754,779,651,795,1172,1203,800,588,624,750,532,420,464,456,434,301,443,591,604,592,413,319,626,784,770,726,704,553,456,505,523,417,537,53,45,39,42,Default,
318658,704,733,845,387,401,393,306,618,743,772,654,791,1170,1201,804,589,624,751,534,422,465,456,433,305,445,596,608,598,418,325,628,793,779,737,716,559,460,510,533,425,546,53,45,40,41,Default,
318674,685,722,834,374,386,381,298,607,736,766,650,787,1170,1201,807,585,625,753,538,423,468,457,436,306,447,601,616,606,426,331,631,802,789,749,716,569,472,526,547,432,551,53,47,41,45,Default,
318690,673,709,824,355,364,361,285,602,725,754,640,783,1166,1196,806,586,624,753,537,428,472,463,441,309,449,607,622,611,431,332,630,804,791,753,717,575,472,524,551,433,553,56,49,42,45,Default,
318706,671,705,819,353,366,361,286,601,721,751,638,781,1164,1195,805,588,624,753,539,431,476,465,443,313,450,608,621,613,436,338,636,810,799,761,721,581,477,533,559,435,559,58,47,41,44,Default,
318722,673,705,818,361,373,367,290,606,728,757,640,783,1166,1195,804,588,626,754,537,439,480,470,447,316,454,613,628,617,443,340,639,813,805,766,733,584,480,539,565,443,569,58,49,43,45,Default,
318738,673,703,816,356,369,362,288,602,724,756,641,782,1167,1195,806,590,627,756,539,438,482,473,451,315,455,614,630,620,442,344,641,818,812,775,733,596,486,545,576,445,576,53,45,40,41,Default,
318754,663,695,808,346,358,348,281,594,719,754,638,779,1167,1195,808,591,627,758,542,439,485,478,454,320,456,621,638,630,446,349,645,828,825,783,747,608,490,551,582,454,588,53,49,41,42,Default,
318770,649,685,801,337,344,340,273,584,709,743,630,777,1164,1191,808,591,628,757,543,439,486,477,453,319,457,625,642,633,451,355,644,830,825,786,759,613,497,556,588,459,593,58,49,44,47,Default,
318786,634,672,787,335,343,335,272,578,695,733,623,771,1158,1185,802,590,628,757,541,445,488,480,456,325,459,628,646,638,455,357,649,838,833,795,766,613,500,565,596,465,598,58,52,45,48,Default,
