Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Label,
25442,6,6,6,6,6,5,6,5,6,6,6,6,6,6,5,6,6,6,6,5,6,6,6,6,5,6,5,6,6,5,6,6,6,6,4,6,6,6,5,6,6,6,6,6,6,Default,
25458,6,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,7,6,6,6,6,6,6,5,4,7,6,5,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,Default,
25474,6,6,6,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,5,5,5,6,6,5,6,6,4,6,5,4,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,Default,
25490,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,5,6,5,6,6,6,6,6,5,6,5,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,Default,
25506,6,6,5,6,5,6,6,6,5,6,6,6,6,6,5,6,6,5,6,6,5,5,6,5,6,6,6,6,6,6,5,6,5,6,5,5,6,6,5,6,5,5,5,6,5,Default,
25522,6,6,6,6,6,6,4,6,6,6,6,6,6,4,6,6,5,6,6,5,5,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,Default,
25538,6,5,6,6,6,6,5,5,6,6,6,6,6,6,5,5,5,6,6,5,6,6,6,6,6,6,6,5,5,6,6,6,6,5,6,5,5,6,6,6,5,5,6,6,6,Default,
25554,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,5,6,6,6,5,6,6,6,6,5,6,6,6,6,6,6,6,6,Default,
25570,5,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,6,Default,
25586,5,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,6,5,6,6,6,6,6,6,4,6,6,6,6,6,6,6,5,6,6,6,6,5,6,6,6,6,6,Default,
25602,5,6,6,5,5,6,6,6,6,5,6,6,5,6,5,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,Default,
25618,5,6,6,6,5,6,6,6,5,6,6,6,6,5,6,6,4,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,6,5,6,6,6,5,6,6,5,6,Default,
25634,5,6,6,6,5,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,5,6,5,6,6,6,5,6,6,6,6,6,5,5,6,6,6,6,6,Default,
25650,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,Default,
25666,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4,6,6,5,6,6,6,5,6,6,5,6,6,6,6,6,5,6,6,6,5,6,6,5,6,6,6,6,5,Default,
25682,6,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,7,5,6,6,6,6,5,6,6,6,6,5,Default,
25698,6,6,6,6,5,5,6,6,5,6,6,5,5,5,6,5,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,4,6,6,6,5,6,6,5,5,Default,
25714,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,6,5,Default,
25730,4,5,6,6,6,6,5,6,6,5,6,5,6,6,6,5,6,6,6,5,6,6,4,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,Default,
25746,5,6,6,6,6,6,6,5,6,6,6,6,5,6,6,6,6,5,6,6,5,6,6,5,5,6,6,6,6,5,6,6,6,5,5,5,6,6,6,6,6,6,5,6,5,Default,
25762,5,6,6,6,6,6,4,6,6,6,6,6,6,6,5,6,6,6,6,5,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,Default,
25778,5,6,6,6,5,5,6,6,5,6,5,6,6,5,6,6,5,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,5,6,6,5,5,Default,
25794,6,5,6,6,6,6,6,6,6,5,5,6,6,6,6,5,6,5,6,6,6,6,6,6,5,6,5,6,6,6,5,6,6,6,6,6,5,6,6,5,5,5,6,6,6,Default,
25810,5,6,6,5,6,6,5,6,6,6,5,6,6,6,6,6,4,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,5,6,5,5,6,6,5,6,6,6,6,6,Default,
25826,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,5,5,5,5,6,6,6,6,6,5,6,6,5,6,5,5,6,5,5,5,6,6,5,6,6,Default,
25842,5,6,6,6,6,6,5,6,6,5,5,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,5,6,6,4,5,7,6,6,6,Default,
25858,6,6,6,5,6,6,7,5,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,5,6,5,6,6,5,6,6,6,6,6,5,6,6,Default,
25874,5,5,6,6,6,6,5,5,6,5,6,5,6,5,6,5,6,6,6,5,6,6,5,6,6,6,6,6,6,5,6,6,5,6,6,5,6,6,6,6,6,5,5,6,6,Default,
25890,5,6,6,5,6,5,5,6,5,5,6,6,5,6,6,6,5,6,6,5,5,6,6,6,6,6,4,6,6,5,6,6,6,6,5,6,6,5,5,6,5,6,6,6,5,Default,
25906,6,6,5,5,5,5,6,6,5,6,5,6,6,5,4,6,6,5,6,6,6,6,6,6,6,7,4,6,5,5,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6,Default,
25922,5,6,6,6,6,6,6,5,5,6,6,6,6,6,6,5,6,6,5,5,6,6,5,6,6,6,5,6,6,6,6,6,5,6,6,6,5,6,6,6,5,6,4,6,6,Default,
25938,6,6,4,4,7,7,4,7,6,4,6,7,4,7,6,7,7,8,7,8,7,7,8,4,4,4,4,6,8,6,8,7,6,6,4,7,5,4,7,7,7,6,6,6,4,Default,
25954,5,5,5,6,6,6,6,5,6,5,6,5,6,6,6,6,6,6,5,6,6,6,6,5,5,6,5,6,6,5,6,6,5,6,6,4,5,6,5,7,5,5,6,5,4,Default,
25970,5,6,6,6,6,6,6,6,6,6,6,5,5,5,6,5,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,5,6,6,5,6,5,6,6,Default,
25986,5,6,6,5,6,6,6,6,6,6,6,5,6,6,5,6,6,5,5,6,6,6,6,4,6,6,6,6,5,4,6,6,5,6,6,5,6,6,6,5,6,6,6,6,5,Default,
26002,6,6,6,5,6,6,6,5,5,5,5,6,6,6,6,6,5,6,6,4,6,5,6,6,6,6,6,6,5,5,6,6,5,5,6,6,5,6,6,6,5,6,5,6,6,Default,
26018,6,6,5,6,6,6,5,6,5,6,6,5,6,6,5,6,5,5,6,6,6,6,5,5,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,Default,
26034,6,6,6,6,6,6,5,6,6,5,6,6,5,6,6,6,5,6,6,6,5,6,5,4,6,6,6,5,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,Default,
26050,6,8,4,4,6,7,4,6,6,5,6,6,5,6,6,6,5,6,6,6,5,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,Default,
26066,5,6,6,6,6,6,6,6,5,5,6,6,4,5,6,6,5,5,5,6,6,5,6,5,5,6,6,6,6,6,6,6,5,6,6,6,6,5,6,5,6,6,6,5,5,Default,
26082,6,6,6,4,5,6,5,6,6,6,6,6,6,6,5,5,4,6,6,6,6,6,6,5,6,6,5,6,6,5,6,6,6,6,6,6,4,6,6,6,6,6,5,5,6,Default,
26098,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4,6,6,5,6,5,5,6,6,5,6,5,6,5,6,5,6,5,6,6,5,6,Default,
26114,5,6,6,6,5,6,6,4,6,6,6,6,6,6,4,5,6,6,6,6,5,6,6,6,5,6,5,6,6,6,6,6,6,6,5,6,5,6,5,6,6,6,6,5,5,Default,
26130,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,4,5,6,6,6,6,6,6,5,6,6,6,6,5,6,6,6,6,6,Default,
26146,5,6,6,6,6,5,6,5,5,6,5,5,6,6,6,6,5,6,6,4,5,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,4,6,5,5,6,6,Default,
26162,6,6,6,6,5,6,6,6,6,6,5,6,5,6,6,6,5,6,6,6,5,6,6,6,6,5,6,6,6,6,6,5,6,6,5,5,6,5,6,5,6,6,6,6,6,Default,
26178,5,5,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,5,6,5,6,6,6,Default,
26194,5,6,6,5,6,6,4,6,6,5,6,6,6,6,5,6,6,6,5,5,6,6,6,5,6,6,6,6,6,4,6,6,5,5,6,5,6,6,6,6,6,4,6,6,6,Default,
26210,6,6,6,6,6,6,5,6,5,6,5,6,6,6,6,6,5,6,6,5,5,6,6,6,6,5,6,5,6,5,5,6,6,6,5,6,6,6,6,5,6,6,4,6,6,Default,
26226,5,6,6,6,5,6,6,5,5,5,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,5,6,6,6,Default,
26242,6,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,5,5,6,6,5,6,6,6,6,6,6,6,5,6,5,6,6,6,5,6,6,6,6,Default,
26258,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,4,6,6,4,6,6,5,6,6,6,6,6,6,4,6,5,5,6,6,Default,
26274,5,5,6,6,6,6,6,6,6,6,6,6,6,7,6,5,4,5,6,5,6,6,5,6,6,6,6,6,5,6,5,6,5,5,6,5,5,5,6,6,6,6,6,6,5,Default,
26290,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,4,5,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,5,6,Default,
26306,5,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,5,6,6,5,6,6,5,6,6,5,6,6,6,6,Default,
26322,5,6,6,5,6,6,6,6,6,5,6,6,6,5,5,6,5,6,6,5,6,6,6,6,6,5,4,5,6,5,5,6,6,6,4,5,4,6,6,5,6,5,5,6,6,Default,
26338,4,6,6,5,5,6,4,6,5,6,6,6,5,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,6,5,5,6,6,6,5,6,6,6,Default,
26354,5,6,5,6,5,5,6,6,6,5,6,5,6,5,6,6,6,6,5,6,6,5,6,6,5,6,5,6,6,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,Default,
26370,6,5,6,5,6,6,5,5,6,6,5,6,6,5,6,6,5,6,6,5,6,6,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,Default,
26386,5,6,6,6,6,6,6,6,5,6,5,5,6,5,6,6,4,5,6,5,6,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,Default,
26402,5,6,6,6,5,5,5,6,6,4,6,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,5,5,5,6,6,5,6,5,6,6,6,6,6,6,6,6,6,Default,
26418,5,6,6,5,5,6,6,6,5,6,6,6,5,6,6,6,5,5,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,5,6,Default,
26434,5,5,6,6,6,6,6,6,5,6,6,6,5,6,5,5,6,6,6,6,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,5,6,6,6,Default,
26450,6,6,6,6,6,6,6,6,6,5,5,5,6,6,5,6,6,6,6,5,5,6,6,6,6,6,5,5,6,6,6,6,5,6,6,6,5,6,5,6,6,6,4,6,6,Default,
26466,5,6,6,6,6,5,6,6,6,5,6,6,5,6,6,5,6,6,6,6,6,6,5,6,6,6,5,6,6,5,6,6,5,6,6,5,6,6,6,6,6,5,6,6,6,Default,
26482,4,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,5,6,6,5,6,6,6,6,5,5,5,6,6,5,5,5,5,6,6,6,5,6,5,5,6,6,6,6,6,Default,
26498,6,6,5,6,5,6,6,6,6,6,6,6,6,6,5,5,6,5,5,6,6,5,6,6,6,5,6,6,6,6,6,5,6,5,6,5,6,4,6,6,5,6,6,6,6,Default,
26514,5,5,6,5,6,6,5,6,5,6,5,6,6,5,6,6,6,6,5,5,6,6,6,6,6,6,4,6,6,6,6,6,5,6,6,6,6,6,5,5,5,6,6,6,6,Default,
26530,4,5,6,5,6,6,5,6,6,6,6,6,5,6,6,6,5,6,6,6,6,5,6,5,6,6,6,6,6,4,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,Default,
26546,5,6,6,6,6,6,6,6,6,6,5,5,6,6,6,5,5,6,6,4,6,6,5,6,6,5,6,6,5,4,6,6,6,6,6,6,6,6,6,6,7,6,5,6,6,Default,
26562,6,6,6,5,6,6,4,6,6,6,5,5,6,6,5,6,5,5,6,5,6,6,6,6,6,6,5,5,6,5,6,6,6,5,5,6,6,6,6,5,6,6,5,6,6,Default,
26578,5,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,6,6,5,6,6,6,5,6,6,5,6,6,6,5,5,5,6,6,Default,
