Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
130622,-1.58481,9.52984,1.33528,-0.873,2.276,-0.833,13.8135,-78.4259,-2.15967,1011.84
130628,-1.56568,9.53941,1.32572,-0.873,2.486,-0.763,13.7263,-79.0119,-2.10057,1011.84
130634,-1.59437,9.52028,1.34006,-0.663,2.416,-0.833,13.8716,-78.1329,-2.10057,1011.88
130640,-1.6135,9.55375,1.31137,-0.663,2.346,-0.833,14.1186,-78.3643,-2.07102,1011.88
130646,-1.58003,9.57288,1.3018,-1.013,2.276,-0.833,14.5254,-78.0713,-2.21878,1011.88
130652,-1.54655,9.53462,1.33528,-0.803,2.416,-0.693,14.0314,-78.611,-2.41087,1011.88
130658,-1.54655,9.49637,1.35441,-0.593,2.556,-0.833,13.9588,-78.5339,-1.84937,1011.88
130664,-1.58481,9.53462,1.32093,-0.593,2.556,-0.833,14.322,-78.5339,-1.67205,1011.86
130670,-1.58959,9.55854,1.31615,-0.593,2.626,-0.833,14.1477,-78.0867,-1.81982,1011.86
130676,-1.59437,9.56332,1.28267,-0.733,2.626,-0.763,14.0895,-77.8091,-3.07581,1011.89
130682,-1.58481,9.55375,1.29702,-0.873,2.416,-0.833,14.9467,-78.1021,-2.11534,1011.89
130688,-1.57046,9.54419,1.29224,-0.873,2.696,-0.903,14.7433,-77.5778,-1.50951,1011.91
130694,-1.59437,9.50593,1.32572,-0.593,2.766,-0.973,15.1211,-78.4568,-1.27309,1011.91
130700,-1.60872,9.52506,1.32572,-0.453,2.626,-0.903,13.3486,-77.7783,-2.42565,1011.91
130706,-1.58959,9.55854,1.32093,-0.593,2.626,-0.903,14.4673,-77.732,-1.1401,1011.91
130712,-1.58003,9.55375,1.31615,-0.663,2.626,-0.903,14.1767,-78.0713,-1.6425,1011.9
130718,-1.57524,9.53462,1.30659,-0.593,2.696,-1.113,13.4648,-77.732,-2.35177,1011.9
130724,-1.59916,9.52028,1.32572,-0.453,2.696,-1.043,14.5544,-78.611,-1.61295,1011.9
130730,-1.59437,9.53941,1.3305,-0.383,2.696,-1.113,14.0024,-78.6727,-2.30744,1011.9
130736,-1.59437,9.55375,1.29702,-0.593,2.836,-1.043,13.7844,-78.1946,-1.98236,1011.9
130742,-1.63263,9.55375,1.31615,-0.453,2.766,-1.043,14.4382,-78.4568,-2.4552,1011.92
130748,-1.6422,9.57288,1.29224,-0.593,2.486,-0.833,14.1767,-77.6858,-1.92325,1011.92
130754,-1.62307,9.56332,1.29702,-0.663,2.486,-0.833,13.6973,-78.1638,-1.43563,1011.94
130760,-1.58959,9.53941,1.3018,-0.593,2.486,-0.973,13.8135,-77.6704,-1.77549,1011.94
130766,-1.57046,9.5155,1.30659,-0.523,2.626,-0.973,14.5835,-78.2563,-1.30264,1011.89
130772,-1.57046,9.51071,1.3305,-0.523,2.696,-1.043,13.9297,-77.6704,-1.53907,1011.89
130778,-1.59916,9.52506,1.33528,-0.173,2.766,-1.043,14.3801,-78.0096,-1.77549,1011.92
130784,-1.60872,9.54897,1.31615,-0.243,2.766,-1.043,14.3511,-78.7806,-1.8937,1011.92
130790,-1.62785,9.57288,1.28746,-0.383,2.766,-1.043,14.4963,-78.8885,-0.918457,1011.89
130796,-1.63741,9.56332,1.28267,-0.453,2.696,-0.973,14.0024,-78.981,-2.51431,1011.89
130802,-1.6135,9.55854,1.28267,-0.733,2.556,-0.973,14.3511,-77.9479,-2.75073,1011.91
130808,-1.58003,9.56332,1.28746,-0.663,2.766,-1.043,13.9588,-78.3643,-1.83459,1011.91
130814,-1.61828,9.56332,1.29702,-0.593,2.626,-1.043,14.1477,-79.0119,-2.35177,1011.88
