Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Label,
130642,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,5,6,6,6,5,6,6,6,6,6,6,6,5,6,6,6,6,6,Default,
130658,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,Default,
130674,5,6,6,6,6,6,6,6,5,6,6,6,5,5,4,6,6,5,6,6,5,6,5,5,6,6,5,6,6,6,5,6,5,6,6,6,6,5,6,6,6,6,5,6,6,Default,
130690,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,5,5,6,5,6,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,6,6,5,6,6,4,5,Default,
130706,6,6,6,6,6,6,6,5,6,5,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,Default,
130722,5,6,6,6,5,6,6,6,6,6,6,6,5,5,6,6,5,5,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,6,6,5,6,6,5,5,6,6,6,6,6,Default,
130738,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,5,6,6,5,6,6,6,6,6,6,6,5,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,Default,
130754,5,6,6,6,5,6,6,6,6,6,5,6,6,4,6,6,6,6,5,6,6,6,5,6,5,5,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,Default,
130770,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,6,6,6,5,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Default,
130786,6,6,6,6,5,6,5,6,6,6,6,6,6,5,6,6,5,6,6,5,5,6,5,5,6,6,6,5,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,Default,
130802,5,6,6,6,6,5,6,5,5,6,6,6,6,6,6,5,6,5,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,Default,
130818,6,6,6,6,6,5,6,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,Default,
130834,4,6,6,6,6,5,6,6,6,6,6,5,5,5,5,6,5,6,6,6,5,5,6,5,6,6,6,6,5,5,5,6,6,6,6,4,6,6,6,6,6,5,6,5,6,Default,
130850,5,6,6,6,6,6,6,5,6,6,6,5,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,5,5,6,5,6,5,6,5,Default,
130866,6,6,6,6,6,6,6,6,5,6,5,5,5,5,6,5,6,6,6,6,5,6,6,5,5,5,6,5,6,6,6,6,5,6,6,6,6,5,5,6,5,6,6,6,6,Default,
