TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,             AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,18479,4.1918,8.96738,-0.966602,93.0157,-25.2411,-138.389,-0.915527,-1.83105,-1.2207,0.38681,0.11084,-0.715149,-0.571442,60414,59296,2766,3168,-30127
6,18485,4.14873,9.04395,-0.91875,93.0157,-25.2356,-138.395,-1.89209,-1.34277,-1.28174,0.386627,0.110809,-0.715149,-0.571533,60413,59281,2766,3168,-30127
12,18491,4.09609,9.01045,-0.808691,93.0048,-25.2246,-138.4,-2.68555,-0.671387,-1.09863,0.386566,0.110809,-0.715118,-0.571625,60411,59268,2765,3168,-30127
18,18497,4.04824,8.90996,-0.674707,92.9993,-25.2191,-138.406,-2.99072,-0.366211,-0.793457,0.386536,0.110809,-0.715088,-0.571716,60408,59254,2766,3168,-30127
24,18503,4.00518,8.7999,-0.550293,92.9883,-25.2136,-138.411,-2.68555,-0.488281,-0.915527,0.386475,0.110779,-0.715057,-0.571777,60404,59242,2768,3168,-30127
30,18509,3.98604,8.78555,-0.564648,92.9938,-25.2026,-138.428,-0.671387,-1.70898,-0.671387,0.386414,0.110748,-0.715057,-0.571838,60402,59226,2771,3168,-30127
36,18515,4.01953,8.85254,-0.684277,93.0048,-25.2026,-138.444,-0.305176,-2.0752,-0.366211,0.38623,0.110718,-0.715118,-0.571869,60401,59216,2770,3168,-30127
42,18521,4.06738,8.94346,-0.76084,93.0103,-25.1971,-138.455,-0.183105,-2.01416,-0.366211,0.386139,0.110687,-0.715179,-0.571869,60398,59249,2768,3168,-30127
48,18527,4.11045,8.97217,-0.775195,93.0157,-25.1917,-138.466,-0.549316,-1.58691,-0.183105,0.386078,0.110657,-0.71521,-0.571899,60397,59238,2764,3168,-30127
54,18533,4.11045,8.93389,-0.799121,93.0212,-25.1917,-138.472,-0.915527,-1.15967,-0.183105,0.386017,0.110626,-0.71524,-0.571899,60396,59269,2764,3168,-30127
60,18539,4.06738,8.89561,-0.76084,93.0267,-25.1862,-138.477,-0.915527,-0.671387,0,0.385986,0.110657,-0.71524,-0.571899,60392,59319,2773,3168,-30127
66,18545,4.07217,8.93389,-0.775195,93.0267,-25.1862,-138.483,-0.793457,-0.488281,0.183105,0.385925,0.110626,-0.715271,-0.57193,60394,59300,2777,3168,-30127
72,18551,4.08174,8.9291,-0.77998,93.0267,-25.1862,-138.488,-0.976563,-0.427246,0.183105,0.385895,0.110626,-0.715271,-0.57193,60394,59284,2775,3168,-30127
78,18557,4.09609,8.90518,-0.75127,93.0267,-25.1807,-138.488,-1.2207,-0.244141,0.183105,0.385895,0.110626,-0.715271,-0.57193,60394,59310,2774,3168,-30127
84,18563,4.08174,8.90039,-0.75127,93.0267,-25.1807,-138.488,-1.40381,0.0610352,0.244141,0.385895,0.110626,-0.715271,-0.57193,60393,59293,2770,3168,-30127
