TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,             AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,246276,5.03398,8.30703,-0.435449,91.3458,-31.7944,134.088,-1.95313,1.46484,0.427246,0.081604,0.44458,0.558868,0.69516,64995,57890,3902,3118,-30121
6,246282,5.10576,8.45059,-0.497656,91.3184,-31.7944,134.11,-2.86865,1.70898,0.549316,0.0815735,0.444489,0.558807,0.695251,64999,57891,3902,3118,-30121
12,246288,5.14404,8.39316,-0.478516,91.3074,-31.7999,134.121,-2.80762,2.2583,0.549316,0.0815735,0.444458,0.558777,0.695313,65002,57891,3903,3118,-30121
18,246294,5.13447,8.36924,-0.512012,91.2909,-31.7999,134.132,-2.86865,2.44141,0.305176,0.081543,0.444397,0.558716,0.695404,65003,57890,3901,3118,-30121
24,246300,5.08184,8.40752,-0.488086,91.2744,-31.7999,134.143,-2.99072,2.50244,0.305176,0.081543,0.444305,0.558685,0.695496,65004,57891,3900,3118,-30121
30,246306,5.04355,8.43623,-0.435449,91.2579,-31.7999,134.16,-3.23486,2.74658,0.488281,0.0815125,0.444244,0.558624,0.695587,65005,57892,3900,3118,-30121
36,246312,5.05791,8.32139,-0.411523,91.236,-31.7999,134.176,-3.35693,2.50244,0.427246,0.0814819,0.444092,0.558502,0.69577,65002,57891,3899,3118,-30121
42,246318,5.0627,8.40752,-0.378027,91.2085,-31.7999,134.198,-2.80762,2.38037,0.549316,0.0814514,0.444,0.558472,0.695862,65002,57892,3901,3118,-30121
48,246324,5.09141,8.35488,-0.387598,91.192,-31.7999,134.214,-2.92969,2.38037,0.488281,0.0814209,0.443939,0.558411,0.695953,65005,57893,3900,3118,-30121
54,246330,5.10098,8.34053,-0.421094,91.1755,-31.7999,134.225,-2.74658,2.50244,0.427246,0.0814209,0.443878,0.55838,0.696045,65005,57893,3899,3118,-30121
60,246336,5.03877,8.38838,-0.382813,91.1591,-31.8054,134.236,-2.86865,2.31934,0.488281,0.0813904,0.443787,0.558319,0.696106,65003,57893,3899,3118,-30121
66,246342,5.0627,8.37881,-0.406738,91.1426,-31.8054,134.253,-2.92969,2.44141,0.549316,0.0813599,0.443726,0.558289,0.696198,65001,57895,3899,3118,-30121
72,246348,5.05791,8.35967,-0.416309,91.1151,-31.8054,134.275,-2.56348,2.13623,0.427246,0.0813293,0.443573,0.558197,0.696381,64999,57897,3897,3118,-30121
78,246354,5.05791,8.42188,-0.401953,91.1041,-31.8054,134.291,-2.50244,2.31934,0.549316,0.0812988,0.443512,0.558136,0.696442,64997,57899,3893,3118,-30121
84,246360,5.07705,8.39316,-0.368457,91.0876,-31.8054,134.302,-2.86865,2.19727,0.244141,0.0812683,0.443451,0.558105,0.696533,64996,57901,3891,3118,-30121
90,246366,5.08662,8.33574,-0.425879,91.0767,-31.8054,134.313,-2.44141,1.83105,0.427246,0.0812683,0.44339,0.558075,0.696594,64999,57902,3889,3118,-30121
96,246372,5.05791,8.42188,-0.387598,91.0657,-31.8054,134.319,-2.0752,1.83105,0.488281,0.0812378,0.443329,0.558044,0.696655,65001,57903,3886,3118,-30121
102,246378,5.04355,8.31182,-0.392383,91.0547,-31.8054,134.33,-2.19727,1.34277,0.488281,0.0812073,0.443207,0.557953,0.696808,65005,57905,3884,3118,-30121
108,246384,5.05791,8.3501,-0.392383,91.0382,-31.8109,134.346,-1.89209,1.15967,0.549316,0.0811768,0.443176,0.557922,0.696838,65009,57906,3883,3118,-30121
