TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,             AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,65838,4.40234,8.77119,-0.210547,89.3024,-27.4438,125.964,-1.40381,-0.732422,-0.488281,0.165314,0.460449,0.531555,0.691376,1082,57842,3349,2984,-30105
6,65844,4.39277,8.81426,-0.248828,89.3024,-27.4438,125.958,-1.64795,-0.915527,-0.183105,0.165405,0.460449,0.531525,0.691345,1082,57842,3352,2984,-30105
12,65850,4.40713,8.81426,-0.14834,89.2969,-27.4384,125.953,-2.0752,-0.793457,0,0.165466,0.46048,0.531494,0.691376,1078,57842,3352,2984,-30105
18,65856,4.4502,8.71377,-0.124414,89.2914,-27.4384,125.947,-2.0752,-0.671387,-0.0610352,0.165527,0.46048,0.531464,0.691376,1078,57843,3351,2984,-30105
24,65862,4.46934,8.68984,-0.110059,89.2914,-27.4329,125.947,-1.83105,-0.549316,-0.183105,0.165558,0.46048,0.531433,0.691376,1078,57844,3352,2984,-30105
30,65868,4.4167,8.79512,-0.15791,89.2914,-27.4274,125.936,-1.46484,-0.732422,-0.427246,0.165619,0.46048,0.531433,0.691376,1074,57844,3352,2984,-30105
36,65874,4.37363,8.81904,-0.181836,89.2914,-27.4219,125.936,-1.70898,-0.549316,-0.305176,0.16571,0.46048,0.531433,0.691345,1072,57846,3354,2984,-30105
42,65880,4.37842,8.78076,-0.13877,89.2859,-27.4219,125.931,-1.89209,-0.610352,-0.0610352,0.165771,0.46048,0.531403,0.691345,1071,57845,3354,2984,-30105
48,65886,4.47412,8.75205,-0.119629,89.2859,-27.4219,125.925,-1.77002,-0.488281,-0.12207,0.165802,0.46048,0.531372,0.691345,1068,57844,3352,2984,-30105
54,65892,4.44541,8.75684,-0.153125,89.2804,-27.4164,125.925,-1.77002,-0.488281,-0.183105,0.165833,0.46048,0.531372,0.691376,1066,57844,3351,2984,-30105
60,65898,4.4167,8.81426,-0.186621,89.2749,-27.4164,125.92,-1.83105,-0.12207,0.12207,0.165863,0.46048,0.531372,0.691376,1068,57843,3347,2984,-30105
