TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,             AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,23219,4.52676,8.63242,1.32549,84.7375,-28.3337,137.532,5.85938,-7.62939,0.12207,0.105652,0.405182,0.543518,0.727417,313,57771,3522,2892,-30094
6,23225,4.50283,8.61807,1.44512,84.7375,-28.3337,137.532,6.28662,-7.69043,0.12207,0.105743,0.405273,0.543579,0.727325,316,57768,3521,2892,-30094
12,23231,4.29707,8.45537,1.37813,84.7375,-28.3337,137.532,6.83594,-8.42285,0.366211,0.105835,0.405365,0.54361,0.727234,320,57768,3519,2892,-30094
18,23237,4.48848,8.49844,1.40684,84.7375,-28.3337,137.532,7.44629,-8.23975,0.366211,0.105927,0.405396,0.54364,0.727173,323,57769,3519,2892,-30094
24,23243,4.51719,8.6707,0.636426,84.787,-28.3118,137.45,-0.549316,-1.95313,-0.671387,0.104095,0.389587,0.527832,0.747437,323,57769,3520,2892,-30094
30,23249,4.35449,8.53672,1.33984,84.798,-28.3063,137.433,9.0332,-11.1694,0.183105,0.106201,0.405548,0.543671,0.72702,321,57766,3521,2892,-30094
36,23255,4.47891,8.5415,1.41162,84.798,-28.3063,137.433,9.21631,-11.1694,0.793457,0.106262,0.40564,0.543701,0.726929,322,57765,3520,2892,-30094
42,23261,4.4502,8.53193,1.23457,84.798,-28.3063,137.433,10.5591,-12.4512,0.427246,0.106354,0.405731,0.543732,0.726837,322,57765,3521,2892,-30094
48,23267,4.59854,8.55586,1.10537,84.798,-28.3063,137.433,11.3525,-12.7563,0.549316,0.106445,0.405823,0.543762,0.726776,319,57763,3523,2892,-30094
54,23273,4.53633,8.72334,0.531152,84.8529,-28.2953,137.357,-0.244141,-1.70898,-0.305176,0.104401,0.391937,0.529633,0.744873,317,57762,3526,2892,-30094
