TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,             AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,244025,4.7708,9.4459,0.626855,79.4366,-26.532,16.7651,43.457,-37.9639,-4.57764,0.720551,0.639252,-0.0835266,0.255096,64314,61223,62139,5601,-30418
6,244031,5.10576,9.56074,0.0191406,79.7003,-26.543,16.6058,38.8794,-33.4473,-3.90625,0.719238,0.641022,-0.0839539,0.254211,64321,61214,62151,5601,-30418
12,244037,5.0292,9.80957,-0.119629,79.953,-26.543,16.4465,36.0107,-31.9214,-5.24902,0.718079,0.642578,-0.0843201,0.253448,64328,61206,62164,5601,-30418
18,244043,4.9,10.0967,-0.172266,80.1727,-26.543,16.3037,30.8838,-29.2358,-5.18799,0.71701,0.644043,-0.0846558,0.252655,64286,61199,62175,5601,-30418
24,244049,4.81387,9.54639,0.114844,80.3485,-26.5375,16.1664,17.0288,-24.292,-4.5166,0.715393,0.646301,-0.0853271,0.25119,64214,61195,62199,5601,-30418
30,244055,4.67988,9.23535,0.502441,80.6122,-26.5265,15.9302,13.4888,-21.7285,-4.57764,0.714874,0.647095,-0.0856934,0.250519,64183,61194,62208,5601,-30418
36,244061,4.46455,8.97695,1.02402,80.7166,-26.521,15.8313,11.7798,-19.9585,-4.39453,0.714478,0.647766,-0.0859985,0.249878,64157,61196,62217,5601,-30418
42,244067,4.4167,8.7999,1.24893,80.8209,-26.5155,15.7269,11.8408,-19.2871,-4.39453,0.714111,0.648346,-0.0863037,0.249268,64133,61197,62225,5601,-30418
48,244073,3.81377,8.51279,1.40684,80.9363,-26.4825,15.6061,11.7188,-21.9727,-9.76563,0.713745,0.648926,-0.0866089,0.248688,64111,61199,62233,5601,-30418
54,244079,4.14395,8.6085,1.33984,81.0626,-26.4771,15.4852,16.1133,-23.6816,-3.90625,0.712982,0.650269,-0.0872498,0.247162,64078,61202,62249,5601,-30418
60,244085,4.23965,8.73291,1.29678,81.3428,-26.4771,15.2271,17.0898,-24.9634,-3.96729,0.712494,0.651001,-0.0876465,0.24646,64064,61204,62256,5601,-30418
66,244091,4.26836,8.81904,1.13408,81.4856,-26.4771,15.0952,17.2119,-24.7803,-3.54004,0.711975,0.651794,-0.0880737,0.245728,64053,61165,62262,5601,-30418
