TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,             AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,122969,4.1248,8.65635,-0.200977,103.997,-26.8011,-32.7997,6.34766,-8.23975,0.915527,0.62619,0.695496,-0.352173,0.00738525,58914,57546,65412,4187,-30249
6,122975,4.31143,8.54629,0.0430664,104.03,-26.7682,-33.2172,8.11768,-7.62939,2.13623,0.626007,0.694489,-0.354523,0.00488281,58917,57539,65429,4187,-30249
12,122981,4.25879,8.68984,-0.124414,104.057,-26.7517,-33.4314,8.42285,-7.99561,3.72314,0.625854,0.694031,-0.355682,0.00366211,58920,57535,65446,4187,-30249
18,122987,4.30664,8.8334,-0.277539,104.084,-26.7407,-33.6456,8.42285,-8.48389,4.02832,0.625702,0.693542,-0.356903,0.00250244,58923,57531,65465,4187,-30249
24,122993,4.31621,8.88125,-0.507227,104.106,-26.7297,-33.8654,7.32422,-8.78906,4.39453,0.625519,0.693054,-0.358154,0.00131226,58925,57528,65481,4187,-30249
30,122999,4.53633,9.11094,-0.550293,104.117,-26.7188,-34.0686,5.06592,-7.32422,4.27246,0.625366,0.692535,-0.359436,0.000152588,58928,57522,65513,4187,-30249
36,123005,4.6751,8.94824,-0.507227,104.095,-26.7188,-34.4696,0.732422,-5.12695,4.76074,0.625336,0.691315,-0.361877,-0.00213623,58930,57520,65528,4187,-30249
42,123011,4.79473,8.69941,-0.497656,104.073,-26.7133,-34.6619,-0.549316,-5.12695,4.94385,0.625427,0.690613,-0.363007,-0.00326538,58931,57518,7,4187,-30249
48,123017,4.91914,8.69463,-0.555078,104.052,-26.7133,-34.8486,-0.366211,-4.39453,3.84521,0.625549,0.68988,-0.364166,-0.00439453,58933,57517,22,4187,-30249
54,123023,5.04355,8.83818,-0.516797,104.019,-26.7023,-35.0244,-0.976563,-3.23486,2.80762,0.625702,0.689178,-0.365265,-0.00552368,58934,57515,37,4187,-30249
60,123029,4.9957,8.94346,-0.45459,103.975,-26.6968,-35.1892,-2.74658,-1.0376,1.70898,0.625854,0.688446,-0.366302,-0.00662231,58939,57508,59,4187,-30249
66,123035,5.12969,8.59414,-0.521582,103.848,-26.6583,-35.4913,-4.76074,-0.0610352,-1.83105,0.626465,0.68692,-0.368103,-0.0088501,58941,57503,66,4187,-30249
72,123041,5.15361,8.68506,-0.803906,103.804,-26.6199,-35.6506,-2.62451,-2.13623,-4.27246,0.626801,0.686188,-0.368896,-0.0100403,58942,57498,70,4187,-30249
78,123047,5.24932,9.08701,-1.02881,103.76,-26.5759,-35.799,-2.86865,-1.83105,-5.79834,0.627014,0.685547,-0.369659,-0.011261,58942,57496,74,4187,-30249
84,123053,5.16797,9.4459,-0.866113,103.689,-26.532,-35.9308,-5.85938,0.427246,-7.44629,0.627258,0.684937,-0.370361,-0.0125427,58942,57494,80,4187,-30249
90,123059,5.04355,9.31191,-0.488086,103.585,-26.4825,-36.0406,-11.4136,4.08936,-8.97217,0.627594,0.684265,-0.370911,-0.0137939,58943,57493,96,4187,-30249
96,123065,4.95264,8.28789,-0.0574219,103.343,-26.3672,-36.2494,-12.9395,4.57764,-12.207,0.628845,0.682648,-0.371704,-0.0164185,58945,57493,101,4187,-30249
102,123071,5.19668,8.1874,-0.435449,103.26,-26.2793,-36.3757,-7.32422,0,-15.3809,0.629486,0.681854,-0.37204,-0.0177917,58946,57494,0,4187,-30249
108,123077,5.24932,8.77119,-0.669922,103.2,-26.1859,-36.5021,-4.57764,-1.70898,-17.334,0.629852,0.681274,-0.372375,-0.0192871,58945,57495,106,4187,-30249
114,123083,5.33066,9.40762,-0.789551,103.134,-26.0815,-36.6339,-5.31006,-2.56348,-19.5923,0.630127,0.680817,-0.372711,-0.0208435,58945,57496,106,4187,-30249
120,123089,5.59863,9.60381,-0.904395,103.046,-25.9662,-36.7493,-9.58252,-0.732422,-22.0947,0.630371,0.680359,-0.372986,-0.0224609,58942,57500,106,4187,-30249
