TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,             AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,12941,4.254,8.95781,-0.425879,91.0162,-26.8506,141.96,-3.23486,1.09863,-1.09863,-0.0654907,-0.380005,-0.602966,-0.698303,65251,58321,4252,3151,-30125
6,12947,4.29229,8.90518,-0.47373,90.9998,-26.8451,141.965,-3.78418,0.976563,-0.915527,-0.0655212,-0.379944,-0.602936,-0.698364,65250,58297,4255,3151,-30125
12,12953,4.33057,8.7999,-0.435449,90.9833,-26.8396,141.971,-3.90625,1.34277,-0.793457,-0.0655823,-0.379852,-0.602875,-0.698456,65249,58316,4254,3151,-30125
18,12959,4.26836,8.72334,-0.339746,90.9668,-26.8341,141.982,-3.96729,1.89209,-0.183105,-0.0656433,-0.379791,-0.602814,-0.698547,65248,58293,4253,3151,-30125
24,12965,4.18701,8.82861,-0.358887,90.9503,-26.8286,141.993,-3.2959,2.13623,-0.488281,-0.0656738,-0.379608,-0.602722,-0.69873,65248,58274,4253,3151,-30125
30,12971,4.16309,8.79033,-0.29668,90.9229,-26.8231,142.015,-3.35693,1.46484,-0.305176,-0.0656738,-0.379517,-0.602661,-0.698792,65247,58239,4246,3151,-30125
36,12977,4.16309,8.71855,-0.196191,90.9064,-26.8176,142.015,-2.99072,0.854492,-0.183105,-0.0657043,-0.379456,-0.602631,-0.698883,65247,58223,4242,3151,-30125
42,12983,4.21094,8.68506,-0.200977,90.9064,-26.8121,142.02,-2.01416,0,-0.244141,-0.0657349,-0.379395,-0.60257,-0.698944,65248,58250,4237,3151,-30125
48,12989,4.17266,8.69941,-0.215332,90.9064,-26.8121,142.015,-1.0376,-0.732422,0.0610352,-0.0657654,-0.379364,-0.60257,-0.698975,65247,58273,4231,3151,-30125
54,12995,4.38799,8.81904,-0.282324,90.9119,-26.8121,142.009,0.12207,-0.671387,0.366211,-0.0657959,-0.379395,-0.6026,-0.698914,65246,58254,4230,3151,-30125
60,13001,4.27793,8.90039,-0.44502,90.9338,-26.8066,141.998,0.732422,-1.52588,0.183105,-0.0657959,-0.379425,-0.602631,-0.698883,65246,58223,4231,3151,-30125
66,13007,4.26836,8.85254,-0.593359,90.9393,-26.8066,141.987,0.12207,-1.52588,0,-0.0658264,-0.379456,-0.602692,-0.698822,65244,58212,4232,3151,-30125
72,13013,4.33057,8.9291,-0.569434,90.9448,-26.8066,141.982,-0.854492,-1.15967,0.427246,-0.0658569,-0.379486,-0.602722,-0.698761,65243,58203,4234,3151,-30125
78,13019,4.41191,8.81426,-0.406738,90.9448,-26.8066,141.982,-1.52588,-0.610352,0.793457,-0.0658875,-0.379517,-0.602722,-0.69873,65241,58193,4235,3151,-30125
84,13025,4.31143,8.81904,-0.401953,90.9448,-26.8066,141.976,-1.46484,-0.12207,0.488281,-0.065918,-0.379547,-0.602692,-0.69873,65238,58184,4234,3151,-30125
90,13031,4.26836,8.80947,-0.373242,90.9448,-26.8066,141.976,-0.976563,-0.305176,0.427246,-0.0659485,-0.379578,-0.602692,-0.69873,65234,58167,4232,3151,-30125
96,13037,4.36406,8.74248,-0.248828,90.9448,-26.8066,141.971,-0.671387,-0.12207,0.732422,-0.0659485,-0.379578,-0.602692,-0.69873,65235,58160,4231,3151,-30125
102,13043,4.24443,8.81904,-0.30625,90.9558,-26.8066,141.965,0.0610352,-1.0376,0.305176,-0.0659485,-0.379578,-0.602692,-0.69873,65235,58152,4233,3151,-30125
108,13049,4.24443,8.82383,-0.382813,90.9613,-26.8066,141.96,0.0610352,-1.52588,0.488281,-0.0659485,-0.379608,-0.602722,-0.698669,65235,58147,4236,3151,-30125
114,13055,4.31143,8.90518,-0.411523,90.9778,-26.8011,141.943,0.732422,-2.38037,0.244141,-0.06604,-0.37973,-0.602814,-0.698547,65234,58142,4239,3143,-30124
120,13061,4.37363,8.90039,-0.516797,91.0052,-26.8011,141.921,0.671387,-2.38037,0.488281,-0.0660706,-0.379791,-0.602844,-0.698456,65232,58134,4243,3143,-30124
126,13067,4.38799,8.90996,-0.588574,91.0162,-26.7957,141.91,0.610352,-1.95313,0.0610352,-0.0661011,-0.379883,-0.602905,-0.698364,65232,58129,4242,3143,-30124
132,13073,4.3832,8.93867,-0.598145,91.0272,-26.7957,141.899,0.183105,-1.40381,0.305176,-0.0661621,-0.379944,-0.602936,-0.698303,65233,58166,4243,3143,-30124
138,13079,4.39277,8.9626,-0.650781,91.0327,-26.7957,141.894,-0.427246,-0.854492,0.549316,-0.0661621,-0.379974,-0.602997,-0.698242,65232,58198,4244,3143,-30124
144,13085,4.35928,8.99131,-0.655566,91.0382,-26.7957,141.894,-1.46484,0.427246,0.488281,-0.0661621,-0.380005,-0.603027,-0.698212,65231,58186,4244,3143,-30124
150,13091,4.37842,8.95781,-0.708203,91.0272,-26.7957,141.905,-2.0752,0.915527,0.305176,-0.0661621,-0.380005,-0.602997,-0.698212,65228,58245,4246,3143,-30124
156,13097,4.4167,8.94346,-0.674707,91.0162,-26.7957,141.91,-2.74658,1.34277,0.549316,-0.0661621,-0.379944,-0.602997,-0.698242,65228,58229,4245,3143,-30124
