Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
17177,-881.328,-272.792,-368.44,1760,-1010,1322,441.015,-291.578,459.559,1011.32
17183,-885.72,-277.672,-371.856,2530,-1640,1252,438.823,-287.924,459.12,1011.32
17189,-892.064,-280.6,-368.928,3020,-1290,1672,444.376,-292.308,457.659,1011.35
17195,-889.136,-285.968,-366.976,2670,-1290,482,449.2,-295.232,459.851,1011.35
17201,-888.648,-287.432,-366.488,2320,-730,-8,446.13,-294.355,451.228,1011.4
17207,-887.672,-287.432,-366,2320,-870,-78,434.292,-286.608,449.328,1011.4
17213,-888.648,-283.528,-367.952,3510,-1780,-148,444.084,-293.478,455.613,1011.37
17219,-886.208,-279.624,-365.024,2460,-380,1182,439.699,-292.016,455.32,1011.37
17225,-881.328,-277.184,-365.024,3440,-310,1742,441.161,-289.97,453.128,1011.3
17231,-877.912,-274.744,-363.56,4840,-1220,-498,443.207,-289.678,457.074,1011.3
17237,-878.4,-275.232,-364.048,3650,-730,1042,442.038,-289.385,450.643,1011.36
17243,-881.328,-273.28,-364.048,3790,-1430,622,439.992,-287.924,449.035,1011.36
17249,-882.792,-274.256,-367.464,3860,-660,1392,435.899,-291.285,461.166,1011.36
17255,-885.232,-277.184,-370.88,3860,-660,1742,443.792,-293.478,453.274,1011.36
17261,-887.672,-283.04,-373.808,4420,-870,972,441.161,-290.262,450.497,1011.34
17267,-888.648,-287.92,-376.736,3860,-450,762,437.946,-290.408,462.336,1011.34
17273,-889.136,-288.408,-377.712,4490,110,342,450.077,-292.601,448.451,1011.34
17279,-889.136,-291.824,-377.224,4420,40,762,441.015,-290.116,468.474,1011.35
17285,-889.624,-289.384,-380.152,3930,-520,-358,442.33,-288.801,459.559,1011.35
17291,-892.064,-287.92,-381.616,4770,-520,552,440.576,-289.97,465.99,1011.31
17297,-893.528,-284.016,-383.568,3860,-170,622,449.492,-293.185,465.259,1011.31
17303,-893.04,-277.672,-384.056,3860,-940,62,440.138,-299.324,457.22,1011.32
17309,-897.432,-274.744,-384.544,4070,-520,2862,439.553,-289.824,460.874,1011.32
17315,-906.216,-271.328,-386.008,3790,-940,3072,433.853,-289.239,446.112,1011.34
17321,-915,-268.888,-386.008,3720,-660,4122,444.669,-292.601,453.712,1011.34
17327,-924.76,-264.496,-388.936,4210,740,5662,444.376,-292.893,461.166,1011.34
17333,-927.2,-263.52,-388.936,4490,460,6992,443.207,-290.847,459.413,1011.34
17339,-926.224,-264.984,-392.352,4420,1370,6362,428.153,-300.201,456.197,1011.32
17345,-924.76,-265.96,-388.936,3720,2770,5802,437.507,-291.285,449.912,1011.32
17351,-921.832,-262.544,-385.52,3860,1370,3492,441.599,-292.308,453.42,1011.32
17357,-918.904,-258.152,-385.032,4280,2490,4472,440.138,-292.308,446.843,1011.34
17363,-913.048,-255.224,-387.472,5470,2560,4192,444.23,-293.332,457.805,1011.34
17369,-910.12,-255.224,-385.032,5820,3470,4122,440.43,-294.647,459.705,1011.36
17375,-909.632,-256.688,-380.64,6590,3890,5032,441.892,-296.255,447.72,1011.36
17381,-906.216,-259.616,-379.664,6870,4590,6012,442.915,-288.216,459.997,1011.35
17387,-904.264,-263.032,-380.152,5820,6060,5662,435.169,-291.724,451.666,1011.35
17393,-909.144,-266.448,-378.2,4770,7040,7692,431.807,-293.77,456.782,1011.34
17399,-915.976,-264.008,-378.2,3860,7880,8462,437.946,-293.624,467.89,1011.34
17405,-916.952,-262.544,-381.616,4840,10120,9722,443.646,-286.462,457.366,1011.35
17411,-915,-258.152,-377.712,5190,11240,10842,439.992,-289.385,464.236,1011.35
17417,-911.096,-257.664,-380.152,5190,12710,10072,433.561,-295.816,464.236,1011.35
17423,-906.216,-259.616,-378.688,3860,13550,8602,433.853,-293.332,455.905,1011.35
17429,-899.872,-262.056,-373.32,3090,12570,6362,435.022,-290.701,454.589,1011.37
17435,-896.944,-271.816,-373.32,360,14950,3282,436.484,-286.608,455.613,1011.37
17441,-898.896,-272.792,-367.952,-1880,17050,1182,433.122,-292.893,464.528,1011.37
17447,-902.312,-271.816,-357.704,-4610,16910,-1898,436.63,-289.97,457.659,1011.33
17453,-911.096,-277.184,-359.168,-10070,17260,-5118,438.676,-293.332,457.513,1011.33
17459,-930.616,-292.8,-357.704,-19450,16280,-8898,431.953,-295.232,458.682,1011.35
17465,-941.84,-308.416,-348.432,-30090,12570,-15268,437.069,-301.37,457.366,1011.35
17471,-931.592,-314.272,-335.256,-43740,7460,-22268,435.461,-303.562,458.243,1011.34
17477,-912.56,-312.32,-333.792,-60400,-660,-28988,433.999,-296.547,458.828,1011.34
17483,-906.216,-288.408,-356.728,-75450,-4440,-33258,432.83,-293.185,468.328,1011.32
17489,-898.896,-256.688,-372.344,-86790,-4020,-33468,440.723,-294.355,467.597,1011.32
17495,-888.16,-230.336,-372.832,-93930,-2970,-30038,440.284,-299.762,467.597,1011.36
17501,-875.96,-203.496,-367.952,-96450,-590,-23388,443.938,-300.201,457.074,1011.36
17507,-857.904,-186.904,-364.048,-93790,1720,-17368,441.453,-306.632,450.351,1011.32
17513,-834.48,-183,-365.512,-89310,1440,-9738,434.438,-311.309,453.42,1011.32
17519,-819.352,-176.168,-370.88,-86230,1790,-4068,432.976,-308.824,446.112,1011.32
17525,-808.616,-168.848,-380.152,-81050,3050,3632,442.476,-310.724,441.874,1011.34
17531,-793.976,-161.528,-391.376,-76710,3260,11542,431.661,-314.67,456.343,1011.34
17537,-782.264,-157.624,-406.016,-69290,6340,19242,433.415,-309.409,441.874,1011.37
17543,-777.384,-141.032,-409.432,-59070,10820,30792,429.03,-309.701,435.151,1011.37
17549,-785.192,-129.808,-402.112,-47870,15860,43322,435.022,-318.909,444.505,1011.32
17555,-799.344,-124.44,-400.648,-35550,22720,57252,433.561,-321.393,454.443,1011.32
17561,-798.856,-132.736,-402.112,-23650,28110,68732,420.407,-326.363,442.897,1011.38
17567,-794.464,-150.792,-402.112,-14480,32170,78672,418.068,-326.655,457.366,1011.38
17573,-720.776,-244,-271.328,-24420,19010,87002,423.476,-332.648,457.659,1011.3
17579,-764.696,-334.28,-214.232,-60820,-1780,88122,422.453,-334.109,456.343,1011.3
17585,-843.264,-294.752,-237.656,-94770,-7170,91342,425.522,-342.002,437.343,1011.38
17591,-906.704,-211.792,-317.2,-112970,-100,98062,417.922,-348.725,438.951,1011.38
17597,-909.632,-157.624,-390.888,-115840,11380,103592,419.822,-354.571,443.92,1011.38
17603,-878.888,-135.176,-436.272,-107090,20060,96522,417.191,-356.325,436.174,1011.38
17609,-836.432,-128.344,-452.864,-91060,28040,83292,403.453,-364.071,448.305,1011.38
17615,-811.544,-118.584,-457.256,-74540,31960,67262,405.499,-371.525,438.22,1011.34
17621,-749.568,-114.68,-472.384,-57670,17680,41782,403.16,-375.033,435.004,1011.34
17627,-809.592,-80.032,-487.512,-44720,12360,22742,405.499,-374.156,432.958,1011.35
17633,-857.416,-68.32,-488.976,-36250,12710,14692,402.576,-379.271,436.466,1011.35
17639,-874.008,-52.704,-465.064,-31560,15790,14272,396.437,-380.148,433.397,1011.31
17645,-848.632,-31.232,-439.688,-27710,15580,19452,401.114,-382.779,431.497,1011.31
17651,-800.808,-27.328,-415.776,-25400,12360,29462,401.26,-381.464,430.474,1011.34
17657,-774.456,-24.4,-404.552,-22460,8790,39542,404.184,-385.556,427.989,1011.34
17663,-785.68,-25.864,-399.672,-20710,8790,52632,401.991,-392.425,438.074,1011.31
17669,-750.544,-81.984,-394.792,-15600,10680,55222,398.483,-394.179,442.458,1011.31
17675,-755.912,-109.312,-385.032,-9090,10120,55572,395.122,-387.31,433.251,1011.33
17681,-764.696,-125.416,-379.176,-4260,8370,56832,404.33,-391.548,435.443,1011.33
17687,-766.16,-104.432,-370.88,-410,7810,60262,392.93,-394.033,432.666,1011.33
17693,-763.72,-71.736,-367.952,1410,8790,65932,390.591,-395.787,444.066,1011.33
17699,-760.792,-23.912,-363.56,-60,11310,76222,387.083,-394.325,438.22,1011.33
