Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,QW,QX,QY,QZ,MagX,MagY,MagZ,Height,AirPressure
15762,3.97168,-9.03916,0.650781,-82.6886,-14.2932,-84.7156,1.40381,0.732422,-0.427246,0.495026,-0.547241,0.372589,-0.562592,-42.8333,41.9,5.53333,-2893,-29399
15768,3.97646,-9.02002,0.626855,-82.6831,-14.3207,-84.6771,1.64795,0.549316,-0.488281,0.495087,-0.547485,0.372223,-0.562561,-42.85,41.9167,5.45833,-2893,-29399
15774,4.02432,-8.95781,0.689063,-82.6831,-14.3536,-84.6387,2.01416,0.976562,-0.488281,0.495178,-0.547699,0.371857,-0.5625,-42.8583,41.925,5.41667,-2893,-29399
15780,3.96211,-8.88125,0.502441,-82.6721,-14.4141,-84.5618,1.83105,1.28174,-0.366211,0.495239,-0.547913,0.37149,-0.562469,-42.8667,41.9333,5.36667,-2893,-29399
15786,3.95254,-8.91475,0.708203,-82.6721,-14.447,-84.5233,1.15967,0.427246,0.244141,0.495361,-0.54837,0.370789,-0.562408,-42.95,41.95,5.325,-2893,-29399
15792,3.91426,-8.92432,0.746484,-82.6721,-14.4745,-84.4849,0.732422,0.549316,-0.0610352,0.495453,-0.548615,0.370422,-0.562317,-43,41.9917,5.3,-2893,-29399
15798,3.9334,-8.9291,0.703418,-82.6721,-14.502,-84.4464,0.549316,0.427246,0.0610352,0.495514,-0.548859,0.370117,-0.562256,-43.0583,42.025,5.30833,-2893,-29399
15804,3.96689,-8.93389,0.741699,-82.6721,-14.5294,-84.408,0.671387,0.0610352,-0.12207,0.495575,-0.549103,0.369781,-0.562195,-43.1,42.05,5.275,-2893,-29399
15810,3.97168,-8.90996,0.933105,-82.6556,-14.5898,-84.342,4.63867,3.11279,-0.671387,0.495636,-0.549347,0.369446,-0.562103,-43.1167,42.0583,5.25833,-2893,-29399
15816,4.03389,-9.23057,0.813477,-82.6776,-14.6173,-84.2981,-0.366211,-1.09863,0.793457,0.495697,-0.549805,0.368805,-0.562012,-43.1333,42.05,5.2,-2893,-29399
15822,4.09131,-9.12529,0.655566,-82.6831,-14.6393,-84.2487,0.183105,0.305176,0,0.495789,-0.550079,0.3685,-0.561859,-43.1417,42.025,5.175,-2893,-29399
15828,3.91904,-8.95303,0.545508,-82.6886,-14.6667,-84.2102,0.549316,0.793457,0.0610352,0.495819,-0.550323,0.368195,-0.561798,-43.1167,42,5.13333,-2893,-29399
15834,3.89512,-9.00566,0.722559,-82.6941,-14.6942,-84.1718,0.12207,-0.366211,0.427246,0.49588,-0.550568,0.367859,-0.561737,-43.0833,41.975,5.11667,-2893,-29399
15840,4.00996,-9.02959,0.727344,-82.7051,-14.7491,-84.0894,-0.12207,-0.244141,0.12207,0.495941,-0.550812,0.367554,-0.561615,-43.05,41.9583,5.1,-2893,-29399
15846,3.96689,-9.0918,0.626855,-82.7106,-14.7766,-84.0509,0.183105,0.0610352,0.427246,0.496033,-0.551331,0.366943,-0.561432,-43.025,41.975,5.15,-2893,-29399
15852,3.99561,-9.02481,0.698633,-82.7161,-14.7986,-84.007,0.854492,0.183105,0.366211,0.496094,-0.551575,0.366638,-0.56134,-43.025,42,5.225,-2893,-29399
15858,3.96689,-8.90996,0.62207,-82.7161,-14.826,-83.9685,0.305176,0.0610352,0.366211,0.496185,-0.551819,0.366302,-0.561249,-43.025,42.0333,5.28333,-2893,-29399
15864,3.93818,-8.99131,0.717773,-82.7216,-14.8535,-83.9301,0,0.0610352,0.12207,0.496246,-0.552063,0.365997,-0.561157,-43.0333,42.0333,5.325,-2893,-29399
15870,3.95732,-9.04395,0.679492,-82.7325,-14.903,-83.8477,-0.0610352,-0.0610352,0.183105,0.496307,-0.552307,0.365692,-0.561066,-43.05,42.0417,5.36667,-2893,-29399
15876,3.98604,-9.08223,0.62207,-82.7325,-14.9359,-83.8037,0.244141,0.0610352,0.183105,0.496399,-0.552826,0.365051,-0.560883,-43.0667,42.0417,5.4,-2893,-29399
15882,3.98604,-9.09658,0.645996,-82.738,-14.9579,-83.7653,0.488281,0.305176,-0.244141,0.49646,-0.55307,0.364716,-0.560791,-43.0583,42.025,5.44167,-2893,-29399
15888,3.97168,-9.10137,0.617285,-82.7435,-14.9854,-83.7268,1.0376,0.427246,0,0.496521,-0.553314,0.36441,-0.560699,-43.0333,42.0417,5.475,-2893,-29399
15894,3.97646,-9.03438,0.564648,-82.7435,-15.0128,-83.6884,0.976562,0.488281,-0.183105,0.496613,-0.553558,0.364075,-0.560638,-43.025,42.0583,5.50833,-2893,-29399
15900,3.97646,-9.02481,0.631641,-82.7435,-15.0677,-83.6115,0.915527,0.427246,-0.183105,0.496674,-0.553772,0.363739,-0.560577,-42.9833,42.1,5.475,-2893,-29399
15906,3.95732,-9.06787,0.579004,-82.7435,-15.0952,-83.573,1.2207,0.610352,-0.0610352,0.496796,-0.554199,0.363068,-0.560455,-42.975,42.1083,5.46667,-2893,-29399
15912,4.0291,-9.07744,0.655566,-82.738,-15.1227,-83.5345,1.70898,0.671387,-0.0610352,0.496857,-0.554413,0.362732,-0.560394,-42.975,42.1333,5.45,-2893,-29399
15918,4.00518,-9.02002,0.631641,-82.738,-15.1501,-83.4961,1.83105,1.0376,-0.305176,0.496948,-0.554626,0.362396,-0.560333,-42.9917,42.1667,5.44167,-2893,-29399
15924,3.97168,-8.98174,0.660352,-82.7325,-15.1776,-83.4631,1.70898,0.732422,0,0.497009,-0.55481,0.362061,-0.560303,-43.025,42.2,5.46667,-2893,-29399
15930,3.96211,-8.95303,0.708203,-82.7271,-15.2271,-83.3917,1.64795,0.854492,0,0.497101,-0.555023,0.361725,-0.560242,-43.0583,42.275,5.53333,-2893,-29399
15936,3.92861,-8.90039,0.732129,-82.7216,-15.2545,-83.3533,1.34277,0.732422,0,0.497253,-0.55542,0.361084,-0.56015,-43.0667,42.2917,5.56667,-2893,-29399
15942,3.92383,-8.95781,0.75127,-82.7216,-15.282,-83.3148,0.915527,0.366211,0,0.497314,-0.555634,0.360748,-0.560089,-43.0667,42.3,5.58333,-2893,-29399
15948,3.92383,-8.9291,0.75127,-82.7216,-15.3094,-83.2764,0.976562,0.366211,0.244141,0.497406,-0.555847,0.360413,-0.560028,-43.0667,42.2833,5.575,-2893,-29399
15954,3.94775,-8.90996,0.722559,-82.7216,-15.3314,-83.2379,0.793457,0.305176,0.0610352,0.497467,-0.556061,0.360107,-0.559937,-43.075,42.2667,5.54167,-2893,-29399
15960,3.95732,-8.91475,0.674707,-82.7271,-15.3809,-83.161,0.671387,0.12207,0.183105,0.497528,-0.556274,0.359772,-0.559845,-43.0417,42.2417,5.475,-2893,-29399
15966,3.94297,-8.9291,0.741699,-82.7271,-15.4083,-83.1226,0.305176,0.244141,0.244141,0.497681,-0.556732,0.359161,-0.559692,-43.025,42.25,5.41667,-2893,-29399
15972,3.91904,-8.94346,0.736914,-82.7325,-15.4303,-83.0841,0,0,0.610352,0.497742,-0.556976,0.358856,-0.559601,-43.025,42.25,5.36667,-2893,-29399
15978,3.95254,-8.93867,0.684277,-82.738,-15.4523,-83.0402,-0.183105,-0.244141,0.427246,0.497803,-0.55719,0.358582,-0.559479,-43.0333,42.2333,5.31667,-2893,-29399
15984,3.96689,-9.02959,0.665137,-82.7435,-15.4797,-83.0017,-0.183105,0.0610352,0.305176,0.497864,-0.557434,0.358276,-0.559387,-43.0583,42.2083,5.26667,-2893,-29399
15990,3.94775,-9.07744,0.698633,-82.7545,-15.5237,-82.9248,-0.0610352,-0.12207,0.366211,0.497925,-0.557678,0.358002,-0.559265,-43.1,42.1917,5.16667,-2893,-29399
15996,3.98604,-9.01523,0.669922,-82.76,-15.5511,-82.8864,0.488281,0,0.12207,0.498016,-0.558136,0.357422,-0.559082,-43.0917,42.1917,5.13333,-2893,-29399
16002,3.98604,-8.97695,0.703418,-82.7655,-15.5731,-82.8479,0.366211,0.244141,0.244141,0.498077,-0.55838,0.357117,-0.559021,-43.0833,42.1667,5.11667,-2893,-29399
16008,3.93818,-8.95303,0.689063,-82.7655,-15.6006,-82.8149,0,0,-0.183105,0.498138,-0.558594,0.356842,-0.558929,-43.075,42.1667,5.05833,-2893,-29399
16014,3.95254,-9.02959,0.674707,-82.771,-15.6226,-82.7765,-0.183105,-0.305176,0.183105,0.498169,-0.558807,0.356537,-0.558838,-43.0833,42.1667,5.03333,-2893,-29399
16020,3.98604,-9.09658,0.679492,-82.7875,-15.672,-82.7051,0,-0.0610352,-0.0610352,0.498199,-0.559052,0.356262,-0.558746,-43.0917,42.1583,5.06667,-2893,-29399
16026,4.01953,-8.93867,0.684277,-82.7875,-15.6995,-82.6666,0.671387,0.244141,-0.12207,0.498291,-0.559509,0.355682,-0.558594,-43.075,42.1417,5.13333,-2893,-29399
16032,3.95254,-8.94346,0.703418,-82.793,-15.7269,-82.6337,0.366211,0.183105,0.12207,0.498352,-0.559723,0.355377,-0.558533,-43.0667,42.1333,5.175,-2893,-29399
16038,3.92861,-8.95781,0.689063,-82.793,-15.7489,-82.5952,0.0610352,-0.12207,0,0.498413,-0.559937,0.355072,-0.558441,-43.05,42.1333,5.19167,-2893,-29399
16044,3.97168,-8.99131,0.650781,-82.7985,-15.7709,-82.5568,0,0,0.488281,0.498444,-0.560181,0.354797,-0.55835,-43.0667,42.1333,5.18333,-2893,-29399
16050,4.00518,-9.0918,0.669922,-82.8094,-15.8203,-82.4854,0,0.244141,0.366211,0.498505,-0.560394,0.354523,-0.558258,-43.125,42.1083,5.16667,-2893,-29399
16056,3.95254,-8.95303,0.684277,-82.8149,-15.8423,-82.4524,0.793457,0.244141,0.12207,0.498596,-0.560791,0.353973,-0.558105,-43.1417,42.0917,5.15833,-2893,-29399
16062,3.97646,-8.91475,0.746484,-82.8149,-15.8643,-82.4139,0.549316,0.366211,0.488281,0.498657,-0.561005,0.353668,-0.558044,-43.1417,42.1,5.175,-2893,-29399
16068,3.9334,-8.9626,0.708203,-82.8149,-15.8862,-82.381,0,0.366211,0.549316,0.498718,-0.561218,0.353394,-0.557953,-43.1167,42.0917,5.2,-2893,-29399
16074,3.94297,-8.97217,0.717773,-82.8204,-15.9082,-82.348,0.244141,0,0.427246,0.498779,-0.561401,0.353149,-0.557861,-43.0833,42.1,5.2,-2893,-29399
16080,3.98125,-8.98652,0.689063,-82.8314,-15.9521,-82.2711,0.0610352,-0.0610352,0.244141,0.49884,-0.561615,0.352844,-0.55777,-43.0167,42.125,5.225,-2893,-29399
16086,3.97168,-8.97217,0.641211,-82.8369,-15.9741,-82.2327,-0.244141,0,0.732422,0.498932,-0.562073,0.352295,-0.557587,-43,42.125,5.29167,-2893,-29399
16092,3.94297,-9.04873,0.784766,-82.8424,-15.9961,-82.1997,-0.0610352,0,0.427246,0.498993,-0.562286,0.352051,-0.557465,-43,42.125,5.35,-2893,-29399
16098,3.92383,-9.02002,0.62207,-82.8479,-16.0181,-82.1613,0.0610352,0.0610352,0.488281,0.499054,-0.5625,0.351776,-0.557373,-43,42.125,5.4,-2893,-29399
