Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,QW,QX,QY,QZ,MagX,MagY,MagZ,Height,AirPressure,Label
328962,-0.775195,-9.73779,1.18672,-83.15,4.68567,-98.1409,0.12207,0.366211,0,0.510132,-0.411224,0.520966,-0.546906,-43.1333,15.0167,-8.43333,3527,-30170,Default
328968,-0.75127,-9.74736,1.14844,-83.15,4.68567,-98.1409,0.12207,0.12207,0.183105,0.510132,-0.411224,0.520966,-0.546906,-43.125,14.9917,-8.425,3527,-30170,Default
328974,-0.75127,-9.7665,1.21543,-83.15,4.68567,-98.1409,0,0.305176,0.244141,0.510132,-0.411224,0.520966,-0.546936,-43.1333,14.9667,-8.43333,3527,-30170,Default
328980,-0.75127,-9.73301,1.20107,-83.1445,4.68567,-98.1464,0.12207,0.0610352,0.366211,0.510132,-0.411194,0.520996,-0.546936,-43.1833,14.975,-8.40833,3527,-30170,Default
328986,-0.756055,-9.71865,1.21064,-83.1445,4.69116,-98.1464,0.12207,0,0.12207,0.510132,-0.411194,0.520996,-0.546936,-43.2,14.9833,-8.4,3527,-30170,Default
328992,-0.765625,-9.72344,1.20586,-83.1445,4.68567,-98.1464,0,0.12207,0.0610352,0.510132,-0.411163,0.520996,-0.546936,-43.2083,15,-8.375,3527,-30170,Default
328998,-0.756055,-9.76172,1.18193,-83.1445,4.68567,-98.1464,-0.0610352,0,0.0610352,0.510132,-0.411163,0.520996,-0.546936,-43.2083,15.0083,-8.38333,3527,-30170,Default
329004,-0.765625,-9.75693,1.18193,-83.1445,4.68567,-98.1464,0,0,0.0610352,0.510132,-0.411163,0.520996,-0.546936,-43.1833,15,-8.40833,3527,-30170,Default
329010,-0.722559,-9.7665,1.19629,-83.1445,4.68567,-98.1464,0,-0.0610352,0.0610352,0.510132,-0.411163,0.520966,-0.546967,-43.1083,14.9667,-8.49167,3527,-30170,Default
329016,-0.756055,-9.77607,1.1915,-83.1445,4.68567,-98.1464,0.0610352,0,0.183105,0.510132,-0.411163,0.520966,-0.546967,-43.075,14.95,-8.50833,3527,-30170,Default
329022,-0.765625,-9.78564,1.16758,-83.1445,4.68567,-98.1464,0.12207,0.12207,0.244141,0.510132,-0.411163,0.520966,-0.546967,-43.05,14.95,-8.50833,3527,-30170,Default
329028,-0.736914,-9.7665,1.21543,-83.1445,4.68567,-98.1519,0.183105,0,0.366211,0.510132,-0.411163,0.520966,-0.546967,-43.025,14.9583,-8.48333,3527,-30170,Default
329034,-0.741699,-9.74736,1.21064,-83.139,4.68567,-98.1519,0.12207,0,0.0610352,0.510132,-0.411163,0.520966,-0.546967,-43.0167,14.95,-8.45,3527,-30170,Default
329040,-0.77998,-9.70908,1.1915,-83.139,4.68567,-98.1519,0.183105,0.12207,0.305176,0.510132,-0.411133,0.520966,-0.546997,-43.0333,14.9667,-8.40833,3527,-30170,Default
329046,-0.775195,-9.73301,1.19629,-83.139,4.68567,-98.1519,0.12207,0,0.244141,0.510132,-0.411133,0.520966,-0.546997,-43.0583,14.9667,-8.375,3527,-30170,Default
329052,-0.76084,-9.73779,1.16279,-83.139,4.68567,-98.1519,0.183105,0.12207,0.0610352,0.510132,-0.411102,0.520966,-0.546997,-43.0833,14.9667,-8.375,3527,-30170,Default
