Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,QW,QX,QY,QZ,MagX,MagY,MagZ,Height,AirPressure
160764,-1.53125,-9.66123,1.02402,-84.1388,8.76709,142.894,0,0,0,-0.18692,0.266327,0.615295,-0.717926,30.2917,52.35,-33.9,-2768,-29414
160770,-1.49297,-9.65166,1.01445,-84.1388,8.76709,142.894,0,0,0,-0.18692,0.266357,0.615265,-0.717957,30.3167,52.35,-33.9083,-2768,-29414
160776,-1.50254,-9.66602,1.03359,-84.1388,8.76709,142.894,0,0,0,-0.18692,0.266357,0.615265,-0.717957,30.3417,52.325,-33.9167,-2768,-29414
160782,-1.51211,-9.66602,1.05273,-84.1388,8.76709,142.888,0,0,0,-0.18692,0.266357,0.615265,-0.717957,30.375,52.325,-33.9167,-2768,-29414
160788,-1.53125,-9.66602,1.01445,-84.1333,8.76709,142.888,0,0,0,-0.18692,0.266357,0.615265,-0.717957,30.3917,52.3083,-33.875,-2768,-29414
160794,-1.4834,-9.63731,1.02402,-84.1333,8.76709,142.888,0,0,0,-0.18692,0.266357,0.615234,-0.717957,30.3917,52.3167,-33.85,-2768,-29414
160800,-1.51689,-9.67559,1.02881,-84.1333,8.76709,142.888,0,0,0,-0.18692,0.266357,0.615234,-0.717957,30.3833,52.3417,-33.825,-2768,-29414
160806,-1.51689,-9.68037,1.02402,-84.1333,8.76709,142.888,0,0,0,-0.186951,0.266357,0.615234,-0.717957,30.375,52.3583,-33.825,-2768,-29414
160812,-1.53604,-9.65645,1.01445,-84.1333,8.76709,142.888,0,0,0,-0.186951,0.266357,0.615234,-0.717987,30.375,52.3667,-33.8417,-2768,-29414
160818,-1.51211,-9.64209,1.02402,-84.1333,8.76709,142.888,0,0,0,-0.186951,0.266388,0.615204,-0.717987,30.325,52.3667,-33.8417,-2768,-29414
160824,-1.53125,-9.64209,1.00967,-84.1278,8.76709,142.888,0,0,0,-0.186951,0.266388,0.615204,-0.717987,30.3083,52.35,-33.8583,-2768,-29414
160830,-1.51689,-9.65645,1.03359,-84.1278,8.76709,142.888,0,0,0,-0.186951,0.266388,0.615204,-0.717987,30.2917,52.3167,-33.875,-2768,-29414
160836,-1.51689,-9.64209,1.05273,-84.1278,8.77258,142.888,0,0,0,-0.186951,0.266388,0.615204,-0.717987,30.2833,52.3,-33.9,-2768,-29414
160842,-1.51689,-9.62773,1.03838,-84.1278,8.77258,142.883,0,0,0,-0.186951,0.266388,0.615173,-0.717987,30.2833,52.2917,-33.9417,-2768,-29414
160848,-1.51689,-9.65166,1.00488,-84.1278,8.77258,142.883,0,0,0,-0.186951,0.266388,0.615173,-0.717987,30.2583,52.2833,-34.0333,-2768,-29414
160854,-1.51689,-9.66123,1.03359,-84.1278,8.77258,142.883,0,0,0,-0.186951,0.266388,0.615173,-0.718018,30.25,52.275,-34.0833,-2768,-29414
160860,-1.52168,-9.65166,0.976172,-84.1278,8.77258,142.883,0,0,0,-0.186981,0.266418,0.615173,-0.718018,30.2333,52.275,-34.1167,-2768,-29414
160866,-1.48818,-9.6708,0.980957,-84.1223,8.77258,142.883,0,0,0,-0.186981,0.266418,0.615143,-0.718018,30.2333,52.2833,-34.1333,-2768,-29414
160872,-1.52646,-9.68516,1.01924,-84.1223,8.77258,142.883,0,0,0,-0.186981,0.266418,0.615143,-0.718018,30.2417,52.3,-34.1333,-2768,-29414
160878,-1.53125,-9.64209,1.02402,-84.1223,8.77258,142.883,0,0,0,-0.186981,0.266418,0.615143,-0.718018,30.2333,52.3167,-34.0833,-2768,-29414
160884,-1.50732,-9.66602,1.05752,-84.1223,8.77258,142.883,0,0,0,-0.186981,0.266418,0.615143,-0.718018,30.2417,52.325,-34.0667,-2768,-29414
160890,-1.52168,-9.64209,1.01445,-84.1223,8.77258,142.883,0,0,0,-0.186981,0.266418,0.615112,-0.718018,30.2583,52.3083,-34.05,-2768,-29414
160896,-1.50732,-9.66123,1.04316,-84.1223,8.77258,142.883,0,0,0,-0.186981,0.266418,0.615112,-0.718018,30.2833,52.3083,-34.0583,-2768,-29414
160902,-1.50254,-9.65166,1.03359,-84.1223,8.77258,142.877,0,0,0,-0.186981,0.266418,0.615112,-0.718018,30.3,52.3083,-34.0417,-2768,-29414
160908,-1.49297,-9.64209,1.02881,-84.1168,8.77258,142.877,0,0,0,-2.85311e-06,6.82787e-15,0,0,30.3,52.2833,-34.0083,-2768,-29414
160956,-1.58389,-9.60381,1.0623,-84.1168,8.77808,142.872,0,0.244141,0,-0.187012,0.266479,0.615051,-0.718048,30.2667,52.2167,-34,-2777,-29413
160962,-1.48818,-9.64209,1.03359,-84.1168,8.77808,142.872,-0.305176,-0.427246,0.0610352,-0.187042,0.266479,0.615051,-0.718048,30.275,52.225,-33.9917,-2777,-29413
