Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,QW,QX,QY,QZ,MagX,MagY,MagZ,Height,AirPressure
352554,0.689063,-9.75215,1.07187,-83.54,-3.87817,127.321,0.366211,0,0.12207,-0.350922,0.272705,0.607849,-0.657959,25.9417,57.7083,-30.1417,-2295,-29471
352560,0.669922,-9.73301,1.08145,-83.54,-3.87817,127.321,0.244141,0,0.12207,-0.350922,0.272705,0.607819,-0.657959,26.1167,57.7083,-30.125,-2295,-29471
352566,0.689063,-9.73301,1.07187,-83.54,-3.87817,127.321,0.12207,0,0.183105,-0.350922,0.272705,0.607819,-0.657959,26.275,57.7083,-30.1083,-2295,-29471
352572,0.674707,-9.74736,1.08623,-83.5345,-3.87817,127.321,0.366211,0,0.305176,-0.350922,0.272705,0.607819,-0.657959,26.0083,57.7167,-30.1167,-2295,-29471
352578,0.689063,-9.71387,1.11016,-83.5345,-3.87817,127.321,0.183105,0.0610352,0.183105,-0.350891,0.272705,0.607819,-0.65799,25.9583,57.7583,-30.1417,-2295,-29471
352584,0.689063,-9.7665,1.07187,-83.5345,-3.87817,127.321,0.0610352,-0.12207,0.12207,-0.350891,0.272736,0.607819,-0.65799,26.1333,57.775,-30.15,-2295,-29471
352590,0.679492,-9.72344,1.07187,-83.5345,-3.87817,127.321,0,0,0.12207,-0.350891,0.272705,0.607819,-0.65799,26.2833,57.7917,-30.1417,-2295,-29471
352596,0.669922,-9.72344,1.10059,-83.5345,-3.87817,127.321,0.12207,0,0.366211,-0.350891,0.272736,0.607819,-0.65799,26.4167,57.7917,-30.1583,-2295,-29471
352602,0.679492,-9.72822,1.07666,-83.5345,-3.87268,127.321,0.0610352,-0.12207,0.244141,-0.350891,0.272736,0.607819,-0.65799,26.5417,57.7917,-30.1583,-2295,-29471
352608,0.703418,-9.73779,1.0958,-83.5345,-3.87268,127.321,0,-0.12207,0.305176,-0.350861,0.272736,0.607819,-0.65799,25.9667,57.7833,-30.175,-2295,-29471
352614,0.665137,-9.7665,1.0623,-83.5345,-3.87268,127.321,0.0610352,0.0610352,0.244141,-0.350861,0.272736,0.607819,-0.65799,25.7167,57.7917,-30.15,-2295,-29471
352620,0.679492,-9.74258,1.05273,-83.5345,-3.87268,127.321,0.0610352,0,0.183105,-0.350861,0.272736,0.607819,-0.65799,25.9167,57.7917,-30.1583,-2295,-29471
352626,0.708203,-9.74736,1.0623,-83.5345,-3.87268,127.321,0.12207,0.0610352,0,-0.350861,0.272736,0.607788,-0.65799,26.0833,57.8,-30.1417,-2295,-29471
352632,0.679492,-9.73301,1.0623,-83.5345,-3.87268,127.321,0.183105,0.12207,0.305176,-0.350861,0.272736,0.607788,-0.65799,26.25,57.8083,-30.1333,-2295,-29471
352638,0.684277,-9.74258,1.07187,-83.5345,-3.87268,127.321,0.0610352,0.0610352,0.0610352,-0.350861,0.272766,0.607788,-0.65802,26.5167,57.8083,-30.1417,-2295,-29471
352644,0.689063,-9.74258,1.0623,-83.5345,-3.87268,127.321,0.183105,-0.0610352,0.183105,-0.350861,0.272766,0.607788,-0.65799,26.625,57.8167,-30.1417,-2295,-29471
352650,0.660352,-9.72822,1.0958,-83.5345,-3.87268,127.321,0.244141,0,0.183105,-0.350861,0.272766,0.607788,-0.65802,26.725,57.8167,-30.15,-2295,-29471
352656,0.684277,-9.73779,1.0958,-83.5345,-3.86719,127.321,0.12207,0.0610352,0.12207,-0.350861,0.272766,0.607788,-0.65802,26.8167,57.825,-30.175,-2295,-29471
352662,0.689063,-9.73301,1.08623,-83.5345,-3.86719,127.321,0,-0.0610352,0,-0.350861,0.272766,0.607788,-0.65802,26.9,57.8417,-30.1833,-2295,-29471
352668,0.669922,-9.72822,1.04316,-83.5345,-3.87268,127.326,0,-0.183105,0,-0.350861,0.272766,0.607788,-0.65802,27.05,57.875,-30.1583,-2295,-29471
352674,0.669922,-9.75693,1.07666,-83.5345,-3.87268,127.326,0.12207,0.0610352,0,-0.350861,0.272736,0.607788,-0.65802,27.1083,57.875,-30.15,-2295,-29471
352680,0.698633,-9.74736,1.07666,-83.5345,-3.87268,127.326,0.12207,-0.0610352,0.0610352,-0.350861,0.272736,0.607788,-0.65802,27.1583,57.8667,-30.175,-2295,-29471
352686,0.674707,-9.75215,1.04795,-83.5345,-3.87268,127.326,0.12207,-0.0610352,0,-0.350861,0.272736,0.607788,-0.65802,27.2083,57.8583,-30.1833,-2295,-29471
352692,0.689063,-9.74736,1.0958,-83.5345,-3.87268,127.326,0.0610352,0,-0.0610352,-0.350861,0.272736,0.607788,-0.65802,27.25,57.8417,-30.2083,-2295,-29471
352698,0.655566,-9.74736,1.08145,-83.5345,-3.87268,127.326,0.0610352,0,0,-0.350861,0.272736,0.607788,-0.65802,26.55,57.825,-30.275,-2295,-29471
352704,0.674707,-9.73301,1.06709,-83.5345,-3.87268,127.326,0.0610352,0,-0.0610352,-0.350861,0.272736,0.607788,-0.65802,26.2667,57.8083,-30.3083,-2295,-29471
352710,0.684277,-9.74736,1.05752,-83.5345,-3.87268,127.326,0.0610352,0,0,-0.350861,0.272736,0.607819,-0.65802,26.0083,57.8,-30.3333,-2295,-29471
352716,0.703418,-9.77607,1.07666,-83.5345,-3.87268,127.326,0.0610352,-0.0610352,0,-0.350861,0.272736,0.607819,-0.65799,25.7667,57.8,-30.3667,-2295,-29471
352722,0.650781,-9.71865,1.08623,-83.5345,-3.87268,127.326,0.12207,-0.12207,0,-0.350861,0.272736,0.607819,-0.65799,25.5333,57.8,-30.35,-2295,-29471
352728,0.665137,-9.73779,1.06709,-83.5345,-3.87817,127.326,0,-0.12207,-0.0610352,-0.350861,0.272705,0.607819,-0.65799,25.925,57.7667,-30.2667,-2295,-29471
352734,0.669922,-9.76172,1.07187,-83.5345,-3.87817,127.326,0.0610352,0.0610352,0.0610352,-0.350861,0.272705,0.607819,-0.65799,26.075,57.7417,-30.225,-2295,-29471
352740,0.665137,-9.74258,1.09102,-83.5345,-3.87817,127.326,0,-0.0610352,-0.0610352,-0.350861,0.272705,0.607819,-0.65799,26.2167,57.725,-30.225,-2295,-29471
352746,0.650781,-9.7665,1.0958,-83.54,-3.87817,127.326,0,0,-0.183105,-0.350861,0.272705,0.607819,-0.65799,26.3333,57.7,-30.2417,-2295,-29471
352752,0.665137,-9.74258,1.08623,-83.54,-3.87817,127.326,0,0,-0.0610352,-0.350861,0.272705,0.607849,-0.65799,26.45,57.6917,-30.2583,-2295,-29471
352758,0.665137,-9.73301,1.07666,-83.54,-3.87817,127.326,0.0610352,-0.12207,-0.183105,-0.350861,0.272705,0.607849,-0.65799,26.65,57.7,-30.3,-2295,-29471
352764,0.679492,-9.7665,1.07187,-83.54,-3.88367,127.326,0.12207,0,-0.12207,-0.350891,0.272675,0.607849,-0.657959,26.7417,57.7167,-30.3167,-2295,-29471
352770,0.684277,-9.74736,1.07666,-83.54,-3.88367,127.326,0.0610352,-0.0610352,-0.0610352,-0.350891,0.272675,0.607849,-0.657959,26.825,57.725,-30.3417,-2295,-29471
