Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,QW,QX,QY,QZ,MagX,MagY,MagZ,Height,AirPressure
115842,1.3207,-9.74258,0.119629,-89.4672,-7.61353,-102.173,0.183105,-0.0610352,-0.183105,0.408813,-0.477814,0.516785,-0.580841,-41.4583,50.5333,-8.6,-2403,-29458
115848,1.28242,-9.74258,0.100488,-89.4672,-7.61353,-102.173,0.0610352,-0.12207,0.305176,0.408813,-0.477814,0.516785,-0.580841,-41.4667,50.55,-8.61667,-2403,-29458
115854,1.31113,-9.75693,0.0669922,-89.4672,-7.61353,-102.167,0,0,-0.0610352,0.408844,-0.477814,0.516785,-0.580841,-41.475,50.5583,-8.60833,-2403,-29458
115860,1.30156,-9.77129,0.0813477,-89.4672,-7.61353,-102.167,0,0,0,0.408844,-0.477814,0.516785,-0.580811,-41.4917,50.5417,-8.575,-2403,-29458
115866,1.30156,-9.7665,0.105273,-89.4672,-7.61353,-102.167,-0.12207,-0.12207,0.183105,0.408844,-0.477814,0.516785,-0.580811,-41.5,50.5333,-8.53333,-2403,-29458
115872,1.30635,-9.78564,0.0813477,-89.4672,-7.60803,-102.167,0,0.0610352,0.12207,0.408844,-0.477814,0.516785,-0.580811,-41.5083,50.525,-8.53333,-2403,-29458
115878,1.27764,-9.78564,0.090918,-89.4672,-7.60803,-102.167,0.12207,0.0610352,0,0.408844,-0.477814,0.516785,-0.580811,-41.5083,50.5083,-8.5,-2403,-29458
115884,1.30156,-9.79043,0.0717773,-89.4672,-7.60803,-102.167,0,0,0,0.408844,-0.477814,0.516785,-0.580811,-41.5,50.5167,-8.49167,-2403,-29458
115890,1.29199,-9.78086,0.090918,-89.4672,-7.60803,-102.167,0.12207,0.12207,-0.305176,0.408844,-0.477814,0.516785,-0.580811,-41.5,50.5083,-8.48333,-2403,-29458
115896,1.30635,-9.78564,0.0669922,-89.4672,-7.60803,-102.167,0,0,0,0.408844,-0.477814,0.516785,-0.580811,-41.4917,50.5083,-8.45,-2403,-29458
115902,1.28721,-9.78564,0.0287109,-89.4672,-7.60803,-102.167,0.183105,0,0.12207,0.408844,-0.477814,0.516785,-0.580811,-41.4917,50.4917,-8.41667,-2403,-29458
