Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Label,
7387877,6,0,2,6,0,2,3,892,913,781,867,470,874,769,250,77,114,30,20,196,348,99,9,5,429,1031,912,370,186,10,9,3,3,2,4,0,14,7,3,80,0,3,2,4,0,Default,
7387893,6,0,1,7,0,3,3,893,912,783,867,473,874,771,250,74,116,30,20,199,344,98,9,5,430,1032,913,372,188,11,9,3,3,3,4,0,29,6,4,80,4,3,2,4,0,Default,
7387909,6,0,2,6,0,2,2,894,914,783,870,473,875,773,251,74,114,29,20,200,344,97,9,4,431,1033,914,373,191,11,8,3,3,3,4,0,26,5,4,80,4,3,2,4,0,Default,
7387925,6,0,2,6,0,2,2,894,916,785,871,475,877,778,250,72,116,29,20,202,345,97,9,4,433,1034,916,375,194,11,9,1,1,2,4,0,15,6,3,82,0,3,2,4,0,Default,
7387941,6,0,2,7,0,1,2,895,918,788,876,476,878,779,250,78,116,30,20,203,347,98,9,4,435,1036,916,377,198,11,8,3,3,3,4,0,27,4,3,82,4,3,1,4,0,Default,
7387957,6,0,1,6,0,2,0,897,918,789,879,475,882,781,248,78,119,30,19,206,348,96,8,4,435,1037,918,378,201,12,9,2,2,3,4,0,27,5,3,83,4,3,3,8,0,Default,
7387973,6,0,2,6,0,2,3,896,920,791,882,474,882,780,250,74,118,30,19,204,349,98,8,5,436,1038,920,381,203,12,10,3,1,3,4,0,10,5,3,84,0,3,3,4,0,Default,
7387989,5,0,2,7,0,2,3,889,916,787,881,468,877,781,249,69,116,30,18,200,349,99,9,4,436,1038,918,380,204,12,10,3,2,2,4,0,28,6,3,85,4,4,1,4,0,Default,
7388005,6,0,2,6,0,2,2,885,912,785,878,464,870,776,248,66,115,30,18,196,349,99,9,8,435,1036,917,378,204,12,8,2,3,3,4,0,29,6,3,86,4,4,2,4,0,Default,
7388021,6,0,3,6,0,2,2,883,912,784,877,462,871,775,248,67,114,30,18,196,348,99,10,4,434,1034,915,376,203,11,8,3,3,3,4,0,24,6,3,85,0,3,2,4,0,Default,
7388037,6,0,0,6,0,1,2,883,909,783,875,459,870,775,248,66,113,29,17,194,345,99,9,5,433,1032,913,373,198,12,9,3,3,3,4,0,29,6,3,85,4,3,2,4,1,Default,
7388053,6,0,2,6,0,2,2,878,908,782,874,455,871,775,244,66,111,29,17,191,342,101,9,4,430,1030,909,372,194,11,9,2,3,3,4,0,29,6,4,85,4,3,2,4,1,Default,
7388069,6,0,2,6,1,1,2,880,908,783,874,451,866,774,243,62,109,29,18,188,340,101,9,4,428,1025,905,368,193,12,11,1,3,2,4,1,29,5,3,85,5,3,0,4,1,Default,
7388085,10,0,2,7,0,2,3,878,908,782,874,447,865,775,245,66,106,29,17,178,337,102,9,6,427,1020,900,367,194,12,9,3,3,3,4,1,31,5,3,85,4,3,3,4,0,Default,
7388101,6,0,1,7,0,2,3,879,908,783,876,447,863,775,245,64,101,28,17,175,331,101,7,4,423,1011,892,364,193,12,9,3,3,3,4,0,29,5,4,86,4,3,1,4,0,Default,
7388117,6,0,2,6,0,1,3,882,911,785,877,446,864,777,243,63,98,27,17,174,328,101,9,5,422,1005,886,364,193,12,9,3,3,3,4,0,24,6,3,85,0,3,2,4,0,Default,
7388133,6,0,2,6,0,2,2,888,915,788,880,447,868,779,246,62,98,27,18,174,325,102,8,4,420,1000,882,361,190,11,9,2,2,4,4,0,29,5,3,85,5,3,2,2,0,Default,
7388149,6,0,1,6,0,2,2,898,920,796,886,450,873,782,249,64,99,27,19,171,323,101,9,4,417,994,873,356,186,11,9,3,2,3,4,1,29,6,3,84,4,3,2,4,0,Default,
7388165,7,0,3,6,0,2,2,912,931,804,894,459,882,791,252,65,102,29,20,174,320,103,8,5,415,991,872,352,168,8,9,3,3,2,4,0,12,4,3,82,0,4,3,4,0,Default,
7388181,7,0,2,7,0,2,2,924,942,819,907,470,891,800,257,66,108,29,20,177,319,103,8,6,414,989,867,350,159,9,9,3,4,3,4,0,28,6,3,80,4,3,2,4,0,Default,
7388197,7,1,1,6,0,1,2,941,960,833,921,485,901,809,265,69,111,29,20,178,313,103,8,4,414,987,866,349,161,10,10,3,3,3,4,1,27,6,3,80,4,3,1,4,1,Default,
7388213,6,0,2,6,0,3,2,956,974,847,934,487,910,817,267,69,107,29,20,175,302,101,8,4,410,986,865,348,162,9,9,0,2,2,4,2,4,6,3,78,1,3,2,4,0,Default,
7388229,6,0,1,7,0,2,3,973,988,860,945,500,915,822,273,71,111,30,21,169,298,99,8,4,407,985,862,348,165,9,8,3,3,4,4,0,25,4,3,75,3,3,2,4,0,Default,
7388245,6,0,2,6,4,2,2,986,1001,872,952,514,922,819,279,77,112,31,20,173,306,99,8,4,402,986,865,349,165,10,9,3,4,3,4,0,24,6,3,74,4,3,3,5,0,Default,
7388261,6,0,1,7,0,1,4,1000,1019,883,961,525,923,819,285,84,116,32,21,174,315,101,9,4,402,983,866,346,165,10,10,0,2,2,4,0,6,6,3,71,1,3,2,4,0,Default,
