Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,
115733,7,0,3,6,1,3,3,6,0,1,1,7,0,1,4,6,0,2,3,6,0,1,2,4,6,0,3,2,4,0,7,0,2,3,4,0,0,1,2,4,2,1,3,4,0,
115749,6,0,2,6,0,2,2,6,0,1,3,6,0,1,3,6,0,1,3,6,2,2,3,4,6,0,1,2,4,0,7,0,2,2,4,0,0,1,3,4,0,2,2,4,0,
115765,6,0,2,6,0,2,0,7,0,2,2,6,0,3,2,6,0,2,3,6,0,3,3,4,7,0,1,3,4,0,6,0,2,4,4,0,0,3,2,4,0,2,4,4,0,
115781,6,0,2,6,0,2,3,6,0,2,1,11,0,2,3,7,0,1,2,6,0,2,3,4,6,0,2,3,4,0,7,0,2,1,4,0,0,2,2,4,0,2,1,4,0,
115797,6,0,2,6,2,2,2,6,0,2,2,7,0,2,3,6,0,2,2,6,0,2,3,4,6,0,5,2,4,0,7,1,2,2,4,0,0,1,3,4,2,3,2,4,0,
115813,5,1,3,6,0,1,3,6,0,2,3,5,0,3,2,6,0,2,2,8,0,2,3,4,6,0,1,3,4,0,6,0,2,2,4,0,0,2,2,4,0,2,3,4,0,
115829,7,0,1,7,0,3,2,6,0,1,3,8,0,1,1,6,0,1,3,6,0,2,2,4,6,0,2,2,4,0,6,0,1,2,4,0,0,2,3,3,0,1,2,4,0,
115845,6,0,2,6,0,2,2,6,0,1,3,6,0,2,2,6,0,1,3,7,0,1,3,4,6,0,2,2,4,0,6,0,1,2,4,0,0,3,3,3,0,2,3,4,0,
115861,6,0,2,6,0,2,2,7,0,2,2,6,0,2,2,6,0,2,2,6,1,3,3,4,6,0,2,2,4,0,6,0,3,3,4,0,0,1,3,4,0,3,3,4,1,
115877,6,0,3,5,0,2,2,6,0,1,2,7,0,2,3,6,0,1,2,6,0,2,3,4,6,0,2,3,3,0,6,0,2,3,4,0,0,2,2,4,0,2,3,4,0,
115893,6,0,2,7,0,1,3,6,0,3,2,7,1,1,3,6,0,1,2,6,0,2,2,4,6,0,1,3,4,5,6,0,1,3,6,0,0,1,3,4,0,2,3,3,0,
115909,7,0,2,6,0,1,3,7,0,3,3,6,0,2,3,7,0,3,3,5,1,4,3,4,7,0,2,4,4,0,6,0,2,2,4,0,0,3,4,4,0,2,3,4,0,
115925,6,0,3,6,0,1,3,6,0,2,3,5,0,1,2,7,0,1,3,6,0,2,2,3,8,1,2,2,4,0,6,0,1,2,0,0,0,1,2,4,0,2,3,4,0,
115941,6,0,0,6,0,2,3,6,0,1,2,6,0,1,3,8,0,2,3,6,0,1,2,4,6,0,4,3,4,0,6,0,2,2,4,0,0,3,2,4,0,2,2,4,0,
115957,7,0,1,6,0,3,2,6,0,2,2,6,0,1,1,6,0,2,2,7,0,2,2,4,6,0,1,2,4,0,6,0,2,3,4,0,0,2,2,4,0,2,2,4,0,
115973,6,0,2,7,0,0,2,5,0,2,3,7,0,2,2,6,0,2,2,6,0,4,4,4,6,0,1,2,3,1,6,0,2,3,4,0,0,1,2,4,0,1,2,5,2,
115989,6,0,2,6,1,2,3,6,0,2,0,6,0,2,3,6,0,3,2,6,0,2,2,3,5,0,2,3,4,0,7,0,1,2,4,0,0,1,3,4,0,2,2,4,0,
116005,3,0,3,7,0,2,2,8,0,2,2,6,0,1,3,4,0,2,3,6,0,3,3,4,6,0,2,2,4,0,6,0,2,2,4,0,0,2,2,4,0,1,2,4,0,
116021,6,0,1,7,0,2,2,7,0,2,2,7,0,3,2,6,0,2,2,6,0,3,2,6,7,0,2,3,4,0,6,0,2,2,4,0,0,1,3,4,0,1,3,4,0,
116037,6,0,2,6,0,3,2,6,0,1,2,6,0,2,3,6,0,1,0,7,0,1,2,5,6,0,2,2,3,2,7,0,1,2,4,0,0,2,2,4,0,2,4,4,0,
116053,6,0,1,6,0,2,3,6,0,1,1,7,0,1,2,7,0,1,3,6,0,2,3,4,6,0,1,3,4,0,6,0,2,2,3,0,0,2,1,4,0,1,3,4,0,
116069,5,0,2,7,0,1,3,6,2,3,3,6,0,3,2,6,0,2,3,6,0,2,2,4,6,0,2,2,4,0,6,0,2,3,4,0,0,2,2,4,0,1,2,4,0,
