Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,
100789,985,744,762,1499,1528,1675,1731,1430,1793,1571,1602,957,1468,1280,775,517,622,616,444,692,849,480,267,103,468,1015,1020,853,612,349,561,696,539,471,619,242,199,143,225,336,289,133,86,80,179,
100805,967,735,753,1493,1526,1680,1738,1421,1784,1565,1601,959,1471,1284,776,527,628,626,449,708,866,493,279,111,479,1036,1041,877,634,360,580,717,559,488,648,247,214,153,240,346,295,140,98,87,194,
100821,941,723,736,1474,1508,1663,1718,1412,1772,1558,1599,959,1471,1290,779,538,641,634,455,723,880,512,291,126,489,1048,1062,888,653,390,600,737,573,499,667,252,225,157,245,360,312,157,113,90,218,
100837,909,703,706,1459,1497,1658,1710,1395,1757,1543,1590,958,1470,1293,778,543,646,641,453,735,898,534,297,133,497,1065,1076,901,678,392,610,753,593,521,698,258,248,174,269,377,332,168,117,94,248,
100853,874,683,684,1416,1453,1612,1653,1370,1720,1517,1575,952,1465,1293,778,546,651,647,456,744,907,545,301,141,506,1077,1088,920,699,408,631,771,612,536,724,265,260,186,282,396,353,178,125,99,266,
100869,822,649,635,1372,1408,1573,1591,1331,1687,1483,1545,936,1455,1284,767,547,653,650,453,758,920,555,304,149,510,1088,1103,932,720,412,649,789,630,558,752,269,281,206,300,421,372,189,130,103,295,
100885,757,595,580,1305,1340,1520,1515,1280,1642,1428,1510,905,1432,1271,746,546,651,650,456,769,932,568,310,152,514,1098,1122,953,750,433,660,802,650,594,789,287,294,216,322,446,422,201,138,110,320,
100901,676,560,516,1225,1264,1445,1425,1218,1595,1375,1463,862,1405,1249,726,545,653,648,456,774,941,577,309,157,514,1110,1138,970,780,449,686,832,689,636,825,568,319,232,330,477,474,211,145,116,332,
100917,608,521,459,1148,1181,1375,1336,1151,1533,1311,1408,818,1374,1218,700,537,642,647,451,778,947,583,312,162,514,1116,1147,991,812,464,707,851,725,667,869,601,329,248,348,517,500,221,160,119,350,
100933,555,484,397,1068,1105,1290,1253,1086,1471,1247,1347,778,1337,1189,675,528,634,638,452,777,949,583,317,169,509,1110,1153,1009,820,483,722,863,743,702,913,628,341,265,360,545,534,232,176,124,368,
100949,514,449,352,969,1017,1218,1168,1032,1403,1176,1278,738,1301,1152,646,508,617,625,443,769,944,574,307,170,499,1100,1152,1019,837,497,736,866,760,727,947,655,349,277,381,572,563,240,191,136,385,
