Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Label,
1541976,646,563,400,896,1009,1137,563,1091,1231,1181,730,485,1035,1051,343,208,355,424,214,208,481,236,104,53,284,807,734,362,395,91,302,453,425,267,672,428,137,87,98,238,200,116,68,40,215,Default,
1541992,639,547,389,900,1000,1131,563,1078,1221,1168,724,484,1028,1042,339,208,352,418,211,210,481,237,104,51,286,809,739,362,403,90,306,460,430,270,677,431,140,91,98,240,207,119,70,42,216,Default,
1542008,615,541,385,886,982,1115,555,1067,1210,1156,720,483,1022,1040,337,206,356,418,213,211,485,240,105,53,290,816,744,365,410,92,310,468,439,275,688,438,145,94,103,242,208,120,72,42,223,Default,
1542024,604,522,369,836,952,1075,537,1058,1200,1148,713,479,1013,1032,335,207,356,418,213,213,488,240,103,53,290,822,748,366,418,89,311,472,447,280,696,441,146,95,102,245,207,124,74,43,225,Default,
1542040,587,507,349,851,963,1095,543,1048,1186,1135,708,476,1005,1023,335,208,356,415,213,215,491,240,105,54,291,829,749,369,418,95,322,474,458,288,708,447,151,97,103,249,213,128,77,45,228,Default,
1542056,567,491,335,820,936,1074,530,1039,1173,1119,702,468,995,1019,329,208,356,415,214,217,493,242,105,52,295,833,758,371,419,95,320,484,468,294,721,451,159,95,104,250,216,131,78,46,232,Default,
1542072,542,475,318,816,918,1062,522,1021,1156,1098,695,464,985,1015,327,207,357,418,214,220,499,242,105,53,298,838,769,375,427,96,326,489,481,302,731,457,163,99,106,257,218,134,79,46,234,Default,
1542088,508,456,298,771,874,1019,498,1003,1135,1081,689,457,977,1007,326,207,355,418,213,224,505,247,106,53,301,841,776,385,434,105,327,497,493,307,740,458,169,101,107,258,219,135,82,47,232,Default,
1542104,481,439,281,729,835,977,480,991,1120,1069,684,456,970,1002,324,209,356,416,215,228,505,247,107,55,302,850,786,385,450,105,327,505,501,314,751,466,185,106,110,258,215,136,88,49,236,Default,
1542120,462,430,278,716,812,953,468,979,1098,1053,682,455,957,999,321,208,352,415,215,236,509,245,107,57,310,857,795,392,458,107,332,512,514,323,765,468,194,110,115,261,233,139,93,51,236,Default,
