Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Label,
172949,7,3,4,934,1069,1292,1031,1240,1349,1124,1269,641,1135,1055,593,339,524,563,350,475,737,392,162,55,406,938,831,669,341,119,569,785,639,546,789,533,292,220,294,344,335,108,64,51,148,Default,
173029,7,4,3,890,1019,1260,1009,1206,1313,1091,1238,631,1106,1040,577,328,509,547,344,438,682,353,139,48,385,895,792,640,327,105,562,768,624,538,787,530,283,215,290,345,348,104,66,49,145,Default,
173045,8,3,4,883,1010,1253,1010,1203,1310,1090,1236,629,1102,1037,578,323,505,548,343,435,678,357,137,49,387,895,790,638,324,107,561,768,623,538,789,534,284,214,290,344,352,103,69,49,149,Default,
173061,7,3,4,876,1000,1250,1007,1198,1305,1086,1235,624,1100,1039,578,323,504,547,344,431,674,356,136,48,387,892,788,636,324,109,561,769,623,537,789,534,282,215,290,343,354,103,70,49,151,Default,
173077,7,2,4,860,987,1245,999,1189,1295,1077,1232,619,1090,1036,576,317,497,547,343,429,671,356,136,49,385,891,787,635,324,109,562,771,622,540,789,537,283,215,290,344,354,104,71,49,152,Default,
173093,8,3,4,855,963,1230,983,1179,1285,1064,1218,609,1073,1029,570,310,493,549,343,420,661,344,129,47,383,887,782,633,323,110,558,770,622,539,789,538,282,215,290,346,352,103,71,51,149,Default,
173109,8,3,4,807,940,1218,970,1157,1272,1051,1206,596,1060,1025,563,302,487,543,339,406,647,332,126,45,377,881,777,630,321,107,556,767,620,539,788,539,282,213,289,346,355,102,70,50,152,Default,
173125,8,3,3,793,917,1198,955,1135,1256,1032,1189,581,1044,1015,552,290,480,536,337,393,628,319,120,43,375,874,769,626,316,103,552,764,619,536,786,539,281,213,290,346,355,99,71,52,149,Default,
173141,8,3,4,783,883,1182,931,1113,1239,1011,1169,572,1028,1009,546,281,469,526,330,379,611,306,117,41,373,870,761,621,316,102,549,761,614,532,784,540,280,212,289,345,355,99,71,50,149,Default,
173157,7,3,3,766,856,1166,919,1096,1218,998,1147,555,1014,1000,534,273,462,515,326,373,601,302,111,42,369,870,757,613,315,105,547,760,612,529,779,538,277,209,286,342,351,100,74,49,148,Default,
173173,7,3,3,772,838,1157,912,1080,1207,991,1131,544,1003,998,532,265,451,509,318,371,599,303,108,42,367,870,757,610,313,105,545,749,604,524,770,538,273,206,283,340,352,103,78,50,146,Default,
173189,7,3,3,768,820,1150,911,1064,1200,984,1121,538,1000,997,531,261,446,502,316,372,596,300,106,45,361,867,755,611,322,108,542,744,596,520,762,537,269,203,277,339,353,105,82,51,146,Default,
173205,7,2,3,757,807,1142,912,1055,1192,978,1117,532,997,994,531,254,441,501,316,363,594,300,104,42,361,866,752,611,313,109,540,741,592,516,749,538,268,203,275,335,354,109,89,51,145,Default,
173221,7,3,4,750,800,1139,919,1052,1191,982,1115,532,996,995,532,250,444,505,313,356,594,302,104,42,359,864,750,611,315,109,538,733,586,511,745,538,262,198,267,333,355,111,96,51,144,Default,
173237,7,3,4,746,795,1138,922,1050,1189,981,1113,534,996,994,534,251,443,509,314,353,592,302,103,41,358,860,748,609,309,101,538,729,580,36608,0,0,0,0,0,0,0,0,0,0,0,Default,
173349,7,3,2,745,758,1112,921,1023,1156,963,1105,522,990,994,534,237,442,515,314,309,546,283,91,37,339,816,704,592,278,87,532,717,568,505,749,541,277,215,267,333,369,120,144,56,145,Default,
173365,7,2,3,747,755,1113,925,1023,1156,962,1105,522,991,994,534,236,439,517,315,302,542,277,88,37,335,809,698,589,278,86,530,717,568,502,749,538,275,215,266,332,370,120,142,57,147,Default,
173381,8,3,3,745,754,1114,929,1024,1156,962,1103,521,990,994,534,232,436,514,318,290,537,273,87,36,332,800,693,584,273,83,527,713,561,497,749,535,275,211,265,327,370,119,142,55,147,Default,
173397,7,3,3,741,753,1113,929,1022,1154,960,1102,517,989,992,534,219,433,511,315,281,522,265,84,36,327,792,687,580,271,78,522,710,558,491,745,534,273,210,265,331,369,120,142,53,145,Default,
173413,8,3,3,393,750,1109,928,1018,1150,958,1097,513,986,987,528,215,428,507,310,272,504,257,77,33,323,784,683,572,272,74,518,707,555,487,742,530,271,207,263,336,368,120,142,54,144,Default,
173429,7,3,3,739,748,1108,926,1015,1149,953,1090,511,985,987,526,214,418,504,306,260,495,252,68,33,318,775,678,563,264,74,516,706,549,480,739,528,266,206,261,328,367,117,141,53,145,Default,
173445,7,3,3,740,750,1108,929,1017,1148,953,1085,509,983,988,526,211,412,496,303,256,484,245,61,33,315,771,675,555,261,73,509,702,546,475,734,523,260,200,254,323,365,116,143,51,143,Default,
173461,7,1,3,742,750,1109,932,1017,1148,951,1079,510,983,984,527,206,404,482,302,245,477,241,59,33,310,769,670,550,260,70,504,697,542,473,729,520,257,195,252,323,364,115,140,51,143,Default,
173477,7,3,4,742,750,1108,936,1019,1148,952,1077,509,982,983,526,203,399,475,299,243,472,239,58,33,310,765,667,547,257,67,499,694,541,469,725,517,255,190,249,318,360,114,139,53,144,Default,
173493,7,3,3,742,751,1110,938,1020,1148,953,1076,508,983,982,526,203,392,470,296,239,466,233,57,33,308,762,666,540,255,70,494,692,538,464,722,512,252,186,241,319,356,111,135,54,138,Default,
173509,7,3,3,741,753,1111,941,1019,1148,951,1076,508,982,980,526,200,393,467,298,235,460,231,56,32,306,760,663,536,258,67,489,689,537,460,717,513,249,185,240,323,351,110,133,53,144,Default,
173525,7,3,3,735,749,1110,940,1019,1147,950,1070,507,982,980,526,197,391,467,294,235,459,229,57,32,306,760,664,536,256,67,487,690,538,457,716,510,251,184,239,316,351,111,132,55,142,Default,
173541,7,3,3,742,748,1106,937,1018,1146,946,1065,507,981,979,524,201,391,467,294,236,461,232,58,32,306,760,663,536,257,69,485,691,538,458,715,509,250,183,240,321,349,109,131,54,143,Default,
173557,7,3,3,740,747,1104,936,1016,1144,945,1059,505,982,979,525,201,393,468,65086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Default,
173829,8,3,3,742,754,1094,941,1024,1146,940,1065,530,999,995,541,225,429,493,324,289,526,277,100,48,338,817,715,608,313,90,519,740,593,519,775,551,273,215,274,357,371,114,132,48,148,Default,
173845,7,3,3,745,751,1091,937,1024,1145,940,1067,532,999,996,543,232,432,495,326,296,532,281,103,51,344,825,725,612,317,93,522,746,601,526,778,554,277,219,279,359,360,114,132,48,148,Default,
173861,8,2,3,725,736,1071,911,1016,1134,928,1059,534,1000,998,544,233,439,499,331,314,547,290,105,53,354,844,743,620,331,93,533,770,617,547,791,561,281,229,290,368,355,117,136,49,148,Default,
173877,8,3,3,716,700,1036,852,999,1115,907,1044,533,998,998,544,244,446,503,338,327,573,301,111,59,362,860,760,634,351,111,545,790,641,563,815,568,290,244,309,377,372,120,137,51,149,Default,
173893,7,3,3,694,668,1003,801,978,1092,886,1015,529,993,995,544,250,452,506,339,346,593,310,119,65,368,875,769,649,364,120,559,805,660,576,833,576,304,264,330,390,396,124,139,53,158,Default,
173909,7,2,3,665,635,966,758,955,1069,862,982,528,987,992,541,254,456,507,341,373,610,321,128,68,375,892,787,662,381,131,565,819,679,597,861,585,310,277,344,406,414,128,144,56,170,Default,
173925,7,2,3,651,592,921,710,924,1038,831,947,522,982,989,538,265,462,512,341,404,634,337,136,70,389,916,821,685,390,141,567,830,704,628,896,580,318,299,366,435,442,136,154,62,175,Default,
173941,7,3,3,617,554,883,675,891,1006,807,914,516,975,984,536,273,467,518,342,426,656,354,152,72,401,942,847,711,406,149,570,846,729,647,928,585,325,326,391,456,465,140,155,69,186,Default,
173957,8,2,4,574,525,853,636,870,976,787,871,505,968,978,533,280,470,521,348,439,673,368,157,74,412,959,868,733,420,159,570,852,757,666,957,596,331,351,419,479,491,145,158,74,190,Default,
173973,7,3,3,544,501,816,605,843,946,762,827,497,961,971,528,281,472,522,350,451,688,378,161,77,422,976,886,754,436,165,576,872,783,688,982,597,335,371,435,498,514,147,161,81,203,Default,
173989,8,3,3,522,479,786,580,822,919,743,786,493,955,961,523,287,476,523,351,463,706,383,162,75,430,990,905,773,447,171,584,883,807,705,1008,601,342,389,459,514,541,149,167,84,213,Default,
174005,7,3,4,501,461,754,562,804,900,717,749,486,950,954,513,291,477,525,348,472,717,394,165,76,436,1004,923,786,462,174,592,897,829,721,1031,620,345,402,476,533,545,149,169,87,219,Default,
174021,7,3,3,485,446,728,546,791,880,700,717,484,941,949,505,293,480,524,349,480,726,400,168,77,441,1017,939,800,473,181,601,902,841,733,1052,616,351,414,494,551,563,149,177,87,228,Default,
174037,7,2,3,472,438,706,536,780,867,685,704,475,939,944,503,295,481,525,349,489,735,404,171,79,446,1027,949,806,484,190,609,912,861,746,1066,606,355,429,504,568,579,150,182,91,234,Default,
174053,7,3,4,460,427,681,530,772,862,669,695,469,937,938,495,298,481,524,348,495,739,410,174,81,448,1033,958,818,490,203,617,921,878,760,1078,617,359,437,514,585,591,151,187,95,239,Default,
174069,7,3,3,455,421,665,526,766,849,662,673,467,932,935,493,299,483,524,347,500,747,414,177,82,452,1040,965,831,497,204,623,930,887,771,1090,619,362,442,534,596,607,153,190,100,243,Default,
174085,7,1,3,449,415,655,526,762,843,653,664,464,928,932,492,299,483,524,348,503,750,418,179,82,455,1045,971,839,506,212,628,932,899,779,1101,632,364,452,547,610,618,152,194,101,244,Default,
174101,7,3,3,454,415,643,529,755,840,650,660,459,925,930,489,300,483,524,350,505,752,419,180,86,457,1046,974,845,511,216,630,937,903,786,1110,642,368,460,556,621,630,153,197,103,249,Default,
174117,6,3,4,449,412,633,521,751,833,645,659,457,924,929,488,301,483,523,350,508,753,420,181,86,459,1048,978,854,515,223,632,940,907,791,1117,646,370,468,563,626,637,153,197,104,251,Default,
174133,7,3,3,444,412,631,524,749,833,642,659,459,923,929,487,302,484,522,349,508,756,422,183,87,460,1052,983,858,522,228,638,941,912,795,1123,650,371,471,571,635,644,154,198,106,256,Default,
174309,7,2,3,451,427,636,547,753,838,654,692,470,931,934,491,314,495,539,354,539,782,457,202,98,476,1075,1013,883,531,180,652,955,926,820,1134,638,381,488,573,693,685,153,187,130,300,Default,
174325,7,3,3,452,427,635,551,754,840,653,693,470,932,936,491,316,497,541,352,543,785,460,208,100,476,1077,1015,879,531,183,653,953,926,820,1131,628,381,484,33411,33872,2,43528,13235,21182,52722,Default,
174629,8,2,3,509,487,696,603,807,901,699,746,512,965,960,513,341,514,555,354,566,807,472,223,107,493,1092,1027,892,574,209,671,963,932,820,1129,651,375,484,579,740,764,146,194,149,330,Default,
174645,8,3,3,513,491,700,609,813,905,701,750,514,967,961,514,341,515,555,356,567,808,473,224,107,493,1091,1025,889,572,209,671,960,928,816,1123,646,375,480,575,737,758,144,191,149,331,Default,
174661,7,2,3,518,496,706,614,819,911,706,754,517,970,965,517,342,516,555,355,567,807,473,226,112,493,1091,1023,887,572,209,671,956,927,810,1116,644,373,476,567,728,745,144,189,148,332,Default,
174677,7,2,4,522,499,713,619,826,915,709,758,520,973,968,517,344,516,557,352,567,808,473,225,111,493,1090,1021,883,570,207,670,955,926,806,1112,644,374,472,564,717,733,139,181,142,322,Default,
174693,7,3,3,526,503,718,623,832,922,713,761,524,976,970,519,345,518,559,355,568,810,471,227,111,493,1090,1020,882,568,207,670,954,925,805,1111,643,373,470,562,710,726,141,182,142,324,Default,
174709,7,2,3,533,506,724,625,837,926,717,764,526,978,974,519,345,518,559,353,569,811,472,226,116,494,1090,1020,882,567,206,671,955,924,804,1109,642,372,470,560,706,722,142,183,142,326,Default,
174725,7,2,4,537,513,728,630,841,930,720,768,526,980,975,522,346,519,561,352,568,812,472,228,116,494,1091,1019,882,568,206,670,953,923,803,1108,639,372,467,558,700,721,139,178,142,324,Default,
