Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Label,
317812,7,3,3,49,161,246,213,49,381,322,392,172,499,456,105,234,363,223,70,420,839,589,415,165,681,990,1018,928,971,336,133,500,599,602,703,443,95,41,26,169,219,147,85,80,203,Default,
317828,6,2,3,52,164,250,219,51,384,325,390,173,501,459,104,234,363,223,70,420,839,589,414,167,683,985,1015,923,970,336,134,499,596,600,698,444,91,39,24,165,219,146,86,78,199,Default,
317844,6,1,3,52,167,252,218,53,388,325,397,174,503,464,107,236,364,225,71,422,839,589,410,165,679,983,1013,921,969,335,135,498,595,598,696,443,91,37,22,161,219,144,82,77,199,Default,
317860,6,3,3,51,169,256,217,54,393,328,405,177,504,468,109,238,365,226,70,420,838,588,407,166,682,983,1010,920,967,335,133,497,593,594,692,443,88,37,17,163,217,145,83,77,200,Default,
317876,6,2,11,53,172,260,218,58,400,331,410,177,506,475,111,241,365,226,72,419,837,588,406,165,677,982,1004,919,964,333,133,494,589,588,687,440,86,35,18,164,213,146,88,77,194,Default,
317892,6,2,3,53,175,263,218,61,408,332,405,178,509,479,116,240,366,230,70,419,837,587,404,166,675,989,998,916,962,332,134,493,587,584,679,438,85,37,17,161,212,145,84,77,199,Default,
317908,6,2,3,54,181,267,219,63,414,337,414,180,513,483,119,238,366,230,71,419,836,588,404,165,675,978,995,915,961,332,132,492,584,583,679,438,84,36,16,155,208,148,82,77,198,Default,
317924,6,2,3,56,182,272,220,64,420,339,418,181,514,489,120,242,368,228,71,418,835,588,393,166,674,977,991,912,956,329,128,494,582,575,674,438,80,37,18,149,206,146,82,74,199,Default,
317940,6,2,3,58,188,277,225,69,422,341,419,182,518,489,120,242,369,228,73,418,833,585,393,165,672,972,986,905,950,327,126,485,576,567,666,435,79,33,17,145,199,145,79,74,194,Default,
317956,6,2,3,60,192,278,228,70,427,345,424,178,520,494,122,243,372,228,73,415,833,585,388,163,668,972,978,901,945,325,124,481,563,559,663,433,76,26,16,135,197,140,78,74,194,Default,
317972,6,2,3,64,198,283,227,75,438,348,430,184,525,500,127,244,372,226,73,414,832,584,385,162,664,969,972,895,937,324,119,476,559,548,655,431,70,25,14,127,192,136,77,74,192,Default,
