Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
99044,-0.903874,9.78001,-1.01387,0.83,0.213,-0.865,-18.9356,-62.6714,-8.12188,1008.09
99050,-0.932568,9.77044,-1.02822,-0.36,0.143,0.465,-18.6433,-62.7883,-7.31802,1008.09
99056,-0.942133,9.78001,-1.02822,-0.0799999,0.143,0.815,-18.2779,-62.9929,-6.7334,1008.08
99062,-0.918221,9.8087,-1.01387,0.62,0.213,0.185,-18.6141,-62.3644,-7.30341,1008.08
99068,-0.879962,9.7274,-1.07126,-0.0799999,0.423,1.025,-18.6141,-62.6129,-7.43495,1008.08
99074,-0.860832,9.67001,-1.10473,-0.78,-0.627,-0.515,-18.2779,-63.0806,-7.44956,1008.08
99080,-0.889526,9.76088,-1.02822,-0.36,0.00299978,-0.305,-17.7956,-62.7298,-7.44956,1008.09
99086,-0.923003,9.81827,-0.980392,0.41,-0.347,0.605,-17.7372,-62.4521,-7.50803,1008.09
99092,-0.93735,9.77523,-1.04256,0.83,-1.887,-1.075,-19.2864,-62.1013,-7.68341,1008.08
99098,-0.918221,9.74175,-1.08082,-0.0799999,-0.767,-0.095,-18.2779,-62.5837,-7.3911,1008.08
99104,-0.908656,9.79914,-1.03778,0.62,-0.347,-0.305,-18.4241,-62.1598,-7.15725,1008.08
99110,-0.889526,9.79436,-0.994739,0.34,-0.557,0.255,-19.2572,-62.1306,-7.88803,1008.08
99116,-0.923003,9.76088,-1.033,0.83,-0.557,0.255,-19.2279,-62.9052,-6.85032,1008.08
99122,-0.879962,9.7561,-1.05213,-0.29,-0.977,0.745,-18.7456,-62.0721,-6.85032,1008.09
99128,-0.923003,9.72262,-1.05691,-0.5,0.773,0.465,-18.2779,-62.306,-7.15725,1008.09
99134,-0.913438,9.76088,-1.01387,-1.27,0.563,-0.305,-19.2572,-61.6483,-7.59572,1008.1
99140,-0.966045,9.84218,-0.966045,-0.5,0.143,0.955,-19.1695,-62.3644,-7.25956,1008.1
99146,-0.985174,9.86609,-0.961262,1.46,-0.767,1.095,-18.8187,-61.5898,-7.68341,1008.1
99152,-0.908656,9.8087,-1.00909,0.97,0.073,0.115,-18.6141,-62.1306,-7.42033,1008.1
99158,-0.908656,9.73697,-1.06169,-0.78,-0.767,0.675,-18.7895,-62.4229,-7.44956,1008.11
99164,-0.942133,9.85653,-1.01387,0.69,0.213,1.375,-19.4618,-62.306,-7.31802,1008.11
99170,-0.918221,9.86131,-0.95648,0.2,-1.117,1.725,-18.8479,-62.0137,-7.46418,1008.12
99176,-0.913438,9.79436,-1.03778,0.34,-0.207,1.865,-18.7456,-62.0137,-6.93802,1008.12
99182,-0.903874,9.76566,-1.033,1.6,-0.977,2.285,-19.1987,-63.0806,-7.75649,1008.05
99188,-0.942133,9.8087,-0.989957,0.48,0.563,1.025,-18.2779,-62.306,-6.49955,1008.05
99194,-0.894309,9.79914,-0.961262,0.13,-0.137,2.845,-19.5056,-62.0137,-6.89417,1008.05
99200,-0.966045,9.84696,-0.97561,1.81,-0.417,1.235,-18.5995,-62.7883,-8.06342,1008.02
99206,-0.913438,9.82305,-0.97561,1.46,0.423,1.585,-18.7164,-62.8467,-7.46418,1008.02
99212,-0.932568,9.77044,-1.04256,1.67,0.423,1.305,-19.0526,-62.2475,-7.71264,1008.06
99218,-0.870397,9.71305,-1.10473,1.18,0.353,0.395,-19.2572,-62.3352,-7.8588,1008.06
99224,-0.851267,9.69871,-1.09517,0.9,0.913,2.565,-18.9064,-62.3937,-7.4788,1008.06
99230,-0.913438,9.7274,-1.0856,1.39,0.213,1.865,-18.9356,-62.189,-6.7334,1008.06
99236,-0.918221,9.81349,-1.01387,0.83,0.423,1.865,-19.0526,-62.4667,-7.53726,1008.1
99242,-0.908656,9.77523,-1.02822,3.14,0.773,1.375,-18.7895,-62.876,-8.01957,1008.1
99248,-0.851267,9.71784,-1.09517,1.18,0.773,2.635,-19.0818,-62.876,-7.55187,1008.07
99254,-0.83692,9.67001,-1.10473,1.6,0.353,2.145,-19.301,-62.8175,-6.79186,1008.07
99260,-0.85605,9.73218,-1.06648,2.02,0.493,2.285,-19.0526,-62.8175,-7.4788,1008.07
99266,-0.83692,9.77044,-1.02343,1.04,0.213,1.655,-18.9356,-63.6214,-7.96111,1008.07
99272,-0.85605,9.73218,-1.04735,1.81,-0.347,1.515,-19.7395,-63.4168,-7.53726,1008.12
99278,-0.899091,9.75131,-1.04735,1.04,-0.557,1.375,-19.0526,-63.1829,-7.59572,1008.12
99284,-0.894309,9.84696,-0.985174,1.18,0.213,1.655,-18.6141,-62.7591,-8.06342,1008.12
99290,-0.879962,9.79914,-0.999522,0.69,0.563,0.185,-18.9356,-62.7152,-6.80648,1008.11
99296,-0.865614,9.72262,-1.07126,2.79,1.123,0.395,-19.0526,-63.3583,-7.94649,1008.11
99302,-0.870397,9.70827,-1.09995,1.04,0.493,1.795,-19.6518,-62.9344,-8.50188,1008.07
99308,-0.903874,9.76566,-1.05213,1.74,0.913,1.305,-19.2718,-62.5544,-7.7711,1008.07
99314,-0.860832,9.78957,-1.033,1.25,0.353,0.255,-19.1695,-62.9929,-7.72726,1008.08
99320,-0.851267,9.75131,-1.09517,1.88,1.403,1.865,-17.7372,-62.4667,-7.78572,1008.08
99326,-0.813008,9.68914,-1.10952,1.6,1.123,0.955,-18.6579,-62.496,-6.70417,1008.06
99332,-0.865614,9.73218,-1.11908,1.67,0.563,1.725,-18.7018,-62.5252,-8.28265,1008.06
99338,-0.894309,9.76088,-1.07604,1.25,0.563,1.725,-18.1464,-62.5106,-8.38496,1008.07
99344,-0.889526,9.78957,-1.06169,2.09,-0.557,0.535,-19.0233,-62.7737,-6.35339,1008.07
99350,-0.913438,9.79436,-1.05691,0.48,1.543,0.745,-19.0526,-62.2621,-8.10726,1008.1
99356,-0.889526,9.79914,-1.02343,2.37,1.683,1.165,-19.4764,-62.7152,-7.44956,1008.1
99362,-0.846485,9.8087,-1.033,2.58,0.423,1.795,-18.9064,-62.7444,-8.1365,1008.08
99368,-0.846485,9.76088,-1.13343,2.44,0.143,-0.095,-19.6518,-62.4083,-8.03419,1008.08
99374,-0.851267,9.74175,-1.09995,1.67,1.893,1.165,-19.111,-62.3206,-7.53726,1008.08
99380,-0.884744,9.77523,-1.07604,2.58,0.983,2.145,-19.4472,-63.4606,-7.91726,1008.03
99386,-0.884744,9.79436,-1.05691,2.37,-0.207,0.465,-18.9649,-62.2037,-8.54573,1008.03
99392,-0.83692,9.77044,-1.05691,1.67,1.193,1.235,-19.5056,-63.3437,-7.72726,1008.09
99398,-0.846485,9.71305,-1.13821,1.46,1.543,1.515,-19.1695,-62.5544,-8.85266,1008.09
99404,-0.913438,9.74175,-1.13821,1.18,0.353,1.795,-19.111,-62.7298,-7.63957,1008.09
99410,-0.903874,9.84696,-1.04735,1.81,1.893,2.145,-19.4326,-62.8467,-7.37648,1008.09
99416,-0.813008,9.86131,-1.02343,2.65,0.913,1.375,-18.9356,-62.496,-7.50803,1008.1
99422,-0.851267,9.74175,-1.13821,2.16,0.563,2.845,-19.5056,-62.2767,-6.96725,1008.1
99428,-0.789096,9.68436,-1.17169,1.95,1.263,1.025,-19.1403,-63.0221,-6.9234,1008.05
99434,-0.793878,9.69392,-1.13821,0.83,0.563,2.145,-19.0526,-62.1598,-7.24495,1008.05
99440,-0.813008,9.77523,-1.09995,1.74,0.983,2.285,-19.1403,-62.5837,-7.68341,1008.07
99446,-0.779531,9.74653,-1.10473,2.58,0.563,1.515,-19.491,-62.5544,-7.3911,1008.07
99452,-0.808226,9.71305,-1.13343,1.18,0.913,1.935,-19.4472,-62.7006,-7.3911,1008.07
99458,-0.793878,9.73697,-1.09039,1.88,-0.347,1.165,-19.1695,-62.4375,-6.77725,1008.09
99464,-0.846485,9.78957,-1.07126,2.02,0.00299978,2.075,-18.9356,-62.8467,-7.59572,1008.09
99470,-0.841702,9.8087,-1.07604,2.16,0.283,1.935,-18.9064,-62.3937,-7.15725,1008.1
99476,-0.769966,9.71305,-1.12865,1.39,0.00299978,2.495,-19.3449,-62.5252,-6.25108,1008.1
99482,-0.798661,9.67958,-1.15734,1.39,-0.207,1.375,-18.2779,-63.3583,-6.79186,1008.07
99488,-0.827355,9.72262,-1.17169,1.18,-0.347,1.935,-18.9356,-62.9052,-7.42033,1008.07
99494,-0.846485,9.79436,-1.10952,0.97,-0.207,1.165,-19.1403,-62.5544,-6.98186,1008.08
99500,-0.793878,9.84696,-0.999522,2.09,0.353,1.935,-18.4826,-63.0806,-7.71264,1008.08
99506,-0.813008,9.77523,-1.09995,3.21,0.143,1.935,-19.3741,-62.4229,-7.68341,1008.05
99512,-0.798661,9.71784,-1.16691,1.81,-0.767,0.745,-18.731,-62.7883,-8.1365,1008.05
99518,-0.793878,9.70827,-1.20516,1.25,0.353,2.355,-19.6518,-62.7006,-7.15725,1008.1
99524,-0.81779,9.78957,-1.12386,1.67,-0.767,1.585,-19.5641,-62.9929,-7.71264,1008.1
99530,-0.789096,9.78479,-1.07604,2.02,0.213,2.985,-19.3449,-62.7883,-7.37648,1008.08
99536,-0.779531,9.75131,-1.13343,1.74,0.00299978,0.955,-19.798,-62.496,-7.62495,1008.08
99542,-0.832138,9.70827,-1.17169,1.39,-1.327,2.075,-19.5933,-62.0721,-9.24728,1008.08
99548,-0.865614,9.7561,-1.17647,1.25,-0.137,1.585,-19.5349,-62.2475,-7.33264,1008.09
99554,-0.798661,9.84696,-1.09039,2.16,-0.487,2.285,-19.6518,-62.3644,-6.71878,1008.09
99560,-0.822573,9.80392,-1.09039,2.02,0.353,1.585,-18.9649,-62.2767,-8.18034,1008.1
99566,-0.784314,9.79436,-1.16212,2.79,-0.767,2.215,-19.0526,-61.3852,-6.66032,1008.1
99572,-0.81779,9.68436,-1.24821,1.81,-0.207,1.725,-19.3449,-62.3937,-7.72726,1008.08
99578,-0.822573,9.70349,-1.17647,1.04,-1.327,2.425,-20.5726,-62.4521,-6.87955,1008.08
99584,-0.813008,9.78957,-1.19082,2.72,-0.697,2.425,-19.3595,-63.0221,-6.83571,1008.09
99590,-0.851267,9.69871,-1.25777,2.16,-0.627,2.705,-19.2279,-62.2183,-7.18648,1008.09
99596,-0.741272,9.66045,-1.26255,2.58,-1.677,2.145,-19.6518,-62.6129,-6.95263,1008.1
99602,-0.731707,9.65088,-1.22429,0.48,-1.467,2.845,-19.3449,-62.6714,-7.02571,1008.1
99608,-0.798661,9.73218,-1.17647,0.27,-1.537,2.775,-18.5995,-61.9844,-7.28879,1008.09
99614,-0.93735,9.92826,-1.06648,0.41,-1.327,2.635,-19.3595,-62.5544,-6.93802,1008.09
99620,-0.918221,10.067,-0.870397,1.81,0.913,3.475,-19.5641,-62.1306,-6.63109,1008.08
99626,-0.703013,10.1196,-0.760402,3.91,-1.887,3.265,-19.6518,-62.7883,-7.31802,1008.08
99632,-0.846485,9.92348,-1.02822,5.1,-2.447,2.985,-19.1987,-62.2767,-6.52878,1008.08
99638,-0.899091,9.71784,-1.34864,3.49,-0.557,3.125,-19.7687,-62.0429,-7.02571,1008.09
99644,-0.71736,9.54089,-1.3582,2.44,-0.767,3.825,-19.5056,-62.189,-7.71264,1008.09
99650,-0.71736,9.69392,-1.2769,2.16,-1.327,4.875,-19.1987,-61.8383,-7.34725,1008.12
99656,-0.85605,9.78957,-1.30081,1.39,0.00299978,4.875,-19.3156,-61.5898,-6.76263,1008.12
99662,-0.803443,9.58871,-1.34864,0.41,-0.137,4.945,-19.7687,-62.7883,-6.93802,1008.11
99668,-0.655189,9.73697,-1.20995,0.62,-1.187,4.315,-19.2279,-62.7298,-6.90878,1008.11
99674,-0.923003,9.76566,-1.39168,0.48,-0.907,3.405,-18.8187,-62.496,-7.23033,1008.12
99680,-0.884744,9.64132,-1.49211,-0.5,0.913,4.175,-19.7395,-62.189,-7.46418,1008.12
99686,-0.789096,9.5648,-1.40124,-1.48,0.703,4.945,-19.2279,-61.926,-7.18648,1008.1
99692,-0.621712,9.70349,-1.16691,-2.11,-0.137,3.475,-19.0526,-63.1829,-7.91726,1008.1
99698,-0.769966,9.69871,-1.27212,-2.67,2.453,4.105,-19.2279,-62.4229,-6.87955,1008.08
