Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
288362,1.12865,-9.68436,1.0043,0.27,0.633,-1.005,-36.9713,48.2757,55.9676,1007.86
288368,1.14778,-9.78479,0.946915,0.69,0.563,-1.215,-36.6205,48.305,57.3414,1007.81
288374,1.10952,-9.77523,0.95648,1.18,0.00299978,-1.145,-37.4682,48.2757,57.6045,1007.81
288380,1.09517,-9.79914,0.946915,1.25,0.423,-1.355,-36.6644,48.2465,58.1014,1007.84
288386,1.07126,-9.81349,0.927786,1.04,-0.487,-1.005,-37.3221,48.1588,56.1868,1007.84
288392,1.10473,-9.78957,0.908656,1.74,-0.277,-1.495,-37.8775,48.0273,57.4876,1007.8
288398,1.21951,-9.70827,0.980392,3.28,-1.047,-1.635,-37.8336,47.8519,58.2768,1007.8
288404,1.28168,-9.48828,1.12386,0.76,-0.207,-0.025,-36.7813,48.4804,56.4791,1007.8
288410,1.22429,-9.56958,1.06648,0.48,-0.697,-0.305,-37.6728,48.0126,58.0576,1007.84
288416,1.14778,-9.77523,0.942133,1.32,-0.907,-1.285,-37.5852,47.3696,57.7799,1007.84
288422,1.16691,-9.73218,0.97561,1.67,-0.697,-0.795,-37.1613,48.1003,57.7945,1007.82
288428,1.17647,-9.68436,1.01865,1.46,-0.907,-1.775,-37.6144,47.5742,57.6922,1007.82
288434,1.16212,-9.71784,1.0043,1.39,-0.277,-1.005,-37.4536,47.5303,57.1076,1007.82
288440,1.13821,-9.73218,0.980392,2.02,-1.257,-1.775,-37.2051,47.9103,57.4145,1007.82
288446,1.14299,-9.78957,0.951698,2.44,-0.347,-1.355,-38.4621,47.6911,56.1868,1007.86
288452,1.09039,-9.84218,0.932568,3,-0.487,-1.215,-37.7605,47.6326,57.9114,1007.86
288458,1.15734,-9.74175,0.95648,3.91,-1.607,-1.215,-37.2928,49.0942,57.7945,1007.81
288464,1.31516,-9.55045,1.04735,2.93,-1.467,-1.775,-37.439,48.378,58.0868,1007.81
288470,1.26255,-9.43089,1.17647,1.25,-1.677,-0.585,-37.5413,47.8957,56.6253,1007.81
288476,1.1956,-9.66045,1.06169,0.83,-1.047,-0.655,-37.2051,47.8957,57.3853,1007.81
288482,1.23386,-9.70349,0.989957,0.62,0.423,-0.235,-37.439,48.9919,56.333,1007.82
288488,1.14299,-9.64132,1.05691,1.04,-0.907,-1.005,-37.3367,48.0419,57.7068,1007.82
288494,1.15734,-9.76566,0.985174,0.76,0.423,-0.025,-36.9859,48.4073,58.1307,1007.82
288500,1.14778,-9.72262,1.02343,1.88,-0.837,-0.375,-37.3805,48.0273,57.8237,1007.87
288506,1.19082,-9.6461,1.04256,1.18,0.423,0.325,-37.3805,47.8957,56.6107,1007.87
288512,1.18125,-9.6748,1.02822,1.39,-0.557,-0.165,-37.1028,47.9834,57.1953,1007.83
288518,1.19082,-9.64132,1.01387,0.41,-0.697,-0.655,-37.7605,48.188,57.1222,1007.83
288524,1.20516,-9.67001,1.01865,0.62,0.143,1.445,-36.7082,47.7934,57.4291,1007.81
288530,1.18604,-9.67001,1.02343,0.27,0.213,-0.375,-37.7313,47.808,56.8299,1007.81
288536,1.20516,-9.62219,1.04735,0.2,-0.487,-1.215,-37.2928,48.378,58.1745,1007.82
288542,1.20995,-9.65088,1.02822,0.27,0.073,0.535,-37.249,48.0711,57.663,1007.82
288548,1.20516,-9.70827,0.989957,0.48,-0.697,-0.235,-37.6875,48.0565,56.9614,1007.83
288554,1.21473,-9.6461,1.03778,1.39,-0.557,0.115,-37.4682,47.9542,57.7068,1007.83
288560,1.16212,-9.63654,1.02822,-0.36,-0.487,0.395,-36.6059,48.1296,58.3499,1007.84
288566,1.20038,-9.74175,0.980392,1.18,0.213,-0.375,-36.9713,48.7288,59.0953,1007.84
288572,1.19082,-9.63654,1.02822,-0.5,0.283,0.115,-37.3805,47.4865,57.2976,1007.84
288578,1.18604,-9.63654,1.06648,-0.22,-0.347,0.325,-36.9859,47.8957,57.5314,1007.85
288584,1.17169,-9.71784,0.999522,0.2,-0.277,-0.865,-37.1028,49.3134,57.9407,1007.85
288590,1.14299,-9.70827,0.999522,-0.15,-0.277,0.115,-37.2928,47.7934,57.8822,1007.85
288596,1.18604,-9.73218,0.985174,0.62,-0.137,-0.235,-37.1905,48.305,57.2099,1007.85
288602,1.17647,-9.71305,0.994739,0.83,0.213,0.115,-37.4975,48.5827,56.903,1007.85
288608,1.17169,-9.68436,1.033,0.97,-0.137,-0.025,-37.4098,48.4365,57.5753,1007.85
288614,1.1956,-9.71784,1.00909,0.55,0.00299978,0.045,-37.4682,48.2611,57.3268,1007.85
288620,1.1956,-9.64132,1.05691,0.0600001,0.563,0.465,-36.9128,48.2173,57.7945,1007.85
288626,1.18604,-9.66523,1.04256,-0.43,-0.907,0.325,-37.8336,47.3403,58.4522,1007.85
288632,1.19082,-9.71305,1.01387,0.41,1.053,-1.005,-36.8982,47.7203,57.9991,1007.85
288638,1.15734,-9.65088,1.04256,-0.36,-0.207,-0.305,-36.9567,47.8665,58.0868,1007.81
288644,1.18604,-9.73218,1.0043,1.39,-0.907,-0.235,-37.5559,47.7642,58.2476,1007.81
288650,1.18604,-9.68436,1.00909,-0.71,0.283,0.045,-36.7521,48.6996,57.356,1007.8
288656,1.17169,-9.69392,1.01865,0.69,0.073,-0.375,-37.6436,48.6119,57.1514,1007.8
288662,1.17169,-9.74653,0.980392,-0.5,0.073,0.465,-36.7228,48.4365,57.6922,1007.8
288668,1.17169,-9.7274,0.985174,1.53,-0.697,-1.005,-37.0298,48.5242,58.1307,1007.84
288674,1.17169,-9.7274,0.980392,0.2,0.073,-0.305,-37.4682,48.378,57.7945,1007.84
288680,1.17647,-9.74175,0.980392,1.95,-0.767,-0.095,-36.8836,47.3988,58.1891,1007.84
288686,1.18604,-9.67958,1.02343,1.04,-0.697,-1.705,-36.869,48.4657,57.5899,1007.84
288692,1.20038,-9.66523,1.04256,0.69,-1.887,-0.235,-37.4975,47.998,57.9845,1007.84
288698,1.19082,-9.70827,1.02343,1.18,-0.487,0.325,-36.1236,47.8226,58.613,1007.84
288704,1.19082,-9.67958,1.01865,1.04,-0.487,-1.215,-36.6059,47.6619,57.6776,1007.8
288710,1.16212,-9.68914,1.02343,0.76,-0.697,0.255,-36.5328,47.6326,59.0076,1007.8
288716,1.17647,-9.7274,1.02822,1.6,-1.257,-0.585,-36.8836,48.4073,57.2391,1007.86
288722,1.18125,-9.68914,1.05213,0.83,-0.0670002,-0.865,-36.3721,47.6034,57.0491,1007.86
