Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
345182,1.24342,-9.67001,1.14778,0.2,-0.277,-0.165,-14.7556,27.2731,29.1479,1008.75
345188,1.25777,-9.68914,1.13343,-0.00999987,0.283,0.325,-14.6971,26.8785,29.0748,1008.75
345194,1.23864,-9.62697,1.14778,-0.00999987,-0.0670002,0.885,-15.0187,27.1854,29.1187,1008.74
345200,1.22908,-9.63654,1.14299,-0.78,-0.137,-0.795,-15.0187,27.9747,28.9287,1008.74
345206,1.23864,-9.65088,1.14778,-0.92,-0.137,1.935,-14.434,27.0246,30.4633,1008.77
345212,1.23864,-9.67001,1.12865,0.55,-0.837,0.395,-14.3756,28.2377,28.5779,1008.77
345218,1.25299,-9.65567,1.12386,-0.43,-1.047,0.185,-14.3756,27.8577,29.0748,1008.75
345224,1.23864,-9.63175,1.15734,-0.22,0.283,0.115,-14.434,28.0916,29.7764,1008.75
345230,1.22908,-9.67001,1.10473,-0.78,-0.837,0.255,-14.244,27.39,29.0895,1008.75
345236,1.22908,-9.68436,1.09517,-0.15,-0.277,1.445,-14.2733,27.887,29.4256,1008.76
345242,1.21951,-9.68914,1.12386,-1.27,-0.137,0.745,-15.2233,27.5654,28.841,1008.76
345248,1.1956,-9.69392,1.13343,0.27,-0.347,-0.375,-14.8725,27.1269,30.0249,1008.73
345254,1.23386,-9.67958,1.10952,-0.57,-0.347,0.115,-15.1063,27.6239,28.9725,1008.73
345260,1.21951,-9.66045,1.13821,-0.29,-0.417,0.535,-14.931,27.9162,29.3525,1008.75
345266,1.22908,-9.65088,1.17169,-0.92,0.353,0.955,-14.1709,27.5654,28.6218,1008.75
345272,1.20038,-9.63654,1.1143,-1.48,0.353,0.535,-15.0187,27.9747,28.7533,1008.74
345278,1.21473,-9.67958,1.10952,-0.57,0.283,0.115,-14.9602,27.4485,28.8848,1008.74
345284,1.22429,-9.67001,1.13821,-0.5,-0.0670002,1.095,-14.8433,27.9747,29.0895,1008.78
345290,1.24342,-9.67958,1.13343,-0.57,0.283,0.675,-15.2379,27.6239,28.1102,1008.78
345296,1.21473,-9.67001,1.12865,-0.78,0.283,0.885,-15.2233,27.0246,28.7241,1008.75
345302,1.23864,-9.67958,1.13343,-0.71,-0.277,-0.165,-14.4633,28.0916,29.8349,1008.75
345308,1.24342,-9.6748,1.12865,-0.57,-0.487,1.095,-13.9956,28.0916,28.9579,1008.75
345314,1.23864,-9.63654,1.13343,-0.57,-0.277,0.325,-14.6386,28.1208,28.6948,1008.79
345320,1.23864,-9.64132,1.12386,-0.99,-0.347,-0.235,-14.7848,28.4862,29.0748,1008.79
345326,1.21951,-9.68436,1.11908,-0.57,0.283,0.185,-15.2817,27.507,29.6449,1008.74
345332,1.21951,-9.67958,1.10952,0.0600001,-0.0670002,0.255,-14.2586,27.6823,30.2149,1008.74
345338,1.23386,-9.68436,1.09517,0.27,-0.347,0.605,-14.5802,27.7993,29.2064,1008.77
345344,1.22908,-9.67958,1.1143,0.34,0.143,-0.025,-14.6971,27.7993,29.7325,1008.77
345350,1.1956,-9.66523,1.13343,-1.48,0.143,0.745,-14.7848,27.1416,29.2502,1008.76
345356,1.21951,-9.6748,1.11908,-0.99,0.703,2.215,-15.311,26.7908,30.1564,1008.76
345362,1.22429,-9.67958,1.1143,-0.78,0.283,-0.375,-14.0102,27.7993,29.7472,1008.73
345368,1.23386,-9.6748,1.12865,-0.99,0.493,0.395,-14.4925,27.6239,28.7241,1008.73
345374,1.22908,-9.67001,1.1143,-1.13,-0.417,0.395,-14.5363,27.2439,29.6741,1008.75
345380,1.20995,-9.67958,1.10952,-0.99,-0.0670002,1.095,-14.2002,27.4193,29.7764,1008.75
345386,1.20995,-9.66523,1.12865,-0.22,-0.697,-0.375,-13.8348,27.9162,29.4402,1008.75
345392,1.20995,-9.6748,1.09517,-0.78,0.423,0.675,-14.434,27.7993,29.0164,1008.75
345398,1.20516,-9.6748,1.1143,-0.22,-0.0670002,0.535,-14.4194,26.9954,29.7618,1008.75
345404,1.22429,-9.68436,1.09995,-0.15,-0.417,-0.165,-14.9894,27.8577,29.6449,1008.76
345410,1.20995,-9.69392,1.11908,0.2,0.353,1.165,-14.6386,27.507,29.8495,1008.76
345416,1.20995,-9.69392,1.10952,0.34,-0.347,-0.865,-14.3463,27.2146,28.7241,1008.75
345422,1.21951,-9.69392,1.09995,-0.57,0.143,0.185,-15.0479,28.0623,29.6741,1008.75
345428,1.21473,-9.69871,1.09517,-0.00999987,-0.347,0.675,-14.6971,27.507,30.4487,1008.79
345434,1.20516,-9.70349,1.10952,-0.5,-0.487,-0.935,-15.0479,27.5362,30.1418,1008.79
345440,1.18604,-9.67001,1.07604,-0.78,-0.277,0.535,-14.6386,27.9454,30.0833,1008.76
345446,1.1956,-9.68436,1.10473,-0.5,-0.837,-0.305,-14.7263,27.77,28.5341,1008.76
345452,1.21951,-9.67958,1.10473,-0.78,-0.837,0.115,-14.9017,27.6239,29.221,1008.74
345494,1.20995,-9.68436,1.09995,-0.36,0.073,-0.725,-15.1063,27.887,29.5133,1008.74
345500,1.17647,-9.68914,1.09517,-0.43,0.703,0.745,-14.4925,27.7408,30.6387,1008.74
345506,1.1956,-9.67001,1.09039,0.76,0.143,-0.865,-14.1709,27.3316,29.3233,1008.79
345512,1.20038,-9.69392,1.08082,0.0600001,-0.0670002,-0.025,-13.8932,28.15,29.0456,1008.79
345518,1.24342,-9.68436,1.09995,0.2,-0.767,-0.025,-14.5802,27.7116,28.7825,1008.75
345524,1.20995,-9.64132,1.12386,-0.57,0.213,0.675,-14.0102,27.2731,29.8495,1008.75
345530,1.22908,-9.65088,1.10473,0.2,0.283,-0.935,-14.3025,27.0831,28.7679,1008.77
345536,1.22908,-9.66523,1.10952,-0.78,0.633,0.185,-13.8932,26.6739,29.0456,1008.77
345542,1.22908,-9.65088,1.10952,0.0600001,-0.417,0.465,-14.3756,26.6446,28.9725,1008.75
345548,1.20516,-9.66523,1.0856,-0.36,-0.837,-0.095,-13.7471,26.9369,29.4987,1008.75
345554,1.20995,-9.67958,1.09995,-0.22,-0.0670002,-0.025,-14.2294,26.9954,28.5195,1008.78
345560,1.20516,-9.66045,1.09995,-0.00999987,0.423,-0.795,-14.2586,27.3608,29.6302,1008.78
345566,1.1956,-9.6748,1.1143,0.0600001,0.843,1.095,-13.4256,26.9369,29.601,1008.78
345572,1.20038,-9.6748,1.10473,-0.00999987,0.633,-0.025,-14.0394,26.8492,28.4171,1008.74
345578,1.20516,-9.65567,1.09517,0.2,0.493,-1.565,-15.0479,27.5946,28.7095,1008.74
345584,1.21473,-9.67001,1.1143,-0.99,-0.137,-0.655,-14.814,27.3316,30.8872,1008.76
345590,1.22908,-9.64132,1.1143,-0.15,0.283,1.305,-14.9602,27.0539,29.411,1008.76
345596,1.21951,-9.66523,1.12386,-0.00999987,0.423,-0.095,-14.3756,27.507,29.981,1008.73
345602,1.20516,-9.67958,1.10473,-0.15,-0.0670002,0.815,-14.4925,27.507,29.8933,1008.73
345608,1.23386,-9.67958,1.10473,-0.78,0.073,-0.095,-15.4279,27.2439,29.5425,1008.78
345614,1.20995,-9.66523,1.09039,-0.78,0.143,-0.165,-14.4925,27.1562,28.5195,1008.78
345620,1.20038,-9.71784,1.09039,-0.92,-0.137,-1.705,-15.2817,27.0539,28.9141,1008.75
345626,1.20516,-9.69392,1.10473,-0.15,0.283,-0.235,-14.5802,27.0246,29.8495,1008.75
345632,1.20038,-9.66523,1.11908,-0.15,-0.907,-0.165,-14.4194,26.8785,30.4195,1008.77
345638,1.20038,-9.68436,1.11908,-0.78,-0.0670002,0.395,-14.3171,26.7908,29.7325,1008.77
345644,1.20516,-9.68914,1.09039,-0.36,-0.417,-0.375,-13.4256,27.4485,29.8787,1008.77
345650,1.21473,-9.71305,1.09039,-0.0799999,0.143,-0.095,-14.6094,27.3316,29.6887,1008.75
345656,1.22429,-9.6748,1.10952,-0.15,0.423,-0.235,-14.0686,27.39,28.461,1008.75
345758,1.22429,-9.6748,1.09517,0.2,0.633,-0.655,-14.434,27.6531,29.8202,1008.75
345764,1.21473,-9.66523,1.10952,0.97,-0.837,-0.585,-15.311,27.1854,29.2795,1008.76
345770,1.25299,-9.63175,1.10473,-0.29,-0.627,0.535,-14.5802,27.7116,28.081,1008.76
