Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
80582,0.2007,9.77026,0.612851,-0.14,0.01,-0.225,-46.8163,-52.5807,-17.5635,1001.34
80588,0.2007,9.77026,0.612851,-0.14,0.08,-0.225,-46.2317,-53.3407,-18.0166,1001.34
80594,0.2007,9.77026,0.612851,-0.35,0.22,-0.015,-46.7286,-53.0484,-18.4112,1001.34
80600,0.2007,9.77026,0.612851,-0.35,0.15,-0.225,-46.6117,-53.0777,-19.4489,1001.33
80606,0.2007,9.77026,0.612851,-0.42,0.15,-0.225,-46.3778,-52.7854,-17.9289,1001.33
80612,0.2007,9.77026,0.612851,-0.42,0.15,-0.155,-46.6702,-53.1946,-18.2504,1001.37
80618,0.2007,9.77026,0.612851,-0.42,0.01,-0.085,-46.524,-52.9315,-18.4112,1001.37
80624,0.2007,9.77026,0.612851,-0.35,0.01,-0.295,-46.6409,-53.0777,-18.6889,1001.27
80630,0.195922,9.77026,0.612851,-0.35,0.22,-0.225,-46.5825,-52.3469,-19.2297,1001.27
80636,0.195922,9.77026,0.612851,-0.21,0.01,-0.225,-46.9332,-52.5223,-19.6097,1001.3
80642,0.195922,9.77026,0.617601,-0.21,0.01,-0.225,-46.4655,-53.0777,-17.7535,1001.3
80648,0.195922,9.77026,0.617601,-0.21,0.01,-0.295,-46.5825,-52.61,-17.0958,1001.3
80654,0.195922,9.76549,0.612851,-0.21,0.01,-0.295,-47.0209,-53.5746,-19.2151,1001.34
80660,0.195922,9.76549,0.612851,-0.14,0.01,-0.225,-46.7286,-52.5807,-19.4197,1001.34
80666,0.195922,9.76549,0.612851,-0.14,0.01,-0.295,-46.524,-52.7561,-19.7851,1001.34
80672,0.195922,9.76549,0.612851,-0.14,0.01,-0.225,-46.4071,-53.1361,-18.5866,1001.34
80678,0.195922,9.76549,0.612851,-0.14,-0.06,-0.225,-46.4071,-52.4638,-17.3004,1001.32
80684,0.195922,9.76549,0.612851,-0.07,-0.06,-0.155,-46.8748,-52.6392,-19.0397,1001.32
80690,0.195922,9.76549,0.617601,0,0.01,-0.225,-46.2609,-52.0253,-18.572,1001.35
80696,0.195922,9.76549,0.617601,-0.07,-0.06,-0.225,-46.6117,-53.3407,-17.885,1001.35
80702,0.195922,9.76549,0.617601,-0.21,0.08,-0.295,-46.3486,-52.4053,-19.142,1001.35
80708,0.195922,9.76549,0.617601,-0.21,-0.13,-0.225,-46.4363,-52.9607,-19.4928,1001.31
80714,0.195922,9.76549,0.612851,-0.07,0.01,-0.225,-46.0855,-52.7561,-17.7681,1001.31
80720,0.195922,9.76549,0.617601,-0.07,-0.06,-0.155,-46.6117,-52.7269,-19.2443,1001.34
