Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
1208822,0.186364,9.82743,0.375357,-1.75,0.08,-1.695,7.42468,-49.1377,7.52687,1009.08
1208828,0.186364,9.82267,0.375357,-1.89,-0.06,-1.415,7.45392,-49.2838,8.62304,1009.08
1208834,0.186364,9.82267,0.375357,-1.75,-0.13,-1.275,7.68776,-48.9915,8.31611,1009.09
1208840,0.186364,9.82267,0.375357,-1.68,-0.13,-1.275,7.39545,-48.553,8.08226,1009.09
1208846,0.181586,9.82267,0.375357,-1.47,-0.13,-1.205,6.86929,-49.6931,6.73762,1009.09
1208852,0.181586,9.8179,0.380107,-0.98,-0.13,-1.135,7.65853,-49.2546,8.31611,1009.09
1208858,0.181586,9.8179,0.380107,-0.84,-0.06,-1.065,8.00931,-49.3423,6.82532,1009.09
1208864,0.181586,9.8179,0.380107,-0.91,-0.13,-0.855,7.51238,-48.4946,8.46227,1009.09
1208870,0.181586,9.8179,0.380107,-0.77,-0.13,-0.855,7.57084,-48.4069,8.18457,1009.08
1208876,0.181586,9.81314,0.380107,-0.49,-0.13,-0.855,7.57084,-48.7284,8.0238,1009.08
1208882,0.181586,9.81314,0.380107,-0.35,-0.06,-0.855,7.54161,-48.8746,8.94458,1009.08
1208888,0.181586,9.81314,0.380107,-0.14,-0.2,-0.855,7.13237,-48.4653,8.09688,1009.08
1208894,0.181586,9.81314,0.380107,-0.07,-0.27,-0.785,7.22007,-48.4653,8.47688,1009.08
1208900,0.181586,9.80837,0.384857,0.49,-0.06,-0.715,7.2493,-49.0792,8.27226,1009.08
1208906,0.176807,9.80837,0.384857,0.91,-0.2,-0.645,7.27853,-49.5469,7.84841,1009.08
1208912,0.176807,9.80837,0.384857,1.12,-0.34,-0.645,8.53547,-48.4653,7.0007,1009.06
1208918,0.176807,9.80837,0.389607,1.47,-0.41,-0.855,7.86315,-48.7577,7.87764,1009.06
1208924,0.176807,9.80837,0.384857,1.61,-0.34,-0.785,7.717,-49.05,8.92997,1009.05
1208930,0.176807,9.80837,0.384857,1.4,-0.48,-0.785,7.1616,-48.7577,7.0007,1009.05
1208936,0.176807,9.80837,0.384857,1.47,-0.55,-0.715,8.00931,-49.2838,7.52687,1009.05
