Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
1113212,0.0238929,9.79884,0.403857,0.14,-0.06,-0.155,14.0894,-48.9623,13.7385,1009.99
1113218,0.0238929,9.79884,0.403857,0.07,0.08,-0.225,15.054,-48.8453,14.2939,1009.99
1113224,0.0238929,9.79884,0.403857,0.14,-0.13,-0.085,14.5863,-48.933,13.5631,1009.96
1113230,0.0238929,9.79884,0.403857,0.21,-0.06,0.055,14.4109,-48.7577,13.0662,1009.96
1113236,0.0238929,9.79884,0.403857,0.14,0.01,-0.015,14.3817,-49.1377,14.0747,1009.99
1113242,0.0238929,9.79884,0.403857,0.07,0.08,0.055,13.9725,-48.8453,14.4839,1009.99
1113248,0.0238929,9.79884,0.403857,0.21,0.01,0.055,14.3233,-48.9623,13.797,1009.99
1113254,0.0238929,9.79408,0.403857,0.28,-0.06,0.055,14.674,-49.43,13.987,1009.96
1113260,0.0238929,9.79408,0.403857,0.21,-0.06,0.055,15.551,-48.1146,14.4547,1009.96
1113266,0.0238929,9.79408,0.403857,0.21,-0.06,0.125,14.4694,-49.5469,14.3816,1010.02
1113272,0.0238929,9.79408,0.403857,0.21,-0.13,0.125,14.6156,-49.0207,13.68,1010.02
1113278,0.0238929,9.79408,0.403857,0.35,-0.06,0.125,14.0017,-49.05,12.8031,1009.99
1113284,0.0238929,9.79408,0.403857,0.42,-0.13,0.125,14.5863,-49.7223,14.177,1009.99
1113290,0.0238929,9.79408,0.403857,0.49,-0.13,0.195,13.914,-48.8161,13.1246,1009.97
1113296,0.0238929,9.79408,0.403857,0.42,-0.13,0.195,14.6448,-49.1669,13.2708,1009.97
1113302,0.0238929,9.79408,0.403857,0.28,-0.13,0.195,14.3233,-48.9623,13.6947,1009.97
1113308,0.0238929,9.79408,0.403857,0.35,-0.2,0.195,14.3525,-48.1146,13.2708,1010
1113314,0.0238929,9.79408,0.403857,0.28,-0.06,0.125,14.6156,-49.1669,13.3293,1010
1113320,0.0238929,9.79408,0.403857,0.21,-0.06,0.055,15.6094,-49.313,14.2647,1009.95
1113326,0.0238929,9.79884,0.403857,0.14,-0.06,0.265,14.294,-49.9269,13.9285,1009.95
1113332,0.0238929,9.79884,0.403857,0,-0.06,0.195,14.9371,-49.0792,14.0454,1009.97
1113338,0.0238929,9.79884,0.403857,0.14,0.01,0.195,14.4109,-49.3715,13.7093,1009.97
1113344,0.0238929,9.79408,0.403857,0.21,0.01,0.195,14.2356,-49.9269,14.557,1009.97
1113350,0.0238929,9.79408,0.403857,0.35,-0.13,0.265,14.1771,-49.3715,13.8993,1009.97
1113356,0.0238929,9.79408,0.403857,0.35,0.01,0.265,15.054,-49.1961,13.5923,1009.97
1113362,0.0238929,9.79408,0.403857,0.35,0.01,0.405,14.2356,-49.2546,13.0662,1009.99
1113368,0.0238929,9.79408,0.403857,0.21,0.01,0.405,14.6448,-49.05,12.92,1009.99
1113374,0.0238929,9.79408,0.403857,0.56,-0.06,0.545,14.7325,-49.1961,14.4108,1009.98
1113380,0.0238929,9.79408,0.403857,0.42,0.01,0.405,14.4109,-48.8161,12.4231,1009.98
1113386,0.0238929,9.79408,0.403857,0.35,-0.06,0.545,14.5279,-49.1084,12.8031,1010
1113392,0.0238929,9.79408,0.403857,0.56,0.08,0.545,13.7679,-48.5823,13.4316,1010
1113398,0.0238929,9.79408,0.403857,0.63,-0.06,0.615,14.0894,-48.8161,13.5047,1009.96
1113404,0.0238929,9.79408,0.403857,0.56,-0.06,0.685,13.8263,-48.3484,13.9577,1009.96
1113410,0.0238929,9.79408,0.403857,0.7,-0.13,0.755,13.7971,-49.4592,13.6947,1009.98
1113416,0.0191143,9.79408,0.403857,0.91,-0.27,0.895,14.2648,-48.4069,13.4023,1009.98
1113422,0.0191143,9.79408,0.399107,0.84,-0.27,0.825,13.914,-48.67,13.49,1009.98
1113428,0.0191143,9.79408,0.399107,0.84,-0.27,0.825,13.3586,-48.933,12.8616,1009.99
1113434,0.0191143,9.79408,0.399107,0.91,-0.34,0.755,14.5863,-49.4884,13.1831,1009.99
1113440,0.0238929,9.79408,0.399107,0.98,-0.27,0.755,13.7679,-49.0207,14.937,1010.02
1113446,0.0238929,9.79408,0.399107,1.12,-0.34,0.685,14.2648,-49.1961,14.4693,1010.02
1113452,0.0238929,9.79408,0.399107,1.19,-0.27,0.895,13.4463,-49.313,14.2208,1009.97
1113458,0.0238929,9.79408,0.399107,1.19,-0.27,0.895,14.791,-49.1084,14.06,1009.97
1113464,0.0238929,9.79408,0.399107,1.26,-0.34,0.825,13.9432,-48.7869,13.1246,1009.98
1113470,0.0238929,9.79408,0.399107,1.26,-0.41,0.825,13.9432,-49.3423,13.3585,1009.98
1113476,0.0238929,9.79408,0.399107,1.19,-0.41,0.755,14.9079,-49.5177,14.9954,1009.98
1113482,0.0238929,9.79408,0.399107,1.26,-0.41,0.825,14.7033,-48.8453,13.2416,1009.98
1113488,0.0238929,9.79408,0.394357,1.26,-0.34,0.825,13.9725,-48.9915,14.1916,1009.98
1113494,0.0286714,9.79408,0.394357,1.26,-0.41,0.825,14.3525,-49.6346,15.5216,1010
1113500,0.0286714,9.79408,0.394357,1.33,-0.48,0.755,14.5863,-49.3715,13.607,1010
1113506,0.0286714,9.79884,0.394357,1.19,-0.41,0.685,14.294,-49.4592,13.7531,1009.98
1113512,0.0286714,9.79884,0.394357,1.26,-0.48,0.615,14.4109,-50.0731,14.25,1009.98
1113518,0.0286714,9.79884,0.394357,1.05,-0.55,0.475,14.0309,-48.173,14.5277,1009.98
1113524,0.0286714,9.79884,0.394357,1.05,-0.34,0.615,13.7386,-48.9915,13.6654,1009.98
1113530,0.03345,9.79884,0.394357,1.05,-0.48,0.615,13.6802,-48.8161,14.1039,1009.94
1113536,0.0286714,9.79408,0.394357,1.61,-0.69,0.545,14.5571,-48.8161,13.7239,1009.94
1113542,0.0286714,9.79408,0.394357,2.38,-0.62,0.615,15.5802,-48.29,14.6593,1009.94
1113548,0.03345,9.79884,0.394357,1.26,-0.2,0.615,13.8556,-48.2023,13.4462,1009.97
1113554,0.03345,9.79884,0.389607,0.42,-0.2,0.475,14.294,-49.1669,14.7324,1009.97
1113560,0.03345,9.79884,0.389607,0.63,-0.2,0.545,14.4109,-49.0207,13.227,1009.97
1113566,0.03345,9.79884,0.389607,0.77,-0.2,0.475,14.7617,-48.7284,14.367,1009.97
1113572,0.03345,9.79884,0.389607,0.63,-0.2,0.335,14.294,-49.43,13.5923,1009.96
1113578,0.03345,9.79884,0.384857,0.28,-0.2,0.195,14.6448,-49.8977,14.4985,1009.96
1113584,0.0382286,9.79884,0.384857,0.21,-0.27,0.125,13.7971,-49.8392,14.3524,1010
1113590,0.0382286,9.79884,0.384857,0.28,-0.06,0.195,13.9432,-49.4592,14.3962,1010
1113596,0.0382286,9.79884,0.384857,0.42,0.01,0.195,14.0894,-49.2253,12.9639,1010
1113602,0.03345,9.79884,0.384857,1.05,-0.34,0.265,14.4694,-49.5177,12.8908,1009.99
1113608,0.0382286,9.79884,0.380107,0.28,0.01,0.125,13.8848,-49.7223,13.9139,1009.99
1113614,0.0382286,9.79884,0.380107,0.42,-0.06,0.055,14.294,-49.5177,13.3293,1009.97
1113620,0.0382286,9.80361,0.380107,0.35,-0.13,0.195,14.4402,-49.3715,14.3816,1009.97
1113626,0.0382286,9.80361,0.380107,0.14,0.08,0.335,14.0894,-49.43,12.8908,1009.99
1113632,0.0382286,9.80361,0.375357,0.14,-0.13,0.195,13.8556,-49.1377,13.4608,1009.99
1113638,0.0382286,9.80361,0.375357,0.21,-0.06,0.195,14.5279,-49.3715,13.3877,1010
1113644,0.0382286,9.80361,0.375357,0.21,0.01,0.125,14.1771,-49.4007,13.8262,1010
1113650,0.0382286,9.80361,0.375357,-0.14,-0.13,-0.015,13.4463,-49.7515,14.1916,1010
1113656,0.0382286,9.80361,0.375357,0.07,-0.13,0.125,14.1771,-49.8977,13.6654,1009.96
1113662,0.0382286,9.80361,0.375357,0.28,0.01,0.125,14.1186,-48.7869,13.87,1009.96
1113668,0.0382286,9.79884,0.375357,0.28,-0.13,0.195,14.9079,-49.3423,14.0454,1010.02
1113674,0.0430072,9.79884,0.375357,0.35,-0.13,0.195,14.3233,-49.6931,14.8493,1010.02
1113680,0.0430072,9.79884,0.375357,0.28,0.01,0.125,14.0894,-49.1669,14.937,1009.96
1113686,0.0382286,9.80361,0.375357,0.28,-0.13,0.125,13.8263,-48.933,13.0516,1009.96
1113692,0.0430072,9.79884,0.375357,0.35,-0.06,0.125,13.7971,-48.7577,14.8201,1010
