Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
1028864,0.219814,9.79884,0.27086,0.28,-0.06,-0.225,-1.34468,-58.8717,-9.16416,1009.04
1028870,0.219814,9.79884,0.27086,0.35,-0.06,-0.225,-1.46161,-59.2809,-8.19953,1009.03
1028876,0.219814,9.79884,0.27086,0.21,-0.06,-0.155,-1.72469,-59.5732,-8.56492,1009.03
1028882,0.219814,9.79884,0.27086,0.28,-0.06,-0.155,-1.57853,-59.4855,-8.91569,1009.03
1028888,0.219814,9.79884,0.27086,0.21,-0.13,-0.155,-1.84161,-59.9824,-8.41876,1009.04
1028894,0.219814,9.79884,0.27086,0.28,-0.06,-0.225,-1.90008,-59.3686,-7.84876,1009.04
1028900,0.219814,9.79884,0.27086,0.42,0.15,-0.085,-1.75392,-59.2809,-8.78415,1009.04
1028906,0.219814,9.79884,0.27086,0.84,0.15,-0.015,-2.33854,-59.3394,-8.41876,1009.04
1028912,0.215036,9.79408,0.27561,0.91,0.15,0.055,-2.25085,-59.164,-8.0826,1009.03
1028918,0.215036,9.79408,0.27561,1.19,0.15,0.195,-1.95854,-59.3394,-8.76954,1009.03
1028924,0.215036,9.79408,0.27561,1.33,0.08,0.195,-1.52007,-58.8424,-8.90108,1009.06
1028930,0.215036,9.79408,0.27561,1.4,-0.06,0.125,-2.017,-58.5209,-8.68184,1009.06
1028936,0.215036,9.79408,0.27561,1.47,-0.06,0.055,-1.92931,-58.6378,-8.75492,1009.06
1028942,0.215036,9.79408,0.27561,1.4,-0.2,0.125,-1.81238,-58.9301,-7.84876,1009.03
1028948,0.215036,9.79408,0.27561,1.4,-0.2,0.055,-1.28622,-58.9301,-7.67337,1009.03
1028954,0.215036,9.79408,0.27086,1.12,-0.06,0.125,-2.30931,-58.9009,-7.10336,1009.05
1028960,0.215036,9.79408,0.27086,0.91,-0.06,0.055,-1.81238,-59.2224,-8.52107,1009.05
1028966,0.215036,9.79408,0.27086,0.91,-0.06,-0.015,-2.07546,-59.1055,-7.30798,1009.06
1028972,0.215036,9.79408,0.27086,1.05,-0.27,0.055,-2.28008,-59.0178,-8.638,1009.06
1028978,0.215036,9.79408,0.27086,1.05,-0.2,0.265,-1.92931,-59.3686,-7.0449,1009.05
1028984,0.215036,9.79884,0.27086,0.98,-0.13,0.125,-1.78315,-59.0178,-8.52107,1009.05
1028990,0.215036,9.81314,0.26611,4.9,-0.76,0.335,-2.25085,-58.287,-7.36644,1009.05
1028996,0.219814,9.82743,0.25661,0.14,-0.41,-0.015,-2.13392,-59.047,-7.41029,1009.02
1029002,0.219814,9.82743,0.25186,0.91,0.15,0.055,-1.66623,-58.9593,-6.51873,1009.02
1029008,0.215036,9.82743,0.25186,0.56,-0.27,0.125,-2.07546,-59.3394,-6.70874,1009.04
1029014,0.219814,9.82743,0.247111,0.77,-0.13,-0.085,-2.017,-58.6378,-7.2349,1009.04
1029020,0.219814,9.82743,0.242361,0.91,0.08,-0.225,-2.04623,-58.6378,-6.9572,1009.07
1029026,0.219814,9.82743,0.242361,0.91,-0.27,-0.155,-1.14006,-58.4916,-7.64414,1009.07
1029032,0.219814,9.82743,0.247111,1.26,0.01,0.125,-1.78315,-58.6963,-7.65875,1009.02
1029038,0.215036,9.82267,0.247111,1.33,-0.34,0.125,-2.017,-58.9009,-8.57954,1009.02
1029044,0.215036,9.82267,0.247111,1.4,-0.27,0.125,-1.16929,-58.6963,-6.91336,1009.04
