Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
114812,-0.221824,9.81679,0.330976,-0.21,0.14,-0.07,-38.556,-36.1006,4.1216,1009.8
114818,-0.317472,9.67331,0.421842,-0.14,0.07,0.07,-38.2052,-35.9252,3.49313,1009.8
114824,-0.145306,9.77374,0.335758,0.21,0.07,0.14,-38.4975,-35.7206,3.99006,1009.8
114830,-0.178782,9.77853,0.316629,0.07,0.21,0.07,-38.3806,-35.8082,3.68313,1009.82
114836,-0.236171,9.7307,0.350106,-0.14,-0.07,0.07,-38.7314,-35.8082,4.07775,1009.82
114842,-0.188347,9.7307,0.374018,0,0.07,0.07,-38.7898,-35.2821,3.21543,1009.79
114848,-0.221824,9.77853,0.388365,0.07,0.07,0.07,-38.7898,-35.7498,2.55773,1009.79
114854,-0.221824,9.78809,0.350106,0.07,0,0.07,-38.4975,-36.0421,3.59544,1009.77
114860,-0.188347,9.77374,0.374018,0,0,0,-38.0883,-35.8959,2.45542,1009.77
114866,-0.236171,9.75461,0.35967,0.07,0.07,0.07,-38.0883,-36.6267,2.60158,1009.77
114872,-0.202694,9.78331,0.35967,0,0.07,0.14,-38.176,-36.5975,3.31774,1009.81
114878,-0.217042,9.77374,0.350106,0.07,0.21,0.07,-38.059,-36.1882,2.44081,1009.81
114884,-0.217042,9.77374,0.340541,0.14,0,0.07,-38.556,-35.8375,3.09851,1009.81
114890,-0.217042,9.7594,0.369235,-0.14,0.07,0.07,-39.2575,-35.4575,3.12774,1009.81
114896,-0.217042,9.77374,0.354888,-0.07,0.14,0.14,-38.7606,-36.4806,2.10465,1009.78
114902,-0.19313,9.74505,0.354888,0.14,0.21,0,-39.696,-35.7498,3.42005,1009.78
114908,-0.188347,9.77374,0.330976,0.14,-0.21,0.28,-38.7314,-35.8959,3.40544,1009.74
114914,-0.212259,9.77374,0.369235,0.21,-0.21,0,-38.3221,-35.9544,3.71236,1009.74
114920,-0.207477,9.77374,0.354888,0.07,-0.14,0,-39.2575,-35.3405,2.2508,1009.8
114926,-0.212259,9.76896,0.345323,0.14,0.07,0.14,-38.2052,-36.6559,1.6808,1009.8
114932,-0.183565,9.7594,0.345323,-0.14,0.14,0.07,-38.0006,-36.1298,3.43467,1009.8
114938,-0.217042,9.76896,0.354888,0,0,0,-38.0298,-35.7498,3.59544,1009.76
114944,-0.197912,9.76896,0.354888,0,0.14,0.14,-38.6144,-36.4513,2.17773,1009.76
114950,-0.188347,9.74983,0.354888,0,0.07,0.07,-38.5267,-35.9544,1.85618,1009.8
114956,-0.202694,9.78331,0.383582,0,0.07,0,-38.4391,-36.2759,3.37621,1009.8
114962,-0.183565,9.74983,0.364453,0,0.07,0.07,-37.7083,-36.1882,1.82695,1009.83
114968,-0.217042,9.76896,0.350106,0.07,0,0.14,-38.7606,-36.539,2.28004,1009.83
114974,-0.202694,9.76418,0.345323,0,0,0,-38.7606,-36.8021,2.36773,1009.82
114980,-0.207477,9.78331,0.345323,-0.07,0.07,0,-37.9714,-35.6621,3.34697,1009.82
114986,-0.207477,9.76896,0.340541,0,0,0,-38.4391,-36.5975,3.28851,1009.82
114992,-0.197912,9.75461,0.364453,-0.07,0.14,0.07,-38.1175,-35.9252,1.82695,1009.81
114998,-0.226606,9.76896,0.350106,0.07,0,0,-37.679,-36.7729,1.73926,1009.81
115004,-0.19313,9.77374,0.383582,0.07,0.07,0.07,-38.1467,-35.6621,4.3993,1009.83
115010,-0.183565,9.7594,0.369235,0.07,0.07,0.07,-38.4683,-36.3636,3.6539,1009.83
115016,-0.221824,9.74505,0.354888,0.07,0.07,0.07,-39.0529,-36.2175,2.51388,1009.8
115022,-0.207477,9.76896,0.35967,0.14,-0.07,0.07,-39.0821,-35.9544,3.06928,1009.8
115028,-0.188347,9.74983,0.340541,-0.07,0.14,-0.07,-40.3391,-36.5683,0.613856,1009.78
115034,-0.212259,9.76896,0.364453,0.07,0.28,0.14,-38.8775,-35.9836,3.23005,1009.78
115040,-0.212259,9.76896,0.369235,0.07,0.07,0,-38.7314,-35.7498,2.68927,1009.78
115046,-0.202694,9.76418,0.354888,0.14,0,0.07,-38.556,-36.0129,3.55159,1009.83
115052,-0.202694,9.75461,0.345323,0.07,0.21,0.14,-37.8544,-36.1882,3.01082,1009.83
115058,-0.202694,9.7594,0.340541,0.14,0.07,0.07,-38.0883,-36.3344,2.90851,1009.82
115064,-0.212259,9.77374,0.354888,0.14,0.14,0.07,-38.2637,-36.6559,2.9962,1009.82
115070,-0.19313,9.76896,0.340541,0.14,0.07,0.14,-38.176,-36.159,3.01082,1009.83
115076,-0.212259,9.77374,0.335758,0,0.14,0,-38.5852,-36.3636,2.87928,1009.83
115082,-0.221824,9.7594,0.354888,0,0.21,0.07,-38.0883,-36.6267,1.90003,1009.82
115088,-0.202694,9.76418,0.335758,0.14,0,0,-38.5852,-36.0713,2.22157,1009.82
115094,-0.202694,9.76418,0.340541,0.07,0.14,0.07,-37.7667,-36.4221,2.07542,1009.82
115100,-0.226606,9.76418,0.345323,0.14,0,0,-37.8252,-35.7498,1.53464,1009.82
115106,-0.207477,9.76896,0.350106,-0.07,0.21,0,-38.8775,-35.9252,3.09851,1009.82
115112,-0.202694,9.75461,0.35967,0,0,0,-38.3514,-36.0713,2.76235,1009.79
115118,-0.19313,9.77374,0.335758,0.07,0.07,0.14,-38.3221,-35.9836,4.16545,1009.79
115124,-0.183565,9.74983,0.330976,0,0,0.07,-38.4391,-36.0129,2.54312,1009.79
115130,-0.221824,9.75461,0.354888,0.07,-0.21,-0.21,-38.6729,-36.1006,3.15697,1009.79
115136,-0.202694,9.76418,0.354888,0.07,-0.07,0.07,-37.7375,-35.8375,3.2739,1009.79
115142,-0.207477,9.78331,0.345323,0.07,0.07,0,-38.9944,-36.3052,3.56621,1009.79
115148,-0.212259,9.7594,0.364453,0.07,0.07,0,-37.6498,-36.1298,3.02543,1009.79
115154,-0.202694,9.74983,0.350106,0,0.14,-0.07,-37.9421,-36.9483,3.72698,1009.79
115160,-0.202694,9.76896,0.35967,0,0.07,-0.07,-38.4391,-36.5683,4.04852,1009.79
115166,-0.226606,9.78331,0.335758,-0.07,0.07,-0.07,-38.2929,-36.3929,2.7185,1009.83
115172,-0.197912,9.7594,0.335758,-0.07,0.07,-0.07,-38.4975,-36.7436,3.66852,1009.83
115178,-0.226606,9.72592,0.369235,0,0.14,0,-38.4683,-36.4513,3.05466,1009.81
115184,-0.19313,9.74505,0.350106,0.07,0.07,0.07,-38.4098,-36.6267,3.44928,1009.81
115190,-0.217042,9.76896,0.335758,0,0.07,-0.07,-38.2052,-36.6267,3.09851,1009.83
115196,-0.221824,9.74505,0.350106,0,0.07,0,-38.2929,-36.8021,3.08389,1009.83
115202,-0.212259,9.76418,0.374018,0.07,0,0,-38.2052,-36.5683,2.38234,1009.81
115208,-0.221824,9.76418,0.326194,0.14,0,0,-38.3806,-36.5683,2.86466,1009.81
115214,-0.202694,9.77374,0.35967,0.07,0,-0.14,-37.5329,-36.3052,2.32388,1009.81
115220,-0.217042,9.77374,0.354888,0.07,0,-0.07,-37.7375,-35.6329,3.20082,1009.8
115226,-0.188347,9.77374,0.345323,0,-0.07,0,-38.1467,-36.2467,2.42619,1009.8
115232,-0.19313,9.75461,0.335758,0.14,-0.14,-0.21,-38.4683,-35.5744,3.4639,1009.81
115238,-0.207477,9.75461,0.340541,0.07,-0.07,-0.14,-38.9944,-35.6329,3.30313,1009.81
115244,-0.226606,9.7594,0.350106,-0.07,0.07,-0.07,-38.1467,-35.9252,3.6539,1009.81
115250,-0.212259,9.76418,0.345323,0.07,0,0,-38.059,-35.399,3.84391,1009.81
115256,-0.202694,9.7594,0.321411,0,0,-0.14,-37.6206,-36.159,4.29699,1009.82
115262,-0.212259,9.76896,0.330976,0.07,0.07,0,-38.7898,-35.4867,2.82081,1009.82
115268,-0.221824,9.74027,0.354888,0.07,-0.07,0.07,-38.2344,-35.6621,4.07775,1009.84
115274,-0.197912,9.74027,0.340541,0,0,0,-38.4975,-35.5452,2.93774,1009.84
115280,-0.207477,9.76896,0.330976,0.07,-0.07,-0.07,-38.8483,-36.159,2.67466,1009.84
115286,-0.197912,9.7594,0.345323,0,0.07,0,-38.3514,-35.5159,2.82081,1009.82
115292,-0.188347,9.77374,0.340541,0.07,-0.07,-0.07,-37.7667,-35.9252,3.14236,1009.82
115298,-0.207477,9.77374,0.335758,-0.14,0.14,0.07,-37.8252,-35.4575,2.98158,1009.81
115304,-0.207477,9.77374,0.35967,-0.07,0,0.07,-38.8191,-36.4513,2.39696,1009.81
115310,-0.183565,9.7594,0.345323,0,0.14,0.07,-38.2637,-35.3405,3.58082,1009.79
115316,-0.217042,9.79287,0.340541,-0.07,0,0,-38.2637,-35.8959,3.85852,1009.79
115322,-0.212259,9.76896,0.321411,-0.07,0.14,0.07,-38.2344,-36.3344,2.83543,1009.82
115328,-0.221824,9.76896,0.345323,0,0,0,-38.2929,-35.5452,3.40544,1009.82
115334,-0.188347,9.75461,0.330976,-0.07,0.07,-0.07,-37.8252,-35.4867,2.9962,1009.82
115340,-0.207477,9.74505,0.330976,0,0,0,-37.7083,-35.9836,3.34697,1009.79
115346,-0.202694,9.77374,0.3788,0,0.07,-0.07,-37.9129,-35.4282,3.2739,1009.79
115352,-0.202694,9.7594,0.345323,0.07,0,0.07,-38.556,-35.5452,2.8062,1009.79
115358,-0.207477,9.76418,0.350106,0,0,0,-38.8483,-35.0775,3.75621,1009.79
115364,-0.212259,9.74983,0.345323,0,0,0,-37.7083,-35.5452,3.36159,1009.8
115370,-0.197912,9.78809,0.330976,0,0.07,-0.07,-38.5852,-35.9252,4.04852,1009.8
115376,-0.202694,9.76418,0.35967,0.07,0,0.07,-38.3221,-35.8375,4.42853,1009.82
115382,-0.19313,9.74027,0.340541,0.07,0,0,-38.556,-35.1652,2.76235,1009.82
115388,-0.207477,9.77374,0.354888,0,0.07,0,-38.4098,-35.9544,3.62467,1009.81
115394,-0.217042,9.74027,0.321411,0,0,0.07,-38.556,-36.1298,4.00468,1009.81
115400,-0.19313,9.75461,0.340541,0.07,0.07,0,-38.3514,-36.6559,3.31774,1009.81
115406,-0.217042,9.74983,0.350106,0,0,0.07,-38.5852,-36.2759,2.55773,1009.8
115412,-0.212259,9.77853,0.35967,-0.07,0.07,-0.07,-38.059,-35.9836,3.02543,1009.8
115418,-0.212259,9.75461,0.350106,-0.07,0,0,-37.8252,-36.0713,4.04852,1009.79
115424,-0.183565,9.76418,0.350106,0,0.14,0,-38.3221,-36.159,2.89389,1009.79
115430,-0.212259,9.76896,0.354888,0,0,0.07,-38.4975,-36.3052,3.2739,1009.8
115436,-0.217042,9.77374,0.326194,-0.07,-0.14,-0.21,-38.3806,-36.8313,4.26776,1009.8
115442,-0.231389,9.77853,0.326194,0,-0.14,-0.07,-37.8252,-36.5683,2.85004,1009.82
115448,-0.207477,9.73549,0.374018,-0.07,0.07,0,-38.5267,-35.779,3.34697,1009.82
115454,-0.19313,9.77374,0.340541,-0.07,0.14,0,-38.6144,-35.5744,3.20082,1009.82
115460,-0.197912,9.77374,0.330976,-0.14,0.07,-0.07,-39.4037,-35.4575,3.82929,1009.8
115466,-0.202694,9.76418,0.335758,-0.14,0.14,0,-38.2052,-35.8667,2.95235,1009.8
115472,-0.212259,9.76896,0.354888,-0.07,0.07,0,-38.556,-35.8667,3.88775,1009.83
115478,-0.202694,9.7594,0.345323,-0.14,0.14,0,-37.8252,-37.4744,3.47852,1009.83
115484,-0.221824,9.74983,0.340541,0.07,0.07,0.07,-38.4391,-36.8898,3.21543,1009.83
115490,-0.202694,9.75461,0.354888,0,-0.07,0.14,-37.8837,-35.8667,2.89389,1009.83
115496,-0.188347,9.76418,0.330976,0.07,0.07,0,-38.2344,-35.1652,3.30313,1009.8
115502,-0.183565,9.78331,0.330976,0,0.07,0.35,-38.0883,-36.6267,3.50775,1009.8
115508,-0.212259,9.78331,0.307064,0.07,-0.21,0.07,-39.8422,-35.779,3.68313,1009.8
115514,-0.207477,9.74505,0.35967,-0.14,0.21,0,-37.8252,-35.4575,3.6539,1009.8
115520,-0.188347,9.76418,0.35967,-0.07,0.21,0,-38.3514,-36.1882,4.09237,1009.8
115526,-0.19313,9.78331,0.335758,-0.07,0.21,0.07,-38.176,-35.6621,3.43467,1009.81
115532,-0.202694,9.78331,0.364453,0,0.21,-0.07,-38.4975,-37.2406,2.00234,1009.81
115538,-0.212259,9.75461,0.340541,-0.07,0.35,0.14,-38.3221,-36.1882,4.06314,1009.75
115544,-0.221824,9.7594,0.35967,0,0.14,0.07,-38.2344,-35.9252,3.4639,1009.75
115550,-0.207477,9.74983,0.340541,0.07,0.07,0.07,-38.5852,-36.0129,3.40544,1009.8
115556,-0.202694,9.76896,0.350106,0,0.14,0,-37.8252,-36.1882,2.29465,1009.8
115562,-0.202694,9.77374,0.350106,-0.07,0.14,0,-38.4975,-35.9836,3.36159,1009.83
115568,-0.217042,9.76896,0.340541,-0.07,0.07,0.07,-38.0298,-36.0421,3.25928,1009.83
115574,-0.19313,9.76418,0.350106,-0.07,0,0.07,-37.9129,-35.8375,2.07542,1009.83
115580,-0.212259,9.76896,0.330976,0.07,0.14,-0.07,-38.0883,-35.9544,3.1862,1009.82
115586,-0.207477,9.75461,0.364453,0,0.14,0.07,-38.7898,-35.6329,2.2508,1009.82
115592,-0.197912,9.76418,0.340541,-0.07,0.07,0.07,-38.2929,-35.779,2.38234,1009.81
115598,-0.202694,9.74983,0.350106,-0.07,0.07,0,-38.2344,-35.4867,2.96697,1009.81
115604,-0.207477,9.76896,0.340541,0,0.07,0,-38.7021,-36.2467,3.04005,1009.82
115610,-0.217042,9.74983,0.350106,-0.07,0.14,0.07,-38.2929,-35.4575,2.76235,1009.82
115616,-0.207477,9.74027,0.345323,0,0.07,0,-37.8544,-35.779,2.13388,1009.81
115622,-0.221824,9.76896,0.340541,-0.07,0,0,-38.3806,-35.7498,3.71236,1009.81
115628,-0.207477,9.77853,0.345323,-0.07,0.14,0.07,-38.4098,-36.0421,2.54312,1009.81
115634,-0.202694,9.76418,0.335758,0,0.07,0,-37.5913,-35.7206,2.14849,1009.82
115640,-0.183565,9.77374,0.340541,-0.07,0.07,-0.14,-39.4914,-35.9544,2.28004,1009.82
115646,-0.212259,9.76418,0.340541,-0.07,-0.07,0,-38.1467,-35.9544,2.64543,1009.8
115652,-0.197912,9.74983,0.364453,-0.07,0.07,0.07,-38.3806,-35.7206,2.9962,1009.8
115658,-0.19313,9.77374,0.35967,0,0,0,-37.9129,-35.9544,2.83543,1009.82
115664,-0.217042,9.78331,0.335758,-0.07,0.07,0.07,-38.3806,-35.5159,3.58082,1009.82
115670,-0.207477,9.76418,0.350106,0,0,0,-38.4683,-36.2467,3.36159,1009.79
115676,-0.19313,9.75461,0.350106,-0.07,0.14,0,-38.6729,-35.6329,3.39082,1009.79
115682,-0.212259,9.76418,0.354888,0.07,0,0,-38.7606,-35.2236,3.7416,1009.79
115688,-0.202694,9.76896,0.345323,-0.07,0.14,0,-38.4098,-35.6329,2.8062,1009.81
115694,-0.207477,9.76418,0.340541,-0.07,0,0.07,-38.0298,-36.1006,3.17159,1009.81
115700,-0.197912,9.74505,0.340541,-0.07,-0.07,-0.07,-38.059,-35.0482,2.01695,1009.8
115706,-0.212259,9.77374,0.369235,-0.07,0.07,0,-39.3452,-36.2759,3.61006,1009.8
115712,-0.197912,9.74505,0.393147,0,0,-0.07,-39.1698,-36.0129,2.7185,1009.76
115718,-0.174,9.76418,0.350106,-0.07,0.14,0,-38.0883,-35.6621,3.09851,1009.76
115724,-0.212259,9.76896,0.326194,0,0,0,-38.2344,-36.3636,2.73312,1009.84
115730,-0.207477,9.77853,0.354888,-0.07,0.07,0.07,-38.8191,-36.0421,2.8062,1009.84
115736,-0.207477,9.76418,0.350106,-0.14,0.07,0,-38.8191,-35.1944,3.7416,1009.81
115742,-0.183565,9.78331,0.354888,-0.14,-0.07,-0.21,-39.6375,-35.4867,2.79158,1009.81
