Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
16442,-0.810059,9.74505,0.627485,-0.28,0.35,-0.07,-30.342,-38.0883,7.3078,1009.99
16448,-0.824406,9.7594,0.608355,-0.35,0.35,-0.07,-29.7281,-38.176,7.24934,1009.97
16454,-0.819624,9.74027,0.608355,-0.35,0.42,-0.21,-29.4358,-38.6144,7.01549,1009.97
16460,-0.838754,9.73549,0.632267,-0.42,0.28,-0.28,-29.9035,-38.4098,6.35779,1009.96
16466,-0.833971,9.71636,0.627485,-0.28,0.28,-0.14,-29.5528,-38.556,7.99474,1009.96
16472,-0.810059,9.74505,0.613138,-0.28,0.28,-0.14,-29.582,-38.5267,7.51242,1010.01
16478,-0.833971,9.7307,0.613138,-0.35,0.35,-0.21,-29.1143,-38.2929,7.96551,1010.01
16484,-0.857883,9.72114,0.651397,-0.42,0.28,-0.14,-30.1374,-38.936,7.35165,1010.01
16490,-0.848318,9.70201,0.646614,-0.21,0.35,-0.21,-29.7574,-38.7606,7.10319,1009.98
16496,-0.857883,9.74027,0.632267,-0.14,0.21,-0.14,-29.1435,-38.4098,6.72318,1009.98
16502,-0.843536,9.75461,0.613138,-0.14,0.28,-0.21,-29.6989,-39.4621,7.62935,1010
16508,-0.819624,9.74983,0.589226,-0.42,0.35,-0.28,-29.7866,-37.9714,7.61473,1010
16514,-0.843536,9.73549,0.608355,-0.49,0.35,-0.28,-30.1374,-38.4683,7.29319,1010
16520,-0.857883,9.69723,0.665744,-0.35,0.28,-0.07,-29.7866,-39.2283,6.85472,1010
16526,-0.862666,9.71636,0.63705,-0.21,0.21,-0.21,-29.2605,-39.1991,7.55627,1009.96
16532,-0.833971,9.7594,0.608355,-0.28,0.21,-0.14,-29.9035,-38.7898,6.56241,1009.96
16538,-0.853101,9.76418,0.63705,-0.28,0.21,-0.14,-30.0497,-38.8483,6.51856,1009.96
16544,-0.833971,9.75461,0.622702,-0.49,0.28,-0.07,-29.3481,-39.2868,6.94241,1010.01
16550,-0.862666,9.72592,0.651397,-0.28,0.21,-0.07,-29.7574,-39.1698,7.43935,1010.01
16556,-0.829189,9.71636,0.622702,-0.14,0.28,0,-29.7281,-38.5267,7.24934,1009.99
16562,-0.819624,9.74027,0.59879,-0.21,0.42,0,-30.2251,-38.9944,7.45396,1009.99
16568,-0.89136,9.72114,0.627485,-0.28,0.21,0.07,-30.3712,-38.4975,7.13242,1009.99
16574,-0.857883,9.69244,0.656179,-0.21,0.21,0,-29.8451,-38.7898,7.57089,1009.99
16580,-0.824406,9.74505,0.603573,-0.07,0.14,-0.07,-30.1374,-38.8191,6.98626,1009.97
16586,-0.824406,9.78331,0.594008,-0.21,0.21,-0.14,-29.7866,-39.0529,6.47471,1009.97
16592,-0.843536,9.72114,0.608355,-0.42,0.21,-0.21,-29.8743,-38.5852,5.68547,1009.97
16598,-0.853101,9.72592,0.651397,-0.42,0.14,-0.14,-29.9912,-38.176,5.93394,1009.99
16604,-0.833971,9.71157,0.670526,-0.14,0.28,-0.07,-29.6697,-39.0821,5.81701,1009.99
16610,-0.853101,9.7307,0.641832,0,0.21,-0.07,-29.6989,-38.2344,7.35165,1009.96
16616,-0.824406,9.74027,0.603573,-0.14,0.14,-0.14,-29.7574,-38.2344,8.55013,1009.96
16622,-0.824406,9.73549,0.603573,-0.28,0.21,0,-29.4066,-38.4975,8.02397,1009.97
16628,-0.877013,9.71636,0.641832,-0.28,0.21,-0.14,-29.4651,-38.6729,6.89857,1009.97
16634,-0.862666,9.68766,0.656179,-0.07,0.14,0,-30.2543,-38.1467,7.13242,1009.98
16640,-0.833971,9.70679,0.61792,0.07,0,0.07,-30.2251,-39.0529,7.38088,1009.98
16646,-0.833971,9.71636,0.613138,0.07,0,0.07,-29.8158,-38.5267,7.54165,1009.99
16652,-0.853101,9.69723,0.632267,0.07,0.07,0.07,-30.1082,-38.3221,7.36627,1009.99
16658,-0.877013,9.71636,0.646614,0.14,-0.14,0.14,-29.4066,-38.0298,8.09705,1009.99
