Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
34892,-0.743106,9.72592,0.694438,-0.173,-0.174,-0.343,-41.8591,-36.8313,4.03391,1010.6
34898,-0.733541,9.74983,0.680091,-0.173,-0.034,-0.413,-41.1283,-36.5975,4.2093,1010.6
34904,-0.747888,9.74983,0.675309,-0.243,-0.104,-0.343,-41.7422,-36.7729,4.96931,1010.62
34910,-0.747888,9.69723,0.704003,-0.243,-0.034,-0.413,-40.9822,-36.8606,4.76469,1010.62
34916,-0.75267,9.71157,0.699221,-0.243,-0.104,-0.413,-41.1576,-36.7436,3.56621,1010.61
34922,-0.747888,9.72592,0.699221,-0.103,-0.104,-0.273,-40.9237,-36.159,3.77083,1010.61
34928,-0.7718,9.74027,0.704003,-0.033,-0.174,-0.203,-41.1868,-36.1298,3.08389,1010.61
34934,-0.738323,9.71636,0.689656,-0.173,-0.104,-0.203,-41.0991,-36.8606,4.92546,1010.61
34940,-0.747888,9.7307,0.708786,-0.103,-0.034,-0.203,-41.6545,-37.299,5.21777,1010.61
34946,-0.7718,9.71157,0.708786,-0.103,-0.104,-0.133,-41.4791,-37.0944,4.48699,1010.6
34952,-0.733541,9.74027,0.699221,-0.033,-0.104,-0.203,-41.5376,-36.7144,4.07775,1010.6
34958,-0.747888,9.7307,0.704003,-0.243,0.036,-0.203,-41.7129,-36.8313,3.68313,1010.6
34964,-0.75267,9.72592,0.704003,-0.173,-0.104,-0.203,-41.6253,-36.7436,4.45776,1010.6
34970,-0.7718,9.70679,0.684874,-0.033,-0.104,-0.133,-41.3622,-36.7144,4.38468,1010.57
34976,-0.738323,9.70679,0.723133,-0.103,-0.104,-0.133,-40.8945,-36.3636,3.78544,1010.57
34982,-0.733541,9.7594,0.704003,0.037,-0.174,-0.203,-40.9822,-37.0067,4.16545,1010.57
34988,-0.738323,9.7594,0.704003,-0.033,-0.034,-0.203,-40.9822,-36.3344,3.4639,1010.6
34994,-0.757453,9.71157,0.699221,-0.033,-0.104,-0.203,-41.4499,-36.6852,3.49313,1010.6
35000,-0.743106,9.72114,0.723133,-0.103,-0.174,-0.133,-41.2745,-36.919,4.5893,1010.61
35006,-0.747888,9.71157,0.699221,-0.033,-0.104,-0.133,-40.6314,-37.3283,3.56621,1010.61
35012,-0.75267,9.71636,0.684874,-0.103,-0.104,-0.133,-40.9529,-36.8313,4.42853,1010.59
35018,-0.762235,9.69244,0.742262,0.107,-0.174,-0.133,-41.1283,-37.1821,4.76469,1010.59
35024,-0.757453,9.7307,0.713568,0.107,-0.034,-0.063,-40.7483,-36.4513,3.52236,1010.62
35030,-0.743106,9.71636,0.656179,0.107,-0.174,-0.063,-41.1283,-36.1882,4.61853,1010.62
35036,-0.776582,9.74983,0.694438,-0.103,-0.034,0.007,-40.9822,-36.6267,4.15083,1010.62
35042,-0.738323,9.69244,0.708786,-0.103,-0.034,-0.063,-41.0406,-36.6852,5.23239,1010.62
35048,-0.738323,9.7307,0.699221,0.037,-0.034,0.007,-40.7775,-37.036,4.60392,1010.62
35054,-0.75267,9.7307,0.699221,0.177,-0.034,0.007,-41.3622,-36.7144,4.18006,1010.62
35060,-0.728758,9.73549,0.694438,0.037,-0.104,-0.063,-40.8945,-37.299,4.13622,1010.62
35066,-0.747888,9.71157,0.71835,-0.033,-0.104,-0.063,-40.3683,-36.6267,4.63315,1010.62
35072,-0.757453,9.70201,0.727915,0.037,-0.034,-0.063,-40.3975,-36.8313,3.75621,1010.62
35078,-0.747888,9.7307,0.699221,0.177,-0.174,0.007,-41.3037,-36.1006,4.00468,1010.62
35084,-0.738323,9.75461,0.699221,-0.033,-0.104,0.007,-40.836,-36.8606,3.68313,1010.62
35090,-0.75267,9.71636,0.713568,0.037,-0.104,0.007,-41.7714,-37.5037,3.20082,1010.6
35096,-0.7718,9.74027,0.708786,0.037,0.106,0.077,-40.3391,-36.4513,3.17159,1010.6
35102,-0.7718,9.71157,0.699221,0.107,-0.104,0.077,-40.836,-37.6206,3.21543,1010.6
35108,-0.75267,9.74983,0.689656,0.107,-0.104,0.007,-40.9237,-37.0944,4.22391,1010.6
35114,-0.781365,9.74027,0.684874,0.107,-0.104,0.147,-40.9237,-36.6267,4.75007,1010.6
35120,-0.743106,9.72114,0.680091,0.037,-0.034,0.077,-40.3391,-37.1236,4.98392,1010.62
