Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
21392,-0.152914,-0.0392853,-9.76089,0,-0.13,0.125,-7.00339,-22.8234,34.9358,1001.11
21398,-0.152914,-0.0440496,-9.76089,-0.07,-0.13,-0.015,-6.3603,-22.7064,36.412,1001.13
21404,-0.152914,-0.0440496,-9.76089,0,-0.06,-0.085,-6.53569,-22.4141,33.6058,1001.13
21410,-0.152914,-0.0392853,-9.76089,-0.07,-0.06,-0.015,-7.03262,-22.151,35.3012,1001.12
21416,-0.152914,-0.0392853,-9.76089,0,-0.06,0.055,-7.67571,-22.5018,34.395,1001.12
21422,-0.152914,-0.0392853,-9.76089,-0.07,0.01,0.055,-6.828,-22.5018,34.3219,1001.14
21428,-0.152914,-0.0392853,-9.76089,-0.14,-0.06,-0.015,-6.24338,-22.7941,34.4973,1001.14
21434,-0.152914,-0.0392853,-9.76089,0,-0.06,0.055,-6.38953,-22.9987,34.585,1001.14
21440,-0.152914,-0.0392853,-9.76089,0,-0.06,-0.015,-7.12031,-23.7295,34.015,1001.12
21446,-0.152914,-0.0392853,-9.76089,0,-0.06,0.125,-6.85723,-22.5603,35.0235,1001.12
21452,-0.152914,-0.0392853,-9.76089,0,-0.06,0.055,-7.20801,-22.9403,34.965,1001.11
21458,-0.152914,-0.0392853,-9.76089,-0.07,-0.13,-0.015,-6.21415,-22.7064,34.5119,1001.11
21464,-0.152914,-0.0392853,-9.76089,0,-0.13,-0.085,-6.448,-22.1803,35.2427,1001.14
21470,-0.152914,-0.0392853,-9.76089,0,0.08,0.055,-6.9157,-22.4726,35.1989,1001.14
21476,-0.152914,-0.0392853,-9.76089,0,-0.13,0.055,-6.76954,-22.4141,34.6727,1001.14
21482,-0.152914,-0.0392853,-9.76089,0.07,-0.06,-0.015,-7.06185,-22.9403,34.775,1001.14
21488,-0.152914,-0.0392853,-9.76089,0.07,-0.06,-0.085,-6.38953,-22.8234,34.8335,1001.14
21494,-0.152914,-0.0392853,-9.76089,0,-0.06,-0.085,-6.41877,-23.1157,33.6496,1001.11
21500,-0.152914,-0.0392853,-9.76089,0,-0.06,0.125,-6.79877,-22.3264,34.8481,1001.11
21506,-0.152914,-0.0392853,-9.76089,0,-0.13,0.055,-6.59415,-22.3557,35.0089,1001.14
21512,-0.152914,-0.0392853,-9.76089,-0.07,-0.06,0.055,-6.18492,-22.2972,34.7604,1001.14
21518,-0.152914,-0.0345211,-9.76564,0,0.01,0.125,-6.62338,-22.7064,34.3073,1001.13
21524,-0.152914,-0.0392853,-9.76089,0.07,-0.13,0.125,-6.3603,-23.0572,35.7104,1001.13
21530,-0.152914,-0.0392853,-9.76564,0,-0.13,-0.015,-6.62338,-22.6187,35.0089,1001.13
21536,-0.152914,-0.0345211,-9.76564,-0.07,0.01,-0.015,-6.12645,-22.3849,35.4473,1001.13
21542,-0.152914,-0.0345211,-9.76564,-0.14,0.01,-0.015,-7.93879,-23.6126,34.775,1001.12
21548,-0.157693,-0.0392853,-9.76564,-0.07,0.08,0.055,-6.9157,-23.1449,34.3073,1001.12
21554,-0.152914,-0.0392853,-9.76564,0,0.01,0.055,-6.12645,-23.4957,35.7104,1001.12
21560,-0.152914,-0.0392853,-9.76089,0.07,-0.06,-0.085,-6.33107,-23.6126,34.5704,1001.11
21566,-0.157693,-0.0392853,-9.76089,0,-0.06,0.055,-6.65262,-22.7357,34.965,1001.11
21572,-0.157693,-0.0392853,-9.76089,0,-0.06,-0.085,-6.79877,-23.2326,35.3158,1001.13
21578,-0.152914,-0.0392853,-9.76089,-0.07,-0.06,0.055,-6.9157,-22.7649,34.5119,1001.13
21584,-0.152914,-0.0392853,-9.76089,0,-0.13,-0.015,-6.65262,-22.6187,33.8981,1001.12
21590,-0.157693,-0.0392853,-9.76089,0.07,-0.06,0.055,-6.68185,-22.6187,33.8542,1001.12
21596,-0.157693,-0.0392853,-9.76089,0,-0.06,-0.015,-6.97416,-22.2095,34.9212,1001.17
21602,-0.157693,-0.0392853,-9.76089,0.07,0.01,0.055,-6.65262,-22.2387,35.2281,1001.17
21608,-0.157693,-0.0392853,-9.76089,0,0.01,-0.015,-7.35417,-22.3264,35.1404,1001.17
21614,-0.157693,-0.0392853,-9.76089,-0.14,0.01,-0.015,-6.62338,-22.8818,34.1319,1001.15
21620,-0.157693,-0.0392853,-9.76089,0.07,0.01,0.055,-7.03262,-22.7649,33.9419,1001.15
21626,-0.157693,-0.0392853,-9.76564,0.07,-0.06,0.055,-6.62338,-22.5018,34.7896,1001.14
21632,-0.157693,-0.0392853,-9.76089,0,0.01,-0.015,-6.41877,-22.2387,34.9504,1001.14
21638,-0.157693,-0.0392853,-9.76089,0.07,0.01,0.125,-6.448,-22.8234,34.9942,1001.15
21644,-0.157693,-0.0392853,-9.76564,-0.07,-0.13,0.055,-6.71108,-22.8526,34.7896,1001.15
21650,-0.157693,-0.0392853,-9.76564,-0.07,0.08,0.125,-7.09108,-22.3557,33.5034,1001.12
21656,-0.152914,-0.0392853,-9.76564,0.07,0.01,0.055,-6.65262,-22.6772,34.1027,1001.12
21662,-0.157693,-0.0392853,-9.76564,0,-0.13,-0.015,-7.14954,-22.7649,33.5181,1001.12
21668,-0.157693,-0.0392853,-9.76564,-0.07,0.01,-0.085,-7.2957,-22.7064,34.2342,1001.14
21674,-0.157693,-0.0392853,-9.76564,0.07,-0.06,-0.015,-7.09108,-23.0864,34.6142,1001.14
21680,-0.157693,-0.0392853,-9.76564,0.07,0.01,0.055,-6.71108,-22.2095,33.2988,1001.14
21686,-0.157693,-0.0392853,-9.76564,0,0.08,0.055,-6.76954,-22.2972,35.2719,1001.14
21692,-0.157693,-0.0392853,-9.76564,0.14,0.08,-0.015,-7.14954,-22.7941,35.5935,1001.1
21698,-0.157693,-0.0392853,-9.76564,0,0.01,-0.015,-7.23724,-22.9987,35.1404,1001.1
21704,-0.157693,-0.0392853,-9.76564,0,0.08,-0.015,-6.3603,-22.9695,35.2135,1001.13
21710,-0.157693,-0.0345211,-9.76564,0,-0.06,0.055,-6.30184,-22.6772,35.4327,1001.13
21716,-0.157693,-0.0345211,-9.76564,-0.14,-0.06,-0.015,-6.18492,-22.911,34.9504,1001.14
21722,-0.157693,-0.0392853,-9.76564,-0.07,-0.13,0.055,-6.41877,-21.9757,34.2781,1001.14
21728,-0.157693,-0.0345211,-9.76564,-0.07,-0.06,-0.015,-6.79877,-21.9172,34.9504,1001.14
21734,-0.157693,-0.0392853,-9.76564,-0.14,0.01,0.055,-6.56492,-22.151,35.2281,1001.15
21740,-0.157693,-0.0392853,-9.76564,0,-0.13,-0.015,-6.30184,-22.0926,34.4242,1001.15
21746,-0.157693,-0.0392853,-9.76564,0.07,-0.06,-0.085,-6.68185,-22.6772,34.5996,1001.1
21752,-0.157693,-0.0392853,-9.76564,-0.07,0.01,-0.015,-6.79877,-23.1157,34.0881,1001.1
21758,-0.157693,-0.0392853,-9.76564,-0.07,0.01,0.055,-6.24338,-22.5018,34.9212,1001.1
21764,-0.157693,-0.0392853,-9.76564,0,-0.13,-0.085,-6.53569,-22.268,34.6873,1001.1
21770,-0.157693,-0.0392853,-9.76564,0.07,-0.06,0.055,-7.09108,-22.4141,34.395,1001.15
21776,-0.157693,-0.0392853,-9.76564,-0.07,-0.06,-0.015,-5.92183,-22.531,34.9504,1001.15
21782,-0.157693,-0.0392853,-9.76564,-0.07,-0.06,0.055,-6.59415,-22.1803,35.5496,1001.15
21788,-0.157693,-0.0392853,-9.76564,0.07,-0.06,0.055,-6.448,-22.3849,34.1465,1001.14
21794,-0.157693,-0.0392853,-9.76564,0,-0.06,0.055,-6.47723,-21.8003,34.205,1001.14
21800,-0.152914,-0.0392853,-9.76564,0,-0.06,0.125,-6.18492,-22.4434,35.7543,1001.13
21806,-0.152914,-0.0392853,-9.76564,0,-0.13,0.055,-6.50646,-22.3849,34.9358,1001.13
21812,-0.157693,-0.0392853,-9.76564,-0.07,0.01,-0.085,-6.65262,-22.6772,34.2635,1001.14
21818,-0.157693,-0.0392853,-9.76564,-0.07,0.08,-0.015,-6.38953,-22.6772,34.6288,1001.14
21824,-0.152914,-0.0392853,-9.76564,0,-0.06,-0.015,-6.9157,-21.9757,32.8457,1001.13
21830,-0.157693,-0.0392853,-9.76564,-0.07,0.01,-0.015,-6.79877,-22.4141,33.6935,1001.13
21836,-0.157693,-0.0392853,-9.76564,-0.07,0.08,0.055,-6.97416,-22.911,35.0965,1001.17
21842,-0.157693,-0.0392853,-9.76564,-0.07,0.01,-0.015,-6.74031,-22.7357,34.1904,1001.17
21848,-0.157693,-0.0392853,-9.76564,0,0.01,0.055,-7.35417,-23.3203,33.9419,1001.17
21854,-0.157693,-0.0392853,-9.76564,0.07,-0.06,0.055,-6.76954,-22.5895,35.1258,1001.15
21860,-0.157693,-0.0392853,-9.76564,-0.07,0.01,-0.015,-6.94493,-22.2972,33.6642,1001.15
21866,-0.157693,-0.0392853,-9.76564,-0.07,0.01,0.125,-6.76954,-22.7941,34.8919,1001.14
21872,-0.152914,-0.0392853,-9.76564,-0.07,0.01,-0.015,-6.00953,-22.8234,35.1112,1001.14
21878,-0.157693,-0.0392853,-9.76564,-0.14,-0.06,-0.015,-7.00339,-22.911,35.3012,1001.11
21884,-0.157693,-0.0392853,-9.76564,0,-0.06,0.055,-6.9157,-23.2911,33.6788,1001.11
21890,-0.157693,-0.0392853,-9.76564,0,0.08,0.055,-7.47109,-22.9403,34.8042,1001.11
21896,-0.157693,-0.0392853,-9.76564,-0.07,0.01,0.055,-6.62338,-23.028,34.8627,1001.11
21902,-0.157693,-0.0392853,-9.77039,-0.07,-0.06,0.055,-6.09722,-23.0864,34.9358,1001.11
21908,-0.157693,-0.0392853,-9.76564,-0.14,-0.06,0.125,-6.53569,-22.9403,34.2635,1001.11
21914,-0.157693,-0.0392853,-9.76564,-0.14,0.08,-0.015,-6.828,-22.4141,35.1404,1001.11
21920,-0.157693,-0.0392853,-9.76564,-0.07,-0.06,-0.015,-6.38953,-22.151,34.9504,1001.13
21926,-0.157693,-0.0392853,-9.77039,0.07,-0.13,0.055,-7.44186,-22.531,33.8981,1001.13
21932,-0.157693,-0.0392853,-9.77039,0,0.08,0.055,-6.65262,-22.8526,34.6142,1001.13
21938,-0.157693,-0.0392853,-9.76564,0.07,-0.13,-0.015,-6.59415,-22.1218,34.7019,1001.13
