Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
38102,-1.50829,9.59201,1.13442,0.037,-0.034,-0.133,24.5064,-42.4514,-13.6853,991.132
38108,-1.49394,9.60636,1.1392,0.177,-0.104,-0.203,24.0415,-43.1915,-13.9069,991.09
38114,-1.48438,9.61114,1.12485,0.037,-0.034,-0.203,24.5354,-42.4205,-13.4193,991.09
38120,-1.48916,9.61593,1.12007,0.037,-0.104,-0.203,24.2739,-42.143,-13.1533,991.149
38126,-1.50829,9.61593,1.12485,-0.033,-0.034,-0.273,24.4773,-41.9579,-15.4141,991.149
38132,-1.48916,9.59201,1.09138,0.037,-0.034,-0.273,23.9253,-42.1738,-12.9908,991.141
38138,-1.49872,9.60158,1.11051,-0.033,0.036,-0.273,24.1577,-42.7598,-12.8135,991.141
38144,-1.51785,9.60636,1.13442,-0.033,0.036,-0.273,24.2739,-42.5747,-13.833,991.141
38150,-1.50351,9.5968,1.12964,-0.033,0.036,-0.203,23.809,-42.3897,-13.9512,991.107
38156,-1.50351,9.5968,1.1679,0.037,-0.034,-0.203,23.5766,-42.8214,-13.4932,991.107
38162,-1.5322,9.60636,1.14877,0.037,-0.104,-0.133,23.6347,-42.8831,-13.6262,991.12
38168,-1.50351,9.59201,1.14398,-0.103,-0.034,-0.063,24.0415,-42.8214,-12.8726,991.12
38174,-1.53698,9.60636,1.14398,-0.173,-0.034,-0.133,22.9373,-42.914,-12.6361,991.133
38180,-1.51307,9.59201,1.13442,-0.033,-0.174,-0.063,23.5766,-43.2532,-12.9464,991.133
38186,-1.49872,9.62071,1.15355,-0.103,-0.034,-0.133,23.6637,-42.3897,-14.232,991.143
38192,-1.49394,9.59201,1.1392,-0.033,-0.034,-0.133,23.7509,-42.6056,-14.0251,991.143
38198,-1.46525,9.5968,1.1392,0.107,-0.034,-0.203,23.7219,-43.099,-13.7148,991.122
38204,-1.49872,9.61114,1.11529,0.037,-0.034,-0.203,23.9543,-43.2224,-13.7444,991.122
38210,-1.49872,9.60636,1.13442,-0.103,-0.034,-0.273,23.9834,-42.8523,-13.0203,991.122
38216,-1.50351,9.58723,1.14398,-0.103,0.036,-0.203,24.0124,-42.8831,-13.2863,991.095
38222,-1.52264,9.61593,1.10572,-0.103,0.036,-0.273,23.8671,-42.6981,-13.7887,991.095
38228,-1.51307,9.60158,1.12485,-0.103,-0.034,-0.203,24.6517,-42.6981,-14.2172,991.123
38234,-1.52264,9.58723,1.12485,-0.103,-0.034,-0.203,24.1287,-41.9888,-13.7444,991.123
38240,-1.50829,9.60158,1.13442,-0.033,0.036,-0.203,24.3611,-42.1121,-13.5671,991.128
38246,-1.52264,9.55854,1.15355,-0.033,0.036,-0.133,24.0124,-42.2663,-12.9612,991.128
38252,-1.49394,9.5968,1.12964,-0.103,0.036,-0.203,23.8381,-42.2046,-12.9464,991.106
38258,-1.51307,9.57288,1.13442,-0.103,0.036,-0.133,23.6056,-42.3588,-13.6262,991.106
38264,-1.5322,9.58723,1.12964,-0.173,-0.034,-0.063,24.303,-42.1738,-13.5818,991.106
38270,-1.46047,9.5968,1.15355,-0.173,0.036,-0.133,24.1868,-42.6364,-13.6114,991.138
38276,-1.51785,9.60636,1.12485,-0.173,0.246,-0.133,22.8792,-42.914,-14.2468,991.138
38282,-1.51307,9.60636,1.14398,-0.173,-0.034,-0.203,23.1117,-42.6056,-13.2272,991.151
38288,-1.48916,9.58245,1.14877,-0.103,0.036,-0.063,23.9543,-42.143,-13.9069,991.151
38294,-1.51307,9.60158,1.11051,-0.103,0.036,-0.133,24.0996,-42.4205,-14.1138,991.127
38300,-1.50351,9.62071,1.16311,0.247,-0.174,-0.133,23.4022,-42.3897,-13.7296,991.127
38306,-1.44612,9.64462,1.07703,-0.103,-0.104,-0.133,24.0705,-42.6056,-13.6114,991.125
38312,-1.52264,9.59201,1.1679,-0.103,0.036,-0.203,24.1868,-42.7598,-13.7444,991.125
38318,-1.48916,9.5968,1.12485,0.037,-0.104,-0.273,23.7509,-42.8831,-13.2124,991.12
38324,-1.51307,9.61593,1.15355,0.037,-0.034,-0.203,23.6056,-42.914,-13.5523,991.12
38330,-1.52742,9.61114,1.12485,0.107,-0.034,-0.203,23.5475,-43.5616,-12.2667,991.12
38336,-1.50351,9.5968,1.09616,0.107,-0.104,-0.273,24.0996,-42.513,-13.242,991.105
38342,-1.48916,9.58245,1.1679,0.037,0.036,-0.343,23.4603,-43.4074,-13.2272,991.105
38348,-1.51785,9.62549,1.11529,0.107,-0.104,-0.343,23.257,-42.5747,-12.5179,991.135
38354,-1.51307,9.62549,1.12964,0.037,0.036,-0.413,23.4022,-43.2532,-13.5966,991.135
38360,-1.52264,9.57767,1.15355,-0.033,-0.104,-0.343,23.9253,-43.1298,-13.5818,991.142
38366,-1.51785,9.5968,1.14877,0.037,-0.034,-0.343,23.4894,-43.5924,-13.0647,991.142
38372,-1.50829,9.58723,1.14398,-0.033,0.036,-0.203,23.286,-42.9448,-12.7691,991.124
38378,-1.51785,9.60636,1.14877,-0.033,-0.034,-0.203,24.1577,-42.8214,-13.2715,991.124
38384,-1.50351,9.60158,1.1392,-0.103,-0.034,-0.133,23.7219,-43.2224,-12.9908,991.124
38390,-1.49394,9.55375,1.16311,-0.033,-0.034,-0.063,23.8962,-42.6364,-13.5671,991.127
38396,-1.50829,9.62071,1.1392,-0.033,0.036,-0.063,23.9253,-42.7598,-13.3159,991.127
38402,-1.50829,9.58245,1.14877,0.037,-0.034,-0.133,23.3151,-42.9756,-13.3011,991.129
38408,-1.48438,9.64462,1.10572,0.037,-0.174,-0.273,24.1577,-43.099,-13.2124,991.129
38414,-1.49872,9.62071,1.11051,0.037,0.036,-0.203,23.9543,-41.8654,-14.1286,991.153
